#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"So Easy (To Fall In Love)","Olivia Dean",140,5B,63,-,02:49,97,"pop soul","The Art of Loving",2025-09-26,75,67,0,57,0,0,-6,D#/E♭ Major,4,6sGIMrtIzQjdzNndVxe397,GBUM72503087
2,"Uranus","PNL",92,5A,57,-,04:00,69,"french rap, pop urbaine","Dans la légende",2016-09-16,63,58,11,40,0,10,-11,C Minor,4,7lpfmAMzW3MlWSnXrwAGky,FR0U91601097
3,"Die On This Hill","SIENNA SPIRO",82,4A,43,-,03:37,94,"","Die On This Hill",2025-10-10,52,76,0,25,0,30,-5,F Minor,4,2gYTC8DsplN3RNdpdBcCOQ,USUG12508560
4,"Raindance (feat. Tems)","Dave,Tems",107,3B,74,-,03:39,96,"grime, uk grime, uk drill, drill, afrobeats, afro r&b, alté, afrobeat","The Boy Who Played the Harp",2025-10-23,80,24,6,25,0,10,-7,C♯/D♭ Major,4,3oTuTpF1F3A7rEC6RKsMRz,GBUM72506029
5,"White Ferrari","Frank Ocean",109,8B,10,-,04:08,86,"","Blonde",2016-08-20,50,77,0,20,0,30,-16,C Major,4,2LMkwUfqC6S6s6qDVlEuzV,QZ5C81600014
6,"No One Noticed","The Marías",98,9B,34,-,03:56,90,"bedroom pop","Submarine",2024-05-31,71,55,8,46,0,10,-11,G Major,4,3siwsiaEoU4Kuuc9WKMUy5,USAT22307579
7,"WEIß NICHT","EMES",124,2B,32,-,03:24,62,"german hip hop","MONEY CHANGES BREDRINS",2024-06-06,82,30,0,31,70,10,-14,F#/G♭ Major,4,1K4snL5lbTUfSDkjOLUh93,DECE72303116
8,"White Keys","Dominic Fike",82,10A,55,-,02:24,91,"","White Keys",2025-11-14,71,79,0,84,10,10,-9,B Minor,4,5ViLKrbyL3HD6wsq3AB9eI,USQX92506204
9,"The Night We Met","Lord Huron",174,10B,38,-,03:28,90,"","Strange Trails",2015-04-07,44,97,27,11,0,60,-10,D Major,3,5yJaXWIErrrsjQ3J0eR5aK,US53Q1200103
10,"Sparks","Coldplay",103,3B,27,-,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
11,"Sailor Song","Gigi Perez",95,1B,39,-,03:31,89,"","At The Beach, In Every Life",2025-04-25,50,63,0,27,0,10,-10,B Major,4,21IYMdzTrzSe191Cy5eMap,USHM92438095
12,"Let Alone The One You Love","Olivia Dean",82,4B,42,-,03:06,87,"pop soul","The Art of Loving",2025-09-26,55,70,0,31,0,10,-8,G#/A♭ Major,3,3Vd4fHzwS6pBS3muymjiDi,GBUM72503088
13,"Capuche","PNL",117,8B,52,-,04:25,63,"french rap, pop urbaine","Deux frères",2019-10-25,74,10,0,15,0,0,-9,C Major,4,3nhZSrlvRibuMW6dMTn8Ge,FR8JU1900160
