#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",134,3B,24,2025-12-24,01:57,70,"christmas, adult standards, big band, swing music","A Winter Romance",1959-01-01,45,91,0,70,0,10,-14,C♯/D♭ Major,4,2uFaJJtFpPDc5Pa95XzTvg,USCA25900140
2,"Rockin' Around The Christmas Tree","Brenda Lee",67,4B,47,2025-12-24,02:06,72,"christmas","Merry Christmas From Brenda Lee",1964-10-19,60,62,0,88,0,50,-9,G#/A♭ Major,4,2EjXfH91m7f8HiJN1yQg97,USMC15848998
3,"Christmas (Baby Please Come Home)","Darlene Love",127,4B,76,2025-12-24,02:50,60,"christmas","A Christmas Gift For You From Phil Spector",1963-00-00,33,40,0,36,0,0,-7,G#/A♭ Major,4,46pF1zFimM582ss1PrMy68,USSM10905172
4,"Jingle Bell Rock","Bobby Helms",120,10B,42,2025-12-24,02:10,71,"christmas","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)",1957-12-02,75,64,0,81,0,0,-8,D Major,4,7vQbuQcyTflfCIOu3Uzzya,USMC15746480
5,"The Christmas Song (Merry Christmas To You)","Nat King Cole",73,2B,21,2025-12-24,03:12,66,"christmas, adult standards, vocal jazz","The Christmas Song (Expanded Edition)",2018-09-21,32,92,0,21,0,10,-15,F#/G♭ Major,5,4PS1e8f2LvuTFgUs1Cn3ON,USCA29900551
6,"Sleigh Ride","The Ronettes",92,10B,77,2025-12-24,03:06,66,"christmas","A Christmas Gift For You From Phil Spector",1963-00-00,53,40,0,85,0,30,-7,D Major,4,5ASM6Qjiav2xPe7gRkQMsQ,USSM10905166
7,"It's the Most Wonderful Time of the Year","Andy Williams",202,9B,60,2025-12-24,02:32,67,"christmas, adult standards","The Andy Williams Christmas Album",1963-11-24,24,77,0,78,0,10,-8,G Major,3,5hslUAKq9I9CG2bAulFkHN,USSM16300086
8,"Feliz Navidad","José Feliciano",149,10B,83,2025-12-24,03:01,63,"christmas, bolero, villancicos","Feliz Navidad",2002-09-24,51,55,0,96,0,30,-9,D Major,4,0oPdaY4dXtc3ZsaG17V972,USRC17002573
9,"Run Rudolph Run","Chuck Berry",152,6A,62,2025-12-24,02:44,0,"rockabilly, rock and roll","Rockin' Little Christmas",1990-10-02,68,77,0,96,10,10,-13,G Minor,4,30WHma5z5Sty54jbtoxYEy,USMC15819663
10,"I Want a Hippopotamus for Christmas (Hippo the Hero)","Gayla Peevey",114,9B,34,2025-12-24,02:35,59,"christmas","I Want a Hippopotamus for Christmas (Hippo the Hero)",1953-11-11,85,83,1,93,0,10,-9,G Major,4,5P8Xvy5tzhmfyfA6GplQ8h,USSM15300323
11,"White Christmas - 1947 Version","Bing Crosby,Ken Darby Singers,John Scott Trotter & His Orchestra",100,11B,16,2025-12-24,02:57,0,"christmas, ","Holiday Inn (Original Motion Picture Soundtrack)",1942-01-01,29,67,36,25,0,30,-16,A Major,4,4so0Wek9Ig1p6CRCHuINwW,USMC14750470
12,"Deck The Hall","Nat King Cole",108,11B,44,2025-12-24,01:08,62,"christmas, adult standards, vocal jazz","The Christmas Song (Expanded Edition)",2018-09-21,68,74,0,96,0,20,-11,A Major,4,0rHToGels2lt8Y0mCYoF90,USCA29900552
13,"Santa Baby","Eartha Kitt",84,4A,10,2025-12-24,03:26,0,"christmas","The Essential Eartha Kitt",2011-03-15,70,90,0,47,0,10,-15,F Minor,4,1vZKP9XURuqMp1SpXGnoyb,USRC15302564
14,"You're A Mean One, Mr. Grinch","Thurl Ravenscroft",142,7A,48,2025-12-24,05:15,0,"christmas","Dr. Seuss' How The Grinch Stole Christmas!",2012-10-09,52,95,1,42,30,10,-11,D Minor,3,6TnjaL02usP9dwCGzdk5GS,USNLI1200010
15,"Santa Claus Is Coming To Town","Frank Sinatra",142,5B,40,2025-12-24,02:14,57,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Ultimate Christmas",2017-10-06,56,67,0,68,0,20,-10,D#/E♭ Major,4,6syO6UTl8QiiWADJy3Uy2d,USRH10903365
16,"Blue Christmas","Elvis Presley",95,12B,27,2025-12-24,02:10,64,"rockabilly, rock and roll","Elvis' Christmas Album",1957-10-15,47,90,0,58,0,10,-17,E Major,4,3QiAAp20rPC3dcAtKtMaqQ,USRC15701155
17,"A Holly Jolly Christmas","Burl Ives",140,8B,38,2025-12-24,02:15,62,"christmas","Have A Holly Jolly Christmas",1965-10-01,68,58,0,89,0,0,-13,C Major,4,77khP2fIVhSW23NwxrRluh,USMC16414508
18,"Please Come Home for Christmas - 2013 Remaster","Eagles",183,11B,29,2025-12-24,02:57,65,"classic rock, yacht rock, soft rock","Please Come Home for Christmas / Funky New Year (2013 Remaster)",1978-11-27,61,60,0,47,0,0,-12,A Major,3,3QIoEi8Enr9uHffwInGIsC,USEE11300376
19,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como,The Fontane Sisters,Mitchell Ayres & His Orchestra",113,9B,28,2025-12-24,02:35,63,"christmas, adult standards, ","Greatest Christmas Songs",1999-08-23,72,76,0,72,0,10,-12,G Major,4,2pXpURmn6zC5ZYDMms6fwa,USRC15106173
20,"Have Yourself A Merry Little Christmas","Judy Garland",90,2B,18,2025-12-24,02:42,55,"christmas","Meet Me In St. Louis",1944-01-01,25,97,0,11,0,20,-15,F#/G♭ Major,5,030mot3ZKR3oskfMsqDB2R,USMC14447439
21,"Rudolph The Red-Nosed Reindeer","Burl Ives",153,8B,28,2025-12-24,02:10,60,"christmas","Have A Holly Jolly Christmas",1965-10-01,67,67,0,81,0,20,-13,C Major,4,47otoIkhx3fkdivEXL5OB6,USMC16516116
22,"Christmas Time Is Here","Vince Guaraldi Trio",75,8A,12,2025-12-24,02:43,58,"christmas","Charlie Brown Holiday Hits",1998-01-01,37,98,0,10,0,10,-21,A Minor,3,3bMfUUpzUzqWp9II00yRhE,USFI86600065
