#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Last Christmas","Wham!",108,10B,48,2025-12-25,04:22,77,"christmas","LAST CHRISTMAS",1984-11-29,74,19,0,95,0,30,-12,D Major,4,2FRnf9qhLbvw8fu4IBXx78,GBBBM8400019
2,"All I Want for Christmas Is You","Mariah Carey",150,9B,63,2025-12-25,04:01,76,"christmas","Merry Christmas",1994-10-28,34,16,0,35,0,0,-7,G Major,4,0bYg9bo50gSsH3LtXe2SQn,USSM19400325
3,"Let It Snow, Let It Snow, Let It Snow","Dean Martin",134,3B,29,2025-12-25,01:57,0,"christmas, adult standards, big band, swing music","My Kind Of Christmas",2011-09-20,50,78,0,71,0,20,-11,C♯/D♭ Major,4,1prYSRBfwPvE3v8jSRZL3Q,USCA29800523
4,"Santa Tell Me","Ariana Grande",133,9B,63,2025-12-25,03:24,0,"pop","Santa Tell Me",2014-11-24,46,5,0,53,10,30,-7,G Major,5,1ADjWm8QNhgNV8yCNNgQ1T,USUM71417401
5,"Underneath the Tree","Kelly Clarkson",160,4B,81,2025-12-25,03:49,68,"christmas","Wrapped In Red",2013-10-25,51,0,0,69,0,20,-5,G#/A♭ Major,4,3nAp4IvdMPPWEH9uuXFFV5,GBCTA1300103
6,"Rockin' Around The Christmas Tree","Brenda Lee",67,4B,47,2025-12-25,02:06,72,"christmas","Merry Christmas From Brenda Lee",1964-10-19,60,62,0,88,0,50,-9,G#/A♭ Major,4,2EjXfH91m7f8HiJN1yQg97,USMC15848998
7,"Holly Jolly Christmas","Michael Bublé",151,9B,47,2025-12-25,01:59,11,"christmas","Christmas (Deluxe Special Edition)",2012-11-09,65,87,0,70,0,0,-8,G Major,4,5PuKlCjfEVIXl0ZBp5ZW9g,USRE11100705
8,"Jingle Bell Rock","Bobby Helms",120,10B,42,2025-12-25,02:10,71,"christmas","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)",1957-12-02,75,64,0,81,0,0,-8,D Major,4,7vQbuQcyTflfCIOu3Uzzya,USMC15746480
9,"The Christmas Song (Merry Christmas To You)","Nat King Cole",73,2B,21,2025-12-25,03:12,66,"christmas, adult standards, vocal jazz","The Christmas Song (Expanded Edition)",2018-09-21,32,92,0,21,0,10,-15,F#/G♭ Major,5,4PS1e8f2LvuTFgUs1Cn3ON,USCA29900551
10,"Winter Wonderland - Spotify Singles Holiday","Laufey",128,10B,28,2025-12-25,02:12,63,"","Spotify Singles Holiday",2023-11-14,53,84,0,51,0,0,-10,D Major,4,1LmkdWSxjCV7wKTPsCvYWN,QMFME2359177
11,"Christmas (Baby Please Come Home)","Darlene Love",127,4B,76,2025-12-25,02:46,63,"christmas","Christmas (Baby, Please Come Home)",2020-12-04,33,40,0,36,0,0,-7,G#/A♭ Major,4,47ohYW8e7dxCYn9qbUMBCI,USSM10905172
12,"Snowman","Sia",105,3B,52,2025-12-25,02:45,79,"","Everyday Is Christmas (Deluxe Edition)",2018-11-01,72,43,0,34,0,0,-6,C♯/D♭ Major,3,7uoFMmxln0GPXQ0AcCBXRq,USAT21704212
