#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"WILDFLOWER","Billie Eilish",148,11A,25,-,04:21,93,"","HIT ME HARD AND SOFT",2024-05-17,47,61,0,13,0,10,-12,F#/G♭ Minor,4,3QaPy1KgI7nu9FJEQUgn6h,USUM72401993
2,"A Couple Minutes","Olivia Dean",125,5B,41,-,03:32,90,"pop soul","The Art of Loving",2025-09-26,56,71,0,16,0,30,-8,D#/E♭ Major,4,312z6PZ8wwREck8613PkJk,GBUM72503093
3,"End of Beginning","Djo",160,10B,45,-,02:39,98,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
4,"White Ferrari","Frank Ocean",109,8B,10,-,04:08,86,"","Blonde",2016-08-20,50,77,0,20,0,30,-16,C Major,4,2LMkwUfqC6S6s6qDVlEuzV,QZ5C81600014
5,"Funeral","Dermot Kennedy",107,9B,71,-,04:03,73,"","Funeral",2026-01-21,61,2,0,17,0,10,-5,G Major,4,3KcmK26eTYJ3Rz1Vb8qs5Z,USUG12509983
6,"Prizefighter","Mumford & Sons",117,9B,43,-,03:29,63,"folk, indie folk, folk rock","Prizefighter",2026-02-20,76,87,0,27,0,10,-9,G Major,4,0JdC30xwRfGCpmKe8o7ka0,GBUM72506323
7,"Raindance (feat. Tems)","Dave,Tems",107,3B,74,-,03:39,96,"grime, uk grime, uk drill, drill, afrobeats, afro r&b, alté, afrobeat","The Boy Who Played the Harp",2025-10-23,80,24,6,25,0,10,-7,C♯/D♭ Major,4,3oTuTpF1F3A7rEC6RKsMRz,GBUM72506029
8,"Staying","Lizzy McAlpine",136,12B,21,-,02:31,82,"","Older",2024-04-05,50,84,0,33,0,10,-11,E Major,4,3tcCT8WhAIeRW2Ey9M4bL5,USRC12301894
9,"You Stole The Show","SIENNA SPIRO",88,3B,22,-,03:27,85,"","You Stole The Show",2025-07-25,44,71,0,23,0,10,-8,C♯/D♭ Major,3,23ZdNaFSfH7VdSVU4U0Agb,USUG12504860
10,"doing my best","Hazlett",136,6B,31,-,03:02,70,"indie folk","last night you said you missed me",2025-09-12,66,58,4,19,0,10,-14,A#/B♭ Major,4,7t0ohvf7w4e8VacR124wbA,SE5262500102
