#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Mystery of Love","Sufjan Stevens",132,9A,27,2025-12-01,04:08,80,"baroque pop","Mystery of Love",2017-12-01,37,94,43,24,0,10,-17,E Minor,5,5GbVzc6Ex5LYlLJqzRQhuy,US64G1737302
2,"we fell in love in october","girl in red",130,9B,37,2025-12-01,03:04,2,"bedroom pop","we fell in love in october / forget her",2018-11-21,57,11,18,24,0,10,-13,G Major,4,1BYZxKSf0aTxp8ZFoeyM3d,GBKPL1828677
3,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2025-12-01,04:49,53,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,6IBZP4cjxLhiMbtLkFcBCO,USAT20903243
4,"Lavender Haze","Taylor Swift",97,6A,45,2025-12-01,03:22,72,"","Midnights",2022-10-21,74,23,0,10,0,10,-11,G Minor,4,5jQI2r1RdgtuT8S3iG8zFC,USUG12205734
5,"Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes","Olivia Rodrigo",141,10A,35,2025-12-01,03:25,73,"","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)",2023-11-03,41,83,0,20,0,10,-8,B Minor,4,56xHMIfQPoe0prrSi3BGhf,USUG12307028
6,"Apocalypse","Cigarettes After Sex",94,7B,47,2025-12-01,04:50,11,"dream pop","Cigarettes After Sex",2017-06-09,37,2,57,18,0,10,-9,F Major,4,0yc6Gst2xkRu0eMLeRMGCX,USBQU1700034
7,"Riptide","Vance Joy",102,3B,73,2025-12-01,03:24,8,"folk pop","Dream Your Life Away (Special Edition)",2014-09-08,48,43,0,51,0,10,-7,C♯/D♭ Major,4,3JvrhDOgAt6p7K8mDyZwRd,AULI01385760
8,"Wish You The Best","Lewis Capaldi",108,5B,48,2025-12-01,03:30,76,"soft pop","Broken By Desire To Be Heavenly Sent",2023-05-19,68,55,0,49,0,0,-4,D#/E♭ Major,4,3gdPwk2wyOXNRnTA1KXnEr,DEUM72206010
9,"Falling","Harry Styles",110,12B,27,2025-12-01,04:00,83,"","Fine Line",2019-12-13,57,84,0,6,0,0,-7,E Major,4,1ZMiCix7XSAbfAJlEZWMCp,USSM11912590
10,"Sweater Weather","The Neighbourhood",124,6B,81,2025-12-01,04:00,92,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
11,"hate to be lame","Lizzy McAlpine,FINNEAS",137,3A,25,2025-12-01,02:36,66,"","five seconds flat",2022-04-08,52,87,0,30,0,0,-13,A#/B♭ Minor,3,26MJjeJ0NSOQDKeZzrEFMl,GBKPL2280166
12,"Another Love","Tom Odell",123,9A,54,2025-12-01,04:04,88,"","Long Way Down (Deluxe)",2013-06-24,45,70,0,13,0,0,-9,E Minor,4,3JvKfv6T31zO0ini8iNItO,GBARL1300107
13,"Oh, Honestly","JeLa",133,8B,46,2025-12-01,03:39,35,"","Oh, Honestly",2025-11-21,61,17,0,49,0,10,-11,C Major,4,184NMBT5UxPetSTarCsFHp,QT6EA2550741
14,"Yellow","Coldplay",173,1B,66,2025-12-01,04:26,92,"","Parachutes",2000-07-10,43,0,0,28,0,20,-7,B Major,4,3AJwUDP919kvQ9QcozQPxg,GBAYE0000267
15,"Just Another Thing We Don't Talk About","Tom Odell",144,11B,17,2025-12-01,03:39,0,"","Best Day of My Life",2022-10-28,36,95,7,14,0,10,-13,A Major,4,2FjX5cfe8tBV4Qd6ELhUNf,QMUY42200018
16,"From the Dining Table","Harry Styles",94,4B,16,2025-12-01,03:31,71,"","Harry Styles",2017-05-12,67,80,5,20,0,10,-16,G#/A♭ Major,4,1IF5UcqRO42D12vYwceOY6,USSM11703961
17,"Love Me More","Sam Smith",85,6B,44,2025-12-01,03:10,58,"soft pop","Love Me More",2022-04-28,79,30,0,56,0,10,-6,A#/B♭ Major,4,16MQETUgqXwY4lZcyRafU3,GBUM72202088
18,"Only Got Ourselves To Blame","Michael Kirby & The Cottonmen,Steph Fraser",128,5B,63,2025-12-01,04:12,31,"","Only Got Ourselves To Blame",2025-11-26,63,58,0,82,0,10,-8,D#/E♭ Major,4,724u9NSuwdyXSLEkPYxehz,QT6EV2571355
19,"Easy On Me","Adele",142,7B,37,2025-12-01,03:44,78,"soft pop","Easy On Me",2021-10-14,60,58,0,13,0,10,-8,F Major,4,0gplL1WMoJ6iYaPgMCL0gX,USSM12105970
20,"Sailor Song (Cover)","Tanya Mezh",188,10B,48,2025-12-01,03:26,32,"","Sailor Song (Cover)",2025-10-03,24,70,0,47,0,10,-6,D Major,5,0Xk25h5ZqCbasmNLTHuMkh,RUAGT2593514
21,"Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Taylor Swift,Ed Sheeran",125,5B,49,2025-12-01,04:00,61,"soft pop","Red (Taylor's Version)",2021-11-12,61,82,0,44,0,30,-7,D#/E♭ Major,4,4IQkfUsrwXol38VV3U7t7T,USUG12103688
22,"rocket science","Madeline Martin",170,6B,61,2025-12-01,03:30,31,"","wish we never said goodbye",2025-10-31,47,4,0,30,0,10,-11,A#/B♭ Major,4,5fTVQqAU6nhwcNXTB5GZSA,QT6E82597430
23,"Fingers Crossed","Lauren Spencer Smith",109,7B,47,2025-12-01,02:55,71,"","Mirror",2023-07-14,56,62,0,44,0,30,-7,F Major,4,4wH7ZoqgETaACS9BlUkvuY,TCAFY2118876
24,"ocean eyes","Billie Eilish",145,9A,36,2025-12-01,03:20,81,"","dont smile at me",2017-12-22,51,82,3,17,0,0,-8,E Minor,4,7hDVYcQq6MxkdJGweuCtl9,US23A1500056
25,"Us","James Bay",70,8B,47,2025-12-01,03:01,70,"","Electric Light",2018-05-18,56,18,0,34,0,10,-4,C Major,4,16XiTUC2rQvb5lmtOm3FYY,USUM71801102
26,"exile (feat. Bon Iver)","Taylor Swift,Bon Iver",76,2B,37,2025-12-01,04:45,66,"","folklore (deluxe version)",2020-08-18,31,76,0,16,0,10,-8,F#/G♭ Major,4,5S4aYQAJOwJMAamANWlICO,USUG12002838
27,"First Call","Muni Norodom",115,6A,55,2025-12-01,02:57,32,"","First Call",2025-01-10,67,16,0,23,0,20,-9,G Minor,4,4j0QTGmNEYY86UUIiW3m6A,QZZ7W2472362
28,"If I Could Fly","One Direction",75,7B,25,2025-12-01,03:50,64,"","Made In The A.M. (Deluxe Edition)",2015-11-13,56,78,0,31,0,10,-9,F Major,4,5CRVwXGikmqzoRO6q7FeAg,GBHMU1500107
29,"House of the Rising Sun","Lauren O'Connell",171,9B,34,2025-12-01,03:05,51,"southern gothic","Covers",2012-10-29,42,51,82,49,0,30,-14,G Major,3,2tB5sTm4Lb8e6U0dNGuqtz,QMSAL1200021
30,"September","The Shins,James Mercer",202,10B,38,2025-12-01,03:33,38,"indie, indie pop, ","Port Of Morrow",2012-03-19,46,70,0,42,0,10,-9,D Major,4,5X1cvJi4Ja7zEYvNwA0LXZ,USSM11107171
31,"Falling Like The Stars","James Arthur",114,2B,35,2025-12-01,03:32,73,"soft pop","YOU",2019-10-18,55,79,0,17,0,10,-10,F#/G♭ Major,4,395KzBy0bkb57dEvg6cfzJ,DEE861901791
32,"Just Passing Through","MargoFitz",128,6A,38,2025-12-01,03:21,33,"","Just Passing Through",2025-10-14,66,21,0,40,0,10,-13,G Minor,4,5VD2yVp3tE19TaN5Ams0aQ,QT3FE2508138
33,"Cold Coffee","Ed Sheeran",93,2B,53,2025-12-01,04:14,48,"soft pop","5",2014-06-20,54,45,0,40,0,10,-7,F#/G♭ Major,4,4THoSHxiabL1rd59iVWu2T,GB6S41000009
34,"Come Home","Matt Goss,Helen Jane Long",170,11B,52,2025-12-01,03:29,32,"trance, ","Come Home",2025-11-16,43,76,0,17,0,10,-7,A Major,3,0d863vMtsDAv7ADtBJwj2m,GB8PA2510071
35,"Tell Her You Love Her - Acoustic","Echosmith",118,10B,20,2025-12-01,04:19,35,"","Acoustic Dreams",2014-06-10,47,61,0,24,0,10,-10,D Major,4,0rYu77VOY4piM7Hs88K5Kh,USWB11401144
