#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Jingle Bell Rock","Bobby Helms",120,10B,42,2026-01-06,02:10,55,"christmas","The Classic Years: 1956-1962",1992-01-01,75,64,0,81,0,0,-8,D Major,4,3hBXvHLlTHvnbwrPbeoyAj,USMC15746480
2,"All I Want for Christmas Is You","Mariah Carey",150,9B,63,2026-01-06,04:01,76,"christmas","Merry Christmas",1994-10-28,34,16,0,35,0,0,-7,G Major,4,0bYg9bo50gSsH3LtXe2SQn,USSM19400325
3,"It's Beginning to Look a Lot like Christmas","Michael Bublé",95,12B,21,2026-01-06,03:26,13,"christmas","Christmas (Deluxe Special Edition)",2012-11-09,34,91,0,36,0,30,-12,E Major,3,5a1iz510sv2W9Dt1MvFd5R,USRE11100700
4,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",134,3B,24,2026-01-06,01:57,70,"christmas, adult standards, big band, swing music","A Winter Romance",1959-01-01,45,91,0,70,0,10,-14,C♯/D♭ Major,4,2uFaJJtFpPDc5Pa95XzTvg,USCA25900140
5,"Last Christmas","Wham!",108,10B,48,2026-01-06,04:22,77,"christmas","LAST CHRISTMAS",1984-11-29,74,19,0,95,0,30,-12,D Major,4,2FRnf9qhLbvw8fu4IBXx78,GBBBM8400019
6,"Run Rudolph Run","Chuck Berry",152,6A,72,2026-01-06,02:45,64,"rockabilly, rock and roll","Rock 'N' Roll Rarities",1986-01-01,68,81,0,96,0,0,-11,G Minor,4,2pnPe4pJtq7689i5ydzvJJ,USMC15819663
7,"Santa Claus Is Coming to Town","Michael Bublé",122,6B,39,2026-01-06,02:51,4,"christmas","Christmas (Deluxe Special Edition)",2012-11-09,59,79,0,40,0,0,-7,A#/B♭ Major,4,1RMDXedcRno6rDBCbNHDJf,USRE11100701
8,"Deck The Hall","Nat King Cole",108,11B,44,2026-01-06,01:08,62,"christmas, adult standards, vocal jazz","The Christmas Song (Expanded Edition)",2018-09-21,68,74,0,96,0,20,-11,A Major,4,0rHToGels2lt8Y0mCYoF90,USCA29900552
9,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como,The Fontane Sisters,Mitchell Ayres & His Orchestra",113,9B,28,2026-01-06,02:35,63,"christmas, adult standards, ","Greatest Christmas Songs",1999-08-23,72,76,0,72,0,10,-12,G Major,4,2pXpURmn6zC5ZYDMms6fwa,USRC15106173
10,"Happy Holiday / The Holiday Season","Andy Williams",149,8B,40,2026-01-06,02:37,50,"christmas, adult standards","The Andy Williams Christmas Album",1963-00-00,46,83,0,70,0,10,-14,C Major,4,1Wf14bTyb6UeKojy8ykPYm,USSM10027541
11,"(There's No Place Like) Home for the Holidays - 1954 Version","Perry Como",78,8B,19,2026-01-06,02:51,44,"christmas, adult standards","Greatest Christmas Songs",1999-08-23,69,90,0,74,0,10,-13,C Major,4,5mKxNjNnRFpO9Muzw3Ug0u,USRC15408321
12,"Baby It's Cold Outside (with Michael Bublé)","Idina Menzel,Michael Bublé",113,8B,48,2026-01-06,02:46,59,"musicals, christmas","Holiday Wishes",2014-10-10,55,65,0,56,0,20,-9,C Major,3,0Ie5uiv54KgCr7P4sYDTHl,USWB11402616
13,"Snowman","Sia",105,3B,52,2026-01-06,02:45,79,"","Everyday Is Christmas (Deluxe Edition)",2018-11-01,72,43,0,34,0,0,-6,C♯/D♭ Major,3,7uoFMmxln0GPXQ0AcCBXRq,USAT21704212
14,"Frosty The Snowman","Ella Fitzgerald",77,4B,50,2026-01-06,02:11,58,"jazz, vocal jazz, swing music, big band, christmas","Ella Wishes You A Swinging Christmas (Expanded Edition)",1960-01-01,58,73,0,84,0,20,-8,G#/A♭ Major,4,65irrLqfCMRiO3p87P4C0D,USF096025350
15,"Silver Bells","Dean Martin",97,4B,26,2026-01-06,02:25,55,"christmas, adult standards, big band, swing music","The Dean Martin Christmas Album",1966-00-00,29,90,0,61,0,30,-14,G#/A♭ Major,3,4QX5pZQpQTgVlkqfUTDim0,USQX91301990
16,"Carol of the Bells (From  Home Alone  Soundtrack)","John Williams",47,1A,11,2026-01-06,01:25,66,"soundtrack, score","Home Alone (Original Motion Picture Soundtrack)",1990-00-00,42,99,3,80,0,10,-23,G#/A♭ Minor,4,4tHqQMWSqmL6YjXwsqthDI,USSM19912814
17,"Blue Christmas","Elvis Presley",95,12B,27,2026-01-06,02:09,0,"rockabilly, rock and roll","Elvis' Christmas Album",1957-00-00,47,90,0,58,0,10,-17,E Major,4,12LZZSvBjSV43XxpqD2WoH,USRC15701155
18,"Run Rudolph Run - Spotify Singles Holiday","Mark Ambor",140,1B,74,2026-01-06,02:35,60,"","Run Rudolph Run - Spotify Singles Holiday",2024-10-15,71,10,0,96,0,10,-7,B Major,4,6pheMGrfMwwnypqafU7d4k,USA2P2464345
19,"Have Yourself A Merry Little Christmas - Remastered 1999","Frank Sinatra",137,4B,14,2026-01-06,03:26,64,"christmas, big band, adult standards, swing music, jazz, vocal jazz","A Jolly Christmas From Frank Sinatra",1957-09,30,91,0,30,0,20,-15,G#/A♭ Major,4,2FPfeYlrbSBR8PwCU0zaqq,USCA29900549
20,"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",95,1B,51,2026-01-06,03:47,66,"","McCartney II (Special Edition)",1980-05-16,77,32,0,78,0,0,-9,B Major,4,1SV1fxF65n9NhRHp3KlBuu,GBCCS1000219
21,"Jingle Bells","Frank Sinatra",87,4B,38,2026-01-06,02:02,57,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Ultimate Christmas",2017-10-06,71,76,0,85,0,0,-11,G#/A♭ Major,4,4KV9bM7a1KDc7b7OakFZic,USCA29900545
22,"Santa Baby","Ariana Grande,Liz Gillies",96,8B,78,2026-01-06,02:50,54,"pop, christmas","Christmas Kisses",2013-01-01,75,5,0,78,10,20,-6,C Major,4,6YJdPrH3i2POzu7hdHIRrb,USUM71318549
23,"I'll Be Home for Christmas","Michael Bublé",83,9B,10,2026-01-06,04:24,50,"christmas","Christmas",2011-10-24,28,93,0,14,0,10,-15,G Major,4,0tXPhc8LvM4dPvoRwI66XQ,USRE11100712
24,"I'll Be Home For Christmas","Max McNown",92,11B,33,2026-01-06,03:21,41,"","I'll Be Home For Christmas",2024-11-01,54,64,0,23,0,0,-11,A Major,4,6qHC7PTkjgIZiFqCCLGPE3,QMGVJ2300183
25,"Feliz Navidad","José Feliciano",149,10B,83,2026-01-06,03:01,63,"christmas, bolero, villancicos","Feliz Navidad",2002-09-24,51,55,0,96,0,30,-9,D Major,4,0oPdaY4dXtc3ZsaG17V972,USRC17002573
26,"Rockin' Around The Christmas Tree","Brenda Lee",67,4B,47,2026-01-06,02:06,72,"christmas","Merry Christmas From Brenda Lee",1964-10-19,60,62,0,88,0,50,-9,G#/A♭ Major,4,2EjXfH91m7f8HiJN1yQg97,USMC15848998
27,"It's the Most Wonderful Time of the Year","Andy Williams",202,10B,53,2026-01-06,02:31,58,"christmas, adult standards","The Andy Williams Christmas Album",1963-00-00,23,87,0,65,0,10,-12,D Major,3,1IcR6RlgvDczfvoWJSSY2A,USSM16300086
28,"The First Noël","Andy Williams",81,8B,23,2026-01-06,03:08,51,"christmas, adult standards","The Andy Williams Christmas Album",1963-11-24,23,92,0,35,0,20,-11,C Major,3,1DvjCIefxg1YsdG3ETROph,USSM19912716
29,"Santa Tell Me","Ariana Grande",192,9B,62,2026-01-06,03:24,73,"pop","Santa Tell Me",2014-11-24,53,5,0,59,10,20,-7,G Major,4,0lizgQ7Qw35od7CYaoMBZb,USUM71417401
30,"Step Into Christmas - Remastered 1995","Elton John",140,10B,93,2026-01-06,04:32,63,"","Caribou (Remastered 1995)",1974-06-28,54,9,0,78,0,30,-6,D Major,4,11P4sSu6BH2lAbWk1sL6cK,GBAMB9500053
31,"O Christmas Tree (feat. Count Basie Big Band)","Tony Bennett,Count Basie Big Band",74,2B,10,2026-01-06,03:27,50,"vocal jazz, christmas, big band, adult standards, jazz, swing music","A Swingin' Christmas (feat. Count Basie Big Band)",2008-10-14,57,95,0,9,0,10,-14,F#/G♭ Major,4,2VsCE6ui7N4IRzGIGT7Di8,USSM10803559
32,"Holiday Road - Spotify Singles Holiday","Kesha",170,7B,88,2026-01-06,02:05,56,"","Holiday Road - Spotify Singles Holiday",2024-10-15,44,0,0,49,0,0,-6,F Major,4,6hZvOA9oBZZM812GNDLjEb,US38Y2426197
33,"Sleigh Ride","The Ronettes",92,10B,77,2026-01-06,03:06,66,"christmas","A Christmas Gift For You From Phil Spector",1963-00-00,53,40,0,85,0,30,-7,D Major,4,5ASM6Qjiav2xPe7gRkQMsQ,USSM10905166
34,"Santa, Can’t You Hear Me","Kelly Clarkson,Ariana Grande",146,1B,90,2026-01-06,04:02,63,"christmas, pop","When Christmas Comes Around...",2021-10-15,50,1,0,46,0,30,-2,B Major,4,2O3MQ6H3gjrIWDcpeTrikT,USAT22104760
35,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra,B. Swanson Quartet",142,10B,26,2026-01-06,02:35,64,"christmas, big band, adult standards, swing music, jazz, vocal jazz, ","Christmas Songs by Sinatra",1994-11-08,65,90,0,84,0,30,-13,D Major,4,4kKdvXD0ez7jp1296JmAts,USSM10018232
36,"Sleigh Ride","The Ronettes",92,10B,77,2026-01-06,03:01,33,"christmas","Caroling at Christmas",2019-11-09,53,40,0,85,0,30,-7,D Major,4,46UMwpkxyIwzqhsaONm4wf,USSM10905166
37,"Santa Baby","Laufey",106,9B,38,2026-01-06,03:02,61,"","A Very Laufey Holiday",2024-11-01,80,86,0,43,0,10,-9,G Major,3,4jHl6jgzZOnS4nGamPZ1Uk,QMDA62475902
38,"You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani,Blake Shelton",93,7A,87,2026-01-06,02:36,62,"country","You Make It Feel Like Christmas",2017-10-06,64,2,0,91,0,10,-4,D Minor,4,2OQ6a4CfUeYskpTTgyawyJ,USUM71708114
39,"The Christmas Song (Merry Christmas To You)","Nat King Cole",73,2B,21,2026-01-06,03:12,66,"christmas, adult standards, vocal jazz","The Christmas Song (Expanded Edition)",2018-09-21,32,92,0,21,0,10,-15,F#/G♭ Major,5,4PS1e8f2LvuTFgUs1Cn3ON,USCA29900551
40,"O Holy Night","Céline Dion",77,9B,30,2026-01-06,05:20,51,"variété française","These are Special Times",1998-10-30,16,72,0,6,0,0,-9,G Major,4,5547x0ZawobhfSeh2QKAca,CAC229800213
41,"Little Saint Nick - 1991 Remix","The Beach Boys",131,1B,55,2026-01-06,01:58,59,"baroque pop","The Beach Boys' Christmas Album",1964-11-09,60,11,0,97,0,0,-9,B Major,4,5xlS0QkVrSH7ssEbBgBzbM,USCA29100193
42,"Mistletoe","Justin Bieber",162,11A,56,2026-01-06,03:02,72,"","Under The Mistletoe (Deluxe Edition)",2011-01-01,66,50,0,85,0,0,-9,F#/G♭ Minor,4,7xapw9Oy21WpfEcib2ErSA,USUM71116290
43,"Christmas Tree Farm","Taylor Swift",134,9B,68,2026-01-06,03:48,62,"","Christmas Tree Farm",2019-12-06,60,6,0,44,0,30,-5,G Major,4,2mvabkN1i2gLnGAPUVdwek,USUG11904285
44,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon,Yoko Ono",146,10B,64,2026-01-06,03:34,68,"christmas","Signature Box",2010-10-05,32,28,0,41,0,70,-10,D Major,3,27RYrbL6S02LNVhDWVl38b,GBAYE1000862
45,"Have Yourself a Merry Little Christmas","Michael Bublé",69,11B,28,2026-01-06,03:50,49,"christmas","Christmas",2011-10-24,28,60,0,20,0,10,-11,A Major,3,1DnSNqCQM3LUxqFuXt184Q,USRE11100707
46,"Rockin' Around The Christmas Tree","Brenda Lee",67,4B,47,2026-01-06,02:06,72,"christmas","Merry Christmas From Brenda Lee",1964-10-19,60,62,0,88,0,50,-9,G#/A♭ Major,4,2EjXfH91m7f8HiJN1yQg97,USMC15848998
