#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Poison Tree","Grouper",111,1B,14,2024-08-05,03:16,0,"drone, ambient, slowcore, dream pop","Inca Ore / Grouper",2008-06-03,37,97,95,24,0,10,-23,B Major,4,6RDVwKLpBBEksWdp9jwBlD,ES7120810064
2,"you not the same","TileKid",67,8A,3,2024-08-05,02:08,72,"","you not the same",2021-03-05,10,97,86,12,0,0,-32,A Minor,4,4txrAyGAWA9JqZzoNHiPRh,USA2P2108466
3,"help_urself","Ezekiel",83,1B,62,2024-08-05,02:19,60,"hyperpop, breakcore","Ezekiel Singles ’18-‘20",2021-08-11,41,1,2,8,0,10,-10,B Major,4,6bxKECVRnkLmtpeU22Ve9p,QM42K2012954
4,"The Perfect Girl","Mareux",129,1A,89,2024-08-05,03:14,77,"darkwave, cold wave","The Perfect Girl",2021-12-08,49,0,82,26,0,10,-6,G#/A♭ Minor,4,5RBOcBpJXaNnHCGViJmYhh,QZF8N1986577
5,"Summertime","Mareux",150,3B,39,2024-08-05,03:37,57,"darkwave, cold wave","Predestiny",2020-04-17,50,7,22,13,0,10,-12,C♯/D♭ Major,4,109rpPw9mmFN1KhQ38zyt0,QZFP52051599
6,"snowfall (Sped Up)","Øneheart,reidenshi",214,4B,10,2024-08-05,01:50,60,"dark ambient, ambient","snowfall (Sped Up)",2022-06-03,31,89,89,6,0,40,-25,G#/A♭ Major,4,2kU3tL5BVXkFLefXLy8pBi,US3DF2252468
7,"dear bruce, i need to be honest and clear","bewttah,ciaffa",93,3B,1,2024-08-05,02:07,0,"","dear bruce, i need to be honest and clear",2023-12-09,35,85,90,3,0,0,-42,C♯/D♭ Major,4,1d3gOz7hazhPbYov43pUR9,IEWNY2342640
8,"scars","Novulent",84,11B,84,2024-08-05,01:35,67,"shoegaze","scars",2023-06-19,34,0,0,14,0,10,-5,A Major,4,016z46SJwcRosW9Xb8JKmF,QZMEN2335479
9,"Freaks","Surf Curse",180,11B,94,2024-08-05,02:27,86,"indie","Freaks",2021-05-15,35,0,63,41,0,0,-10,A Major,4,7EkWXAI1wn8Ii883ecd9xr,USAT22102269
10,"After Dark","Mr.Kitty",140,4B,60,2024-08-05,04:19,78,"witch house, darkwave","Time",2014-10-06,59,7,27,4,0,0,-10,G#/A♭ Major,4,2LKOHdMsL0K9KwcPRlJK2v,USY251660155
11,"Aerials","System Of A Down",79,5A,92,2024-08-05,03:55,84,"nu metal, metal, alternative metal, rap metal, rock","Toxicity",2001-09-04,36,0,3,23,0,0,-4,C Minor,4,4e9eGQYsOiBcftrWXwsVco,USSM10107264
12,"Covet","Basement",139,12B,80,2024-08-05,03:47,73,"midwest emo, shoegaze","Colourmeinkindness",2012-10-23,43,0,7,23,0,0,-6,E Major,4,1AMADyXgIWayh5vXLZo2qF,USQU71206102
13,"WASTE","KXLLSWXTCH",132,9B,12,2024-08-05,02:00,72,"trap metal","DISORDER",2021-10-29,63,86,0,11,0,10,-14,G Major,4,4NgherJDfCXWBZBYheM4jK,USUYG1393224
14,"Another Love","Tom Odell",123,9A,54,2024-08-05,04:04,88,"","Long Way Down (Deluxe)",2013-06-24,45,70,0,13,0,0,-9,E Minor,4,3JvKfv6T31zO0ini8iNItO,GBARL1300107
15,"SPIT IN MY FACE!","ThxSoMch",94,4B,79,2024-08-05,02:27,79,"","SPIT IN MY FACE!",2022-12-20,73,5,2,65,0,10,-7,G#/A♭ Major,4,1N8TTK1Uoy7UvQNUazfUt5,USAT22223103
16,"hotline (edit)","Billie Eilish",57,8A,25,2024-08-06,01:00,74,"","hotline (edit)",2023-05-09,52,82,86,30,0,10,-16,A Minor,4,0WFryfbNKPXVtVQlz5dZ8H,USUM72307244
17,"WWE: Visionary (Seth Rollins)","WWE,def rebel",112,7A,98,2024-08-07,02:24,1,"","WWE: Visionary (Seth Rollins)",2021-05-10,51,0,75,32,0,30,-5,D Minor,4,179pZIEqVbW4dwzWp4s1nj,USBAC2000283
18,"WWE: The Game (Triple H)","WWE,Motörhead",170,4B,94,2024-08-07,03:31,60,"heavy metal, metal, speed metal, hard rock, rock","WWE: The Game (Triple H)",2011-06-01,34,0,0,29,10,0,-7,G#/A♭ Major,4,35bgx24EQeW7IiA4nFXivH,USBAC1102001
19,"Jealous","Eyedress",93,8A,92,2024-08-08,02:02,56,"","Jealous",2019-12-06,47,0,85,70,0,40,-10,A Minor,4,1aXV8GrmQLvgoFtBPERP7E,GBMYF1900115
20,"Me and the Birds","Duster",120,1A,53,2024-08-08,01:35,68,"slowcore, shoegaze","Contemporary Movement",2000-08-22,48,75,6,22,0,50,-7,G#/A♭ Minor,4,4wEuNvb7oG8oZYrZPZ9rPr,US68F0509104
21,"The Lost Soul Down - Slowed & Reverb","NBSPLV",90,8B,52,2024-08-08,04:01,71,"","The Lost Soul Down (Slowed & Reverb)",2023-05-12,73,3,92,35,0,0,-10,C Major,4,5XtsfMFmpM401S6dbVaOQw,FRX762326812
22,"Young","Vacations",80,9B,81,2024-08-08,03:09,80,"","Vibes",2016-00-00,50,0,1,59,0,0,-4,G Major,4,1KIJclzEbNhSVw8tiHPWwE,SEYOK1669274
23,"Bring Me To Life","Evanescence",95,9A,94,2024-08-08,03:55,90,"alternative metal","Fallen",2003-03-04,33,1,0,30,0,20,-3,E Minor,4,0COqiPhxzoWICwFCS4eZcp,USWU30200093
24,"Little Dark Age","MGMT",98,2B,71,2024-08-08,04:59,79,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
25,"Enter Sandman","Metallica",123,11A,83,2024-08-08,05:31,18,"metal, thrash metal, rock, heavy metal, hard rock","Metallica",1991-08-12,58,0,1,60,0,0,-9,F#/G♭ Minor,4,5sICkBXVmaCQk5aISGR3x1,GBF089190013
26,"Basic Thugonomics","WWE,John Cena",88,3B,74,2024-08-08,03:14,52,"","WWE: Originals",2004-01-13,77,1,0,45,20,10,-6,C♯/D♭ Major,4,5UGZdhs8JOfap8hUYMOrGx,USBAC1010112
