#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Higher Love","Kygo,Whitney Houston",104,4B,68,2021-10-15,03:48,74,"tropical house, ","Higher Love",2019-06-28,69,2,0,40,0,10,-7,G#/A♭ Major,4,6oJ6le65B3SEqPwMRNXWjY,USRC11901901
2,"greedy","Tate McRae",111,11A,73,2023-12-23,02:11,87,"","greedy",2023-09-15,75,26,0,82,0,10,-3,F#/G♭ Minor,1,3rUGC1vUpkDG9CZFHMur1t,USRC12301932
3,"As It Was","Harry Styles",174,11A,73,2022-10-08,02:47,12,"","As It Was",2022-03-31,52,34,0,66,0,30,-5,F#/G♭ Minor,4,4LRPiXqCikLlN15c3yImP7,USSM12200612
4,"Cold Heart - PNAU Remix","Elton John,Dua Lipa,PNAU",116,3B,80,2022-08-27,03:22,80,"pop, ","The Lockdown Sessions",2021-10-22,80,4,0,93,0,0,-6,C♯/D♭ Major,4,6JIC3hbC28JZKZ8AlAqX8h,GBUM72104705
5,"You Don't Have To Worry","Sherman de Vries,Craig Smart,AnnicK",118,1A,55,2023-06-09,02:48,47,"tropical house, deep house, ","You Don't Have To Worry",2023-04-14,76,23,0,32,10,30,-11,G#/A♭ Minor,4,73e0ULAKy6j3YCDf6OJAQs,ATEK02377035
6,"Kill Bill","SZA",89,4B,73,2023-01-21,02:33,78,"r&b","SOS",2022-12-09,64,5,17,43,0,10,-6,G#/A♭ Major,4,3OHfY25tqY28d16oZczHc8,USRC12204584
7,"Secrets","Regard,RAYE",119,11A,77,2021-10-15,02:56,67,"","Secrets",2020-04-24,85,4,0,78,0,20,-5,F#/G♭ Minor,4,66W1rVTnEv86dIkFhoiElg,GBCEN2000044
8,"Where Are You Now","Lost Frequencies,Calum Scott",121,11A,64,2023-03-18,02:28,78,"tropical house, soft pop","Where Are You Now",2021-07-30,67,52,0,26,10,10,-8,F#/G♭ Minor,4,3uUuGVFu1V7jTQL60S1r8z,BEHP42100067
9,"The Motto","Tiësto,Ava Max",118,6A,76,2022-12-30,02:44,73,"edm, trance, big room, house, ","The Motto",2021-11-04,75,3,0,46,0,0,-5,G Minor,4,18asYwWugKjjsihZ0YvRxO,CYA112001070
10,"Flowers","Miley Cyrus",118,8B,68,2023-02-18,03:20,12,"","Flowers",2023-01-13,71,6,0,65,0,0,-4,C Major,4,0yLdNVWF3Srea0uzk55zFn,USSM12209777
11,"Where Have You Been","Sherman de Vries",120,11B,86,2023-10-14,02:29,58,"tropical house, deep house","Where Have You Been",2022-06-10,62,1,0,36,0,30,-8,A Major,4,7yAmvnQ1YN6wvORHa1bvaE,ATEK02277362
12,"Heartless","The Weeknd",170,3A,75,2024-02-25,03:18,79,"","After Hours",2020-03-20,54,2,0,25,10,10,-6,A#/B♭ Minor,4,6bnF93Rx87YqUBLSgjiMU8,USUG11904007
13,"Higher Power - Alyx Ander Remix","Coldplay,Alyx Ander",128,7A,81,2021-10-15,02:33,34,"","Higher Power (Alyx Ander Remix)",2021-07-05,67,6,0,62,0,30,-6,D Minor,4,2NAmYjYKmqYQzLxFtszJ9Z,GBAYE2100853
14,"Somewhere Over the Rainbow / What a Wonderful World","Robin Schulz,Alle Farben,Israel Kamakawiwo'ole",110,8B,60,2021-10-15,03:29,34,"tropical house, ","Somewhere Over the Rainbow / What a Wonderful World",2021-07-09,67,30,0,32,0,0,-8,C Major,4,5vqkbdqGgSYpLWSsOiXkrj,DEA622100636
15,"One More Night","DJ Scorpio",126,11A,76,2021-10-15,03:21,18,"future house","One More Night",2021-01-29,70,9,0,16,0,10,-5,F#/G♭ Minor,4,1l96SzD0psisaSDdcSZWj1,ATEK02077129
16,"Creepin' (with The Weeknd & 21 Savage)","Metro Boomin,The Weeknd,21 Savage",98,12A,61,2023-04-15,03:41,82,"","HEROES & VILLAINS",2022-12-02,72,39,0,16,0,0,-6,C♯/D♭ Minor,4,2dHHgzDwk4BJdRwy9uXhTO,USUG12208791
17,"Tell Me","Tinlicker,Helsloot,Hero Baldwin",124,4B,70,2021-10-15,03:23,57,"melodic house, progressive house, melodic techno, house","Tell Me (feat. Hero Baldwin)",2020-11-12,76,14,18,10,0,40,-9,G#/A♭ Major,4,6gOR8xTSQWEMfEJa7r52k7,NLE802000596
18,"Desire","Rayasa,Jacala,ENLIV3N",125,10B,59,2021-10-15,02:20,0,"deep house, tropical house","Desire",2021-09-24,44,32,6,9,0,10,-10,D Major,4,5vGCjaXDtBNuwDGo7MRIDe,QMFMF2106470
19,"Ride It","Regard",118,6A,75,2021-10-15,02:37,77,"","Ride It",2019-07-26,88,18,0,88,0,10,-4,G Minor,4,2tnVG71enUj33Ic2nFN6kZ,GBCEN1900047
20,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber,Daniel Caesar,GIVĒON",90,8B,70,2021-10-15,03:18,82,"r&b","Justice",2021-03-19,68,32,0,46,10,40,-6,C Major,4,4iJyoBOLtHqaGxP12qzhQI,USUM72102636
21,"I'll Wait","Kygo,Sasha Alex Sloan",123,3B,65,2021-10-15,03:35,59,"tropical house, ","Golden Hour",2020-05-29,61,15,0,35,0,10,-7,C♯/D♭ Major,4,1tuXOJYN6CkgubpifHEm96,SEBGA2000234
22,"Gone Are The Days (feat. James Gillespie)","Kygo,James Gillespie",120,12B,45,2021-10-15,03:16,0,"tropical house, ","Gone Are The Days (feat. James Gillespie)",2021-04-15,53,36,0,28,0,10,-9,E Major,4,1MGGLyAMVQo3T9gSEBJjyH,USRC12100639
