#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Santa Tell Me","Ariana Grande",192,9B,62,2024-07-03,03:24,73,"pop","Santa Tell Me",2014-11-24,53,5,0,59,10,20,-7,G Major,4,0lizgQ7Qw35od7CYaoMBZb,USUM71417401
2,"Snowman","Sia",105,3B,52,2024-08-22,02:45,79,"","Everyday Is Christmas (Deluxe Edition)",2018-11-01,72,43,0,34,0,0,-6,C♯/D♭ Major,3,7uoFMmxln0GPXQ0AcCBXRq,USAT21704212
3,"Jingle Bell Rock","Bobby Helms",120,10B,42,2024-08-22,02:10,71,"christmas","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)",1957-12-02,75,64,0,81,0,0,-8,D Major,4,7vQbuQcyTflfCIOu3Uzzya,USMC15746480
4,"All I Want for Christmas Is You","Mariah Carey",150,9B,63,2024-08-22,04:01,76,"christmas","Merry Christmas",1994-10-28,34,16,0,35,0,0,-7,G Major,4,0bYg9bo50gSsH3LtXe2SQn,USSM19400325
5,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",134,3B,24,2024-08-22,01:57,70,"christmas, adult standards, big band, swing music","A Winter Romance",1959-01-01,45,91,0,70,0,10,-14,C♯/D♭ Major,4,2uFaJJtFpPDc5Pa95XzTvg,USCA25900140
6,"It's Beginning to Look a Lot like Christmas","Michael Bublé",95,12B,21,2024-08-22,03:26,13,"christmas","Christmas (Deluxe Special Edition)",2012-11-09,34,91,0,36,0,30,-12,E Major,3,5a1iz510sv2W9Dt1MvFd5R,USRE11100700
7,"Last Christmas","Wham!",108,10B,58,2024-08-22,04:24,52,"christmas","George Michael & Wham! Last Christmas: The Original Motion Picture Soundtrack",2019-11-08,74,19,0,94,0,10,-9,D Major,4,38p8YDx5gepOiK4SnEfoB4,GBBBM8400019
8,"Merry Christmas Everyone","Shakin' Stevens",203,11B,90,2024-08-22,03:40,65,"christmas, rockabilly","Merry Christmas Everyone",1991-11-25,53,13,0,96,0,10,-3,A Major,4,2TE4xW3ImvpltVU0cPcKUn,GBARL0801716
9,"Feliz Navidad","José Feliciano",149,10B,86,2024-08-22,03:02,62,"christmas, bolero, villancicos","The Definite Best",2001-09-03,49,53,0,96,0,30,-7,D Major,4,7taXf5odg9xCAZERYfyOkS,USRC19900930
10,"Rockin' Around The Christmas Tree","Brenda Lee",67,4B,47,2024-11-06,02:06,72,"christmas","Merry Christmas From Brenda Lee",1964-10-19,60,62,0,88,0,50,-9,G#/A♭ Major,4,2EjXfH91m7f8HiJN1yQg97,USMC15848998
11,"Santa Claus Is Coming to Town","Michael Bublé",122,6B,39,2025-07-23,02:51,4,"christmas","Christmas (Deluxe Special Edition)",2012-11-09,59,79,0,40,0,0,-7,A#/B♭ Major,4,1RMDXedcRno6rDBCbNHDJf,USRE11100701
12,"Holly Jolly Christmas","Michael Bublé",151,8B,43,2025-10-11,02:01,65,"christmas","Christmas (Deluxe 10th Anniversary Edition)",2024-12-05,61,86,0,74,0,0,-9,C Major,4,6rqn19AqjcM5wgI1hCYciJ,USRE11300228
13,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen",140,8B,67,2025-10-11,04:27,62,"","Santa Claus Is Comin' to Town (Live at C.W. Post College, Greenvale, NY - December 1975)",1981-00-00,36,36,0,41,0,70,-8,C Major,4,6s2wpWPFPAgKg2LXxi1Oee,USSM17500461
14,"Have Yourself A Merry Little Christmas - Remastered 1999","Frank Sinatra",137,4B,14,2025-10-11,03:26,64,"christmas, big band, adult standards, swing music, jazz, vocal jazz","A Jolly Christmas From Frank Sinatra",1957-09,30,91,0,30,0,20,-15,G#/A♭ Major,4,2FPfeYlrbSBR8PwCU0zaqq,USCA29900549
