#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"BIRDS OF A FEATHER","Billie Eilish",105,10B,51,2026-03-17,03:30,94,"","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,D Major,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994
2,"Evergreen","Richy Mitch & The Coal Miners",79,5B,22,2026-03-17,01:27,83,"","RMCM",2017-05-17,56,56,0,50,0,10,-12,D#/E♭ Major,3,6me7F0aaZjwDo6RJ5MrfBD,SEYOK1732035
3,"Clocks","Alex Baker,Sahara Moon",100,6A,47,2026-03-17,03:50,66,"","Clocks",2023-07-12,59,13,6,18,0,0,-13,G Minor,4,7nqeKUkuQb3pIiNUas2FEV,FXQ892300185
4,"Something About You (with Rudimental) - Chill Mix","Elderbrook,Rudimental",106,11A,52,2026-03-17,02:46,61,"","Something About You (with Rudimental) [Alternate Versions]",2019-10-04,80,37,0,44,10,10,-8,F#/G♭ Minor,4,6sgqf4wXFWSAmjL1TEXNvZ,GBAYE1901212
5,"Feel This Way","Lonely in the Rain,Panama",124,6B,41,2026-03-17,03:40,59,"","Feel This Way",2021-11-03,76,53,13,5,10,10,-14,A#/B♭ Major,4,5vOUYERtWnw7CfrxktLrK2,FXQ892100077
6,"Stay","PLÜM",135,12A,67,2026-03-17,02:54,62,"","Stay",2022-12-09,70,1,70,35,0,40,-8,C♯/D♭ Minor,4,2LnlsuPFsJI2ZhSR0UadVB,FXQ892200457
7,"Alone","Petit Biscuit",116,1B,75,2026-03-17,04:33,60,"","Alone",2015-05-18,77,60,87,17,0,10,-10,B Major,4,4p1NHiFP4PfV7eW1183Ej9,FR9W11505678
8,"No Surprises","Radiohead",76,7B,39,2026-03-17,03:49,87,"art rock, alternative rock","OK Computer",1997-05-28,26,6,0,12,0,10,-11,F Major,4,10nyNJ6zNy2YVYLrcwLccB,GBAYE9700386
9,"Die For You","Joji",148,4B,52,2026-03-17,03:31,5,"","SMITHEREENS",2022-11-04,47,38,13,15,0,20,-7,G#/A♭ Major,4,26hOm7dTtBi0TdpDGl141t,USWB12203732
10,"Cut My Hair","Mounika.,Cavetown",75,6B,30,2026-03-17,02:07,0,"lo-fi beats, bedroom pop","How Are You",2017-06-24,82,32,1,29,10,0,-14,A#/B♭ Major,4,3DYZKxjG8SZrWpVcoUilqQ,CH6541722273
