#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Car's Outside","James Arthur",150,11B,56,2024-07-29,04:09,83,"soft pop","YOU",2019-10-18,34,4,0,26,0,10,-7,A Major,4,0otRX6Z89qKkHkQ9OqJpKt,DEE861903416
2,"Friends","Chase Atlantic",107,10A,61,2024-07-29,03:50,85,"","Nostalgia - EP",2015-02-21,33,1,0,8,0,10,-6,B Minor,3,7uDUb37h7Xdhza1eWMkoJv,GBLFP1508173
3,"Sweater Weather","The Neighbourhood",124,6B,81,2024-07-29,04:00,92,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
4,"505","Arctic Monkeys",140,8B,85,2024-07-29,04:13,84,"indie, garage rock","Favourite Worst Nightmare (Standard Version)",2007-04-24,52,0,0,23,0,0,-6,C Major,4,58ge6dfP91o9oXMzq3XkIS,GBCEL0700074
5,"Say Yes To Heaven","Lana Del Rey",100,11A,35,2024-07-29,03:29,86,"","Say Yes To Heaven",2023-05-19,49,68,17,14,0,10,-12,F#/G♭ Minor,4,6GGtHZgBycCgGBUhZo81xe,GBUM72304301
6,"Look After You","The Fray",78,11A,59,2024-07-29,04:26,82,"","How To Save A Life",2005-09-13,45,6,0,28,0,10,-3,F#/G♭ Minor,4,5l6hpyTGBK0LAAxgPnqTQL,USSM10503843
7,"Let Me Down Slowly","Alec Benjamin",150,12A,56,2024-07-29,02:49,83,"","Narrated For You",2018-11-16,65,74,0,48,0,10,-6,C♯/D♭ Minor,4,2qxmye6gAegTMjLKEBoR3d,USAT21802284
8,"Arcade","Duncan Laurence",72,8A,35,2024-07-29,03:05,77,"","Small Town Boy (Track By Track)",2020-11-12,45,83,0,28,0,10,-12,A Minor,3,1J14CdDAvBTE1AJYUOwl6C,NL1TK1900001
9,"Duvet - Sped Up Version","bôa",105,12A,84,2024-07-29,03:02,63,"","Duvet",2023-03-17,59,27,0,65,0,10,-9,C♯/D♭ Minor,4,0wEeW8Bwr0fHXuS2zLiDXk,CAN112300456
10,"Maalesef","Mansur Ark",110,11A,80,2024-07-29,04:22,62,"turkish pop","Mansur Ark",1997-08-19,77,9,0,96,0,0,-9,F#/G♭ Minor,4,2Bn3E90Aq8yFcRJDpZdzCo,TR2170600260
11,"VVS","Ero",101,5A,49,2024-07-29,02:41,54,"turkish hip hop, drill","MENTALITE",2022-04-29,74,14,84,33,10,10,-14,C Minor,4,2l0tMKktyIzbamvyj54LYn,TRA162200082
12,"Değmesin Ellerimiz","Model",100,7A,76,2024-07-29,04:27,69,"turkish pop, anatolian rock","Diğer Masallar",2011-02-16,62,12,0,56,0,20,-7,D Minor,3,0RoQ5sk1Z9PH2xki3gv5hO,TR9491100003
13,"Mind Over Matter (Reprise)","Young the Giant",152,8B,49,2024-07-29,03:50,75,"","Mirrorball / Mind Over Matter (Reprise)",2015-04-18,39,23,0,30,0,10,-6,C Major,4,77KnJc8o5G1eKVwX5ywMeZ,USAT21405325
14,"People You Know","Selena Gomez",150,1A,62,2024-07-29,03:14,76,"","Rare",2020-01-10,70,9,0,62,0,10,-8,G#/A♭ Minor,4,63mdJr3NMY3wReOkNE6c6W,USUM71923485
15,"Moral of the Story","Ashe",120,6B,40,2024-07-29,03:21,31,"","Ashlyn",2021-05-07,57,59,0,27,0,10,-9,A#/B♭ Major,4,69HzZ3ti9DLwb0GdWCGYSo,USQE91500884
16,"Those Eyes","New West",120,12B,35,2024-07-29,03:40,83,"","Based On A True Story...",2023-10-20,59,71,0,25,0,30,-8,E Major,3,2psRActEWsTlYYd7EDoyVR,TCAEE1990215
17,"Daddy Issues","The Neighbourhood",85,6B,52,2024-07-29,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
18,"Cinnamon Girl","Lana Del Rey",92,11A,34,2024-07-29,05:00,90,"","Norman Fucking Rockwell!",2019-08-30,29,81,41,14,0,10,-11,F#/G♭ Minor,5,2mdEsXPu8ZmkHRRtAdC09e,GBUM71903147
19,"Softcore","The Neighbourhood",94,8A,57,2024-07-29,03:26,86,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,57,5,0,37,0,20,-6,A Minor,4,2K7xn816oNHJZ0aVqdQsha,USSM11800523
20,"Heather","Conan Gray",102,7B,43,2024-07-29,03:18,85,"","Kid Krow",2020-03-20,36,58,0,27,0,30,-7,F Major,3,4xqrdfXkTW4T0RauPLv3WA,USUM71924264
21,"Don’t Blame Me","Taylor Swift",136,8A,53,2024-07-29,03:56,83,"","reputation",2017-11-10,62,11,0,19,0,0,-7,A Minor,4,1R0a2iXumgCiFb7HEZ7gUE,USCJY1750006
22,"MIDDLE OF THE NIGHT","Elley Duhé",186,9A,61,2024-07-29,03:04,76,"","MIDDLE OF THE NIGHT",2020-01-10,41,2,0,9,0,10,-8,E Minor,3,58HvfVOeJY7lUuCqF0m3ly,USRC11903813
23,"Set Fire to the Rain","Adele",108,7A,67,2024-07-29,04:02,83,"soft pop","21",2011-01-24,60,0,0,45,0,10,-4,D Minor,4,3di5hcvxxciiqwMH1jarhY,GBBKS1000348
