#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Bewitched","Laufey",139,3B,20,2024-12-13,04:06,69,"","Bewitched",2023-09-08,28,95,0,32,0,10,-12,C♯/D♭ Major,3,0pfpeTGQOWlGp6YUUbBD42,QMDA62312097
2,"Santa Tell Me","Ariana Grande",192,9B,62,2024-12-07,03:24,73,"pop","Santa Tell Me",2014-11-24,53,5,0,59,10,20,-7,G Major,4,0lizgQ7Qw35od7CYaoMBZb,USUM71417401
3,"Snow On The Beach (feat. Lana Del Rey)","Taylor Swift,Lana Del Rey",110,11B,32,2024-12-07,04:16,68,"","Midnights",2022-10-21,66,70,0,15,0,10,-14,A Major,4,1wtOxkiel43cVs0Yux5Q4h,USUG12205737
4,"Let You Break My Heart Again","Laufey,Philharmonia Orchestra",77,10B,14,2024-12-07,04:29,80,"opera, classical, orchestral","Let You Break My Heart Again",2021-08-13,30,97,11,12,0,10,-15,D Major,4,709p9UGPAuyImWf1Z3vjRo,TCAFR2175884
5,"Last Christmas","Wham!",108,10B,48,2024-12-07,04:22,77,"christmas","LAST CHRISTMAS",1984-11-29,74,19,0,95,0,30,-12,D Major,4,2FRnf9qhLbvw8fu4IBXx78,GBBBM8400019
6,"Mrs Magic (Strings Version)","Strawberry Guy",133,5B,35,2025-12-13,03:41,84,"bedroom pop","F Song & Mrs Magic (Strings Versions)",2023-10-04,24,97,75,7,0,10,-9,D#/E♭ Major,4,4iVj0UxqLlgrFWNdOnCwFS,GBJGV2300402
7,"Winter Wonderland - Spotify Singles Holiday","Laufey",128,10B,28,2024-12-07,02:12,63,"","Spotify Singles Holiday",2023-11-14,53,84,0,51,0,0,-10,D Major,4,1LmkdWSxjCV7wKTPsCvYWN,QMFME2359177
8,"I Love You, I'm Sorry - Live From Vevo","Gracie Abrams",117,6B,45,2024-12-07,03:24,66,"","The Secret of Us (Deluxe)",2024-10-18,45,64,0,19,0,0,-9,A#/B♭ Major,4,6Ova4U0AcZrDqTaP0BWDjg,USUG12407489
9,"Ice Dance","Danny Elfman",87,6B,11,2024-12-07,01:44,55,"soundtrack, score","Edward Scissorhands",1990-01-01,26,99,94,4,0,10,-23,A#/B♭ Major,4,6HH8ZoDIe5qw8EYTTHVZh7,USMC19034095
10,"Let The Light In (feat. Father John Misty)","Lana Del Rey,Father John Misty",132,11B,44,2024-12-07,04:38,78,"","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,34,39,0,20,0,10,-10,A Major,4,4qG7hWhljsqqENL5PaLA2z,GBUM72206754
11,"All I Want for Christmas Is You","Mariah Carey",150,9B,63,2024-12-07,04:01,76,"christmas","Merry Christmas",1994-10-28,34,16,0,35,0,0,-7,G Major,4,0bYg9bo50gSsH3LtXe2SQn,USSM19400325
12,"It's Beginning to Look a Lot like Christmas","Michael Bublé",95,12B,21,2024-12-07,03:26,13,"christmas","Christmas (Deluxe Special Edition)",2012-11-09,34,91,0,36,0,30,-12,E Major,3,5a1iz510sv2W9Dt1MvFd5R,USRE11100700
13,"seasons","wave to earth",60,9B,27,2024-12-07,04:15,34,"","summer flows 0.02",2020-08-04,37,78,5,17,0,20,-11,G Major,4,5VBjyOQzqlPNgdRPMM6prF,KRMIM2021578
14,"Lovesong","beabadoobee",128,7B,37,2024-12-07,04:05,65,"bedroom pop","Beatopia",2022-07-15,48,66,8,23,0,10,-10,F Major,4,2qkb3hhx8iCBvYzX9SvVxj,GBK3W2202096
15,"Promise","Laufey",76,7B,11,2024-12-07,03:54,83,"","Bewitched",2023-09-08,26,94,0,9,0,0,-17,F Major,4,08PdFBcXzpkn1cWNgmKqhn,QMDA62312092
16,"Have Yourself a Merry Little Christmas","Sabrina Carpenter",201,4B,24,2024-12-07,03:46,42,"pop","Have Yourself a Merry Little Christmas",2017-10-27,31,83,0,17,0,10,-11,G#/A♭ Major,3,3raNSxsive7mKRQvSAoAmE,USHR11738265
17,"lacy","Olivia Rodrigo",78,5B,37,2025-12-13,02:57,82,"","GUTS",2023-09-08,40,82,0,43,0,10,-8,D#/E♭ Major,4,6QT6j7rKt7Vk3IuV2AUO9W,USUG12304095
18,"Picture You","Chappell Roan",161,12B,47,2024-12-13,03:07,69,"","The Rise and Fall of a Midwest Princess",2023-09-22,35,40,0,28,0,10,-5,E Major,3,5KtvumPgVZmt8wg9xONE0T,USUG12305912
19,"I Told You Things","Gracie Abrams",118,7B,52,2024-12-13,03:41,70,"","The Secret of Us (Deluxe)",2024-10-18,64,90,0,43,0,10,-7,F Major,4,5V6mK1pEu22104f22m8KkX,USUG12406904
20,"Fade Into You","Mazzy Star",157,11B,33,2024-12-13,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
21,"December Song (I Dreamed Of Christmas)","George Michael",74,3B,33,2024-12-07,03:35,37,"","December Song (I Dreamed Of Christmas)",2011-01-01,41,70,0,14,0,10,-10,C♯/D♭ Major,4,2I6IeSyW701c7OP82Juhvo,GBBTZ0800001
22,"Heavy","The Marías",97,8B,41,2025-12-15,04:13,83,"bedroom pop","CINEMA",2021-06-25,76,33,75,73,0,0,-8,C Major,4,1ShRHPAiiIrh0arZbSFmx1,USAT22100694
23,"The Polar Express Main Theme (From  The Polar Express ) - Slowed Down Version","Speed Geek",139,11B,33,2024-12-07,03:12,35,"christmas","The Polar Express Main Theme (From  The Polar Express ) [Slowed Down Version]",2022-11-25,16,76,88,8,0,10,-12,A Major,4,1kcAmAKK8EcHXWuIPfafNg,QZWDD2294238
24,"Sunsetz","Cigarettes After Sex",75,8A,48,2024-12-07,03:35,0,"dream pop","Cigarettes After Sex",2017-06-09,41,6,80,14,0,10,-9,A Minor,4,4rxpJOCjFVNAren0NdgO6I,USBQU1700033
25,"Valentine","Laufey",83,5B,20,2024-12-07,02:48,78,"","Everything I Know About Love",2022-08-26,47,92,0,22,0,10,-13,D#/E♭ Major,4,6cx5CvFhqN19efStehJqoW,GBKPL2280365
26,"Have Yourself A Merry Little Christmas - Remastered 1999","Frank Sinatra",137,4B,14,2024-12-07,03:26,64,"christmas, big band, adult standards, swing music, jazz, vocal jazz","A Jolly Christmas From Frank Sinatra",1957-09,30,91,0,30,0,20,-15,G#/A♭ Major,4,2FPfeYlrbSBR8PwCU0zaqq,USCA29900549
