#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Fade Into You","Mazzy Star",157,11B,33,2025-08-20,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
2,"Dark Red","Steve Lacy",172,2B,78,2025-08-20,02:53,4,"","Dark Red",2017-02-20,60,45,0,78,0,10,-4,F#/G♭ Major,4,37y7iDayfwm3WXn5BiAoRk,GBKPL1778015
3,"Sunsetz","Cigarettes After Sex",75,8A,48,2025-08-20,03:35,7,"dream pop","Cigarettes After Sex",2017-06-09,41,6,81,13,0,10,-9,A Minor,4,0SpkyS1Q4MD8GaVcP5YjT4,USBQU1700033
4,"rises the moon","Liana Flores",137,4A,13,2025-08-20,02:41,82,"","recently",2019-04-10,48,95,14,20,0,10,-20,F Minor,3,51Grh1RyUDcMBbpuyUIUHI,QZDA61986777
5,"champagne problems","Taylor Swift",171,8B,24,2025-08-20,04:04,74,"","evermore",2020-12-11,46,92,0,32,0,10,-12,C Major,4,0sY6ZUTh4yoctD8VIXz339,USUG12004700
6,"Video Games","Lana Del Rey",124,11A,30,2025-08-20,04:44,36,"","Video Games",2011-10-16,34,79,0,20,0,0,-9,F#/G♭ Minor,4,4TH73NbUaMETiYeKVor3Hi,GBUM71107964
7,"Space Song","Beach House",147,5A,79,2025-08-20,05:20,76,"dream pop","Depression Cherry",2015-08-28,51,23,14,61,0,10,-7,C Minor,4,1ZgMsA55GIY7ICkQh5MILA,USSUB1512203
8,"Silver Soul","Beach House",135,10B,67,2025-08-20,04:58,68,"dream pop","Teen Dream",2010-01-25,36,46,0,11,0,20,-6,D Major,4,56eSclzdXaWU5jOJ7DX7Vp,GBBRP1022502
9,"Heather","Conan Gray",102,7B,43,2025-08-20,03:18,85,"","Kid Krow",2020-03-20,36,58,0,27,0,30,-7,F Major,3,4xqrdfXkTW4T0RauPLv3WA,USUM71924264
10,"Cigarette Daydreams","Cage The Elephant",114,10B,67,2025-08-20,03:28,0,"","Melophobia",2013-10-04,64,8,0,30,0,0,-3,D Major,4,6EThJr4Dq1Y93JspecGU2F,USRC11301169
11,"Kiss Me","Sixpence None The Richer",100,5B,75,2025-08-20,03:28,86,"","Sixpence None The Richer",1997-11-22,53,2,0,42,0,0,-7,D#/E♭ Major,4,754kgU5rWscRTfvlsuEwFp,USEE19900312
12,"Sofia","Clairo",113,8B,62,2025-08-20,03:08,9,"bedroom pop","Immunity",2019-08-02,74,60,0,64,0,20,-10,C Major,4,7B3z0ySL9Rr0XvZEAjWZzM,US4HB1900086
13,"Telescope","Cage The Elephant",94,8B,48,2025-08-20,03:48,59,"","Melophobia",2013-10-08,59,27,0,18,0,10,-5,C Major,4,5dyfHe3tR7wyzfuNo0uu3Y,USRC11301162
14,"Yellow","Coldplay",173,1B,66,2025-08-20,04:26,92,"","Parachutes",2000-07-10,43,0,0,28,0,20,-7,B Major,4,3AJwUDP919kvQ9QcozQPxg,GBAYE0000267
15,"Kids","Current Joys",113,2B,66,2025-08-20,04:29,2,"lo-fi indie","Kids",2015-03-08,83,51,40,90,0,0,-10,F#/G♭ Major,4,3pyyGVqWvRMq43qtJBzxe0,TCACS1677524
16,"Thank You","Dido",80,12A,58,2025-08-20,03:38,80,"","No Angel",1999-00-00,73,30,0,76,0,0,-10,C♯/D♭ Minor,4,3yUcJwYu7fXAfqMj9krY6l,USAR19900870
17,"Romantic Lover","Eyedress",184,8A,45,2025-08-20,01:26,0,"","Let's Skip to the Wedding",2020-08-07,66,70,92,54,0,20,-9,A Minor,4,44pBlSEASFjEdU3qEHhbFs,GBMYF2000011
18,"we fell in love in october","girl in red",130,9B,37,2025-08-20,03:04,2,"bedroom pop","we fell in love in october / forget her",2018-11-21,57,11,18,24,0,10,-13,G Major,4,1BYZxKSf0aTxp8ZFoeyM3d,GBKPL1828677
19,"I Love You So","The Walters",76,6B,67,2025-08-20,02:40,1,"","Songs for Dads",2014-11-28,58,65,0,50,0,10,-5,A#/B♭ Major,4,1175r6ZmkUjX8dRJLz9Ohk,TCACC1438995
20,"Mrs Magic","Strawberry Guy",133,4A,63,2025-08-20,03:28,0,"bedroom pop","Mrs Magic",2019-07-22,48,16,44,36,0,30,-7,F Minor,4,45BBlVHECwB0uNt7BsJ97r,GBJGV1900102
