#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Evergreen","Richy Mitch & The Coal Miners",79,5B,22,2025-09-26,01:27,83,"","RMCM",2017-05-17,56,56,0,50,0,10,-12,D#/E♭ Major,3,6me7F0aaZjwDo6RJ5MrfBD,SEYOK1732035
2,"leichter//kälter","Edwin Rosen",149,2A,69,2025-09-26,03:15,62,"german indie, german indie pop, neue deutsche welle","leichter//kälter",2020-01-20,61,4,56,66,0,20,-8,D#/E♭ Minor,4,05FN4XjxvZLo4qwmQC7yxh,QZFYX2099344
3,"Fundbüro (feat. Longus Mongus)","Von Wegen Lisbeth,Longus Mongus",120,3B,52,2025-09-26,03:16,39,"german indie, german indie pop, german pop, german hip hop","EZ Aquarii",2022-09-23,94,28,1,88,0,10,-11,C♯/D♭ Major,4,5JmAKddrtyG4ArqQsF9dEP,DEE862200796
4,"Worm in the Sun","alexsucks",134,2B,78,2025-09-26,02:41,47,"","Worm in the Sun",2025-02-28,46,3,0,72,0,0,-7,F#/G♭ Major,4,2LXluMwdeV2mA9uZnpxHcY,USWB12500355
5,"Roadrunner","Kwam.E,NARU",158,3B,76,2025-09-26,03:16,54,"german hip hop","Roadrunner",2019-09-06,82,12,0,81,20,0,-8,C♯/D♭ Major,4,5DTjY81sxyU3o2zVb5CFpR,FR96X1929736
6,"Purple Rain","Monk,BHZ",155,10A,56,2025-09-26,02:18,45,"german hip hop","Purple Rain",2023-03-31,89,36,0,76,30,10,-8,B Minor,4,3toIHllT6wfNPnf3GX2tH7,DEXK52300336
7,"Bienenstock","Caramelo",135,9A,68,2025-09-26,03:20,0,"cloud rap, german hip hop","Orange Mound",2017-04-20,77,37,0,46,0,10,-9,E Minor,4,0qzI1NkF9JoYClUhZw38Ap,FR2X41763571
8,"Schrei nach Liebe","Die Ärzte",161,7A,80,2025-09-26,04:12,66,"neue deutsche welle, german pop","Die Bestie in Menschengestalt",1993-10-04,36,13,0,41,0,30,-7,D Minor,4,4P4PHxZQ1FcwQKKnfEPsAZ,DEZ650506930
9,"(I Just) Died In Your Arms","Cutting Crew",124,10A,80,2025-09-26,04:31,45,"","(I Just) Died In Your Arms",1986-07-25,63,1,0,45,0,20,-9,B Minor,4,249kLpEdL7ztM39wdFq3j7,GB1209400370
10,"Marie, Marie","Graustufe West",90,10B,83,2025-09-26,03:26,48,"german indie, neue deutsche welle, german indie pop","Marie, Marie",2020-12-11,58,0,0,74,0,0,-7,D Major,4,1m18nUwdt5peUZT7643qwg,QZMEQ2003052
11,"The Adults Are Talking","The Strokes",165,7B,75,2025-09-26,05:09,83,"garage rock, indie rock, alternative rock","The New Abnormal",2020-04-10,59,1,11,65,0,30,-6,F Major,4,5ruzrDWcT0vuJIOMW7gMnW,USRC11902726
12,"What's My Age Again?","blink-182",158,2B,93,2025-09-26,02:26,44,"pop punk, punk, rock, skate punk, emo","What's My Age Again?",2005-01-01,40,2,0,49,0,10,-9,F#/G♭ Major,4,1KSEO0YEVET89SL0w1nMl8,USMCV0500037
13,"Alles aus Liebe","Die Toten Hosen",144,8B,80,2025-09-26,04:32,53,"german pop, neue deutsche welle","All die ganzen Jahre: Ihre besten Lieder",2011-11-11,45,2,0,37,0,0,-5,C Major,3,1MDUhJgzfYnYd8U1AytwFv,DEP610712531
14,"Dancing in the Moonlight","Toploader",119,6B,85,2025-09-26,03:45,33,"","Dancing in the Moonlight",2019-10-13,64,6,0,89,0,30,-3,A#/B♭ Major,4,0ZzcRVbh2w2GcVVa7b19Y0,GB1101901337
15,"Another Day in Paradise","Phil Collins",102,2A,32,2025-09-26,04:51,48,"soft rock","Another Day in Paradise",1989-01-01,76,83,1,42,0,0,-16,D#/E♭ Minor,4,0gOpqt2rzjshvqBzRdQoqR,USATV0100246
16,"Schietwetter & Korn","Chapo102,102 Boyz",148,2B,65,2025-09-26,03:16,19,"german hip hop, german indie","Schietwetter & Korn",2024-04-11,69,7,0,49,30,10,-8,F#/G♭ Major,4,1O0vknhsHbMk6x10GlqGRE,DEVX52400036
17,"Allein Allein","Polarkreis 18",132,6A,82,2025-09-26,04:00,63,"german pop","The Colour Of Snow",2008-01-01,46,0,1,10,0,60,-4,G Minor,4,4HyJ1VGNu3IszMV0sTsqKP,DEUM70804753
