#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Supercut","Lorde",125,8B,44,2025-08-02,04:37,79,"","Melodrama",2017-06-16,56,22,0,15,0,0,-10,C Major,4,6K8VQ84MqhsoakN5MjrnVR,NZUM71700072
2,"back to friends","sombr",93,3B,72,2025-08-02,03:19,91,"","back to friends",2024-12-27,44,0,0,24,0,0,-2,C♯/D♭ Major,4,0FTmksd2dxiE5e3rWyJXs6,USWB12405502
3,"undressed","sombr",116,8B,89,2025-08-02,03:02,82,"","undressed",2025-03-21,64,14,0,89,0,0,-4,C Major,4,4AajxCEwGEsmHmT4H1TwjY,USWB12500737
4,"we never dated","sombr",104,2B,87,2025-08-02,03:16,70,"","we never dated",2025-06-20,59,14,0,97,0,10,-5,F#/G♭ Major,4,7o3xJRQhpHRZ6IbyQX2xrp,USWB12501938
5,"Manchild","Sabrina Carpenter",123,9B,69,2025-08-02,03:33,87,"pop","Manchild",2025-06-05,73,12,0,81,0,30,-5,G Major,4,42UBPzRMh5yyz0EDPr6fr1,USUM72504354
6,"Team","Lorde",100,2B,58,2025-08-02,03:13,81,"","Pure Heroine",2013-09-27,69,17,0,41,10,30,-7,F#/G♭ Major,4,3G6hD9B2ZHOsgf4WfNu7X1,NZUM71300124
7,"party 4 u","Charli xcx",79,3B,52,2025-08-02,04:56,85,"hyperpop, art pop","how i'm feeling now",2020-05-15,58,76,0,25,10,60,-8,C♯/D♭ Major,4,2RdEC8Ff83WkX7kDVCHseE,GBAHS2000219
8,"when the party's over","Billie Eilish",83,12B,11,2025-08-02,03:16,85,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,37,98,0,20,10,0,-14,E Major,4,43zdsphuZLzwA9k4DJhU0I,USUM71815958
9,"Green Light","Lorde",129,10B,72,2025-08-02,03:54,78,"","Melodrama",2017-06-16,59,2,0,25,10,0,-8,D Major,4,6ie2Bw3xLj2JcGowOlcMhb,NZUM71700063
10,"traitor","Olivia Rodrigo",101,5B,34,2025-08-02,03:49,87,"","SOUR",2021-05-21,38,69,0,8,0,10,-8,D#/E♭ Major,4,5CZ40GBx1sQ9agT82CLQCT,USUG12101243
11,"She Moves In Her Own Way","The Kooks",153,9B,80,2025-08-03,02:49,74,"indie, indie rock","Inside In / Inside Out",2006-01-01,40,24,0,81,0,10,-5,G Major,4,5xoUgPXbMNUmoHU0Enwtwq,GBAAA0500835
12,"Naive","The Kooks",101,1A,81,2025-08-03,03:23,78,"indie, indie rock","Inside In / Inside Out",2006-01-01,39,8,0,74,0,10,-6,G#/A♭ Minor,4,7BHPGtpuuWWsvE7cCaMuEU,GBAAA0500836
13,"Mad Visions","Royal Blood",113,11A,67,2025-08-03,03:09,49,"garage rock, rock","Typhoons",2021-04-30,70,0,0,84,10,0,-5,F#/G♭ Minor,4,3S66ufJ1RdjOKf2azjXWjI,GBAHT2001127
14,"Take Me Out","Franz Ferdinand",104,11B,78,2025-08-03,03:59,54,"indie rock","Hits To The Head",2022-03-11,24,0,0,47,0,0,-4,A Major,4,57Jtg5hzX89L0eU4Q61SCS,GBCEL2100518
15,"Outside (feat. Ellie Goulding)","Calvin Harris,Ellie Goulding",128,7A,82,2025-08-03,03:47,88,"edm, ","Motion",2014-10-31,65,21,0,42,0,30,-4,D Minor,4,7MmG8p0F9N3C4AXdK6o6Eb,GBARL1401201
16,"This Is What It Feels Like","Armin van Buuren,Trevor Guthrie",130,4B,83,2025-08-04,03:24,73,"trance, progressive trance, progressive house, electronica, edm, ","Intense",2013-05-03,55,4,0,14,0,0,-5,G#/A♭ Major,5,5GjnIpUlLGEIYk052ISOw9,NLF711303312
17,"The Nights","Avicii",126,2B,84,2025-08-08,02:56,85,"edm","The Days / Nights",2014-01-01,53,2,0,65,0,20,-5,F#/G♭ Major,4,0ct6r3EGTcMLPtrXHDvVjc,CH3131340464
18,"Waiting For Love","Avicii",128,11A,74,2025-08-08,03:50,54,"edm","Stories",2015-10-02,58,31,0,61,0,20,-4,F#/G♭ Minor,4,2Zr5zgU9qEoOPvJbU0GScq,CHB701400134
19,"Better When I'm Dancin'","Meghan Trainor",128,10B,79,2025-08-08,02:56,70,"","Better When I'm Dancin'",2015-10-14,76,53,0,87,0,10,-7,D Major,4,5k5fWendNngd89O8JKoE8L,USSM11506387
20,"All I Want","Olivia Rodrigo,Disney",78,5A,43,2025-08-10,02:57,74,"","High School Musical: The Musical: The Series (Original Soundtrack)",2020-01-10,38,9,0,13,0,0,-7,C Minor,3,1v6svH1Fyx9C1nIt1mA2DT,USWD11995182
21,"Symphony (feat. Zara Larsson)","Clean Bandit,Zara Larsson",123,5A,63,2025-08-11,03:32,77,"","Symphony (feat. Zara Larsson)",2017-03-16,71,26,0,46,0,10,-5,C Minor,4,1x5sYLZiu9r5E43kMlt9f8,GBAHS1700199
22,"Titanium (feat. Sia)","David Guetta,Sia",126,5A,79,2025-08-11,04:05,67,"edm, ","Nothing but the Beat Ultimate",2011-08-24,60,7,15,30,10,10,-4,C Minor,4,2dOTkLZFbpNXrhc24CnTFd,GB28K1100036
