#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Arctic Refuge (Opening Theme)","Figure and Groove,Jarno Huhtanen",175,11B,4,2020-11-26,01:03,13,"orchestral","The Last Alaskans: Soundtrack",2016-07-28,10,98,99,4,0,10,-25,A Major,3,5SZVDWP70J0GLfENy8dnqg,USVQ61200146
2,"Prelude","George Winston",111,6B,4,2020-11-22,01:16,0,"new age","December",1982-00-00,46,97,86,42,0,10,-25,A#/B♭ Major,3,0S5otD31bPvXpyb1a3pthT,USWH18201024
3,"Winter Song","The Head And The Heart",172,7B,23,2020-11-22,02:43,0,"indie folk, folk pop, folk","The Head and the Heart",2011-01-11,54,83,0,32,0,10,-15,F Major,4,5cFDRqKjy6i1PbTVAlnDKD,USSUB1191508
4,"Tracks In the Snow","The Civil Wars",114,12B,12,2020-11-22,03:50,0,"southern gothic","Tracks In the Snow",2011-00-00,46,96,0,15,0,0,-14,E Major,4,5KsZSksgeYi3RxIoAAcy5l,USQX91301436
5,"Thanksgiving","George Winston",147,9A,5,2020-11-22,04:05,0,"new age","December",1982-01-01,38,99,90,9,0,10,-21,E Minor,3,1Yngco6ORQ8IlzCZwDN804,USWH18201021
6,"Jacob's Lullaby","Sarah Masen",174,10B,6,2020-11-22,02:29,2,"ccm, christian alternative rock, christian folk, christian rock","The Holding",1999-01-01,14,89,0,12,0,0,-20,D Major,3,2pCL7GCixzIj7sCvwCHKGA,USBR29962309
7,"An Ocean of Memories (From  Titanic  Soundtrack)","James Horner",66,8A,4,2020-11-22,07:58,20,"soundtrack, score","Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition",1997-00-00,6,97,77,4,0,30,-28,A Minor,3,3ZgCj7M0jObA19BxeFlv8f,USSM19702336
8,"Faded from the Winter","Iron & Wine",90,10B,34,2020-11-22,03:17,43,"indie folk","The Creek Drank the Cradle",2002-09-24,56,86,88,44,0,20,-12,D Major,4,1iEKswF6GudWnpM5kjHhmo,USSUB0311874
9,"Clair de lune","Claude Debussy,Alexis Weissenberg",135,3B,1,2020-11-22,05:47,62,"impressionism, classical, classical piano","Träumerei - Liebestraum - Für Elise - Clair de lune - Gymnopédie - Sony Classical Masters",2010-10-08,37,100,92,4,0,0,-25,C♯/D♭ Major,3,6kf7ZCJjEbjZXikivKOsvJ,USBC16800130
10,"Moonlight Sonata (1st Movement)","Junior dos Santos Silva",78,12A,2,2020-11-22,05:14,0,"","Betoven - Best Piano Pieces",2020-03-06,25,99,91,12,0,10,-29,C♯/D♭ Minor,3,1LNqr2FALBNFX1smNJcKD2,TCAER2090575
11,"","",144,7A,6,2020-11-22,00:00,0,"","",0000-00-00,22,99,95,5,0,10,-22,D Minor,3,4RuYDrJ4a2ybcEVkSy1xFB,
12,"","",152,2A,4,2020-11-22,00:00,0,"","",0000-00-00,50,99,93,14,0,10,-25,D#/E♭ Minor,4,3tbVwFLSct63LhbI2mU50s,
13,"A Nightingale Sang In Berkeley Square","Stan Getz,Bob Brookmeyer",96,3B,4,2020-11-22,06:59,57,"bossa nova, jazz, brazilian jazz, cool jazz, latin jazz, jazz ballads","Recorded Fall '61",1961-01-01,43,95,2,26,0,10,-25,C♯/D♭ Major,4,1xaTXPoDk4VOU9XhYX4KJM,USGR10001226
14,"Psalm 139 - Listen Louder Album Version","Sarah Masen",142,11B,45,2020-11-22,05:22,2,"ccm, christian alternative rock, christian folk, christian rock","Listen: Louder",1999-01-01,54,27,7,10,0,20,-11,A Major,4,3zddTyEaWUQqTRyp7CBZcW,USSP39912027
15,"Rest Your Head","George Winston",65,4B,7,2020-11-22,02:37,0,"new age","December",1982-00-00,58,99,91,12,10,10,-18,G#/A♭ Major,3,1i5Ots7hgLoG0avLXNuBul,USWH18201022
16,"Echo","Helen Jane Long",120,5B,13,2020-12-26,04:40,31,"","Porcelain",2007-06-04,43,98,94,5,0,10,-21,D#/E♭ Major,3,18lKGNyEiEyGva0KEGfuO9,GBELP0790008
17,"The Lost Words Blessing","Spell Songs,Julie Fowlis,Karine Polwart,Seckou Keita,Kris Drever,Rachel Newton,Beth Porter,Jim Molyneux,Kerry Andrew",86,4B,14,2021-01-20,04:06,45,"celtic, folk, traditional folk, ","Spell Songs",2019-07-12,40,84,0,9,0,30,-16,G#/A♭ Major,5,1c5Pmoh8KWedGYlu4wipPN,UKLMQ1900014
18,"We Will Feast in the House of Zion","Sandra McCracken",142,12B,42,2021-02-11,04:32,42,"christian folk, hymns, worship","Psalms",2015-04-14,44,77,0,17,0,10,-7,E Major,4,5NmoTlfakwip7oDOn4AvQZ,USFB71500002
19,"Re: Stacks","Bon Iver",125,10B,8,2021-11-14,06:41,67,"","For Emma, Forever Ago",2008-02-19,68,98,42,31,0,10,-23,D Major,4,20AC70RUlVz6A6dCcQ5tRS,US38Y0811509
20,"Little Love","Gabriel Kahane",81,9B,5,2021-11-26,03:12,35,"","Book of Travelers",2018-08-24,40,99,1,27,0,0,-17,G Major,3,34MI5WgHZyRNZXPUhf7Ggb,USNO11800313
21,"In a Bleak Mid Winter","Sarah McLachlan",177,5B,24,2021-12-18,03:46,23,"","Wintersong",2006-00-00,16,89,0,14,0,10,-11,D#/E♭ Major,4,0zZAPyXA3wNW9g5FXHygNX,USAR10600604
22,"River","The O'Pears",95,8A,11,2021-12-18,03:47,17,"","Stay Warm",2018-12-07,48,94,0,22,0,10,-12,A Minor,4,5pY2BdICq1aFh8kpW6NmTy,CAEK61800012
23,"Goodnight Moon","Eric Whitacre,Eric Whitacre Singers",75,9B,10,2022-09-26,05:13,32,"choral","Goodnight Moon",2018-07-20,20,99,85,4,0,10,-20,G Major,3,5gMwA9bFsg7j3sgl9dHIww,GB2BU1810004
24,"I'm Not Afraid","Ma and Pa",176,3B,13,2022-10-04,01:50,4,"indie folk","I'm Not Afraid",2021-07-21,31,98,0,20,0,10,-12,C♯/D♭ Major,3,7ul3hGY3DCjWCEDQxqLKvG,GX3Q92049609
25,"This Will Be Our Year","Lowland Hum",121,11B,25,2022-12-26,02:16,33,"indie folk","Singing Other People's Love Songs",2020-06-09,66,91,0,49,0,0,-10,A Major,3,3LPvSvPOv2z6FK4xyobePc,TCAES2031185
