#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"скоро зима","thekomakoma",130,7B,45,2024-12-05,01:34,22,"","скоро зима",2022-12-09,70,36,25,5,0,20,-9,F Major,4,12tabc3oc5ySzg9jUmWmv0,SE66N2257755
2,"Подих","АЗІЗА",87,9A,64,2025-11-16,02:37,32,"","Подих",2025-11-14,55,4,0,4,0,10,-6,E Minor,4,1TUKIrDitGCsXOTdzMl2Z8,QMFMF2572975
3,"Тьотя","Шугар",115,9A,72,2025-11-16,03:05,56,"","Тьотя",2024-04-11,74,8,0,60,0,30,-5,E Minor,4,69Agz1StFDBAQwJ2xgvGbF,UAEO12400080
4,"київ-нью-йорк","Liza Bibikova,BAH.ROMA",74,3A,42,2025-11-16,03:14,34,"","київ-нью-йорк",2025-04-18,27,55,0,24,0,10,-10,A#/B♭ Minor,4,1AVRmL5zK400J56dNJj0i1,QM6N22533288
5,"Леся","Maryna Krut",80,6A,61,2025-11-16,02:57,33,"","Літепло",2022-12-16,55,63,0,47,0,10,-9,G Minor,4,6YVPwRSKMr6SnOBtbdJa1m,FRX452291437
6,"Галіція","Khrystyna Soloviy",83,9A,62,2025-11-16,03:22,47,"","Галіція",2025-09-26,52,13,0,50,0,20,-6,E Minor,4,4yNvkYzXH9Sn3a5mvz4Elr,DGA052500850
7,"якщо це не по-справжньому","Nikow",110,4A,48,2025-11-16,03:11,60,"","живу-відстукує",2025-08-15,45,83,0,28,0,40,-7,F Minor,4,5eCPcBBWHxkTJPJ92K2SoB,QMDA72562719
8,"ЖАЛІ","Кажанна",111,8B,80,2025-11-16,02:14,46,"","ЖАЛІ",2024-05-30,72,31,0,46,10,0,-4,C Major,4,1Dv2mryPZodUxYKUua5Q6o,UAEO12400162
9,"Не Пʼяна - Закохана - за участі ансамблю «Кралиця»","Alena Omargalieva",172,9B,83,2025-11-16,03:43,63,"","Не Пʼяна - Закохана (за участі ансамблю «Кралиця»)",2025-11-14,67,20,0,21,10,20,-4,G Major,4,0stBh1b8Oyi7gW3MdQQSGs,UABM12500796
10,"Вдома","Liza Bibikova",138,8B,66,2025-11-17,02:11,30,"","Вдома",2025-07-23,66,7,0,19,0,10,-8,C Major,4,1NwJhv2u9rYtTXERNDDVgi,QMDA62529235
11,"Посилать","BRYKULETS",120,1A,83,2025-11-21,02:56,42,"","Лучше чим твій бивший",2025-05-16,76,37,0,84,0,30,-4,G#/A♭ Minor,4,3l5pPibm3dy5lXnjHG8jbW,FRX202597246
12,"Перестань","BRYKULETS",138,9A,46,2025-11-21,02:31,51,"","SekS",2022-10-27,85,31,0,44,40,10,-10,E Minor,4,5VbAZi5bYff4UI4hETYmPu,FRX872258736
13,"ти вір мені","Твій зайчик пише",118,6B,52,2025-11-22,02:19,15,"","Любов все врятує, навіть тебе...",2025-08-15,53,41,0,17,0,10,-8,A#/B♭ Major,4,7wUC3IZIIs7TBG0jo2OCVg,QMDA72527315
14,"boy","Кажанна",110,9A,78,2025-11-29,02:26,62,"","boy",2025-11-27,80,18,0,33,0,10,-4,E Minor,4,0Un8tNJLPWNoU3b7wXuSA2,QMFMG2550627
15,"Та сама","Tember Blanche",160,5B,61,2025-12-09,03:21,9,"","Та сама",2025-04-11,71,32,0,20,0,10,-8,D#/E♭ Major,4,1P3BdBJLHT3uZlXU3kniQ5,PL44J2516202
16,"Дівчина з Порнхабу","Сусіди Стерплять",145,7B,71,2025-12-13,02:46,44,"","З найглибших кутків",2024-03-05,67,1,0,83,0,30,-6,F Major,4,1yG9vcImeYhiH982i8T8WZ,USCGH2389590
17,"Серед зими","Adam",81,6A,39,2025-12-16,03:35,52,"","Серед зими",2024-02-04,55,77,0,25,0,10,-9,G Minor,4,68LUQ0a4LOFKdopV19hQfT,TCAHX2427137
18,"DZERKALO","ONUKA,The Maneken",115,6A,79,2025-12-17,04:14,29,"","DZERKALO",2025-12-05,76,32,2,31,0,10,-6,G Minor,4,30su7oW0JA4mc7tilWjO9T,DGA072534329
19,"Не знаю","Мія Рамарі",125,10A,86,2025-12-22,03:30,20,"","Не знаю",2025-09-26,68,1,0,82,0,10,-5,B Minor,4,1e6GrEKeOu89nwjMzXCmu4,QT4K42588768
20,"Вихідний","TVORCHI",120,11B,56,2026-01-01,02:44,38,"","Вихідний",2025-11-27,92,4,0,60,10,0,-6,A Major,4,06162BGVDbD8wsG7dMMBbi,UABM12500797
21,"Баштани","Maryna Krut,Phil It",106,6A,53,2026-01-03,03:10,41,"","Баштани",2025-08-26,40,67,0,34,0,30,-7,G Minor,3,1ultuLDrrteVddIQe1GnwY,UAEO12500374
22,"Лавандове поле","badactress",108,9A,58,2026-01-03,02:51,30,"","ПУРПУР",2025-05-16,80,36,1,56,10,10,-9,E Minor,4,2roBcrSNrxZ12Zx4NIEqjh,QM6P42522855
23,"Між Сірими Днями","Мія Рамарі",160,7A,85,2026-01-03,03:25,43,"","Між Сірими Днями",2025-03-21,52,7,0,40,0,30,-6,D Minor,4,29sPfvUPLHZsHcOnCny9ay,FR59R2586882
24,"ЧОМУ","Volodymyr Dantes",127,6B,50,2026-01-14,02:44,48,"","ЧОМУ",2025-11-12,75,38,0,61,0,10,-7,A#/B♭ Major,4,4mj7zAZwUpCDuPVdZEQlH3,UABM12500722
25,"Раз","АЗІЗА,гліб співає",165,2B,78,2026-01-24,02:24,26,"","Раз",2024-06-07,61,4,0,43,0,10,-5,F#/G♭ Major,4,3bhcgGE9v3GQJ5oOEkhwkH,QM6N22487319
26,"ЩАСТЯ","NAZVA",140,8A,67,2026-02-13,02:53,34,"","Паросток",2024-11-08,75,41,0,83,0,10,-7,A Minor,4,0t6BbGs6eh3jUr2W3sUlI9,QMDA72444334
27,"Мелодія","Epolets",110,2A,64,2026-03-16,04:47,42,"","Cult",2016-12-06,78,3,0,76,0,10,-8,D#/E♭ Minor,4,5f9Tu8xXIaeJEwC0tP6AsY,TCACM1654783
28,"Голос Поколінь","DYKYI",72,6B,39,2026-03-16,03:07,21,"","Голос Поколінь",2025-08-01,48,77,0,33,0,20,-9,A#/B♭ Major,4,0cO3QCQCnERL5xCn8Ynbqx,SE6XW2533393
29,"Забудуться жалі","Сусіди Стерплять,BaWN",130,8A,89,2026-03-16,02:42,46,"post-punk","Забудуться жалі",2025-06-19,58,23,0,55,0,10,-6,A Minor,4,3nInt0u5LFefcDp2yCZofc,SE6XX2555849
30,"Nich","LATEXFAUNA",87,10A,35,2026-03-16,03:50,38,"","Nich",2025-05-21,51,52,0,27,0,20,-10,B Minor,4,1dfi1Jv98IN75RVmohHLil,QM6P42512096
31,"Бувай — вже час","BAH.ROMA",100,1A,86,2026-03-16,05:55,34,"","Бувай — вже час",2025-05-23,34,0,0,13,0,10,-6,G#/A♭ Minor,4,5SrMl5kKgfDw5qniQ2zEzF,QM6P42579243
