#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"The Man","The Killers",106,11A,94,2025-12-14,04:10,68,"alternative rock","Wonderful Wonderful",2017-09-22,61,7,0,52,10,0,-3,F#/G♭ Minor,4,5aWhs651KYM26HYM16kRdk,USUM71705733
2,"Glitter","BENEE",117,9B,59,2025-12-14,03:00,64,"","FIRE ON MARZZ",2019-06-28,80,9,0,58,0,10,-5,G Major,4,23TPP1eeElFfvYVznskwCY,USUM71911687
3,"Wicked Games","Kiana Ledé",146,11A,44,2025-12-14,03:01,63,"","Selfless",2018-07-13,77,45,0,48,0,10,-7,F#/G♭ Minor,3,0TYhf0MgEj4YJaKwo5c4Km,USUM71809557
4,"Shivers","Ed Sheeran",141,10B,86,2025-12-14,03:27,83,"soft pop","=",2021-10-25,79,28,0,82,0,0,-3,D Major,4,50nfwKoDiSYg8zOCREWAm5,GBAHS2100671
5,"Angels Like You","Miley Cyrus",122,7B,64,2025-12-14,03:16,82,"","Plastic Hearts",2020-11-27,67,10,0,49,0,10,-4,F Major,4,1daDRI9ahBonbWD8YcxOIB,USRC12003754
6,"Unlearn (with Gracie Abrams)","benny blanco,Gracie Abrams",78,3B,21,2025-12-14,02:35,55,"","Unlearn (with Gracie Abrams)",2021-03-24,43,90,0,19,20,10,-12,C♯/D♭ Major,4,6GH4tLwGW6HliKbZBdt6hD,USUM72103598
7,"Earned It (Fifty Shades Of Grey)","The Weeknd",120,7A,28,2025-12-14,04:37,78,"","The Highlights",2021-02-05,66,43,0,39,0,0,-8,D Minor,3,1cQ3LIkZE68pMSnPhZWXLu,USUG11500923
8,"невинна я","CHERNETSKA",130,3B,68,2025-12-15,02:20,31,"","невинна я",2025-08-27,72,7,45,22,0,10,-9,C♯/D♭ Major,4,50nLagcNkCB5OMS2W6lhZO,FRX872547332
9,"hell of a good time","Haiden Henderson",130,12A,78,2025-12-22,02:41,63,"","hell of a good time",2024-03-15,77,1,0,84,0,10,-5,C♯/D♭ Minor,4,7132EFlbWFNX4mLDY23OR5,USUM72402787
10,"OFF MY FACE","Måneskin",120,10A,80,2025-12-22,02:29,67,"","RUSH! (ARE U COMING?)",2023-11-10,79,0,0,86,0,30,-3,B Minor,4,0cyQuiFTVaHM70y8xRsOWA,ITB002301343
11,"Гандзя","100лиця",103,11A,66,2025-12-23,03:37,55,"","Гандзя",2025-11-28,71,33,0,19,20,0,-5,F#/G♭ Minor,4,1xPNyPMjOqmbStqV5vSgxP,QMFMG2551459
12,"247","MANY",74,10A,78,2025-12-23,01:49,33,"","247",2025-12-05,66,36,0,75,10,20,-6,B Minor,4,2si6hXpMpueBbmsGt1im09,UABM12500850
13,"Lubyj, kohay mene","SMS",148,9A,92,2025-12-23,03:58,30,"","Telo",2010-08-31,66,26,0,97,0,0,-6,E Minor,4,00YsmC5eexq4RfPBoDw5kL,DEBL60966254
14,"Падав туман","SKYLERR",128,7A,64,2025-12-23,03:08,52,"","Падав туман",2025-07-03,80,30,0,66,10,0,-4,D Minor,4,4iDo6Oc2MYmMLW7nSizVlR,QMBZ92588742
15,"No Broke Boys","Disco Lines,Tinashe",131,12A,83,2025-12-26,02:43,93,"stutter house, alternative r&b","No Broke Boys",2025-06-06,77,34,11,96,0,0,-7,C♯/D♭ Minor,4,3cZajhyr8LmtPfHZ9296tj,USAT22504362
16,"I Run","HAVEN.,Kaitlin Aragon",138,1A,82,2025-12-26,02:09,87,"","I Run",2025-11-21,70,0,0,31,0,20,-3,G#/A♭ Minor,4,1WwQ714xuznu44tEnkem2g,CA5KR2603887
17,"Froid","Élise de Lune",110,8A,32,2026-01-04,03:16,51,"","Froid",2025-12-11,75,78,0,18,0,0,-10,A Minor,4,4kP7AnH2QEcTVy4gWCebzW,QT6FK2529872
