#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"first snow","Antent",214,2B,10,2025-12-01,02:05,55,"dark ambient, ambient","first snow",2022-12-30,18,91,84,3,0,0,-31,F#/G♭ Major,4,7MfK8US1oJ8XTER3jvfoK2,USANG2241163
2,"hope to see you again","Antent",78,1B,6,2025-12-01,02:27,66,"dark ambient, ambient","hope to see you again",2023-02-10,43,99,90,12,0,10,-29,B Major,4,3vfYc2JwOEhV8Rr1RxBlGu,USANG2253928
3,"the warmth that stayed","Antent,Nectry,dvw logic",141,12B,27,2026-02-26,02:57,38,"dark ambient, ambient","places we'll go",2026-02-27,45,94,92,19,0,10,-23,E Major,3,3uWUpx4B5AloEavrSb8jza,FR10S2681852
4,"if it was right","Antent,Nectry,thedeathlysilence",70,3B,9,2026-01-22,02:22,39,"dark ambient, ambient, ","if it was right",2026-01-23,39,93,84,4,0,0,-23,C♯/D♭ Major,3,2cgqE1Pu7V0xeboA5R1T9R,DGA082574306
5,"requiem for a dream","lonelyfeels",136,10A,15,2026-02-12,02:15,25,"dark ambient, ambient","requiem for a dream",2026-02-13,15,96,93,13,0,10,-31,B Minor,5,03413PuMWRGRCDJ6cXa1mf,DGA072584780
6,"still feel the same","Antent,Nectry,Wilee",180,8B,23,2026-02-26,02:50,35,"dark ambient, ambient, phonk, drift phonk","places we'll go",2026-02-27,25,94,84,6,0,0,-20,C Major,4,2gzUqUxRzdTk6SK61frY1I,FR10S2681854
7,"wish","hide your tears",83,9B,4,2026-01-16,01:55,24,"ambient, dark ambient","wish",2026-01-16,26,98,86,4,0,0,-34,G Major,3,58ref4DUiBZQ3DWoPYhSYg,DGA082523897
8,"places we'll go","Antent,Nectry",180,6A,7,2026-02-26,03:33,36,"dark ambient, ambient","places we'll go",2026-02-27,28,94,93,4,0,10,-25,G Minor,3,0QRUU5zzNw59czgjd5dJy8,FR10S2681853
9,"your eyes","lonelyfeels",75,1B,0,2026-01-30,01:48,21,"dark ambient, ambient","your eyes",2026-01-30,49,98,92,10,0,0,-33,B Major,4,3Sx6K9sxaVbUUYxaRPQ9d7,DGA072590441
10,"stay for a while","Antent,Nectry",166,1B,23,2026-02-26,02:48,36,"dark ambient, ambient","places we'll go",2026-02-27,46,82,77,16,0,10,-20,B Major,5,1dNAohTMDdel0uuPG8rPKR,FR10S2681855
