#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Empathy","Crystal Castles",110,6B,91,2023-04-09,04:09,0,"witch house, electroclash, new rave, alternative dance","(II)",2011-01-01,51,13,46,33,0,40,-6,A#/B♭ Major,4,1L0EA6BegmM4KMwTHmSHux,GBUM71001708
2,"Dark Beach","Pastel Ghost",130,9B,92,2022-06-19,03:42,3,"witch house, darkwave","Abyss",2015-03-10,53,28,59,15,0,0,-7,G Major,4,5QmdK8QFbY8TLVKPuJzexD,QM6XS1704798
3,"The Perfect Girl","Mareux",129,1A,89,2022-06-19,03:14,77,"darkwave, cold wave","The Perfect Girl",2021-12-08,49,0,82,26,0,10,-6,G#/A♭ Minor,4,5RBOcBpJXaNnHCGViJmYhh,QZF8N1986577
4,"going quietly","Ezekiel",81,8A,52,2023-05-21,03:34,56,"hyperpop, breakcore","Ezekiel Singles ’18-‘20",2021-08-11,19,0,92,28,0,20,-11,A Minor,5,7Dfy5ldWfkX8XTbpxYEuob,QM42K2046016
5,"Genesis","Grimes",166,3A,68,2023-05-21,04:15,75,"art pop","Visions",2012-03-12,61,8,7,23,0,20,-7,A#/B♭ Minor,4,0yljUudXzjVcGEoYmLB17X,CA21O1200002
6,"Kerosene","Crystal Castles",116,4B,55,2023-05-07,03:12,62,"witch house, electroclash, new rave, alternative dance","(III)",2012-01-01,52,8,0,9,0,10,-9,G#/A♭ Major,4,6E1YebXpPPtujMUljDNlOo,GBUM71206687
7,"Change (In the House of Flies)","Deftones",142,6A,85,2023-01-03,04:59,83,"nu metal, alternative metal, rap metal, shoegaze, rock","White Pony",2000-00-00,27,0,0,18,0,10,-5,G Minor,4,51c94ac31swyDQj9B3Lzs3,USMV20000039
8,"help_urself","Ezekiel",83,1B,62,2021-12-29,02:19,60,"hyperpop, breakcore","Ezekiel Singles ’18-‘20",2021-08-11,41,1,2,8,0,10,-10,B Major,4,6bxKECVRnkLmtpeU22Ve9p,QM42K2012954
9,"Leni (Crystal Castles vs GoodBooks)","GoodBooks,Crystal Castles",120,11A,64,2022-08-23,04:16,69,"witch house, electroclash, new rave, alternative dance","Control Freaks (The Remixes)",2021-11-18,64,6,0,55,0,0,-7,F#/G♭ Minor,4,6slWUMiyoNNWcQGu6tkTlH,TCAFX2138511
10,"Aleph","Gesaffelstein",162,4B,89,2023-05-21,04:46,60,"","Aleph",2013-10-28,49,3,91,37,0,0,-6,G#/A♭ Major,4,0W2275seLSrfjHxeWmDb6l,FRZ111300562
11,"Embrace","Pastel Ghost",128,5A,91,2023-05-21,03:24,1,"witch house, darkwave","Abyss",2015-03-10,52,16,62,17,0,20,-6,C Minor,4,1PZeAjfBkRX2J7bN5o1KQ1,QM6XS1704794
12,"Goth","Sidewalks and Skeletons",115,3B,70,2022-12-10,03:27,77,"witch house, darkwave","White Light",2015-03-05,56,0,59,17,0,10,-9,C♯/D♭ Major,4,0uMZbmAAgOhdMrv25iPEH6,USCGH1585915
13,"Seventeen","Ladytron",120,4B,79,2021-12-29,04:37,0,"electroclash, alternative dance, synthpop","Light & Magic",2002-00-00,64,0,35,79,0,10,-8,G#/A♭ Major,4,106R0orU4XC4tFbugFfRzT,CAN111000309
14,"Alien Blues","Vundabar",82,5B,76,2023-01-03,02:35,78,"","Gawk",2015-07-24,47,8,91,43,0,0,-5,D#/E♭ Major,4,11iIikXxC6NP0Ma8vMD27x,USDY41567486
15,"Little Bit","Lykke Li",120,9B,74,2021-12-29,04:33,68,"","Youth Novels",2008-06-06,82,16,0,70,0,10,-7,G Major,4,0Ps4Eh6SQjeLnubbCsQTDD,SEVUM0700701
16,"Freak Show","Punkinloveee,H3artcrush",138,1A,83,2021-12-29,02:05,2,"hyperpop, ","Freak Show",2020-06-09,67,1,0,68,10,40,-6,G#/A♭ Minor,4,2Rb6nYmuLEblpq4KIAjngL,QZHN62062201
17,"Crimewave","Crystal Castles,HEALTH",120,9A,69,2021-12-29,04:18,5,"witch house, electroclash, new rave, alternative dance, noise rock, industrial, industrial rock, industrial metal","Crystal Castles",2008-03-16,74,20,3,88,0,20,-8,E Minor,4,7dxQFzp8zZzgDkaYEXQZIv,GBRQQ0700001
18,"Rhinestone Eyes","Gorillaz",93,1A,70,2021-12-29,03:20,78,"","Plastic Beach",2010-03-03,68,9,0,85,0,0,-6,G#/A♭ Minor,4,1foMv2HQwfQ2vntFf9HFeG,GBAYE1000017
19,"Bad Things","Cults",114,12A,73,2022-01-01,03:38,56,"","Cults",2011-05-23,29,37,32,29,0,20,-7,C♯/D♭ Minor,4,1caFMoQlQyF5JHvfPNe49E,GBARL1100250
20,"All The Things She Said","t.A.T.u.",180,4A,83,2022-05-22,03:34,87,"","200 KM/H In The Wrong Lane (10th Anniversary Edition)",2002-00-00,53,4,1,38,0,10,-6,F Minor,4,4bJygwUKrRgq1stlNXcgMg,RUA110100098
21,"After Dark","Mr.Kitty",140,4B,60,2022-05-25,04:17,2,"witch house, darkwave","Time",2014-08-08,58,7,41,4,0,0,-10,G#/A♭ Major,4,0zCgWGmDF0aih5qexATyBn,GBKPL1412568
22,"Vanished","Crystal Castles",120,5A,87,2022-05-25,04:02,0,"witch house, electroclash, new rave, alternative dance","Crystal Castles",2008-03-18,71,0,0,64,0,20,-7,C Minor,4,0exOxvY3iHsmAnGHiJYAZq,CAL450896208
23,"Apocalypse","Cigarettes After Sex",94,7B,47,2022-05-26,04:50,4,"dream pop","Cigarettes After Sex",2017-06-09,37,2,46,17,0,10,-9,F Major,4,3AVrVz5rK8Hrqo9YGiVGN5,USBQU1700034
24,"Jealous","Eyedress",93,8A,92,2022-06-01,02:02,56,"","Jealous",2019-12-06,47,0,85,70,0,40,-10,A Minor,4,1aXV8GrmQLvgoFtBPERP7E,GBMYF1900115
25,"Where Is My Mind?","Pixies",81,12B,44,2022-06-20,03:49,75,"alternative rock","Death to the Pixies",1997-10-06,51,1,0,24,0,0,-14,E Major,4,0KzAbK6nItSqNh8q70tb0K,GBAFL9700100
26,"Treehouse","Alex G",73,6A,20,2022-07-16,02:38,0,"","Treehouse",2021-10-22,61,69,37,13,0,10,-20,G Minor,4,7pj46Yg9cILCZ2PcZEblkD,QZNWV2121566
27,"Devil Town","Cavetown",100,5B,76,2022-07-20,02:59,72,"bedroom pop","Cavetown",2015-11-09,58,12,0,50,0,10,-8,D#/E♭ Major,4,0vf2eBw2inhl8y61cYQMv2,TCADM1818860
28,"I Can't Handle Change","Roar",186,7B,44,2022-10-26,03:18,3,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,0I1eFRytp4XRhLCjT6tZm7,USHM81020595
29,"Break It Off - Bonus","PinkPantheress",172,10A,90,2022-10-26,01:36,77,"bedroom pop","to hell with it",2021-10-15,55,0,0,75,10,0,-5,B Minor,4,78ul3D77noQsYjSwvwiPU1,GBAYE2101306
30,"Little Dark Age","MGMT",98,2B,71,2023-01-03,04:59,79,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
31,"Black Out Days - Future Islands Remix","Phantogram,Future Islands",170,9A,48,2023-01-03,04:08,65,"","Black Out Days (Future Islands Remix)",2017-09-01,48,0,78,12,0,10,-9,E Minor,4,3kxkjirben9RVm9NqYa6rm,USUM71415944
32,"Transgender","Crystal Castles",138,9B,91,2023-01-03,03:04,59,"witch house, electroclash, new rave, alternative dance","(III)",2012-01-01,52,0,85,4,0,20,-8,G Major,3,26ZzSLUJMmYp5u1hDELEWH,GBUM71206689
33,"Insomniac","Memo Boy,Chakra Efendi",130,10B,71,2023-01-03,03:32,0,"","Songs & Demos 2015-2017",2021-06-04,52,24,85,37,0,10,-9,D Major,4,62JzTgFcJ4BX07AktKmB1S,AUNUK1700026
34,"Bang Bang Bang Bang","Sohodolls",94,3A,58,2023-01-03,03:01,68,"","Ribbed Music For The Numb Generation",2007-09-24,73,53,0,35,0,10,-7,A#/B♭ Minor,4,2qLSXZuIHMsKydCEFDchc3,GBHGV0700025
35,"Treehouse","Alex G,Emily Yacina",73,6A,20,2023-01-03,02:38,78,"lo-fi indie","Treehouse",2011-01-17,61,71,32,14,0,10,-19,G Minor,4,7fyG2MquxykO3Ufiku1Dj2,TCAFZ2296401
36,"Violent Youth","Crystal Castles",131,2B,74,2023-03-24,04:21,39,"witch house, electroclash, new rave, alternative dance","(III)",2012-01-01,72,15,23,82,10,30,-8,F#/G♭ Major,4,67cdrrKC32SfLTcYMPDfcK,GBUM71206692
37,"Hey Kids","Molina,Late Verlane",87,9A,53,2023-01-17,03:53,8,"","Hey Kids",2018-04-20,58,2,1,47,0,20,-8,E Minor,4,5poS8LyxohSACjuIZ61EyS,DKPF51800801
38,"High Enough","K.Flay",89,8B,62,2023-05-21,03:51,62,"","Every Where Is Some Where",2017-04-07,37,3,10,51,0,10,-5,C Major,4,1D9HQactbJoUudf9B119Y5,USUM71701789
39,"Silhouette","Pastel Ghost",130,11B,93,2023-05-21,03:59,1,"witch house, darkwave","Silhouette",2013-07-09,58,1,87,48,20,10,-8,A Major,4,403EjoWwYSX37paKSySxs1,TCAFZ2283201
40,"Parent Issues","Двузер",150,8B,30,2023-05-21,01:03,0,"","Parent Issues",2023-02-03,36,5,99,15,0,30,-29,C Major,4,0WPYdlA05STEYRYVpBpcW3,QM4TW2362656
41,"Shadows","Pastel Ghost",130,8A,92,2023-05-21,03:28,1,"witch house, darkwave","Abyss",2015-03-10,62,4,79,33,0,0,-8,A Minor,4,4TimKwMIY6mTJXEdSilVP9,QM6XS1704796
42,"METAMORPHOSIS","INTERWORLD",175,6A,64,2023-05-22,02:22,77,"phonk, drift phonk, brazilian phonk","METAMORPHOSIS",2021-11-25,59,43,90,15,10,10,-13,G Minor,4,2ksyzVfU0WJoBpu8otr4pz,QZS642102633
43,"Thexxlexxmaxx","XXKATUSJINSUX",147,4A,56,2023-06-26,03:08,0,"","Thexxlexxmaxx",2021-04-17,71,54,93,83,0,10,-11,F Minor,4,7422M6CrXQZdMFpuhtR1r3,QZQGC2100640
44,"Cigarette Duet","Princess Chelsea",105,5A,54,2023-07-14,04:20,67,"baroque pop","Lil' Golden Book",2011-05-02,35,33,0,18,0,10,-8,C Minor,4,5QzPYn26g8EU2JiaG6bYV3,NZLC01100011
