#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Notion","The Rare Occasions",160,11B,88,2024-11-17,03:15,0,"","Futureproof",2016-08-05,31,7,0,31,0,0,-4,A Major,4,4cHKd6qPMR1TMx55KHlida,ushm21617726
2,"Softcore","The Neighbourhood",94,8A,57,2024-11-17,03:26,86,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,57,5,0,37,0,20,-6,A Minor,4,2K7xn816oNHJZ0aVqdQsha,USSM11800523
3,"Lights Are On","Tom Rosenthal",136,5B,4,2024-11-17,03:13,77,"","Z-Sides",2018-10-26,44,98,47,25,0,10,-17,D#/E♭ Major,4,4IhTXiZLKATmwhMZIb1GQN,GBVHN1800009
4,"Dandelions - slowed + reverb","Ruth B.,sped up + slowed,slater",102,1A,71,2024-11-17,04:28,66,"","Dandelions (slowed + reverb)",2021-08-27,33,4,0,22,0,0,-3,G#/A♭ Minor,3,6fhG2KJgwO7CrNflRaRmvp,USSM12106073
5,"Where My Love (Edit)","Fallo",85,12B,36,2024-11-17,04:53,0,"","Mode Down",2020-08-21,41,57,5,17,0,10,-15,E Major,4,04hxPwQCnjnhYrrBhOKGby,QZ93L2044085
6,"Space Song","Beach House",147,5A,79,2024-11-17,05:20,76,"dream pop","Depression Cherry",2015-08-28,51,23,14,61,0,10,-7,C Minor,4,1ZgMsA55GIY7ICkQh5MILA,USSUB1512203
7,"Home - Slowed","Edith Whiskers",109,8B,22,2024-11-17,03:37,61,"","Home (Slowed)",2021-09-13,70,98,0,31,0,10,-12,C Major,4,3Cou9Rf87erNBpjWjTZZaZ,GBVHN2100015
8,"The Night We Met","Lord Huron",174,11B,37,2024-11-17,03:28,70,"","Strange Trails",2015-04-06,45,97,27,10,0,60,-10,A Major,3,3hRV0jL3vUpRrcy398teAU,US53Q1200103
9,"we fell in love in october","girl in red",130,9B,37,2024-11-17,03:04,2,"bedroom pop","we fell in love in october / forget her",2018-11-21,57,11,18,24,0,10,-13,G Major,4,1BYZxKSf0aTxp8ZFoeyM3d,GBKPL1828677
10,"take a moment to breathe. - Instrumental","normal the kid",74,1A,6,2024-11-17,03:38,0,"","take a moment to breathe.",2021-10-22,19,99,87,12,0,10,-28,G#/A♭ Minor,3,38aTQ9Zc5HuQKHyUdmewQn,QZNWU2115465
