#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sign - Radio Edit","Boozoo Bajou",79,10A,53,2023-06-02,03:15,0,"downtempo, nu jazz, trip hop, acid jazz, lounge","Grains",2009-02-23,67,6,0,64,0,10,-7,B Minor,4,5vPGjME4Jd3fJTutN1pH8F,DEG930900850
2,"If Only","Raveena",78,3A,40,2023-06-02,03:21,52,"alternative r&b, indie soul","If Only",2017-11-15,76,46,0,58,0,0,-12,A#/B♭ Minor,4,4jyU03J2YOhRxgOHit2auK,QM24S1704043
3,"Better Days","Lisa Shaw",80,6A,57,2023-06-02,03:49,32,"downtempo, afro tech","Free",2009-03-10,65,41,1,66,0,10,-6,G Minor,4,4uqmGBMfMkjorzjSKihTIw,USATE0925401
4,"Sweet Is the Air","Natureboy,Alice Russell",123,12B,35,2023-06-02,04:47,32,"nu jazz, retro soul","Whoever You May Be",2002-10-06,71,76,23,29,0,40,-15,E Major,4,0EbyUNfyGKYTDquMYEXbTB,UKJAN0200001
5,"Poquito Spanish, Poquito Funk","George Benson",90,7A,56,2023-06-02,05:15,28,"smooth jazz, yacht rock, jazz funk, soul jazz","Standing Together",1998-01-01,87,35,37,64,0,10,-9,D Minor,4,2K7GQobbSYuHbICOOQMRcm,USGR19800038
6,"Be Thankful For What You Got","Donald McCollum",90,10A,55,2023-06-02,04:30,0,"","U Don't Want My Love",2006-00-00,79,25,0,67,10,0,-9,B Minor,4,0KXnzsCwP0uLtjEKJT3mvN,DEBT70500005
7,"More Than I Can Bear","Matt Bianco",168,10A,59,2023-06-02,04:19,0,"jazz pop","Las Tardes en Ibiza Chill Music 8",2014-00-00,64,15,0,73,0,0,-8,B Minor,4,73yXXCkHOUkBNtLdG8JIlF,DEH841000226
8,"The Time Is Now (feat. Moloko)","Take Me To Rio Collective,Moloko",128,8A,54,2023-06-02,04:48,0,"trip hop","Take Me To Rio (Ultimate Hits made in the iconic Sound of Brazil)",2016-07-22,78,55,0,81,0,20,-8,A Minor,4,7E53FNhHpJK5ikvZwjDj4B,DELV41600406
9,"Talullah","Jamiroquai",154,7A,72,2023-06-02,06:02,62,"acid jazz","Dynamite",2005-06-15,71,38,0,96,0,10,-8,D Minor,4,0WQ3l6AqrCJLDpxjhDHbFh,GBBBN0500207
10,"Everything","Jehro",94,2A,39,2023-06-02,03:44,50,"","Jehro",2007-02-01,86,50,0,80,0,0,-10,D#/E♭ Minor,4,4Fa4CabWEfBQB7Lc6mZJ6G,FR90U0500001
11,"Fed Up","Stephen Marley",83,10A,55,2023-06-02,04:20,39,"reggae, roots reggae, ragga","Mind Control",2007-03-20,78,3,0,61,0,10,-7,B Minor,4,3OlSAt9Bp05dBH7vZNvzZF,USUM70721469
12,"Holding Back The Years","Daynea Deacon",89,3B,55,2023-06-02,04:53,0,"reggae pop, reggae, lovers rock","Las Tardes en Ibiza Chill Music 7",2013-00-00,82,4,0,80,0,10,-7,C♯/D♭ Major,4,0cwUEvNcDpHxjIqaqyJsXx,DES231000063
