#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"deep in it","berlioz,Ted Jasper",119,2A,42,2025-08-26,02:34,72,"jazz house, jazz","deep in it",2023-03-10,57,97,89,27,0,10,-12,D#/E♭ Minor,4,6IoDmKMOqGMYwny9MjQ6dg,GX3Q92099211
2,"Wabi-Sabi","Steve Nguyen",81,9B,34,2024-07-06,02:01,11,"lo-fi","Wabi-Sabi",2024-07-05,65,32,90,16,0,10,-12,G Major,4,6JebvRoc7P0FtK2aY0zbEr,QZNWV2413598
3,"Dancing in the Moonlight - Lofi Version","The Book Cover",86,5A,17,2024-09-18,02:13,44,"lo-fi","Moonlight (Lofi Version)",2023-07-02,59,93,95,32,0,10,-18,C Minor,4,1zOPoPD4lrZfjpGI7CQhz8,QZNWR2339671
4,"our memories","Blurred Figures,susan",146,5A,26,2024-10-26,02:28,12,"lo-fi hip hop, lo-fi","in the end",2024-10-14,63,99,91,33,0,0,-17,C Minor,4,1KTX6pReeDk7m7j4cinFHk,DGA0L2407904
5,"Contemplating","Teo",76,12B,33,2024-10-26,01:54,13,"lo-fi","Contemplating",2023-11-17,54,67,84,70,0,10,-18,E Major,4,0xfhUErmm10c9IP0ei1ZSd,QMFMF2305099
6,"Cozy Ocean Breeze","Tony Sieber",130,12B,36,2026-03-17,02:35,37,"","Cozy Ocean Breeze",2026-03-13,68,83,96,22,0,10,-12,E Major,1,6eN4PVx6GiIrZ1HovRYrsh,DEAS82000853
7,"Holding on to Memories","Tony Sieber",144,11A,33,2026-02-22,02:55,38,"","Holding on to Memories",2026-02-13,60,86,90,18,0,10,-12,F#/G♭ Minor,4,43N8ggzw21mnopcgAHSzy7,DEAS82000833
8,"Yesterday","Bequem",83,10A,37,2026-03-23,01:51,28,"","Yesterday",2026-03-20,68,83,82,20,0,10,-8,B Minor,4,7gBCK8noUFWWpsCPepY7Fv,US3DF2624099
9,"Mining for Diamonds","Carter Fox",85,10B,11,2026-02-22,02:40,22,"","Mining for Diamonds",2025-05-22,77,88,90,31,10,0,-11,D Major,4,4CAAkxvrG9PiaQeSYQjiTR,US3DF2522509
10,"midnight treehouse","slowdown solomon",65,8A,5,2026-03-24,02:24,14,"","midnight treehouse",2026-01-22,17,99,85,11,0,10,-31,A Minor,4,6iT96IrbwiTthFlwFDiAl1,US23A8923455
11,"stara przyszlosc","metafizyka",62,9B,32,2026-03-16,04:24,10,"","stara przyszlosc",2026-03-10,57,69,90,25,0,30,-11,G Major,4,6iyDNS0HMb0WbEf3Lm7W5I,QZNWY2637384
12,"Lumivera","Korlofi",80,8A,18,2026-03-15,02:12,33,"","Lumivera",2026-03-13,59,88,92,20,0,0,-20,A Minor,4,5xd26xTDiOf6hljv2Dh5FV,QZNWU2698519
13,"Japanese Onsen","Monster Taxi",140,5A,35,2025-11-24,03:56,25,"","Japanese Onsen",2025-10-24,53,66,93,18,0,10,-15,C Minor,4,28WXWbhioXPcw3v4cvzjv9,USEH40600208
14,"Somewhere Lofi","Tony Sieber",134,10A,46,2025-11-18,02:40,30,"","Somewhere Lofi",2025-10-17,62,54,84,23,0,30,-12,B Minor,4,2WrOuLD8pOlIasIs1oKExl,DEAS82000792
15,"It's My Party","French Candy,Valentino Nascosto",126,8B,87,2026-02-21,03:40,32,"funky house, tech house","It's My Party",2026-02-20,67,2,57,30,0,0,-11,C Major,4,6pRxypFZ39tvs0YSIJHRJR,QT6FJ2529319
16,"Dawn Temple","Lofi Milk,Kensuke Ohmi",136,8B,25,2026-02-21,02:38,30,"lo-fi beats, lo-fi, ","朝のチル BGM",2026-02-11,73,94,92,21,0,30,-13,C Major,4,0sZ2ePO4xfb5zF5Q1kebAn,JPZ922509249
17,"there's hope","Itona",144,3B,20,2026-02-18,02:33,31,"chillstep","there's hope",2026-02-18,62,84,92,31,0,0,-19,C♯/D♭ Major,4,1VLMaBMLsT739OcXSn5rxT,UKMPB2500030
18,"Morning Bloom","JarLoFi,Kitsuji",148,10B,24,2026-02-07,02:13,19,"","Joyful Glow",2026-02-06,61,95,75,37,0,10,-15,D Major,4,44FRNyT7BxujHvdcPANCSa,UKZGC2511995
19,"Lost Time","LoFi of Life",140,10B,21,2025-12-19,02:01,12,"","Lost Time",2025-12-19,56,98,96,4,0,10,-15,D Major,4,4jZ2JOt7uaf3WMQE1SCvi2,QT6662513616
20,"Stuck Inside","CaliCronk,Lifted LoFi",76,11A,22,2026-02-04,01:47,0,"lo-fi, jazz rap, lo-fi beats","Fall Frequencies, Vol.1",2020-11-13,71,70,89,22,0,10,-12,F#/G♭ Minor,4,48inQWE37d5Q9rws69KRmM,USANG2103742
21,"Stillness","Veilphonic,Patiotic Records",170,9A,33,2026-02-16,01:55,8,"lo-fi, lo-fi beats, jazz beats","Stillness",2025-05-30,65,95,88,12,0,10,-13,E Minor,4,5NVhhVnT4814fxaPBi7LzL,FXR592402739
22,"Slow-Fi Blue","Tony Sieber",134,10A,30,2026-02-16,02:36,22,"","Slow-Fi Blue",2025-05-30,63,87,86,7,0,10,-15,B Minor,4,3VpXCXNt81EXCyXH4nC8EH,DEAS82000735
23,"Goldilocks Standard","Benny Bronco,Simon Handle",146,8A,62,2026-02-05,02:41,30,"jazz beats, ","Goldilocks Standard",2026-02-05,66,28,75,30,0,0,-7,A Minor,4,5K1sKAJGvvNmS98nA9ud4H,QZFZ72659267
24,"Closure","Sine",124,8A,33,2026-01-31,02:56,29,"","Closure",2026-01-30,63,91,93,7,0,10,-13,A Minor,4,4ULYu3e4YH6gQYDD29okBf,DEAS82000832
25,"Jazzy Coffee","VlogTunes",80,8A,43,2026-01-26,02:28,24,"","Jazzy Coffee",2026-01-14,60,60,91,52,0,10,-14,A Minor,4,2ypABYo8B0nlqwjQkZw1GD,QZFZ72696253
26,"Between Pages","Chill4est,DertyLee",120,5B,29,2026-01-21,01:58,28,"","Between Pages",2026-01-09,55,95,80,18,0,10,-13,D#/E♭ Major,4,5jJ6xPx5ofRegus4JffsiC,QZZEB2561561
27,"Enjoy the Journey - 2025","FalafelBabaganush",84,8A,48,2026-01-18,03:03,17,"","Enjoy the Journey (2025)",2024-11-13,69,48,79,31,0,10,-8,A Minor,4,0w8f8lMDpI8Cd3xjGIklQD,CBEYJ2503976
28,"teach me how to live","L!aW,Flow State Records,louie iv",65,5A,16,2026-02-16,02:24,14,"jazz beats, jazz rap, lo-fi, ","cwtch 003",2025-05-23,61,65,88,7,0,0,-16,C Minor,4,4qkKbRA3jaDUZ8xItAG8Sc,FXR592402772
29,"Don't Care What Happens Outside","Boffers",99,10A,63,2026-01-16,02:41,14,"","Don't Care What Happens Outside",2026-01-15,69,39,85,60,0,30,-6,B Minor,4,6lXAsoUUrPCmDonO9KjgZq,USCGH2613206
30,"Grain","Lofi Milk,Kensuke Ohmi",76,8B,26,2026-01-08,02:19,22,"lo-fi beats, lo-fi, ","集中 Lofi BGM",2025-12-17,43,98,94,6,0,10,-14,C Major,4,4ufDchrad3v3Rn6Xu5iRCu,JPZ922508165
31,"Stillness","Bequem",170,2A,28,2026-01-02,01:57,35,"","Stillness",2026-01-02,71,92,93,42,0,0,-8,D#/E♭ Minor,4,4RbWPe3qZTjt3HIgfaou1u,USANG2559555
32,"a quiet night in ba sing se","uncle iroh",166,10B,46,2026-01-02,02:18,25,"","a quiet night in ba sing se",2026-01-01,68,92,92,56,0,10,-7,D Major,4,3XQ8LH3ZSSN6mpHNy6r9Sr,QT62V2546671
33,"do wut u luv - lo-fi version","Nick Marks",91,9B,34,2025-12-19,02:27,23,"nu jazz","do wut u luv (lo-fi version)",2025-12-19,74,75,82,44,0,20,-7,G Major,4,3qFUOD8bT0eD64zJdT7BeM,QZZ8B2593308
34,"Snowflakes","Romain Granger",74,3A,23,2025-12-18,01:56,14,"","Snowflakes / Wonder",2025-12-18,62,44,77,11,0,10,-12,A#/B♭ Minor,3,4z7gadoRxxPkSG6Uq1cCIZ,US23A8753741
35,"Next Up","The Other Guys",180,8B,45,2025-09-15,01:58,17,"underground hip hop","Summer '92",2025-08-08,72,14,97,48,10,10,-10,C Major,4,4ZNksjuQ2abSV7GSR6BnZR,USUYG1747734
36,"Evening Drift","Resonant Circuits,Vybeshift",76,3B,15,2025-12-15,02:38,33,"","Evening Drift",2025-12-15,42,96,93,10,0,10,-19,C♯/D♭ Major,4,5oFSOmHHr58vrRKVMqDIdf,GBLV62523228
37,"The Most Wonderful Time","Lazy Core",80,8B,21,2025-12-01,02:36,8,"","The Most Wonderful Time",2025-11-28,78,96,86,46,0,10,-21,C Major,4,6AcXi2A10OpvybOodb1Uxm,QT6EC2579940
38,"Palmerado","Korlofi",78,1A,33,2025-12-06,01:56,22,"","Palmerado",2025-12-05,70,17,89,23,0,10,-8,G#/A♭ Minor,4,2qB8cfdTNA4qGnEodl94V8,QT6F72534481
39,"dustmote","Bmbu",170,3A,55,2025-12-03,02:01,2,"jazz beats","dustmote",2025-10-30,63,24,67,89,0,20,-7,A#/B♭ Minor,4,7LBNTMKSBeaPw5lmsmTlca,SE6QE2507533
40,"Out of Hiding - Lofi Remix","Jesse Franklin Wood",130,10B,59,2025-11-29,03:37,6,"","The Prodigal Father (Lofi Remix)",2025-11-26,67,12,31,51,0,10,-9,D Major,4,6Xmy1qHBIwK0StxZ5vBGae,QZ57Z1600053
41,"Midnight Window","Takatsugu Wakabayashi",170,12B,49,2025-07-31,02:15,6,"","Midnight Window",2025-07-12,70,93,94,29,0,10,-9,E Major,4,3AQigmHbozzKcr513O9N27,TCJPJ2516666
42,"Feather","Chill4est,DertyLee",114,10B,28,2025-11-14,02:26,20,"","Feather",2025-11-14,62,84,92,6,0,20,-15,D Major,4,1Fyrx18P0byoqYhAQ32z9K,QT6EV2500904
43,"Iris","Halibab Matador",80,12B,23,2025-11-17,03:30,0,"","Iris",2025-07-24,77,22,82,38,10,10,-9,E Major,5,7djavh3YlTkTbzCjRWJIcI,US23A9729386
44,"Shifting Sands","Thomas Lemmer,Sinatic",154,8A,45,2025-11-14,03:53,28,"lounge, ","Shifting Sands",2025-11-14,58,49,81,7,0,40,-11,A Minor,4,2dMcRKWEbn730iXibGJLao,DEAS82000801
45,"Lo-Fi Waves","Tony Sieber",142,11A,31,2025-06-27,03:28,37,"","Lo-Fi Waves",2025-03-28,57,80,88,28,0,0,-13,F#/G♭ Minor,4,00qR56xUhtC502t6Wq2s48,DEAS82000688
