#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"My Love Is Your Love","Whitney Houston",83,9B,48,2021-01-31,04:21,69,"","My Love Is Your Love",1998-11-17,77,6,0,47,10,0,-10,G Major,4,1ckU1EhAO0Nr73QYw24SWJ,USAR19800140
2,"Sunny Afternoon","Benny Sings",102,3B,45,2021-01-31,02:51,0,"","Sunny Afternoon",2020-04-29,83,9,0,43,0,0,-10,C♯/D♭ Major,4,7srVFtzbY8ok5UFzuN0b8P,NLX5C2000001
3,"Judy You Hung the Moon","HARBOUR",140,11A,65,2021-01-31,03:30,0,"","Heatwave",2017-08-04,65,51,0,63,0,0,-8,F#/G♭ Minor,4,2qdmM6JfK55YDUGMgRgJW2,TCADE1723407
4,"Break up Together","Theo Katzman",104,7B,41,2021-01-31,03:27,40,"retro soul","Heartbreak Hits",2017-01-06,87,56,0,89,0,10,-11,F Major,4,5xRlNALFbZ7gaWGlySwfTM,TCACU1609254
5,"Beast Of Burden - Remastered 1994","The Rolling Stones",101,12A,88,2021-01-31,04:25,78,"classic rock, rock","Some Girls",1978-06-09,78,39,0,89,0,0,-4,C♯/D♭ Minor,4,77oU2rjC5XbjQfNe3bD6so,GBCJN7800009
6,"Revvin' My Cj7","Summer Salt",120,6B,47,2021-01-31,02:48,0,"","So Polite",2017-07-18,76,93,10,35,0,10,-8,A#/B♭ Major,4,3pJJmtKV0ULcMJkx8xmYgP,QZ8LD1739333
7,"Honey Moon","Mac DeMarco",89,4B,33,2021-01-31,02:37,0,"indie, lo-fi indie","Honey Moon",2018-08-24,81,23,51,56,0,10,-13,G#/A♭ Major,4,3BqnYkI0lR3NrJajSDdcjc,USDEA1845381
8,"Sunny","Bobby Hebb",128,9A,34,2021-01-31,02:45,68,"northern soul, classic soul","Sunny",1966-01-01,71,93,1,67,0,30,-11,E Minor,4,4vju55Ag7apDL2CfotuE7Q,USPR39402093
9,"Easy","Commodores",132,3A,48,2021-01-31,04:18,0,"motown, classic soul","Motown 1970s Vol. 1",2001-01-01,58,20,0,31,0,30,-11,A#/B♭ Minor,4,3Qe0dJkQXx7jJWXRxuVqJ0,USMO17700543
10,"Dreams - 2004 Remaster","Fleetwood Mac",120,8B,49,2021-01-31,04:17,91,"yacht rock, classic rock, soft rock","Rumours (Super Deluxe)",1977-02-04,83,6,0,79,0,10,-10,C Major,4,0ofHAoxe9vBkTCp2UQIavz,USWB11301111
11,"Me and Julio Down by the Schoolyard","Paul Simon",105,11B,82,2021-01-31,02:44,69,"singer-songwriter","Paul Simon",1972-01-14,63,24,0,80,10,10,-11,A Major,4,6vxHp3CDNo0afgKGp2yi1E,USSM11002239
12,"Don't Worry Be Happy","Bobby McFerrin",69,1B,16,2021-01-31,04:52,68,"","The Collection",1997-01-01,68,88,0,77,10,0,-23,B Major,4,5YbgcwHjQhdT1BYQ4rxWlD,USEM38800361
13,"Sweet to Me","Summer Salt",97,11B,51,2021-01-31,03:24,2,"","Driving to Hawaii",2014-10-14,56,68,0,50,0,30,-7,A Major,4,3qqeDnTGXgRftw1RZj4Jv2,QM4DW1545101
14,"Heart & Soul","Roseaux,Olle Nyman",120,8A,17,2021-01-31,05:06,0,"","Roseaux II",2019-09-06,71,87,2,50,0,30,-11,A Minor,4,4CGtfGtkS2mCcedBqFq75i,FR6DF1800004
15,"Good News","Mac Miller",174,12A,32,2021-01-31,05:42,71,"","Circles",2020-01-17,79,85,13,24,10,10,-13,C♯/D♭ Minor,4,1DWZUa5Mzf2BwzpHtgbHPY,USWB11801008
16,"Whole Wide World","Bahamas",109,7B,45,2021-01-31,02:35,52,"","Pink Strat",2009-07-21,73,60,0,60,0,10,-9,F Major,4,3e5eR2DBoHD2qR4HN3YmTv,CAND60800083
17,"No Depression","Bahamas",77,6A,37,2021-01-31,03:06,51,"","Earthtones",2018-02-16,84,51,0,58,0,20,-8,G Minor,4,5xYK0S57hp6bEdJlMo7ozl,USUG11701538
18,"Loving Is Easy (feat. Benny Sings)","Rex Orange County,Benny Sings",117,5B,61,2021-01-31,02:35,2,"bedroom pop, ","Loving Is Easy (feat. Benny Sings)",2017-10-11,76,22,0,54,0,10,-8,D#/E♭ Major,4,5EYi2rH4LYs6M21ZLOyQTx,GBKPL1789493
19,"Tommy's Party","Peach Pit",134,9B,44,2021-01-31,06:01,59,"","Being So Normal",2018-06-28,56,12,5,21,0,10,-9,G Major,4,5OuJTtNve7FxUX82eEBupN,USSM11805176
20,"Peach Pit","Peach Pit",124,11A,80,2021-01-31,04:47,57,"","Sweet FA",2018-06-27,52,0,0,30,0,10,-5,F#/G♭ Minor,4,0ZK8TGOsngrstVPsnrHbK1,USSM11805165
21,"Outside","Oliver Malcolm",77,11A,39,2021-01-31,02:18,31,"","Outside",2020-10-01,75,77,0,64,0,50,-10,F#/G♭ Minor,4,0YCCXfwkqezFE8sjRoaKmi,USUM72018943
22,"Where You Lead","Carole King",107,8B,46,2021-01-31,03:19,57,"singer-songwriter, folk rock","Tapestry",1971-00-00,78,76,0,93,0,0,-10,C Major,4,0APt4t1Dab58sYmGQ4jgij,USSM17100510
23,"Beacon","Matt Duncan",86,4B,46,2021-01-31,03:34,0,"retro soul","Beacon",2010-05-01,71,43,0,51,0,0,-7,G#/A♭ Major,4,6lv5xJNWI2fYwjrPG4KFSe,USQY51336643
24,"Sun Go Down","Fat Night",112,10B,66,2021-01-31,03:42,0,"retro soul","Lazy Days",2015-10-19,79,40,0,76,0,30,-7,D Major,4,6UJThOHpnTSWu583jJ4dbo,QM9AA1534609
25,"Buffalo Soldier","Bob Marley & The Wailers",124,11B,46,2021-01-31,04:15,74,"reggae, roots reggae","Confrontation",1983-05-23,93,14,0,76,30,0,-9,A Major,4,7BfW1eoDh27W69nxsmRicb,USIR28300004
