#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"faces","Austin Chen",144,4A,30,2021-07-05,03:45,44,"lo-fi","faces",2018-10-20,47,87,95,20,0,0,-12,F Minor,4,2a7wQIlbcHmeVrkalRbIjI,QZES51869253
2,"coffee on the beach.","halberd",138,1A,40,2021-07-05,02:58,46,"lo-fi, lo-fi beats, lo-fi hip hop","coffee on the beach.",2017-08-05,86,87,94,23,0,10,-11,G#/A♭ Minor,4,1TP1jwwVd3erUk0T2VXI0z,QM42K1784083
3,"Loungin","Aso",94,4A,28,2021-07-05,02:23,35,"lo-fi beats, lo-fi hip hop, lo-fi, jazz beats","Loungin",2017-05-06,78,3,82,35,0,10,-11,F Minor,4,6mP02SW3f6U7npUuRIgH2n,TCADB1738750
4,"Pyra","cocabona,Monma",133,3B,6,2021-07-05,02:52,34,"lo-fi hip hop, lo-fi, lo-fi beats","Chillhop Essentials Spring 2019",2019-03-20,83,45,89,26,10,0,-14,C♯/D♭ Major,1,0qk4XjfSnQollNCjlOgCin,GBKQU1916719
5,"Your Favorite Place","Joey Pecoraro",78,8A,54,2021-07-05,03:41,45,"lo-fi beats, lo-fi, jazz beats, lo-fi hip hop","Chillhop Essentials Winter 2017",2017-12-11,62,36,86,52,0,0,-13,A Minor,4,2p6es5NEF5CBRrKC1lJHri,GBLV61724104
6,"6am","HM Surf",94,8B,12,2021-07-05,01:47,32,"lo-fi hip hop, lo-fi, lo-fi beats","Mourning Glory",2017-12-10,65,63,87,7,0,30,-16,C Major,4,4ax9LgNwi5IY6nQog5ce5i,QZAPG1722240
7,"Daisho","Medda",80,3B,14,2021-07-05,02:39,32,"lo-fi","Starry Nights",2019-05-24,70,94,58,63,20,10,-16,C♯/D♭ Major,4,6srH5YeWes1EXspHrKurG6,QZES91929397
8,"My Girl","HM Surf",98,3A,6,2021-07-05,02:17,30,"lo-fi hip hop, lo-fi, lo-fi beats","Mulberry Daze",2019-01-10,80,92,92,36,10,10,-18,A#/B♭ Minor,4,6tHS6yjZs3u9Nr8dzzXmNZ,QZ4JJ1927727
9,"Ebs and Flows","Glimlip",78,2B,22,2021-07-05,01:38,0,"lo-fi, lo-fi beats, lo-fi hip hop, jazz beats","Cozy Winter",2021-01-16,76,81,84,33,10,10,-12,F#/G♭ Major,4,7xAUd0owJSCFMmmosEOU3d,GBKQU2101980
10,"Lost in Florence","Kendall Miles,I Eat Plants for a Living",118,12B,30,2021-07-05,01:32,0,"lo-fi, lo-fi beats, lo-fi hip hop","Daydreams",2017-07-05,68,56,58,47,0,10,-13,E Major,4,5B1tm4NuzSbYUTwk0xEz2a,UST8K1735889
11,"Below Zero","SamuW,eaup",77,2A,23,2021-07-05,02:18,20,"lo-fi beats, jazz beats, lo-fi, lo-fi hip hop","Below Zero",2020-11-19,66,77,78,63,10,30,-11,D#/E♭ Minor,3,3dUNxiEf72V2en2nC9GOut,NLX9G2000035
12,"Izuhara Land","Mujo,Hakone",72,1B,23,2021-07-05,01:47,0,"lo-fi, lo-fi hip hop, lo-fi beats, jazz beats","Monkeys",2020-08-22,53,68,93,30,0,30,-10,B Major,4,3T2SiudsLNrENi9JHpG0FO,TCAFA2055583
13,"waking up in the park","j'san",105,7B,57,2021-07-05,01:08,40,"lo-fi, lo-fi beats, lo-fi hip hop","waking up in the park",2017-08-15,63,96,80,7,10,20,-11,F Major,3,278zobyI14d3iaE39jGfHM,CA5KR1567015
14,"Lime Juice","Zmeyev,Oilix",84,5A,27,2021-07-05,02:04,29,"lo-fi beats, jazz beats, lo-fi, jazz rap","Lime Juice",2021-02-15,69,83,74,76,0,10,-13,C Minor,4,5MnNvTi5s4lbGuVNEYVQdL,NLRD52018577
15,"blanket","Hayne,frad",82,1B,24,2021-07-05,02:22,0,"lo-fi","blanket",2019-08-18,72,98,95,34,0,10,-17,B Major,4,1RTezn0uPHhOdhhh4aEKyH,QZFZ61905613
16,"no vacancy","eaup",80,12A,12,2021-07-05,01:48,17,"lo-fi, lo-fi hip hop, lo-fi beats","no vacancy",2021-01-29,72,90,86,37,0,0,-18,C♯/D♭ Minor,4,7BeR8KNgFQH30dZNVpZvJm,NLX9G2100047
17,"Lost In The Game","TABAL",166,7A,30,2021-07-05,02:41,15,"lo-fi hip hop, lo-fi, lo-fi beats","Lost In The Game",2020-03-04,43,62,84,11,0,10,-13,D Minor,4,5q0UZexGweUADpblDT5UdT,USANG2012463
18,"Stargazing","mell-ø,Ambulo",116,1A,20,2021-07-05,02:00,43,"lo-fi hip hop, lo-fi, lo-fi beats","Stargazing",2019-07-12,79,89,92,24,0,10,-15,G#/A♭ Minor,4,7DiFrtjwQAZTkDtH9Duphh,QZFYX1952079
19,"Sail Away","mell-ø",82,10A,23,2021-07-05,01:49,32,"lo-fi hip hop, lo-fi, lo-fi beats","Sail Away",2020-07-17,73,91,92,51,40,0,-13,B Minor,4,6eXoyuMwJE1yiXaVqP2ezf,QZHN82067928
20,"喫茶店","frad",140,8B,23,2021-07-05,03:25,0,"lo-fi","喫茶店",2018-05-05,85,3,89,76,0,10,-18,C Major,4,2CKOZX79ZovArvUA5OrZXN,QZES61916202
21,"Mono Isla","Con Comfort,Smuv",182,8A,19,2021-07-05,02:30,0,"lo-fi hip hop, lo-fi, lo-fi beats","Naturals",2019-07-26,71,37,94,86,0,10,-14,A Minor,4,52ZLjnsMGH2xL6I7QGSJG7,TCAEH1911407
