#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Of Things to Come","Tommy Guerrero",116,9A,35,2024-10-14,03:01,52,"","Sunshine Radio",2021-01-15,81,30,82,77,0,10,-12,E Minor,4,7kNfN3ItXuI8o4OgzrZNSe,US75M2001923
2,"Descendent of Memory","Tommy Guerrero",95,11B,29,2024-10-14,03:11,42,"","Sunshine Radio",2021-01-15,63,93,90,63,0,0,-16,A Major,4,0R6muYW8Pea1zdl8UKMyGU,US75M2001924
3,"In My Head","Tommy Guerrero",89,11A,88,2024-10-14,03:07,52,"","Loose Grooves and Bastard Blues",1997-03-01,68,58,69,89,0,0,-7,F#/G♭ Minor,4,7bxwzsBFJFhtMZVbdcduzm,US75M1701882
4,"Soul Miner","Tommy Guerrero",100,10A,60,2024-10-14,02:57,44,"","Loose Grooves and Bastard Blues",1997-03-01,77,68,72,80,0,0,-8,B Minor,4,1DNdKdWPgG7FavYJMfBII6,US75M1701883
5,"Got Caught in Amsterdam","Arc De Soleil",157,10B,81,2024-10-14,02:50,66,"","The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape",2019-10-18,66,5,81,96,0,30,-6,D Major,4,72VliVsh3slpViyWTgRtgs,SE5Q51902432
6,"The Thief in Marrakesh","Arc De Soleil",90,7A,52,2024-10-14,03:00,64,"","The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape",2019-10-18,76,34,85,68,0,10,-8,D Minor,4,3PLlvksV9NfmoGiZXEqunJ,SE5Q51902380
7,"Mumbo Sugar","Arc De Soleil",94,12A,60,2024-10-14,03:08,66,"","Libertalia",2020-05-01,71,4,85,97,0,20,-8,C♯/D♭ Minor,4,1To3VopSqc8cWHcZJrpjvX,SE5Q52000597
8,"Strolling Sloth","Arc De Soleil",100,10A,77,2024-10-14,02:56,57,"","Libertalia",2020-05-01,73,9,91,80,0,10,-6,B Minor,4,3DIveHQ6lW0XQ0Q928VIlq,SE5Q52000601
9,"Voluntary Exile","Arc De Soleil",95,9A,66,2024-10-14,02:59,56,"","Lonely Calling",2020-11-27,78,28,88,88,0,20,-9,E Minor,4,77NWCGiTzEFIZtYRI3qQtl,SE5Q52003426
10,"A Minute Too Early","Arc De Soleil",112,10A,62,2024-10-14,02:45,44,"","Lonely Party",2021-06-04,88,1,81,93,0,10,-8,B Minor,4,5XJyTjyIq4B55ChV3i75dF,SE5Q52101769
