#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Swing Thang","Jojo Effect",108,9A,56,2019-02-04,04:49,0,"electro swing, nu jazz, lounge, acid jazz","Atlantic City Flow",2018-04-06,74,6,42,56,0,10,-12,E Minor,4,19h4fAXPTsn2AdwEmpPJuR,DEDW91700845
2,"Pan Am 009","Saint Privat",188,5A,77,2019-02-04,04:13,0,"french jazz","Riviera",2004-06-28,67,46,2,86,10,30,-8,C Minor,4,79zWVoExQm3GRZRLbdrw1m,ATW630401502
3,"This Is What You Want","Club des Belugas,Thomas Siffling",90,4A,70,2019-02-04,05:25,0,"nu jazz, electro swing, acid jazz, swing music, lounge","Ragbag",2018-03-30,64,23,85,71,0,0,-9,F Minor,4,0Uw7NkSsfvvpxPtpJSkHZJ,DEUY41600025
4,"Luna High","Monodeluxe",180,8A,58,2019-02-04,05:33,0,"lounge, jazz house, nu jazz, acid jazz","Beach Chillout",2015-03-03,65,2,90,77,0,10,-7,A Minor,4,1ynAUKNY58xz1PczV3C0Kp,USQY51524138
5,"Scarlett","Jojo Effect,Anne Schnell",94,5A,50,2019-02-04,04:37,0,"electro swing, nu jazz, lounge, acid jazz","Marble Tunes",2011-04-22,77,55,6,65,0,20,-8,C Minor,4,3X38tCsnqb7ziqBaeVrO52,DEDW91100150
6,"Chilled White Wine","Mystic Diversions",78,3A,34,2019-02-04,04:37,27,"lounge","Beneath Another Sky",2002-07-04,68,56,70,56,0,0,-9,A#/B♭ Minor,4,52Z6aH1ND2jsj6XuuZ8ztO,IT00D0202701
7,"Summer Fields","Lemongrass",96,7B,28,2019-02-04,04:03,16,"downtempo, lounge, nu jazz, trip hop","Blue River (The 2nd Decade)",2017-09-01,78,64,93,67,10,10,-8,F Major,4,2cGVt2IxCUvDaY3pQSUmtG,DEBG61703740
8,"Jelements","Naoki Kenji",101,8B,54,2019-02-04,04:39,0,"lounge","Denshi Ongaku",2002-00-00,70,14,93,63,0,10,-12,C Major,4,1HlTgldm2ChLVbD1gzxdz9,DEH740200454
9,"Big Sand","Hardkandy",90,3A,62,2019-02-04,05:33,0,"nu jazz","How Do You Do Nothing?",2001-00-00,68,8,76,29,0,70,-10,A#/B♭ Minor,4,211AXgmpwDTg7FX1EMwYSo,GBCFV0100046
10,"Mademoiselle","Saint Privat",118,9A,43,2019-02-04,02:51,0,"french jazz","Superflu",2007-02-05,67,19,6,38,0,10,-9,E Minor,4,0PeNwkCQ9QyEDEBaKGCWqF,ATW630601907
11,"Devotion","Monodeluxe",100,9B,39,2019-02-04,04:30,0,"lounge, jazz house, nu jazz, acid jazz","Beach Chillout",2015-03-03,68,10,49,19,0,0,-14,G Major,4,12hBs317oZybp1vDfpS0XD,USQY51524130
