#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Stormy Weather","Etta James",174,5A,36,2018-10-25,03:07,70,"soul, soul blues, blues, vocal jazz","At Last!",1960-00-00,26,61,0,43,0,10,-8,C Minor,3,2IdwQxhJn9ZE4zIotcCefR,USMC16048489
2,"Its Been a Long, Long Time","Kitty Kallen",74,7B,17,2020-01-06,03:24,39,"","Little Things Mean a Lot",2005-00-00,27,96,4,39,0,10,-12,F Major,4,2jBk4wSHTYON7kgHZ7Ob5J,GBDAG0502206
3,"Misty","Johnny Mathis",82,4B,27,2018-11-10,03:36,57,"christmas","Heavenly",1959-08-10,22,88,0,22,0,10,-14,G#/A♭ Major,4,4uxsv9PjV3Yeyn51RdWvGJ,USSM10604948
4,"Dream A Little Dream Of Me","Ella Fitzgerald,Louis Armstrong",95,8B,15,2018-10-25,03:07,54,"jazz, vocal jazz, swing music, big band, christmas","Ella: The Legendary Decca Recordings",1995-08-29,49,92,0,36,0,10,-14,C Major,3,0KBvapFwuz8gPKu6Gw23WN,USMC15076750
5,"Unforgettable","Nat King Cole",136,7B,18,2020-01-30,03:11,71,"christmas, adult standards, vocal jazz","Unforgettable",1954-01-01,35,92,2,18,0,10,-14,F Major,3,648TTtYB0bH0P8Hfy0FmkL,USCA25100005
6,"Fascination Waltz","Beegie Adair,The Jeff Steinberg Orchestra",111,4B,20,2018-10-25,03:35,0,"jazz, christmas, ","The Ultimate Romance Playlist",2016-07-08,35,95,46,21,0,0,-16,G#/A♭ Major,3,6S2n6h7SGJ3OSLZE16oYmh,QMQME1200042
7,"Petite fleur","Jill Barber",115,8A,21,2018-10-25,02:43,0,"french jazz","Chansons",2013-00-00,62,86,0,45,0,0,-10,A Minor,4,0oMp06EjwhYFvDB33VCiW3,CAO371208301
8,"Witchcraft","Frank Sinatra",116,8B,24,2018-10-25,02:53,49,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Frank Sinatra: The Complete Capitol Singles Collection",1996-01-01,48,49,0,39,0,10,-12,C Major,4,3BTsv0FthgmDwyKlYShwJF,USCA28900241
9,"Summer Song","Louis Armstrong",131,3A,14,2018-10-25,03:14,19,"jazz, swing music, vocal jazz, big band","Sony Jazz Trios",2001-10-28,54,78,0,58,0,0,-16,A#/B♭ Minor,4,2RVbHdZJm2UUB4AOVQCOy9,USSM16100364
10,"La Vie En Rose","Sophie Milman",134,9B,24,2018-10-25,04:51,0,"vocal jazz, jazz, smooth jazz, bossa nova, french jazz","Sophie Milman",2004-01-01,46,82,0,19,0,10,-10,G Major,4,12kmgivtb8dyhxnko2doFt,CAL350400073
11,"Moon River (From  Breakfast at Tiffany's )","Lang Lang,Madeleine Peyroux,Jerry Douglas,Peter Illenyi,Hungarian Studio Orchestra",71,7B,14,2018-10-25,05:34,7,"classical piano, classical, french jazz, vocal jazz, jazz, jazz pop, bluegrass, newgrass, ","Moon River",2016-08-12,24,97,21,8,0,0,-13,F Major,3,2zQ7oW1DJCDog4ywzjxPTu,USSM11605390
12,"Nocturne Op 9 n 2","Nature Sounds,Nature Sounds Nature Music,Olga Bordas",69,5B,3,2018-10-25,05:02,0,"classical, classical piano","Nature Meditation Music, Vol. 1",2014-08-08,53,99,95,8,0,10,-24,D#/E♭ Major,4,1w9JDPIKMACgbyBJpNeDll,ITR551316671
13,"Under The Bridges Of Paris","Dean Martin",83,7B,15,2018-10-25,02:46,0,"christmas, adult standards, big band, swing music","Dino: The Essential Dean Martin (Deluxe Edition)",2004-00-00,21,92,0,17,0,10,-13,F Major,3,04ok4vfE4i5CvBAMR8proM,USCA29701340
14,"A Sunday Kind Of Love","Etta James",86,7A,28,2018-11-09,03:16,72,"soul, soul blues, blues, vocal jazz","At Last!",1960-00-00,42,83,0,40,0,20,-9,D Minor,4,0zGLlXbHlrAyBN1x6sY0rb,USMC16046321
15,"Nuitelant","French Café Ensemble",96,9B,5,2018-10-25,02:44,0,"french jazz","Paris, Je t'aime: Romantic French Classics",2015-12-09,85,96,92,47,0,10,-28,G Major,4,0qTbrvVqfnioE9XNI9KiWP,US3DF1549504
16,"If I Had You","Stacey Kent",87,2A,3,2018-10-25,02:53,0,"french jazz, vocal jazz, jazz, bossa nova, smooth jazz","Tenderly",2015-11-13,68,98,0,21,0,10,-18,D#/E♭ Minor,4,6Q3mr0E6w31kQnKAubNI8V,GBKRR1500612
17,"Jardin d'hiver","Stacey Kent",100,12A,14,2018-10-25,03:34,0,"french jazz, vocal jazz, jazz, bossa nova, smooth jazz","Raconte-Moi",2010-03-15,79,49,1,56,0,20,-20,C♯/D♭ Minor,4,0HscTiDcU2346DJAtjJThS,GBKRR0900302
18,"J'ai Deux Amours","Madeleine Peyroux",86,8B,23,2018-10-25,02:54,0,"french jazz, vocal jazz, jazz, jazz pop","Careless Love",2004-01-01,51,94,0,27,0,10,-10,C Major,4,0biTkeEEuFheRYeXJRg5R1,USRO20419208
19,"Theme from New York, New York","Frank Sinatra",108,10B,60,2018-10-25,03:24,0,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Sinatra: Best Of The Best",2011-11-15,44,61,0,55,0,20,-5,D Major,4,5jsaGfomzaaDtX32X4sNyk,USRH11102502
20,"Beyond the Sea","Bobby Darin",136,7A,52,2018-10-25,02:52,54,"big band, adult standards, swing music, doo-wop","The Ultimate Bobby Darin",2004-11-23,52,72,0,57,0,20,-7,D Minor,4,2EIaO5knwUA3F2qnf9LV3S,USEW10000026
21,"I've Got You Under My Skin","Frank Sinatra",127,3B,42,2018-10-25,03:42,0,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Sinatra: Best Of The Best",2011-11-15,59,59,0,58,0,0,-6,C♯/D♭ Major,4,7zNslH4HCHeIqIYayKDGbD,USCA21102114
22,"(They Long To Be) Close To You","Carpenters",89,4B,32,2018-10-25,04:34,0,"christmas, adult standards","The Essential Collection (1965-1997)",2002-01-01,54,71,0,22,0,10,-11,G#/A♭ Major,4,1DiP1KYlzeNysRN5JHLbfx,USAM17000373
23,"At Last","Aretha Franklin",95,7B,51,2018-10-25,03:53,39,"soul, motown, classic soul","Aretha Franklin Sings The Great Diva Classics",2014-10-17,55,26,0,28,0,10,-7,F Major,3,5nSzvsTiu2hIYKGrDn141h,USRC11402320
24,"Chances Are - Single Version","Johnny Mathis",78,6B,31,2018-10-28,03:02,45,"christmas","The Essential Johnny Mathis",2004-05-04,32,88,0,26,0,10,-9,A#/B♭ Major,4,2eg3CoqVGI21N8115BgdQA,USSM15700524
25,"(I Left My Heart) In San Francisco","Tony Bennett",128,8B,8,2018-11-09,02:57,58,"vocal jazz, christmas, big band, adult standards, jazz","I Left My Heart In San Francisco",1962-06-18,31,96,0,13,0,10,-18,C Major,4,1bYItjcPRtxZs6Ir71O5RB,USSM19909797
26,"Le Poisson Des Mers Du Sud","Isabelle Antena",141,10A,23,2020-01-30,04:13,53,"french jazz","Hoping for Love",1987-00-00,71,89,0,43,0,0,-15,B Minor,4,0OtLnXYlL9nvUDhD5CCVaY,USTCB0983640
27,"Sympathique (Je ne veux pas travailler)","Pink Martini",129,7B,35,2020-05-23,02:48,57,"french jazz, lounge","Sympathique",1997-00-00,57,73,0,78,0,10,-12,F Major,4,1sKpay0q1lsH8RgafNzdI1,USHNZ0400003
28,"Put Your Head on My Shoulder","Paul Anka",116,9B,43,2020-07-11,02:35,65,"adult standards","Sings His Favorites",1966-00-00,55,91,1,49,0,0,-9,G Major,3,7eqNATKM78MkWP6aHGXHEV,USRC11602670
29,"Desafinado","João Gilberto",83,12B,43,2021-06-01,01:58,49,"bossa nova, brazilian jazz, samba, latin jazz, cool jazz, jazz","Ultimate Guitar Classics 1951-1961",2013-03-15,52,74,0,74,0,10,-9,E Major,4,2GW4RDBkjLWUDjumnHB3K1,US6R21315274
30,"I Wish You Love","Sam Cooke",81,11B,36,2023-08-25,02:26,59,"motown, soul, classic soul","Mr. Soul",1963-02,18,92,0,37,0,20,-12,A Major,4,7uIaBPSTlBaAQr1asfZ3B4,USRC16208400
