#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Die On This Hill","SIENNA SPIRO",82,4A,43,2026-03-06,03:37,31,"","Die On This Hill",2025-10-10,53,75,0,21,0,40,-5,F Minor,4,0l72HGRQkAR0imHxvpLi8a,USUG12508560
2,"The Dress (Dijon Cover) (Live) - Spotify Live Room","Olivia Dean",91,6B,47,2026-01-09,03:03,76,"pop soul","Olivia Dean - Spotify Live Room",2025-09-10,64,55,0,44,0,20,-8,A#/B♭ Major,4,1fZHgUUmFduHFLlvmiyNJX,GBUM72505605
3,"Gentleman Blue","Elysia Biro",114,9B,45,2026-03-06,03:28,20,"","Gentleman Blue",2026-01-16,78,43,0,70,0,0,-8,G Major,4,3lV07aYA51LIEH2egLXyV7,CAUM72500575
4,"Lover Girl","Laufey",88,1B,45,2026-01-09,02:44,81,"","A Matter of Time",2025-08-22,66,84,0,90,10,0,-7,B Major,4,4nwjvcUjV7cexhwA40Bh5i,QM6N22553527
5,"Moonbeam","Cassandra Coleman",153,7B,74,2026-01-09,03:58,46,"","Moonbeam",2025-11-14,52,2,0,37,0,0,-7,F Major,4,6JWYMfs0pJdNrf3b6aP5Xu,USWB12504138
6,"My Life","Julia Cumming",105,7B,56,2026-03-24,03:45,39,"","My Life",2026-02-18,59,63,0,28,0,0,-6,F Major,4,2iEVRI2wctS86shdunnJv3,USBQU2500027
7,"Gunslinger","Natalie Bergman",109,7B,62,2026-01-09,03:27,19,"Christian lo-fi","My Home Is Not In This World",2025-07-18,80,7,0,75,0,10,-5,F Major,4,3sktlLWaTQykBQ7EzceDP3,US3JJ2501193
8,"How It's Gotta Be","Nectar Woode",135,10A,58,2026-01-09,03:41,67,"","Head Above Water",2024-11-08,70,69,0,85,0,50,-7,B Minor,4,4GN2iIuQYXSMi0WJGJF7IL,GB6TW2400175
9,"picky choosy","Chelsea Jordan",100,12A,60,2026-03-06,02:53,66,"","picky choosy",2026-02-27,65,65,0,37,0,10,-8,C♯/D♭ Minor,4,3AcYk3jezQA6jc6A64mKw2,USAR12600052
10,"Nice To Each Other","Olivia Dean",132,8B,74,2026-01-09,03:29,90,"pop soul","Nice To Each Other",2025-05-30,76,41,0,74,0,30,-7,C Major,4,7gKxCvTDWwV9wBhdeBbr3l,GBUM72502230
11,"I'm Crying, Are You?","August Ponthier",124,7B,63,2026-01-09,03:00,46,"","I'm Crying, Are You?",2026-01-09,81,7,0,92,0,10,-6,F Major,4,5Gxcn52HxfnJ5PON6N5OeZ,AEA3A2087519
12,"MAYBE","Gabriela Bee",76,11B,28,2026-01-09,03:14,55,"","MAYBE",2023-12-01,38,59,0,32,0,0,-10,A Major,4,1PS9AXcHyldKbcRWhNgjOq,SGB502392830
