#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Grounding (Interlude)","ford.",67,5B,3,2021-11-25,01:24,21,"","The Color of Nothing",2020-10-16,10,99,94,3,0,0,-23,D#/E♭ Major,4,7I8XEa25kxqr0gkyzgjrPy,USA2P1950725
2,"Mindfulness","C Y G N",138,2A,25,2021-11-25,02:48,0,"lo-fi beats, lo-fi hip hop, jazz beats, lo-fi","BODY N SOUL",2018-11-07,67,53,69,69,0,10,-12,D#/E♭ Minor,4,0XTRycTWH8TR2xBEjwByNS,GBKQU1892344
3,"Afternoon Spirits","Cora Zea",90,1B,25,2021-11-25,03:31,36,"","Legend Of Zea",2019-02-14,47,97,91,30,0,10,-20,B Major,3,6kAwnVIencquZ72t4X46Lh,SE5Q51829056
4,"when the leaves come falling down","j'san",126,8A,30,2021-11-25,02:01,0,"lo-fi, lo-fi beats, lo-fi hip hop","her",2018-03-30,66,90,44,26,0,10,-16,A Minor,4,1wtrm5eTeRfEXyJNF4Low1,QM4DW1838131
5,"Discovery","AK",155,12A,32,2021-11-25,03:30,49,"chillstep","Discovery",2017-03-17,58,90,92,13,0,10,-13,C♯/D♭ Minor,4,5bO33fxvcGqZp7Pw3zIQsj,QM4DW1710174
6,"Tangerine","Alex Baker",96,8B,38,2021-11-25,04:16,25,"","Soft Focus",2021-06-25,50,7,22,12,0,10,-13,C Major,4,7uC4Z2QqG7nR5YYF31DB4B,QZHNA2159414
7,"Monday Loop","Tomppabeats",69,6B,38,2021-11-25,01:31,0,"lo-fi, lo-fi hip hop, lo-fi beats, vaporwave","Harbor",2016-05-06,74,87,0,35,0,10,-9,A#/B♭ Major,3,5qC17VMNoZdF2gAw28FtsV,DEQ121639507
8,"Whir","Affelaye",130,1A,46,2021-11-25,06:35,0,"","Thirsts",2016-04-29,52,46,21,15,10,40,-10,G#/A♭ Minor,4,6sYaUqXFlkGgWrQaFFPuXb,GBNEQ0000415
9,"Dreammybeat","Tomppabeats",75,12B,19,2021-11-25,02:25,0,"lo-fi, lo-fi hip hop, lo-fi beats, vaporwave","Oldies and Throwaways",2016-09-06,78,20,81,79,10,10,-8,E Major,4,5uYKSYFgNXJhIPZvsXWXtO,DEQ121641947
10,"Jovial","Limes",70,6A,19,2021-11-25,02:22,10,"lo-fi beats, lo-fi, lo-fi hip hop, jazz beats","Fresh Squeezed",2016-11-20,76,92,93,38,0,10,-14,G Minor,4,2COBMrpsGXEagCGkjp2Siz,QZ4JJ1626238
11,"[oops]","potsu",69,6A,26,2021-11-25,02:22,0,"lo-fi","[oops]",2017-05-17,84,54,11,66,0,10,-14,G Minor,4,7JgZbix8xDasAhbn3N7eIF,QM42K1738773
12,"Slack","ford.,Knapsack",95,8B,58,2021-11-25,03:12,0,"future bass, hyperpop","(The) Evening",2018-11-16,78,14,89,39,0,20,-6,C Major,4,72fuu9qDb0xXCH9vIaeJGa,USA2P1890729
