#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sunday Morning - Acoustic","Maroon 5",83,9B,67,2017-08-06,04:14,62,"pop","1.22.03 Acoustic",2004-00-00,55,57,0,76,0,70,-9,G Major,4,3bXhtg6H8lOMWaLZttQF6F,USJAY0400210
2,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007","Amy Winehouse",96,4A,37,2017-08-07,03:53,0,"","Back To Black: B-Sides",2007-01-01,76,74,0,68,0,10,-6,F Minor,4,6CQaVuICm1WVXyy3SZ5jEI,GBUM70702678
3,"Shadow Days - Acoustic","John Mayer",145,9B,41,2017-08-07,03:48,32,"singer-songwriter","The Complete 2012 Performances Collection",2012-08-06,64,74,0,44,0,20,-9,G Major,4,0xRAptjZV3q7Su8GwOhVqi,USSM11204925
4,"Lay It on Me","Vance Joy",128,7B,67,2017-08-07,03:34,37,"folk pop","Lay It on Me",2017-07-12,73,10,0,49,0,0,-6,F Major,4,7MUNNBJKYo3cdokp06wEOB,USAT21701955
5,"Silver Moon","Roo Panes",117,10B,27,2017-08-07,04:51,0,"indie folk","Land of the Living EP",2013-12-02,40,89,34,5,0,10,-13,D Major,4,61X18xzfxAYZGouAXm4ISi,GB5UQ1300005
6,"Best Friend - Acoustic","Amy Winehouse",79,1B,17,2017-08-07,03:26,26,"","Best Friend (Acoustic)",2008-01-01,64,83,0,30,0,20,-11,B Major,4,11DpzO37X3lrvDLS5dYta1,GBAAN0300499
7,"Shake","The Head And The Heart",111,12B,78,2017-08-07,04:01,0,"indie folk, folk pop, folk","Let's Be Still",2013-10-15,48,45,76,42,0,10,-8,E Major,4,5m1L3o7fOfLFyw6VwumROL,USSUB1306006
8,"Craving - Acoustic Version","James Bay",126,7B,11,2017-08-07,03:46,38,"","Craving (Acoustic)",2016-06-24,63,61,0,23,0,10,-10,F Major,4,6l9EToqnhtadmJ6qX9DDUl,USUM71605532
9,"Love Is Beginning","Imaginary Future",111,9B,67,2017-08-07,03:43,0,"folk pop","Sunlight",2015-03-24,60,3,0,22,0,30,-8,G Major,4,7HvFflUVEvevWThEp7k0wi,QMG5L1300002
10,"Cruel","The Head And The Heart",114,8B,37,2017-08-07,04:59,0,"indie folk, folk pop, folk","Let's Be Still",2013-10-15,36,34,0,25,0,10,-9,C Major,3,2dQ1H8MijOvXWrbTccH3IW,USSUB1306007
11,"Move Together","James Bay",131,6B,30,2017-08-07,04:35,34,"","Chaos And The Calm",2015-03-23,56,72,0,28,0,10,-11,A#/B♭ Major,3,0GDQXt7qRJIDDUmcufomrU,USUM71417671
