#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Better Now","Post Malone",145,6B,58,2019-11-26,03:51,81,"","beerbongs & bentleys",2018-04-27,67,33,0,34,0,10,-6,A#/B♭ Major,4,7dt6x5M1jzdTEt8oCbisTK,USUM71805170
2,"Treat You Better","Shawn Mendes",83,3A,80,2019-11-26,03:07,1,"","Illuminate (Deluxe)",2016-09-23,68,11,0,76,20,10,-4,A#/B♭ Minor,4,76t5B0ttSAje5KHmQbv88t,USUM71604711
3,"What Makes You Beautiful","One Direction",125,12B,79,2019-11-26,03:19,86,"","Up All Night",2012-05-25,73,1,0,89,0,0,-2,E Major,4,4cluDES4hQEUhmXj6TXkSo,GBHMU1100018
4,"There for You","Martin Garrix,Troye Sivan",106,11A,65,2019-11-26,03:41,5,"edm, progressive house, electronica, ","The Martin Garrix Collection: Deluxe Edition",2018-04-25,55,13,0,14,0,20,-8,F#/G♭ Minor,4,6Jl4RXW8Nyx8dyohnihJeT,NLM5S1600060
5,"Jackie Chan","Tiësto,Dzeko,Preme,Post Malone",128,2A,83,2019-11-26,03:35,68,"edm, trance, big room, house, ","Jackie Chan",2018-05-18,75,37,0,69,0,0,-3,D#/E♭ Minor,4,4kWO6O1BUXcZmaxitpVUwp,CYA111800123
6,"One Dance","Drake,Wizkid,Kyla",104,3B,63,2019-11-26,02:53,2,"rap, afrobeats, afrobeat, afropop, azonto, afroswing, afro r&b, afropiano, ","Views",2016-05-13,79,1,0,37,0,30,-6,C♯/D♭ Major,4,12VWzyPDBCc8fqeWCAfNwR,USCM51600028
7,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner,Seeb",102,6A,71,2019-11-26,03:17,2,"","At Night, Alone.",2016-05-06,66,4,0,69,10,0,-7,G Minor,4,17Fd6Yb7mSbinKG8LoWfFl,USUM71509342
8,"They Don't Know About Us","One Direction",148,8B,75,2019-11-26,03:21,0,"","Take Me Home: Yearbook Edition",2012-11-09,51,14,0,34,0,0,-6,C Major,4,72C7aUQECOhNtnD0AC36ua,GBHMU1200368
9,"Little Hollywood","Alle Farben,Janieck",122,9B,70,2019-11-26,03:02,56,"","Little Hollywood",2017-04-07,76,46,0,63,0,0,-6,G Major,4,1f3flfdU4VDM2OBDD2FMia,DEE861700489
10,"Silence","Marshmello,Khalid",142,12B,76,2019-11-26,03:00,79,"edm, ","Silence",2017-08-11,52,26,0,29,0,10,-3,E Major,4,7vGuf3Y35N4wmASOKLUVVU,USRC11701901
11,"Let Me","ZAYN",168,11B,57,2019-11-26,03:05,0,"","Let Me",2018-04-12,46,24,0,19,0,0,-6,A Major,4,7Fg342AJtNsIDdwCfX0paC,USRC11800871
12,"Someone You Loved","Lewis Capaldi",110,3B,41,2019-11-26,03:02,87,"soft pop","Divinely Uninspired To A Hellish Extent",2019-05-17,50,75,0,45,0,10,-6,C♯/D♭ Major,4,7qEHsqek33rTcFNT9PFqLf,DEUM71807062
13,"Remind Me to Forget","Kygo,Miguel",99,8B,51,2019-11-26,03:37,67,"tropical house, r&b","Kids in Love",2017-11-03,69,16,0,31,0,10,-6,C Major,4,6xTU6B6nFwKKTSZ9ySXS80,SEBGA1800417
14,"Circles","Post Malone",120,8B,76,2019-11-26,03:35,86,"","Hollywood's Bleeding",2019-09-06,70,19,0,55,0,0,-3,C Major,4,21jGcNKet2qwijlDFuPiPb,USUM71915699
15,"break up with your girlfriend, i'm bored","Ariana Grande",170,4A,55,2019-11-26,03:10,77,"pop","thank u, next",2019-02-08,73,4,0,34,0,10,-5,F Minor,4,4kV4N9D1iKVxx1KLvtTpjS,USUM71900409
16,"Paradise","Bazzi",122,10A,64,2019-11-26,02:49,69,"","Soul Searching",2019-08-09,84,8,0,59,0,10,-6,B Minor,4,0Rx0DJI556Ix5gBny6EWmn,USAT21901897
17,"Get You The Moon (feat. Snøw)","Kina,Snøw",119,12A,24,2019-11-26,02:59,75,"","Get You The Moon (feat. Snøw)",2018-10-08,50,72,0,9,10,10,-17,C♯/D♭ Minor,4,4ZLzoOkj0MPWrTLvooIuaa,USSM11808093
18,"Easier","5 Seconds of Summer",176,7B,43,2019-11-26,02:37,4,"","Easier",2019-05-23,51,49,0,62,20,10,-6,F Major,4,4tNXntkAzQ5A2dfYRYGIIQ,USUG11901520
19,"Only Human","Jonas Brothers",94,8B,50,2019-11-26,03:03,72,"","Happiness Begins",2019-06-07,80,11,0,87,0,0,-6,C Major,4,0DiDStADDVh3SvAsoJAFMk,USUG11901281
20,"Olivia","One Direction",118,2B,68,2019-11-26,02:57,66,"","Made In The A.M. (Deluxe Edition)",2015-11-13,64,4,0,68,0,10,-5,F#/G♭ Major,4,5dONhl6aXFuN86UBdayF6W,GBHMU1500110
21,"You & I","One Direction",131,3B,33,2019-11-26,03:57,81,"","Midnight Memories (Deluxe)",2013-11-25,57,22,0,36,0,10,-7,C♯/D♭ Major,4,2afCBiru10AFckfOa49wIa,GBHMU1300213
