#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"A Couple Minutes","Olivia Dean",125,5B,41,-,03:32,90,"pop soul","The Art of Loving",2025-09-26,56,71,0,16,0,30,-8,D#/E♭ Major,4,312z6PZ8wwREck8613PkJk,GBUM72503093
2,"I Thought I Saw Your Face Today","She & Him",158,9B,55,-,02:50,93,"christmas","Volume One",2008-03-18,36,33,0,53,0,30,-8,G Major,4,0myRViRgmQ3J8izICXEAVO,USMRG0832405
3,"Who Knows","Daniel Caesar",121,4A,26,-,03:46,90,"","Son Of Spergy",2025-10-24,67,76,0,39,0,30,-15,F Minor,4,6DH13QYXK7lKkYHSU88N48,USUG12505893
4,"Raindance (feat. Tems)","Dave,Tems",107,3B,74,-,03:39,96,"grime, uk grime, uk drill, drill, afrobeats, afro r&b, alté, afrobeat","The Boy Who Played the Harp",2025-10-23,80,24,6,25,0,10,-7,C♯/D♭ Major,4,3oTuTpF1F3A7rEC6RKsMRz,GBUM72506029
5,"Bless the Telephone","Labi Siffre",136,7A,18,-,01:40,80,"","The Singer and the Song",1971-00-00,57,98,0,23,0,10,-17,D Minor,4,0620OecAlwJQxWieRW4L9s,GB01A0600023
6,"Yebba’s Heartbreak","Drake,Yebba",120,1A,16,-,02:13,81,"rap, ","Certified Lover Boy",2021-09-03,48,97,4,9,0,10,-12,G#/A♭ Minor,4,1PDP7mLiAMwhfmgIwzhOm2,USUG12104407
7,"Better in the Dark","Jordana,TV Girl",90,11B,64,-,02:35,82,"","Summer's Over",2021-10-13,68,28,0,70,0,60,-7,A Major,4,3SeDS5sSoWnwAZvVgkdKzf,QM5BK1900509
8,"Evergreen","Richy Mitch & The Coal Miners",79,5B,22,-,01:27,83,"","RMCM",2017-05-17,56,56,0,50,0,10,-12,D#/E♭ Major,3,6me7F0aaZjwDo6RJ5MrfBD,SEYOK1732035
9,"Evergreen (You Didn’t Deserve Me At All)","Omar Apollo",82,11B,34,-,03:36,83,"bedroom pop","Ivory",2022-04-08,70,60,1,31,0,10,-10,A Major,3,2TktkzfozZifbQhXjT6I33,USWB12200423
10,"SLOW DANCING IN THE DARK","Joji",89,5B,48,-,03:29,87,"","BALLADS 1",2018-10-26,52,54,1,28,0,10,-7,D#/E♭ Major,4,6rY5FAWxCdAGllYEOZMbjW,ZZOPM1800452
11,"No One Noticed (Extended Spanish)","The Marías",98,9B,30,-,04:44,81,"bedroom pop","No One Noticed (Extended)",2024-11-15,63,70,3,35,0,10,-11,G Major,4,2kn0fLwt9QRorHuGdmk6ze,USAT22410707
12,"Dizeres","Orgânico,Lourena,Sant,Léo Casa 1,Rap Box",142,6B,48,-,04:17,71,"brazilian hip hop, boom bap","Dizeres",2018-12-07,83,67,0,83,10,0,-4,A#/B♭ Major,4,4HQ4VFKOJRnTGZlYOOgrr6,BRC1S1800201
13,"Coming Up Roses","Harry Styles",176,6B,24,-,04:08,90,"","Kiss All The Time. Disco, Occasionally.",2026-03-06,32,56,0,31,0,0,-11,A#/B♭ Major,3,0QPdjsMOUhwouq1NS3HwfQ,USSM12600103
14,"Lonely Nights","Hollow Coves,Priscilla Ahn",170,6B,31,-,03:39,54,"indie folk, ","Lonely Nights",2021-03-26,51,87,19,61,0,30,-16,A#/B♭ Major,4,1NDRPRFMVnmjqfyfokw2Kq,CAN112100023
15,"Anchor","Novo Amor",117,11B,41,-,04:17,81,"ambient folk","Bathing Beach",2017-05-26,46,81,88,13,0,10,-11,A Major,4,7qH9Z4dJEN0l9bidizW7fq,TCACI1562836
16,"rises the moon","Liana Flores",137,4A,13,-,02:41,82,"","recently",2019-04-10,48,95,14,20,0,10,-20,F Minor,3,51Grh1RyUDcMBbpuyUIUHI,QZDA61986777
17,"Let Me Go","Daniel Caesar",153,6A,47,-,03:36,77,"","NEVER ENOUGH",2023-04-07,59,69,0,45,0,10,-8,G Minor,4,3ym8ajVmKm6Fybgov3WBI5,USUG12209350
18,"Float","Olivia Dean",140,9B,40,-,03:03,75,"pop soul","Growth",2021-07-30,62,72,0,35,0,10,-10,G Major,4,031T6v4JIcPlkbzOrpzOnv,GBUM72104560
19,"Nothing's Gonna Hurt You Baby","Cigarettes After Sex",97,12B,33,-,04:46,83,"dream pop","I.",2012-07-21,51,27,14,10,0,10,-14,E Major,4,3W7KHojYGgYaoX9ogKO9hU,TCACJ1593857
20,"Lost In The Light","Bahamas",76,10B,27,-,03:56,69,"","Barchords",2012-01-01,60,79,0,25,0,10,-9,D Major,4,6IBpFG2LU2udYofIuROp3w,USUM71115233
21,"Lover, You Should've Come Over","Jeff Buckley",119,10B,60,-,06:44,85,"","Grace",1994-00-00,39,36,0,15,0,10,-6,D Major,3,6Jv7kjGkhY2fT4yuBF3aTz,USSM19400916
22,"Sienna","The Marías",148,9B,47,-,03:44,88,"bedroom pop","Submarine",2024-05-31,69,58,57,59,0,10,-9,G Major,4,0InIeZW4P6VO7dUGRM4AKH,USAT22400849
23,"hotline (edit)","Billie Eilish",57,8A,25,-,01:00,74,"","hotline (edit)",2023-05-09,52,82,86,30,0,10,-16,A Minor,4,0WFryfbNKPXVtVQlz5dZ8H,USUM72307244
24,"Reflections","The Neighbourhood",114,10A,59,-,04:04,85,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,65,11,5,54,0,10,-7,B Minor,4,2xql0pid3EUwW38AsywxhV,USSM11800527
25,"Lovers Rock","TV Girl",105,4A,87,-,03:33,88,"","French Exit",2014-06-05,56,0,1,57,0,10,-5,F Minor,4,6dBUzqjtbnIa1TwYbyw5CM,USHM21438143
26,"San Luis","Gregory Alan Isakov",83,6A,43,-,04:32,73,"indie folk, folk, folk pop","Evening Machines",2018-10-05,57,86,26,26,0,10,-13,G Minor,4,0mnWNvwXRNu82bpfi2rsuz,USDMG1888302
