#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"You Do You","Lukas Hiraeth",112,8B,43,-,02:21,58,"lounge","You Do You",2025-06-20,71,65,90,63,0,0,-20,C Major,4,6YoNh7HiardYLs9qfIGMJB,QZAKB2510249
2,"traveling","Ocean Silhouette",106,7A,49,-,02:14,62,"lounge","traveling",2025-12-19,84,66,89,63,0,10,-16,D Minor,4,0WJmUMzYaJ8EGbLUrHoKcG,SE69Z2514809
3,"Leftside","Jordan Moon",116,4A,71,-,02:41,55,"jazz house, lounge","Leftside",2025-02-14,80,16,82,45,0,10,-15,F Minor,4,5vjlMzjjYZS9WyAPUjkDFj,SE69N2505088
4,"Man I Need","Olivia Dean",119,3B,59,-,03:04,97,"pop soul","Man I Need",2025-08-15,81,49,0,69,0,0,-7,C♯/D♭ Major,4,1qbmS6ep2hbBRaEZFpn7BX,GBUM72503089
5,"As I Am","Piece Wise,Etza,bailey",116,9B,40,-,02:56,57,"deep house, ","As I Am",2025-07-25,55,64,15,16,0,0,-15,G Major,4,24J93dHzAmVL7Lk3ogIFB9,DEH742519395
6,"Sparks","Coldplay",103,3B,27,-,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
7,"Everything","Gotts Street Park,Rosie Lowe",82,8B,50,-,03:35,66,"","Volume Two",2020-11-27,66,14,21,62,0,20,-9,C Major,4,2ncwkPlvdbLpgd3d1Kvlo6,GBPVV2003221
8,"Rising Sun","Ocean East",105,10A,52,-,02:46,57,"","Rising Sun",2026-02-13,59,60,90,4,0,10,-13,B Minor,4,4kQMYQM70PTPnqy7mvm6yW,DEH742600864
9,"One Last Night","Vaults",90,3A,59,-,03:21,54,"","Caught In Still Life",2016-12-02,39,20,2,40,0,10,-8,A#/B♭ Minor,4,157wQAD7Lvxvz3J0R3ixYk,GBUM71406656
10,"Petals","Bibio",77,8A,34,-,02:36,54,"ambient folk, downtempo","A Mineral Love",2016-04-01,31,89,1,19,0,10,-8,A Minor,4,2wQlywnCQG88drPNdEOuRO,GBBPW1500233
