#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"silkysmooth","Landayn",114,8A,49,2026-03-04,02:41,55,"lounge","silkysmooth",2025-07-06,81,21,75,24,0,0,-20,A Minor,4,2x4o4WaPZRtdkWiJoZ5yYK,QZAKB2511764
2,"Vivid Dreams","Valea",114,11B,31,2026-03-04,02:18,50,"lounge","Vivid Dreams",2026-01-28,81,50,67,50,20,10,-13,A Major,4,39ppHxmUzINffdhc95Kbni,FXQ892500777
3,"Heaven","Jordan Moon",112,8B,55,2026-03-04,01:55,54,"jazz house, lounge","Heaven",2024-11-15,78,17,82,55,10,10,-14,C Major,4,5sDlKM21xZl44uULQRadnX,SE69N2414743
4,"Hypnosis","gabriel",117,4A,45,2026-03-04,02:13,53,"jazz house","Hypnosis",2026-02-26,79,80,91,44,0,10,-14,F Minor,4,1pA1Jikw9RoZzLo0NeIkBK,FR9Z62500976
5,"You Do You","Lukas Hiraeth",112,8B,43,2026-03-04,02:21,58,"lounge","You Do You",2025-06-20,71,65,90,63,0,0,-20,C Major,4,6YoNh7HiardYLs9qfIGMJB,QZAKB2510249
6,"CPH","dublon,Nathan Haines",118,6B,69,2026-03-04,02:05,51,"jazz house, nu jazz","CPH",2025-03-28,67,76,92,34,10,10,-12,A#/B♭ Major,4,1p7OcSfDwx3kr4m4E23UPB,FR9Z62500176
7,"Filet Mignon","Life's A Beach",117,7A,39,2026-03-04,02:00,53,"tropical house","Filet Mignon",2026-02-13,75,40,75,55,0,10,-13,D Minor,4,0E6xqQkX0D3wv86vIvj70S,GX89G2625968
8,"Boulangerie","Erwin Do,Zimbr,Erwo",114,7A,71,2026-03-04,01:44,52,"jazz beats, lo-fi, lo-fi beats, jazz house, lo-fi house","Boulangerie",2026-02-23,78,20,68,9,0,10,-12,D Minor,4,4W5HVY99GDQSNmTPKQBxaf,US3DF2610506
9,"she loves jazz","St-Amour,KIMBER,MiQu",116,1A,54,2026-03-04,02:36,56,"jazz house","she loves jazz",2026-02-13,60,48,56,27,0,10,-11,G#/A♭ Minor,4,6OwJpp1cHkaq9j6v3wqYCp,US3DF2607210
10,"Elegant Ways - Edit","Soul to Speak",110,8A,44,2026-03-04,02:33,50,"lounge","Elegant Ways - Edit",2024-12-20,71,0,79,37,0,10,-15,A Minor,4,3CjPc376uBgtzW0GT7dcIt,SE69Z2443831
11,"Night Bloom (Remix)","philocalie,Lennex,Erwo,MÒZÂMBÎQÚE",120,8A,60,2026-03-04,02:18,53,"jazz house, lo-fi house","Night Bloom (Remix)",2026-02-09,75,76,90,52,0,10,-12,A Minor,4,51uGn1P2KylEBDVbsWhOHg,US3DF2605135
12,"joycelyn's dance","berlioz",114,7A,50,2026-03-04,03:18,63,"jazz house, jazz","open this wall",2024-07-12,75,72,90,38,0,10,-14,D Minor,4,3z0JwddAR5GASTxnKExIw1,GX3Q92417807
13,"Far Away","Mygg An",110,3A,52,2026-03-04,02:04,51,"lounge","Far Away",2024-11-22,75,24,88,24,0,10,-14,A#/B♭ Minor,4,1cFU29X7CFSlTIhLZPkfX4,SE7DX2406350
14,"Take It Easy","Painted Dunes,bari",123,9A,61,2026-03-04,03:03,48,"jazz house","Take It Easy",2026-02-27,72,75,92,21,10,0,-10,E Minor,4,632RZGZzWGjciRdT43DBDH,QZJG52647250
15,"Traced Sunbed","Minima Bleu",105,4B,40,2026-03-04,02:29,48,"","Traced Sunbed",2026-02-04,73,86,57,44,10,10,-12,G#/A♭ Major,4,1rM4SYn1qsMpasnXoz1ZGD,FXQ892500581
16,"Something for Nothing","King Bøb",112,5A,40,2026-03-04,02:36,52,"jazz house, lounge","Something for Nothing",2025-04-04,63,24,92,28,0,10,-18,C Minor,4,55mPgbttpZRgmbSyo5UXbq,QZAKB2468121
17,"Orchid Design Studio","Juando,bynemo",122,10A,87,2026-03-04,03:41,48,"jazz house","Orchid Design Studio",2025-11-26,73,21,95,72,0,10,-8,B Minor,4,16kIzUJrZAFdrJwS7FG9c3,FR9Z62500756
18,"Instinct","Mack Walker,morisan",117,7A,71,2026-03-04,03:04,48,"jazz house","Instinct",2026-02-27,65,56,90,43,0,10,-11,D Minor,4,5GBifN35eSKZnVskAiDjrQ,QZK6H2608490
19,"Phases","Astrovox",120,8A,54,2026-03-04,02:02,51,"jazz house, lounge","Phases",2025-05-23,76,7,87,27,0,10,-11,A Minor,4,2yIhzbIcSxJF2CCgqU0Ay2,SE69N2506044
20,"Heal","TABLE,dublon",116,1A,71,2026-03-04,01:58,52,"jazz house","Heal",2025-10-17,57,72,81,18,10,20,-10,G#/A♭ Minor,4,2Hvjrpsts297K6ymNEggAf,QMFME2586457
21,"Sophisticated Clubbing","Life's A Beach",118,1B,50,2026-03-04,02:13,51,"tropical house","Sophisticated Clubbing",2025-11-21,65,60,92,19,0,10,-14,B Major,4,3yEKzNw7nz7TBLdj1rDrQV,GXHZK2515369
22,"Palmeiras","Thomas Asselman,morisan",122,1A,54,2026-03-04,03:28,55,"jazz house, jazz beats","Palmeiras",2026-02-02,74,18,87,73,0,0,-14,G#/A♭ Minor,4,6TzfLnIEEARemHC3ABqNwY,US3DF2602845
23,"On & On","bari,Nathan Haines",118,8A,84,2026-03-04,03:27,50,"jazz house, nu jazz","On & On",2026-02-09,77,13,58,46,0,20,-8,A Minor,4,6Khjz6ZTdxhVujmB4fUWsK,FR9Z62501052
24,"Trifecta","Chairten",120,1A,41,2026-03-04,03:00,49,"lounge","Trifecta",2025-09-26,86,4,83,74,10,10,-10,G#/A♭ Minor,4,7gum4Pf0fZkHjSKFUBTJw6,SE7DX2502048
25,"Turquoise","NRMNT",126,2A,73,2026-03-04,03:04,45,"jazz house, lo-fi house","Turquoise",2026-03-04,84,17,88,42,10,10,-11,D#/E♭ Minor,4,1kxu1MLt2SsXGso9l6Tsdw,US3DF2611471
26,"Stencils","Jordan Moon",106,9A,53,2026-03-04,02:48,58,"jazz house, lounge","Stencils",2026-02-06,66,36,74,27,0,10,-13,E Minor,4,463Lbeh622AWB00MTqxcZs,SE69N2507684
27,"Brushed","Ajmw,Blanc",122,6B,56,2026-03-04,02:37,48,"jazz house, lo-fi hip hop, lo-fi beats, lo-fi, jazz beats","Brushed",2026-03-03,77,19,80,57,0,0,-11,A#/B♭ Major,4,563zLgTKwJrVAvLMlUk0nc,FR9Z62501024
28,"Cherry","Tullio",78,5B,56,2026-03-04,02:20,47,"jazz house, lounge, tropical house","Cherry",2026-02-12,40,77,0,43,0,20,-10,D#/E♭ Major,5,1EUA7zBPgd3fKdmM1X94Gv,FR9Z62500893
29,"Something Else","Half Tone",116,7B,47,2026-03-04,02:33,50,"lounge","Something Else",2025-09-26,77,42,89,20,0,10,-13,F Major,4,71mtIO6zZnGBkjaFxrjOKf,SE5W32507729
30,"Take a Seat","kuki",97,8A,27,2026-03-04,02:03,42,"lounge","Take a Seat",2026-02-11,59,82,71,47,10,10,-16,A Minor,1,5PMUq6WAdiAUILZN2TI9OY,FXQ892600032
31,"Argentine","St-Amour,cezanne",123,8A,62,2026-03-04,02:01,56,"jazz house","Argentine",2026-02-27,61,86,23,18,0,10,-12,A Minor,4,36jEyI8c0AL5eqN5D6klvt,US3DF2610514
32,"Swing It","Bear Frantz",100,1A,33,2026-03-04,02:29,56,"lounge","Swing It",2026-01-23,77,10,90,28,0,10,-12,G#/A♭ Minor,4,6itXfDv6NMTGuciHIXrY9j,SE7DX2502041
33,"Listen to the Barman","Nebulae Waves,Moryla",120,12A,60,2026-03-04,02:00,50,"jazz house","Listen to the Barman",2024-07-26,71,1,54,17,0,10,-14,C♯/D♭ Minor,4,6EVtr6emiHxxQ8zbgGmGT9,DEH742421933
34,"Flourish","IONA,Noé Mina",120,10B,69,2026-03-04,02:48,47,"lo-fi beats, jazz house, lo-fi, jazz beats","Flourish",2025-07-17,73,80,11,50,30,10,-12,D Major,4,4Hh1GjfBEjUsYzScundoWs,FXQ892500127
35,"Tropical Luxury","Juando",120,2B,87,2026-03-04,03:57,50,"jazz house","Tropical Luxury",2025-11-04,83,26,90,83,10,10,-9,F#/G♭ Major,4,35qZ5s83cjjbFxVvrcaBEp,FR9Z62500754
36,"Seconds","Rayo del Sol",118,10A,70,2026-03-04,02:14,47,"jazz house","Seconds",2025-05-23,75,16,86,38,10,10,-10,B Minor,4,3kiqy3JvYaOYIfqtkIraYL,SE5W32506463
37,"roma to paris to jozi","MiQu,St-Amour,KIMBER",118,5B,57,2026-03-04,02:15,54,"jazz house","roma to paris to jozi",2026-01-30,57,81,89,34,0,10,-12,D#/E♭ Major,4,5oXdet7tsBaQjcfKBSSHxR,US3DF2600738
38,"As If","dublon",116,12B,40,2026-03-04,02:23,51,"jazz house","As If",2025-02-14,67,90,52,29,20,10,-15,E Major,4,3QiPB7sjCdwBFbI24ewr5s,FR9Z62500012
39,"All Around","Noah May",110,8A,64,2026-03-04,02:57,44,"","All Around",2026-01-23,73,8,76,23,0,10,-8,A Minor,4,38H7Cb1GtX294I6UV2gIWO,SE5W32600293
40,"traveling","Ocean Silhouette",106,7A,49,2026-03-04,02:14,62,"lounge","traveling",2025-12-19,84,66,89,63,0,10,-16,D Minor,4,0WJmUMzYaJ8EGbLUrHoKcG,SE69Z2514809
41,"Beverly Hills Cruise Beats","Carlton Ranks",110,4A,71,2026-03-04,02:26,47,"lounge","Beverly Hills Cruise Beats",2025-12-05,75,1,88,92,0,0,-8,F Minor,4,7vfIeSd3wJWbkIjr2Y1VeO,SE7DX2503181
42,"Maitri","Godblesscomputers",115,4B,49,2026-03-04,02:57,52,"jazz house","Maitri",2025-02-28,82,18,94,42,0,60,-10,G#/A♭ Major,4,0xFHnQK9wKmpkDdqKtgOt5,FR9Z62500020
43,"Ocean Sofa","Noir Vista",105,7A,36,2026-03-04,02:24,49,"lounge","Ocean Sofa",2026-01-30,76,53,91,37,0,10,-14,D Minor,4,130dc1ozKqoenP7oMpeDcf,SE69Z2514542
44,"Jazz Club","Meladonica",113,12A,91,2026-03-04,02:25,48,"lounge","Jazz Club",2026-01-23,70,2,80,34,0,20,-6,C♯/D♭ Minor,4,4sWy3YWDhUimRPsdVMMTU0,SE7DX2503170
45,"Bellini","West & Zander",120,4A,43,2026-03-04,04:37,48,"lounge, jazz house","Bellini / Macua",2024-08-13,83,90,76,37,10,10,-14,F Minor,4,61KnzdL9uPVpaXB5oBLGYE,SE5Q52401676
46,"Energy","gabriel",118,4A,44,2026-03-04,02:12,54,"jazz house","Energy",2026-01-29,72,84,91,6,0,10,-13,F Minor,4,7mlUXgeLNbqTB2qRzBNeJp,FR9Z62500928
47,"Reef's Shore","Nebulae Waves,Moryla,Living Room,Plage Noir",116,3A,68,2026-03-04,02:45,46,"jazz house, lo-fi hip hop, lo-fi, lo-fi beats","Reef's Shore",2025-12-19,69,69,83,38,0,10,-10,A#/B♭ Minor,4,3F4CwZbnjsJIpD9Db1n9vP,USANG2551934
48,"Where are our voices.","Bolden.",120,5A,56,2026-03-04,02:24,48,"jazz house, jazz","Where are our voices.",2025-07-25,53,95,84,22,0,10,-15,C Minor,4,20QuH7i9VEeBw9DpPvoCCA,SE6XX2507206
49,"⁠Apt To Sidewalk Stand","Tar Blanche",122,10A,50,2026-03-04,03:24,53,"jazz house","How To Dance Freely Without Social Anxiety",2025-10-10,66,6,82,41,0,10,-16,B Minor,4,5deJC7o86gjJoPobebQohn,FR9Z62500234
50,"De Vere","Mack Walker",120,8B,51,2026-03-04,02:27,55,"jazz house","De Vere",2025-01-03,51,69,37,17,0,20,-10,C Major,4,5QBuldX6YpnOtKfuQPlamh,QZZ7P2470679
51,"Fork In The Road","Yavuz Grill",108,4A,62,2026-03-04,02:07,46,"lounge","Fork In The Road",2024-09-20,81,30,84,14,0,10,-8,F Minor,4,76gYQp3Y5nDRh8IhwjtA46,SE7DX2406210
52,"L'amour","Cartizze",116,12A,45,2026-03-04,02:16,50,"jazz house","L'amour",2025-05-09,58,55,7,39,0,10,-16,C♯/D♭ Minor,4,4xtzWiQjZDRsw6yhhk2Nry,IT2GN2500149
53,"Ambrosia","Sombra Azul",113,8A,51,2026-03-04,02:16,47,"jazz house, lounge","Ambrosia",2025-10-03,75,8,65,62,0,10,-12,A Minor,4,7ibIRUtuqPL0PkWlaQgdgC,SE5W32507823
54,"Leftside","Jordan Moon",116,4A,71,2026-03-04,02:41,55,"jazz house, lounge","Leftside",2025-02-14,80,16,82,45,0,10,-15,F Minor,4,5vjlMzjjYZS9WyAPUjkDFj,SE69N2505088
55,"One Day","King Bøb",110,1B,38,2026-03-04,02:41,46,"jazz house, lounge","One Day",2025-04-18,84,22,61,63,0,10,-17,B Major,4,0dxvLgMHkYyA50mq1WXgjX,QZAKB2472316
56,"Cloud Nine","Maison Lune",115,12B,60,2026-03-04,02:19,45,"lounge","Cloud Nine",2025-09-03,77,13,9,37,10,50,-9,E Major,4,2REwPu5u7z7Vai6nxo1KbX,FXQ892500203
