#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Beautiful Tango - Unplugged","Hindi Zahra",122,10A,21,2020-12-21,04:25,0,"tango","Until The Next Journey",2009-00-00,75,91,0,33,0,10,-10,B Minor,4,5dWPsvlU7vXHNknlb3oOdA,FR9W11102789
2,"Águas De Março","Elis Regina,Antônio Carlos Jobim",144,5A,52,2021-09-06,03:34,70,"mpb, bossa nova, brazilian jazz, samba, latin jazz","Elis & Tom",1974-06-17,68,70,0,67,20,10,-12,C Minor,4,15ouqiBsgL12olEwP3COsH,BRPGD7400001
3,"Só Danço Samba","Stan Getz,Luiz Bonfá",78,10B,36,2021-09-06,03:36,64,"bossa nova, jazz, brazilian jazz, cool jazz, latin jazz, jazz ballads","Jazz Samba Encore!",1963-00-00,58,68,5,72,0,10,-15,D Major,4,5je0CDv1Z1hT82Nek1Fjhl,USF096300990
4,"Feel Like Making Love","Gene Lawrence",102,7A,66,2021-09-12,03:30,0,"","Beach Diggin', Vol. 3",2015-07-10,74,82,22,56,0,10,-10,D Minor,4,17TiN7x492dTA2VCnyDGih,FR4EO1500010
5,"Just The Two Of Us","Cyrille Aimee,Diego Figueiredo",96,4B,32,2021-09-12,05:01,0,"french jazz, vocal jazz, jazz, jazz pop, brazilian jazz","Just The Two Of Us",2010-11-17,71,91,0,50,0,10,-7,G#/A♭ Major,4,5AeBvPma98hGzkk5RVOc7A,JPI291170505
6,"Zum-Zum","Edu Lobo",98,8A,23,2021-09-06,02:50,54,"bossa nova, brazilian jazz, mpb","Cantiga De Longe",1970-04-07,58,86,31,76,0,10,-18,A Minor,4,4ApvuCjlZNe3RoIFoBX29y,BRMCA7000107
7,"Know-How - Radio Mix","Kings of Convenience,Feist",160,4B,58,2021-09-12,03:17,0,"","Know-How",2004-01-01,62,58,30,91,0,10,-11,G#/A♭ Major,4,4cxvcJUtVOQU3Sq8hLfvBH,GBDCG0400025
8,"Samba Da Benção","Bebel Gilberto",81,2B,49,2021-09-06,04:47,51,"bossa nova, brazilian jazz, mpb","Tanto Tempo",1996-04-14,66,16,0,56,0,10,-10,F#/G♭ Major,4,5cFYzOBhIkED9cEeeksveU,BE6F50001600
9,"Ain't No Sunshine","Karen Souza",148,8B,64,2021-09-12,04:05,54,"bossa nova, vocal jazz, jazz pop, lounge, jazz","Ain't No Sunshine (Instant Love)",2017-06-30,65,52,15,64,0,30,-9,C Major,4,1h82hRmuAeHb7gXNHbV6Xb,QM6MZ1776098
10,"Flight Attendant","Josh Rouse",120,10A,44,2021-09-12,04:46,51,"","1972",2003-00-00,65,30,31,18,0,10,-12,B Minor,4,51b932KKxiuq7pMxfTqwW6,USRY29600126
11,"Gatekeeper","Feist",110,8A,6,2021-09-12,02:16,39,"","Let It Die",2004-01-01,85,96,0,33,0,10,-16,A Minor,4,3RYbXTVdT6XtRkr36XZWrc,FRZ020302430
12,"Manhã de Carnaval [1]","Luiz Bonfá",105,8A,4,2021-09-06,02:27,49,"bossa nova, brazilian jazz, latin jazz","Solo in Rio 1959",2005-02-22,70,87,83,53,0,10,-24,A Minor,4,2fQbtkh0GJLHbOCdbdb5Lm,USSF10548311
13,"We Used to Call It Love","Mayra Andrade",188,8A,66,2021-09-12,03:55,46,"french jazz, fado","Lovely Difficult",2013-11-11,61,36,3,83,10,10,-14,A Minor,4,1A3bkONja8rG7tfNHkaquM,FRZ081300042
14,"Longing For Your Love","Ady Suleiman",94,10B,21,2021-09-12,05:29,39,"","Memories",2018-03-09,69,90,0,15,0,10,-9,D Major,4,0kEk0BqLdwHvKGYc9Lc3Xi,GBGLW1700234
15,"Don't Think Twice, It's Alright","Emilie-Claire Barlow",96,1A,44,2021-09-12,04:40,58,"french jazz, vocal jazz, jazz, bossa nova","The Beat Goes On",2010-10-12,66,91,0,80,0,10,-11,G#/A♭ Minor,4,6UeCjzfLUBhHOtney81sPn,CABJ61000004
16,"Stone","Alessia Cara,Sebastian Kole",128,2B,51,2020-12-14,03:48,0,"","Know-It-All (Deluxe)",2015-11-13,77,32,0,34,0,0,-6,F#/G♭ Major,4,0b3qOB5v3kqL1obw0hrfFo,USUM71506812
17,"K.","Cigarettes After Sex",94,5B,40,2021-09-12,05:19,1,"dream pop","Cigarettes After Sex",2017-06-09,45,15,82,31,0,10,-10,D#/E♭ Major,4,7LX4aXtvImhdgUHQBlo8Kp,USBQU1600214
18,"Samba De Verão","Caetano Veloso",120,7B,30,2021-09-06,03:07,66,"mpb, bossa nova, samba","A Bossa De Caetano",2000-01-01,73,89,22,46,0,10,-17,F Major,4,1vt0n3GcAYrsSMue1C6OtC,BRLUM9800084
19,"Aime-moi","Ariane Brunet",91,11B,49,2020-12-21,03:16,42,"chanson québécoise, french jazz, pop québécoise","Le pied dans ma bulle",2010-10-26,78,54,0,24,0,10,-8,A Major,4,3Nx0tpFFwD0xdw424rhhfN,CAV501039302
20,"Picture of My Life","Jamiroquai",120,7A,44,2021-09-12,03:44,49,"acid jazz","A Funk Odyssey",2001-08-29,67,56,0,49,0,10,-9,D Minor,4,0JSinz03ZGQxKtCH3yBg6W,GBBBN0102224
21,"Old Pine","Ben Howard",130,7B,36,2020-12-14,05:28,66,"indie folk, folk pop","Every Kingdom",2011-01-01,40,45,5,22,0,10,-11,F Major,4,3CAX47TnPqTujLIQTw8nwI,GBUM71106250
22,"Samba Cantina","Paul Desmond",152,4A,32,2021-09-06,05:38,34,"cool jazz, jazz, bossa nova, jazz ballads, brazilian jazz","The Complete RCA Victor Recordings",2005-10-31,50,83,27,78,0,10,-17,F Minor,4,1Yimq2iZciRfLDDdeGnhiA,USBB16401007
23,"Nova Bossa Nova","Marcos Valle",96,3B,59,2021-09-06,04:05,57,"bossa nova, brazilian jazz","Nova Bossa Nova",1998-08-10,62,42,71,89,0,10,-16,C♯/D♭ Major,4,68K8VaazzURRjLf84yaOA3,GBDCR0400077
24,"Corcovado (Quiet Nights Of Quiet Stars)","Stan Getz,João Gilberto,Astrud Gilberto,Antônio Carlos Jobim",128,8A,15,2021-09-12,04:14,46,"bossa nova, jazz, brazilian jazz, cool jazz, latin jazz, jazz ballads, samba, vocal jazz, adult standards, mpb","The Girl From Ipanema - The Bossa Nova Years",1989-01-01,57,96,0,34,0,10,-16,A Minor,4,4SrJyRdyHYxxkcVMQ3QkGE,USPR36307074
25,"O","Coldplay",137,6B,22,2020-12-14,05:23,66,"","Ghost Stories",2014-05-16,37,91,83,6,0,0,-15,A#/B♭ Major,4,77yuzxCS3csrgTPSW0pvyk,GBAYE1400533
26,"Isn't She Lovely","Biréli Lagrène,Sylvain Luc",97,9B,47,2021-09-12,04:02,0,"french jazz, jazz fusion, jazz","Duet",2000-02-22,54,92,90,83,0,10,-14,G Major,3,7wGr37BhwtLiGVbHhGgkd2,FR14F9900100
27,"XO","John Mayer",174,10B,38,2020-12-14,03:33,67,"singer-songwriter","XO",2014-05-27,43,75,0,35,0,20,-10,D Major,4,7cpCU3Denug5NGZsSpQl8v,USSM11403983
28,"Apocalypse","Cigarettes After Sex",94,7B,47,2021-09-12,04:50,4,"dream pop","Cigarettes After Sex",2017-06-09,37,2,46,17,0,10,-9,F Major,4,3AVrVz5rK8Hrqo9YGiVGN5,USBQU1700034
29,"The Fall","Rhye",105,7B,62,2021-09-12,03:44,66,"","Woman",2013-01-01,66,38,70,78,0,10,-13,F Major,4,35yZkNFNVosiHE6Uj0COVM,GBUM71205639
30,"If I Ain’t Got You - James Bay Spotify Session 2015  Alicia Keys Cover ","James Bay",115,4A,18,2021-09-06,04:21,63,"","James Bay Spotify Session 2015",2015-08-07,65,74,0,33,10,70,-10,F Minor,3,1zJpJ3HPRtAYYNLWm5BJEf,USUM71510626
31,"Home","Gabrielle Aplin",139,10B,29,2020-12-14,04:09,52,"","English Rain",2013-05-13,40,76,0,25,0,10,-10,D Major,4,0OwoAzOM3ULaLoiYpC5axn,GBAYE1202437
32,"Georgia","Emily King",105,8B,22,2021-09-12,04:03,44,"pop soul","The Seven EP",2011-07-12,75,58,0,21,0,20,-15,C Major,4,4Aj1eHsMtEmjpJUWdUWiVa,TCAAZ1116505
33,"Wave","João Gilberto",141,7B,34,2021-09-12,04:41,53,"bossa nova, brazilian jazz, samba, latin jazz, cool jazz, jazz","Amoroso",1977-00-00,46,39,3,43,0,0,-17,F Major,4,3JbZ8W2aFTIEP6EidBlN38,USWB10104369
34,"come out and play","Billie Eilish",145,8B,32,2020-12-14,03:30,68,"","come out and play",2018-11-20,64,69,3,18,0,10,-15,C Major,4,7wC5eZcFS1Q1BsQ35DU6H4,USUM71818958
35,"Photograph","Ed Sheeran",108,12B,38,2020-12-14,04:18,88,"soft pop","x (Deluxe Edition)",2014-06-21,61,61,0,20,0,10,-10,E Major,4,1HNkqx9Ahdgi1Ixy2xkKkL,GBAHS1400094
36,"Something About Us (instrumental)","Kaminsky",97,10A,23,2021-09-12,04:21,40,"","Something About Us (instrumental)",2013-00-00,70,79,86,16,0,10,-17,B Minor,4,3AqXknt2P2FDcgasp4VVNI,GB-SMU-25-17750
37,"Berimbau","Astrud Gilberto",87,4A,46,2021-09-06,02:25,50,"bossa nova, brazilian jazz, latin jazz, vocal jazz, adult standards","Look To The Rainbow",1966-01-01,48,78,0,74,0,0,-13,F Minor,4,6HZMEUcs4M3JQLEJEeQuyB,USPR36500068
38,"Heavenly","Cigarettes After Sex",105,4B,43,2021-09-12,04:48,0,"dream pop","Cry",2019-10-25,54,63,65,12,0,10,-9,G#/A♭ Major,4,1Bh0UzthW8pKEnYg7v40Oa,USBQU1900118
39,"90","Pompeya",90,11A,74,2021-09-12,04:30,0,"","Tropical",2011-08-31,66,56,38,34,0,10,-7,F#/G♭ Minor,4,3C9ci1HnI8xmsOi7F3dlzM,QMFMG1488640
40,"Alright","Jordan Rakei",144,4A,29,2021-09-12,04:35,50,"indie soul, neo soul","Groove Curse",2014-08-15,51,67,0,38,0,10,-11,F Minor,3,3fVoaJNF8ALQlL0MG5XpWa,TCABY1466013
41,"Blue Sky","Lou Berry,Eylia",91,5A,25,2021-09-12,05:10,43,"","Blue Sky",2016-06-23,59,84,1,24,0,30,-12,C Minor,4,6za2eSQwAVdK89kid1Zwl0,FR2X41669459
42,"Ariana","Tony Anderson",93,2B,19,2021-09-12,09:17,44,"","Ariana",2020-01-17,51,97,90,3,0,10,-24,F#/G♭ Major,4,1ey4hhMVl1Tv9MK1y44tS0,GBKPL1977961
43,"She Will Be Loved - Radio Mix","Maroon 5",102,5A,66,2021-09-27,04:19,85,"pop","Songs About Jane: 10th Anniversary Edition",2002-00-00,65,23,0,47,0,10,-6,C Minor,4,4llK75pXNWZz6KAho2Gp16,USUM71204501
44,"If I Ain't Got You","Alicia Keys",118,9B,44,2021-09-27,03:48,85,"r&b, neo soul","The Diary Of Alicia Keys",2003-12-02,61,60,0,17,10,10,-9,G Major,3,3XVBdLihbNbxUwZosxcGuJ,USJAY0300452
45,"Ain't No Sunshine","Bill Withers",78,9A,42,2021-10-13,02:06,85,"soul","Just As I Am",1971-05-01,53,46,0,52,10,10,-11,E Minor,4,1k1Bqnv2R0uJXQN4u6LKYt,USSM10000372
46,"Heartbeats","José González",88,5B,15,2021-10-13,02:40,0,"indie folk","Veneer",2003-07-02,55,97,74,31,0,0,-17,D#/E♭ Major,4,11X4Gw3T4hoktVruLgTnm1,SEVVX0300201
47,"Sunday Morning","The Main Squeeze",147,3B,57,2021-10-13,03:49,35,"retro soul, jam band, funk","Sunday Morning",2021-08-19,49,29,0,43,20,30,-8,C♯/D♭ Major,3,5N7s7nhywtONPI5FJhabAP,QZMZ92129043
48,"Traingazing","Sam Wills,Honey Mooncie",138,1B,36,2021-10-13,03:34,0,"","Traingazing",2020-03-04,85,69,1,55,0,10,-10,B Major,4,1QIIQ1B2syNBSvQULkXgTa,US5ED2000012
