#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"I've Seen It","Olivia Dean",181,9B,15,-,02:06,86,"pop soul","The Art of Loving",2025-09-26,39,90,0,22,0,10,-16,G Major,4,6tHVEMyRfxGgQuXRzl2yOF,GBUM72503094
2,"Apocalypse","Cigarettes After Sex",94,7B,47,-,04:50,89,"dream pop","Cigarettes After Sex",2017-06-09,37,2,46,17,0,10,-9,F Major,4,1oAwsWBovWRIp7qLMGPIet,USBQU1700034
3,"Bless the Telephone","Labi Siffre",136,7A,18,-,01:40,80,"","The Singer and the Song",1971-00-00,57,98,0,23,0,10,-17,D Minor,4,0620OecAlwJQxWieRW4L9s,GB01A0600023
4,"Sparks","Coldplay",103,3B,27,-,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
5,"back to friends","sombr",93,3B,72,-,03:19,93,"","I Barely Know Her",2025-08-22,44,0,0,24,0,0,-2,C♯/D♭ Major,4,7qjZnBKE73H4Oxkopwulqe,USWB12405502
6,"Beanie","Chezile",139,7B,56,-,02:12,84,"","Beanie",2023-11-28,53,41,1,16,0,30,-6,F Major,3,5e0b9LgOfi3aJSKXFcOWRe,QZWFH2353145
7,"Like a Tattoo","Sade",136,4A,16,-,03:38,82,"","Love Deluxe",1992-10-26,56,92,0,13,0,10,-16,F Minor,4,4PEGwWH4tL6H7dGl4uVSPg,GBBBM9202008
8,"crooked the road.","Mon Rovîa",164,9B,42,-,02:55,71,"","crooked the road.",2024-08-23,64,85,1,23,0,10,-12,G Major,4,4OjdtASj8p9hTwS3D555wk,CAN112401536
9,"Coming Up Roses","Harry Styles",176,6B,24,-,04:08,90,"","Kiss All The Time. Disco, Occasionally.",2026-03-06,32,56,0,31,0,0,-11,A#/B♭ Major,3,0QPdjsMOUhwouq1NS3HwfQ,USSM12600103
10,"Coffee","beabadoobee",119,11B,14,-,02:06,73,"bedroom pop","Coffee",2017-11-04,53,98,96,30,0,10,-18,A Major,4,429NtPmr12aypzFH3FkN9l,GBK3W1800819
11,"Those Eyes","New West",120,12B,35,-,03:40,83,"","Based On A True Story...",2023-10-20,59,71,0,25,0,30,-8,E Major,3,2psRActEWsTlYYd7EDoyVR,TCAEE1990215
12,"A Couple Minutes - A COLORS SHOW","Olivia Dean,COLORS",125,5B,44,-,03:33,76,"pop soul, ","A Couple Minutes - A COLORS SHOW",2025-10-22,56,75,0,23,0,30,-8,D#/E♭ Major,4,1WiHuDPI9vNkicCNg9Tkbu,GBUM72506118
13,"Sweet","Cigarettes After Sex",96,2B,51,-,04:51,84,"dream pop","Cigarettes After Sex",2017-06-09,45,36,82,11,0,10,-9,F#/G♭ Major,4,2KhrPRV0V1FS2l4eQMJUWt,USBQU1700036
