#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Like It Is - Mixed","Coeo",123,11A,71,2024-10-14,04:40,0,"jazz house, disco house, funky house, nu disco, lo-fi house","Bargrooves Summer 2018 (Mixed)",2018-07-06,89,6,70,78,0,10,-9,F#/G♭ Minor,4,6Gs84A38VnOdX03DusViId,GBCPZ1813916
2,"nyc in 1940","berlioz,Ted Jasper",117,8A,48,2024-10-14,02:36,1,"jazz house, jazz","nyc in 1940",2022-06-03,84,34,89,59,10,0,-14,A Minor,4,6loDuwmsq6fazVxqqRhmcp,GX3Q92097437
3,"Why Why Why Why Why","SAULT",115,8A,61,2024-10-14,03:58,72,"","5",2019-05-05,81,34,6,69,0,10,-7,A Minor,4,4zwq3QUKgMNk0NSLl7fpbP,UKMEH1900013
4,"Darling","Esbe",99,8B,68,2024-10-14,03:09,64,"","Bloomsday",2015-12-11,72,9,2,42,0,10,-9,C Major,4,6ncNLU982iaD9WFb2gTwKd,USEAX1502761
5,"High No More","Hajaj",112,3A,27,2024-10-14,03:18,2,"retro soul","High No More",2021-09-24,89,1,16,81,0,10,-11,A#/B♭ Minor,4,71p2ub5QJhJTzfvXbXaUXd,USUYG1389847
6,"Show Me the Right","NEIL FRANCES",90,7A,81,2024-10-14,03:24,63,"indie soul","Show Me the Right",2017-11-17,68,22,40,69,0,0,-8,D Minor,4,7iaTCBWqabZxPhb1HgndsN,US3DF1712198
7,"Slipping Away","LEISURE",78,10A,55,2024-10-14,03:55,71,"indie soul","Sunsetter",2021-12-03,69,42,14,77,0,10,-9,B Minor,4,07AbRgKmb5KfppwtZbZqDI,CAN112000214
8,"All Of The Time","Jungle",130,4A,87,2024-10-14,03:02,62,"","Loving In Stereo",2021-08-13,69,4,10,88,0,90,-6,F Minor,4,2ezQq2qWhGO6J6q5JwC50d,GBKPL2144809
9,"Back On 74","Jungle",146,3A,76,2024-10-14,03:29,81,"","Volcano",2023-08-11,62,21,0,19,10,20,-7,A#/B♭ Minor,4,19kHhX6f6EfLU7rcO3RqjO,QM4TX2336316
10,"I've Been In Love","Jungle,Channel Tres",115,8A,51,2024-10-14,02:49,70,"hip house","Volcano",2023-08-11,68,42,0,59,0,40,-9,A Minor,4,7j3zZ2jAjzFD60UjhldhHo,QM4TX2336314
11,"My Society","De-Phazz",116,8A,77,2024-10-14,03:39,42,"nu jazz, acid jazz, downtempo, lounge, trip hop","Days of Twang",2007-05-01,82,7,0,93,0,50,-8,A Minor,4,3a2uGUdgPKQ5hB0Df7VRw1,DEZ651323950
12,"Slums of Monte Carlo","De-Phazz",93,9B,53,2024-10-14,03:20,26,"nu jazz, acid jazz, downtempo, lounge, trip hop","Lala 2.0",2010-04-09,73,25,18,82,0,10,-13,G Major,4,1zQ6cNWo5fNtvYZVjcJfJ4,DEZ651324013
13,"Jim the Jinn","De-Phazz",160,3B,80,2024-10-14,03:21,28,"nu jazz, acid jazz, downtempo, lounge, trip hop","Death by Chocolate",2001-11-28,61,33,0,61,10,50,-9,C♯/D♭ Major,4,1qk8IJfi9Y39WnxQV4hLwM,DEN120003717
14,"Lonely Nights","LEISURE",104,4A,60,2024-10-14,03:20,63,"indie soul","Sunsetter",2021-12-03,69,12,3,72,0,20,-8,F Minor,4,1SJ7eKG6Ha5opLNxlXXvwa,CAN112000215
15,"Keeping Me Under","Two Another",108,10B,55,2024-10-14,03:38,18,"indie soul","Keeping Me Under",2016-02-11,79,14,0,58,0,10,-8,D Major,4,79ZQoLroAAQYHM9sJ1kbGh,FR10S1653784
