#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Taste (feat. Offset)","Tyga,Offset",98,8B,56,2025-03-11,03:52,69,"","Taste (feat. Offset)",2018-05-16,88,2,0,34,10,10,-7,C Major,4,5IaHrVsrferBYDm0bDyABy,USUYG1198481
2,"Amphetamine","Smino",120,7B,53,2025-03-11,07:49,57,"","blkswn",2017-03-14,62,72,0,40,50,10,-10,F Major,4,3Zau3JcrZcBfw8aVjKGkSX,USUG11700177
3,"Lay It Down","Lloyd",156,12A,79,2025-03-11,04:00,60,"r&b","King Of Hearts",2011-01-01,52,2,0,53,0,0,-5,C♯/D♭ Minor,4,0xM8GcOTYlxy9ERBV8Ksx1,USUM71021687
4,"Standing (Rossweisse Remix)","Yaker,Rossweisse",125,10A,96,2025-03-11,07:17,4,"vocaloid","Standing (Rossweisse Remix)",2023-10-06,81,0,89,35,0,0,-6,B Minor,4,20bCBxGKu52HgUSOD99sSK,SE6HN2349851
5,"Nightcall","Kavinsky",91,8A,86,2025-03-11,04:17,58,"synthwave, french house","OutRun",2013-01-01,51,1,1,43,0,40,-5,A Minor,4,73bDvrmSBh2fr53tLDH9oA,FRS710900410
6,"Always (Classixx Remix)","Panama,Classixx",116,3B,87,2025-03-11,05:31,39,"nu disco, indie dance","Always (Deluxe Edition)",2013-11-01,73,21,4,80,0,0,-5,C♯/D♭ Major,4,6RooBJcmUTWATqB7Ptj9oL,AUFF01300468
7,"How Many Drinks?","Miguel",82,5A,61,2025-03-11,04:33,66,"r&b","Kaleidoscope Dream (Deluxe Version)",2012-00-00,38,0,0,24,10,20,-7,C Minor,4,4LiQ8uAynrXFWY0vimnAa1,USRC11200937
8,"Tobey (feat. Big Sean and BabyTron)","Eminem,Big Sean,BabyTron",139,3A,66,2025-03-11,04:44,64,"rap, hip hop, ","The Death of Slim Shady (Coup De Grâce)",2024-07-12,67,26,0,22,10,10,-9,A#/B♭ Minor,4,1ymWIr4E5x6xORlDO0bXlP,USUG12403400
9,"Ambitious","Jack Harlow",99,6A,77,2025-03-11,02:52,54,"","Jackman.",2023-04-28,55,11,0,49,10,20,-6,G Minor,4,0pytLWYHCQdheIWB2Ay5Dk,USAT22304593
10,"Give Me Everything (feat. Nayer)","Pitbull,AFROJACK,Ne-Yo,Nayer",129,4B,93,2025-03-11,04:16,47,"edm, big room, ","R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake",2013-06-24,67,18,0,54,10,30,-3,G#/A♭ Major,4,1IJYb2qBTHMoDzHgsuA86H,USJAY1100032
11,"DJ Got Us Fallin' In Love (feat. Pitbull)","USHER,Pitbull",121,6A,91,2025-03-11,03:34,41,"r&b, ","R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake",2013-06-24,64,4,0,71,10,10,-5,G Minor,4,5qxULZVAM943gPjtMaH5NX,USLF21000041
12,"Too Close - Radio Edit","Next",100,9B,40,2025-03-11,04:19,28,"r&b","R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake",2013-06-24,85,1,0,75,0,20,-10,G Major,4,5avYE6HN6jBXM294oQUZSo,USAR19901208
13,"Cry Me a River","Justin Timberlake",74,1A,66,2025-03-11,04:48,34,"","R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake",2013-06-24,53,56,0,54,20,10,-7,G#/A♭ Minor,4,024YU7tQQUDkLLFXlarP4X,USJI10200366
14,"Crazy In Love (feat. JAY-Z)","Beyoncé,JAŸ-Z",99,7A,77,2025-03-11,03:56,80,"hip hop, east coast hip hop, rap","Dangerously In Love",2003-06-24,65,0,0,68,20,0,-7,D Minor,4,5IVuqXILoxVWvWEPm82Jxr,USSM10305425
15,"Let Me Blow Ya Mind","Eve,Gwen Stefani",90,12A,56,2025-03-11,03:49,1,"","Scorpion",2001-01-01,91,25,0,89,10,0,-4,C♯/D♭ Minor,4,5DCA1FOUDBURlRTNg4ganf,USIR10110155
16,"Low (feat. T-Pain)","Flo Rida,T-Pain",128,3A,69,2025-03-11,03:50,54,"","Low (feat. T-Pain)",2008-03-01,87,6,0,37,0,10,-5,A#/B♭ Minor,4,7jOuIhMrkiKj7bvYhRqaym,USAT20705841
17,"Pon de Replay","Rihanna",99,9B,64,2025-03-11,04:06,82,"","Music Of The Sun",2005-08-29,78,0,0,50,10,10,-8,G Major,4,4TsmezEQVSZNNPv5RJ65Ov,USIR20500331
18,"Where Is The Love?","Black Eyed Peas",94,7B,69,2025-03-11,04:32,3,"","Elephunk (International Version)",2003-01-01,84,10,0,83,10,10,-3,F Major,4,0uqPG793dkDDN7sCUJJIVC,USIR10311862
19,"Ooh Ahh (My Life Be Like) (feat. Toby Mac)","Grits,TobyMac",99,10B,86,2025-03-11,03:53,1,"christian hip hop, christian, christian pop, ccm, christian rock, christian edm, worship, christian alternative rock","The Art of Translation",2002-08-06,76,14,0,81,0,30,-4,D Major,4,1iUoWD9qE93GyoT80O5IKt,USGOT0203017
20,"Don't Tell 'Em","Jeremih,YG",98,10B,54,2025-03-11,04:28,0,"","Don't Tell 'Em",2014-06-06,86,53,0,33,0,10,-5,D Major,4,1eN27pPLzE59zuFbY8SsiT,USUM71406166
21,"Without Me","Eminem",112,9B,67,2025-03-11,04:50,89,"rap, hip hop","The Eminem Show",2002-05-26,91,0,0,66,0,20,-3,G Major,4,7lQ8MOhq6IN2w8EYcFNSUk,USIR10211038
22,"Get Ur Freak On","Missy Elliott",178,8B,75,2025-03-11,03:31,72,"hip hop","Miss E... So Addictive",2001-05-14,80,53,11,74,20,10,-9,C Major,4,6zsk6uF3MxfIeHPlubKBvR,USEW20100036
23,"Señorita","Justin Timberlake",98,3B,63,2025-03-11,04:54,67,"","Justified",2002-11-04,84,7,0,88,0,0,-5,C♯/D♭ Major,4,0aj2QKJvz6CePykmlTApiD,USJI10200363
24,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner,Seeb",102,6A,78,2025-03-11,03:19,0,"","I Took A Pill In Ibiza (Seeb Remix)",2015-07-24,67,4,0,67,0,0,-5,G Minor,4,2Pd1sxjDswE86WCAN58aJQ,USUM71509342
25,"Toxic","Britney Spears",143,4A,84,2025-03-11,03:18,87,"pop","In The Zone",2003-11-13,77,2,3,92,10,20,-4,F Minor,4,6I9VzXrHxO9rA9A5euc8Ak,USJI10301005
26,"I WANNA BE YOUR SLAVE","Måneskin",133,3B,61,2025-03-11,02:53,84,"","Teatro d'ira - Vol. I",2021-03-19,75,0,0,96,0,10,-4,C♯/D♭ Major,4,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
27,"Training Season","Dua Lipa",123,4A,59,2025-03-11,03:29,82,"pop","Radical Optimism",2024-05-03,81,3,0,66,0,10,-4,F Minor,4,5b5cPscqVEMChvDqscVw26,GBAHT2301078
