#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Wildfires","SAULT",114,2A,31,-,03:26,74,"","Untitled (Black Is)",2020-06-19,86,11,16,50,0,0,-8,D#/E♭ Minor,4,4Tzw9IdZbVyzmpWrvsGaNX,UKMEH2000068
2,"Bulletproof","FARR",176,5A,47,-,03:31,68,"","Bulletproof",2019-07-12,47,36,24,25,0,10,-7,C Minor,4,0X3Csp5UBxXNqfnzkngOvN,QM24S1922248
3,"Reason To Stay","Olivia Dean",138,11A,63,-,03:18,81,"pop soul","Ok Love You Bye",2019-11-22,70,13,0,53,0,10,-5,F#/G♭ Minor,4,56DxR1jHbX6xlGwZdUuN0v,TCADX1868029
4,"Daughter of the Sun","vbnd,Katie Tupper,Justice Der",116,3A,12,-,03:32,66,"","Daughter of the Sun",2018-07-06,92,47,79,45,10,10,-14,A#/B♭ Minor,4,69CGLTPXh5TNa1PsFJLRId,QM4TX1865497
5,"Bad Dreams","Teddy Swims",125,4B,68,-,03:04,85,"","I've Tried Everything But Therapy (Part 2)",2025-01-24,71,27,0,62,0,0,-6,G#/A♭ Major,4,3BntzKsnLf2pc0dsvE3Zav,USWB12403749
6,"Too Sweet","Trinix,The Macarons Project",112,6B,43,-,02:44,77,"","Too Sweet",2025-11-28,97,9,0,43,10,10,-10,A#/B♭ Major,4,4Z3F8VnLHzcIRNDRRJmr8P,FXQ892500456
7,"Teardrop","Massive Attack,Elizabeth Fraser",77,10A,42,-,05:30,76,"trip hop, downtempo, ","Mezzanine",1998-01-01,62,2,50,22,0,10,-9,B Minor,4,67Hna13dNDkZvBpTXRIaOJ,GBAAA9800322
8,"Everybody Here Wants You","Jeff Buckley",121,8A,39,-,04:46,80,"","Sketches for My Sweetheart The Drunk (Expanded Edition)",1998-05-26,73,53,0,61,0,10,-7,A Minor,4,2bcvooA6HEmVUneEGJnNZD,USSM19703796
9,"Billie Bossa Nova","Billie Eilish",110,6A,39,-,03:16,78,"","Happier Than Ever",2021-07-30,90,22,3,55,10,10,-11,G Minor,4,2KnuaZYoGzDoHiBTNYOTXG,USUM72105927
10,"La femme d'argent","Air",160,11A,74,-,07:06,64,"trip hop, downtempo","Moon Safari",1998-01-16,49,53,69,53,0,40,-8,F#/G♭ Minor,4,3ZzhV6JIDKWvWR7wiKWD0C,FRS639700550
11,"Something About Us","Daft Punk",100,8A,48,-,03:52,76,"french house, electronic, electro","Discovery",2001-03-12,88,44,72,38,10,0,-13,A Minor,4,1NeLwFETswx8Fzxl2AFl91,GBDUW0000064
12,"Jammin","RUBII",130,1A,38,-,02:49,69,"","Olive Green",2023-03-10,86,49,0,79,0,10,-14,G#/A♭ Minor,4,34FhndFs4d8ltOVj8JqN4s,QZDA82325713
13,"Glory Box","Portishead",120,3B,43,-,05:08,79,"trip hop, downtempo","Dummy",1994-01-01,51,18,52,21,0,0,-10,C♯/D♭ Major,4,3Ty7OTBNSigGEpeW2PqcsC,GBAQT9400066
14,"Porcelain","Moby",95,5A,63,-,04:01,74,"downtempo, trip hop","Play",1999-05-17,55,0,19,34,0,20,-8,C Minor,4,6EXi6ZqTITKGtVBKqbphjL,GBAJH9900036
15,"Tender love","Mounika.,Ocie Elliott",81,2B,37,-,03:23,64,"lo-fi beats, indie folk","I Need Space",2020-06-19,62,53,81,28,0,10,-13,F#/G♭ Major,4,60GK9ifHXOrJXJq46lwILc,FR9W11928842
16,"So Easy (To Fall In Love)","Olivia Dean",140,5B,63,-,02:49,97,"pop soul","The Art of Loving",2025-09-26,75,67,0,57,0,0,-6,D#/E♭ Major,4,6sGIMrtIzQjdzNndVxe397,GBUM72503087
17,"All That We Perceive","Thievery Corporation",90,4A,83,-,03:46,56,"trip hop, downtempo, acid jazz, lounge","The Richest Man In Babylon",2003-01-14,70,3,95,95,0,0,-6,F Minor,4,53VS3tjssARzYcVoyG5vXE,USESL0306006
18,"Paradise Circus","Massive Attack,Hope Sandoval",136,4B,59,-,04:57,67,"trip hop, downtempo, ","Heligoland",2010-02-08,81,41,80,30,0,0,-13,G#/A♭ Major,4,2BndJYJQ17UcEeUFJP5JmY,GBAAA0900963
19,"Fire for You","Cannons",102,11A,68,-,03:51,77,"","Shadows",2019-07-12,74,11,16,70,10,10,-7,F#/G♭ Minor,4,4o0LyB69tylqDG6eTGhmig,USSM12004811
20,"From The Start","Laufey",81,3B,34,-,02:49,88,"","Bewitched",2023-09-08,55,89,0,83,0,10,-10,C♯/D♭ Major,4,43iIQbw5hx986dUEZbr3eN,QMDA62312093
