#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Roobaroo","A.R. Rahman,Naresh Iyer",121,11B,58,2020-07-12,04:42,59,"tamil pop, kollywood, bollywood, sufi, hindi pop, tollywood, telugu pop","Rang De Basanti (Original Motion Picture Soundtrack)",2005-12-04,68,66,0,54,0,0,-9,A Major,4,3vqJY3pVELLIxqXXyI08yr,INS170500265
2,"","",126,9B,44,2020-07-21,00:00,0,"","",0000-00-00,54,80,0,73,0,20,-9,G Major,5,6Y1cH3RzDCMWGQtOS0HmP8,
3,"Maahi Ve","A.R. Rahman",131,7B,72,2020-07-22,04:00,70,"tamil pop, kollywood, bollywood, sufi, hindi pop","Highway",2014-01-22,60,57,0,53,0,10,-7,F Major,4,1sbW5E7w8tnqpYk0Frx8QG,INS181400105
4,"Jagaao Mere Des Ko","A.R. Rahman,Suchi,Blaaze",126,8B,74,2020-07-22,06:45,32,"tamil pop, kollywood, bollywood, sufi, hindi pop","Coke Studio @ MTV Season 3: Episode 1",2013-08-17,70,21,0,21,0,30,-6,C Major,4,5c1k0IQVmf1x6E4ZDERYtM,INS171300651
5,"Aao Milo Chalo","Pritam,Shaan,Ustad Sultan Khan,Irshad Kamil",115,6A,79,2020-07-22,05:25,62,"bollywood, hindi pop, desi, desi pop, bangla pop, ghazal","Jab We Met",2007-09-21,50,41,0,49,0,30,-6,G Minor,4,6ocOeSjnWPcSTaSsi0zIdY,INS180705985
6,"Kabira","Pritam,Tochi Raina,Rekha Bhardwaj,Amitabh Bhattacharya",84,10B,56,2020-07-24,03:43,76,"bollywood, hindi pop, desi, sufi, ghazal","Yeh Jawaani Hai Deewani",2013-03-30,59,48,0,19,0,10,-7,D Major,4,4bD9z9qa4qg9BhryvYWB7c,INS181303780
7,"Safarnama","Lucky Ali",120,11B,51,2020-07-24,04:11,63,"desi pop, bollywood, hindi indie, indian indie, hindi pop","Tamasha",2015-10-16,54,74,0,20,0,10,-10,A Major,4,6w458kA8WOAIZr1ublxnK9,INS181501799
8,"Murshid Khele Holi","Munawar Masoom,Javed Ali,Shankar Mahadevan",104,4A,78,2020-08-02,07:33,38,"sufi, qawwali, ghazal, bollywood, hindi pop, desi, desi pop, marathi pop, devotional, bhajan, tamil dance","D-Day",2013-06-28,43,31,0,76,0,30,-6,F Minor,4,24Kzi3fQJucJaPymgNvw98,INS181304388
9,"Garaj Garaj","Shankar-Ehsaan-Loy,Pandit Ajoy Chakrabarty,Javed Ali",73,8B,76,2020-09-18,02:38,40,"bollywood, sufi, desi, hindi pop, ghazal, qawwali, desi pop","Bandish Bandits (Original Series Soundtrack)",2020-07-27,29,39,0,26,0,20,-7,C Major,4,3StBtW3cANtA6ZGwIzT8z2,INS172002556
10,"Latthay Di Chaadar","Hari & Sukhmani",128,8B,23,2020-10-15,03:35,41,"indian indie, hindi indie, sufi","Latthay Di Chaadar - Single",2018-12-24,52,88,0,52,10,0,-17,C Major,4,0QOJABRwcIx5WfzILs47eJ,INO131604966
11,"Ekla Cholo Re","Vishal-Shekhar,Amitabh Bachchan",132,2B,47,2020-11-01,05:13,40,"bollywood, desi, hindi pop, bhajan, devotional","Kahaani",2012-02-14,63,84,0,47,0,20,-9,F#/G♭ Major,3,1yvKC0IMXJ252R8hCuFm4f,INS181200397
12,"Kesariya Balam","Salim–Sulaiman,Karsan Sagathiya",98,11B,80,2020-11-06,06:03,0,"bollywood, sufi, desi, hindi pop, qawwali, gujarati garba, gujarati pop","Dor (Original Motion Picture Soundtrack)",2005-06-01,66,59,27,69,0,10,-9,A Major,3,652qcf4vsJ8GUuM7pYPAao,QM4TX1992836
13,"Duntara","Richa Sharma,Hansraj Raghuwanshi",155,12B,56,2020-11-07,04:14,0,"sufi, bollywood, qawwali, desi, bhajan, devotional","Duntara (Original)",2020-07-01,63,63,0,45,0,10,-10,E Major,4,5LSlpm6IaU7Hyqfs8szLGc,INU251900329
14,"Damadam Mast Kalandar","Divya Kumar,Aditi Singh Sharma",106,9A,63,2020-11-07,05:01,22,"bollywood, gujarati garba, hindi pop, desi, gujarati pop","Sufi Music Today",2020-06-29,56,60,0,72,0,10,-7,E Minor,4,32JRVwx9Supn0wXkbVobrN,INS9B1600207
15,"Ajj Din Chadheya","Rahat Fateh Ali Khan,Pritam",86,11B,69,2020-11-07,05:15,0,"sufi, qawwali, bollywood, hindi pop, desi, ghazal","Love Aaj Kal (Original Motion Picture Soundtrack)",2009-07-31,59,55,0,81,0,10,-5,A Major,4,7N30pzJGFwnYU8iuzxWS7l,GBSGZ0900022
16,"Laung Gawacha","Nucleya,Avneet Khurmi",92,5A,90,2020-11-13,03:33,0,"indian indie, hindi hip hop, hindi indie, desi hip hop, ","Bass Rani",2015-09-28,57,1,1,41,0,10,-5,C Minor,4,79JMjG6tj2zvCDEukCSgcx,FR2X41604890
