#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone,Swae Lee",90,10B,52,2022-10-15,02:37,83,"","Hollywood's Bleeding",2019-09-06,76,53,0,93,0,0,-4,D Major,4,0RiRZpuVRbi7oqRdSMwhQY,USUM71814888
2,"Circles","Post Malone",120,8B,76,2022-10-15,03:35,86,"","Hollywood's Bleeding",2019-09-06,70,19,0,55,0,0,-3,C Major,4,21jGcNKet2qwijlDFuPiPb,USUM71915699
3,"Mean It","Lauv,LANY",96,9B,45,2022-10-15,03:52,0,"","~how i'm feeling~",2020-03-06,75,4,0,34,0,10,-9,G Major,4,3uc8AGNL0KbvISIrjnfRvN,GBKPL1969288
4,"Modern Loneliness","Lauv",82,4B,51,2022-10-15,04:12,0,"","~how i'm feeling~",2020-03-06,70,14,0,14,0,10,-7,G#/A♭ Major,4,1eyek0KJEh2v5HQ9uQSybb,GBKPL1969297
5,"Feelings","Lauv",103,11B,39,2022-10-15,03:09,0,"","~how i'm feeling~",2020-03-06,70,6,0,25,0,0,-9,A Major,4,0s26En1JoJhVj32vizElpA,GBKPL1966988
6,"Paradise","Bazzi",122,10A,64,2022-10-15,02:49,69,"","Soul Searching",2019-08-09,84,8,0,59,0,10,-6,B Minor,4,0Rx0DJI556Ix5gBny6EWmn,USAT21901897
7,"i'm so tired...","Lauv,Troye Sivan",102,1B,74,2022-10-15,02:42,1,"","~how i'm feeling~",2020-03-06,58,18,0,48,20,20,-8,B Major,4,4vjpLMyL3ZO6aphdYr8XYw,GBKPL1933763
8,"Young & Alive","Bazzi",86,5B,56,2022-10-15,02:40,58,"","Infinite Dream",2022-09-16,72,33,0,49,0,10,-5,D#/E♭ Major,4,2jppfWqd0NmoYK81irH7Gk,USAT22000556
9,"Better","Khalid",98,5A,55,2022-10-15,03:49,72,"","Suncity",2018-10-18,60,8,33,11,10,10,-10,C Minor,4,6zeeWid2sgw4lap2jV61PZ,USRC11803180
10,"Saturday Nights","Khalid",168,6B,44,2022-10-15,03:30,68,"","Suncity",2018-10-18,55,61,0,34,10,10,-9,A#/B♭ Major,4,5kfNriitmkNE8mUbZ7gbq8,USRC11803517
11,"Good Things Fall Apart (with Jon Bellion)","ILLENIUM,Jon Bellion",144,10B,60,2022-10-15,03:36,65,"melodic bass, future bass, edm, ","ASCEND",2019-08-16,64,1,0,42,0,10,-5,D Major,4,3LxG9HkMMFP0MZuiw3O2rF,USUG11901088
