#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"So Easy (To Fall In Love)","Olivia Dean",140,5B,63,-,02:49,97,"pop soul","The Art of Loving",2025-09-26,75,67,0,57,0,0,-6,D#/E♭ Major,4,6sGIMrtIzQjdzNndVxe397,GBUM72503087
2,"Raindance (feat. Tems)","Dave,Tems",107,3B,74,-,03:39,96,"grime, uk grime, uk drill, drill, afrobeats, afro r&b, alté, afrobeat","The Boy Who Played the Harp",2025-10-23,80,24,6,25,0,10,-7,C♯/D♭ Major,4,3oTuTpF1F3A7rEC6RKsMRz,GBUM72506029
3,"Dancing in the Moonlight","Toploader",119,6B,86,-,03:52,80,"","Onka's Big Moka",2000-00-00,63,6,0,87,0,30,-3,A#/B♭ Major,4,3Fzlg5r1IjhLk2qRw667od,GBBBL9902165
4,"End of Beginning","Djo",160,10B,45,-,02:39,98,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
5,"Thoominnal","Haricharan",100,9A,53,-,04:55,63,"mollywood, tamil pop, tollywood, malayalam pop, telugu pop, kollywood, kannada pop, tamil dance","Mudhugauv",2006-05-13,65,60,0,43,0,0,-8,E Minor,4,6Mk3Saz6OCmOVCvwwAP89S,IND292208172
6,"Mileya Mileya","Sachin-Jigar,Rekha Bhardwaj,Jigar Saraiya,Priya Andrews",125,8B,47,-,04:26,69,"gujarati pop, bollywood, hindi pop, desi, gujarati garba, ghazal, sufi, ","Happy Ending (Original Motion Picture Soundtrack)",2014-04-01,73,24,3,44,0,10,-8,C Major,4,59k0VPRjNwVg6P9HVHMW2N,GBSGZ1502721
7,"Babydoll","Dominic Fike",168,6A,60,-,01:37,96,"","Don't Forget About Me, Demos",2018-10-16,76,11,0,85,10,0,-5,G Minor,4,7yNf9YjeO5JXUE3JEBgnYc,USQX91802457
8,"Arz Kiya Hai | Coke Studio Bharat","Anuv Jain",99,4A,43,-,04:54,83,"indian indie, hindi indie, hindi pop","Arz Kiya Hai | Coke Studio Bharat",2025-08-20,31,66,0,50,0,10,-8,F Minor,4,1bMkimTb47umgNP6xCi4A1,INUM72500914
9,"Flower Moon","Durand Jones & The Indications,Aaron Frazer",87,4A,37,-,04:56,72,"retro soul","Flowers",2025-06-27,66,84,39,59,0,0,-13,F Minor,4,16fiL1QD7x9FeoGu8ktxrz,USJ5G2536705
10,"If You Don't Want My Love","Jalen Ngonda",93,10A,78,-,02:26,76,"retro soul","Come Around and Love Me",2023-09-08,60,13,0,93,0,20,-6,B Minor,4,4A48ckONJNoXU5smWT9CeG,US4GZ2307602
