#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Pray For Me (with Kendrick Lamar)","The Weeknd,Kendrick Lamar",101,10B,68,2023-04-28,03:31,68,"hip hop, west coast hip hop","Black Panther The Album Music From And Inspired By",2018-02-09,74,8,0,19,0,10,-5,D Major,4,77UjLW8j5UAGAGVGhR5oUK,USUM71800001
2,"Blinding Lights","The Weeknd",171,3B,73,2023-04-28,03:20,90,"","After Hours",2020-03-20,51,0,0,33,0,0,-6,C♯/D♭ Major,4,0VjIjW4GlUZAMYd2vXMi3b,USUG11904206
3,"What Goes Around.../...Comes Around (Interlude)","Justin Timberlake",76,9B,72,2023-04-28,07:28,81,"","FutureSex/LoveSounds",2006-09-12,69,12,0,43,0,50,-5,G Major,4,3pD0f7hSJg2XdQ6udw5Tey,USJI10600479
4,"Sorry","Madonna",133,5A,85,2023-04-28,03:58,42,"","Sorry",2006-02-14,60,0,14,44,0,10,-7,C Minor,4,3YqJlngd0Bx4zsqWkkaGSa,USWB10505900
5,"Love Tonight","Shouse",123,8B,55,2023-04-28,08:13,62,"","Love Tonight",2017-12-14,80,0,1,47,0,0,-7,C Major,4,1u73tmG4xQschbK8cXxSD9,USQY51798086
6,"One More Night","Maroon 5",93,4A,82,2023-04-28,03:39,82,"pop","Overexposed Track By Track",2012-01-01,72,6,0,62,0,0,-3,F Minor,4,6cpk00i5TxCqSeqNi2HuIe,USUM71203514
7,"Play The Part","Two Feet",180,4A,84,2023-04-28,03:24,0,"","Play The Part & My Life",2022-03-11,48,0,38,31,0,10,-3,F Minor,4,30vKuRr3o1KJpioSLhRQ3z,GBKPL2285408
8,"Swing","SOFI TUKKER",123,4A,72,2023-04-28,02:59,0,"","Swing",2019-07-12,78,1,27,28,10,10,-5,F Minor,3,5rpbH7nkYanzWJejjTmggF,QM37X1900009
9,"Blow Your Mind (Mwah)","Dua Lipa",109,7A,80,2023-04-28,02:58,63,"pop","Blow Your Mind (Mwah)",2016-08-26,65,2,0,49,10,0,-5,D Minor,4,7kJlTKjNZVT26iwiDUVhRm,GBAHT1600302
10,"Don't Start Now","Dua Lipa",124,10A,79,2023-04-28,03:03,64,"pop","Future Nostalgia (The Moonlight Edition)",2021-02-11,79,1,0,68,0,10,-5,B Minor,4,2FlcxnvybdwpaMmMhaRtSN,GBAHT1901121
11,"Levitating (feat. DaBaby)","Dua Lipa,DaBaby",103,11A,83,2023-04-28,03:23,83,"pop, ","Future Nostalgia",2020-03-27,70,1,0,92,0,0,-4,F#/G♭ Minor,4,5nujrmhLynf4yMoMtj8AQF,GBAHT2000942
12,"Better Than Love","Hurts",132,10B,77,2023-04-28,03:33,38,"","Happiness - Deluxe Edition",2011-10-28,47,1,0,16,0,10,-6,D Major,3,6nbsaXBPuj2TWFS3GqgI4f,GBARL1000780
13,"Feeling Good","Muse",109,6A,42,2023-04-28,03:18,66,"alternative rock, rock","Origin of Symmetry",2001-00-00,35,30,0,27,0,10,-8,G Minor,3,5PK1JCSdr34gWgzYHgt3Jq,GBCVT0100018
14,"Supermassive Black Hole","Muse",120,9B,92,2023-04-28,03:32,83,"alternative rock, rock","Black Holes and Revelations",2006-06-28,67,5,1,78,0,0,-4,G Major,4,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
15,"Moth To A Flame (with The Weeknd)","Swedish House Mafia,The Weeknd",120,4B,66,2023-04-28,03:54,74,"edm, ","Moth To A Flame",2022-01-03,54,0,0,11,0,10,-7,G#/A♭ Major,4,7kfOEMJBJwdCYqyJeEnNhr,USUG12105524
16,"Chase the Sun","Planet Funk",128,8A,77,2023-04-28,03:53,8,"","Non Zero Sumness Plus One",2003-01-01,59,2,3,49,0,30,-8,A Minor,4,2mkBHN67xLpHrpqOuj79Yz,ITB150200002
17,"still feel.","half•alive",120,3A,52,2023-04-28,04:07,63,"","Now, Not Yet",2019-08-09,78,15,0,72,0,0,-6,A#/B♭ Minor,4,48XkVAagIoQHCsOlJtXUd5,GBKPL1814938
18,"The High Road","Broken Bells,Danger Mouse,James Mercer",80,8B,64,2023-04-28,03:52,64,"","Broken Bells",2010-03-01,61,7,0,60,0,20,-7,C Major,4,5cwN1htZyoWqZCc33f3RfE,USSM10906065
19,"The World Is Yours","Glasvegas",132,8B,89,2023-04-28,04:53,32,"","EUPHORIC /// HEARTBREAK \\\",2011-04-04,35,0,0,20,0,40,-4,C Major,4,51KyFpjLNwokcYrjxHxFee,GBARL1100017
20,"Energy","Spank Rock",117,9A,96,2023-04-28,03:29,22,"baltimore club","Everything is Boring & Everyone is a F---ing Liar",2011-10-03,68,12,0,64,0,10,-4,E Minor,4,49q6g0M8Y8BswQ9Oq9Cr2h,USA371295991
21,"El Buen Salvaje","La Vida Bohème",150,1B,95,2023-04-28,03:27,0,"latin alternative, latin indie, latin rock","Nuestra",2010-02-10,51,0,64,40,10,20,-6,B Major,4,19iLvsfx7SCTEl0ASQlUgg,US66W1001913
22,"The Ghost Inside","Broken Bells,Danger Mouse",104,10B,70,2023-04-28,03:18,56,"","Broken Bells",2010-03-01,87,6,41,98,0,0,-5,D Major,4,32fmQsWSAaDas2MJRyMSGG,USSM10906527
23,"Undisclosed Desires","Muse",116,4B,59,2023-04-28,03:55,70,"alternative rock, rock","The Resistance",2009-09-10,68,1,2,64,0,0,-7,G#/A♭ Major,4,0It6VJoMAare1zdV2wxqZq,GBAHT0900322
24,"Back for Me","Electric Guest",133,9A,65,2023-04-28,03:21,34,"","Plural",2017-03-31,72,9,0,56,0,0,-5,E Minor,4,3FhJFkDNFoDc48O2x2gUfN,USUM71614153
25,"Some Kind of Heaven","Hurts",124,2B,90,2023-04-28,03:18,39,"","Surrender (Deluxe)",2015-10-09,61,1,0,52,0,20,-2,F#/G♭ Major,4,3mHEdk4HYRv1xB3WrdSeRB,GBARL1500685
26,"Ready to Go","Hurts",102,3A,92,2023-04-28,02:45,42,"","Desire",2017-09-29,63,7,0,64,0,60,-4,A#/B♭ Minor,4,1DjLBipaNw74WmZkvTyho9,DEE861701064
27,"Dani California","Red Hot Chili Peppers",96,8B,91,2023-04-28,04:42,82,"funk rock, alternative rock, rock","Stadium Arcadium",2006-05-09,56,2,0,73,0,30,-2,C Major,4,10Nmj3JCNoMeBQ87uw5j8k,USWB10600700
28,"Fly or Die","Rock Mafia",140,2B,88,2023-04-28,03:30,46,"","Fly or Die",2011-05-17,60,2,0,62,10,0,-4,F#/G♭ Major,4,1mNjkH9yrJBxxzVOc5n5W0,US3DF1104463
29,"My Blood","Twenty One Pilots",109,3B,72,2023-04-28,03:49,71,"","Trench",2018-10-05,75,6,2,67,0,10,-7,C♯/D♭ Major,4,5HeKOKc4phmLn8e4I7EkzD,USAT21810686
30,"Freeze Me","Death From Above 1979",130,8B,72,2023-04-28,03:18,0,"garage rock","Outrage! Is Now",2017-09-08,51,0,0,54,0,20,-6,C Major,4,50jXnyrzW4mcBBqFTMEoAC,CAL451785502
31,"The Man","The Killers",106,11A,94,2023-04-28,04:10,68,"alternative rock","Wonderful Wonderful",2017-09-22,61,7,0,52,10,0,-3,F#/G♭ Minor,4,5aWhs651KYM26HYM16kRdk,USUM71705733
32,"Amsterdam","Nothing But Thieves",168,5B,93,2023-04-28,04:32,66,"","Broken Machine (Deluxe)",2017-09-08,51,0,0,67,20,20,-5,D#/E♭ Major,4,454I78HEySdcHE8fcVabTb,GBARL1700467
33,"Love Is Mystical","Cold War Kids",106,6A,86,2023-04-28,03:34,60,"","LA DIVINE",2017-04-07,57,0,0,72,0,20,-5,G Minor,4,12pdXFcruNcPUbZypKUDgz,USUG11700005
34,"Flower","Moby",81,9B,61,2023-04-28,03:25,1,"downtempo, trip hop","Play - The B Sides",1999-05-17,68,19,0,73,0,10,-6,G Major,4,2O8EVtQtfsKBABn0hOxs8Y,GBAJH0000377
35,"Sleep Alone","Two Door Cinema Club",148,8B,76,2023-04-28,03:56,55,"indie, indie rock","Beacon",2012-09-03,52,0,0,55,0,0,-5,C Major,4,4BsQ6HzywRiSHf45WXRft8,FRU701200089
36,"Are We Ready? (Wreck)","Two Door Cinema Club",94,7A,78,2023-04-28,03:50,58,"indie, indie rock","Gameshow (Deluxe Edition)",2016-10-14,60,0,1,73,0,30,-6,D Minor,4,1qBLtdOv2zTzq0tkc6Vy6t,GBAYE1600971
37,"I Can Talk","Two Door Cinema Club",163,8A,75,2023-04-28,02:55,58,"indie, indie rock","Tourist History",2010-03-01,48,0,13,66,20,20,-5,A Minor,4,4N90LxX3kWhJucPQ484Qy9,FRU700900083
38,"Undercover Martyn","Two Door Cinema Club",160,10B,87,2023-04-28,02:46,72,"indie, indie rock","Tourist History",2010-03-01,45,0,0,63,10,10,-5,D Major,4,6GQLX6Z28fYwDNCrhaKzYF,FRU700900115
39,"Wonderful Life - Stream Jockey Rework","Imany,Stream Jockey",122,5A,54,2023-04-29,04:14,45,"","Voodoo Cello",2021-09-03,68,0,5,67,0,10,-9,C Minor,4,2dzKcHk6uBUJwlhHuONR2v,FR1Q02000180
40,"This Love","Maroon 5",95,4A,86,2023-05-01,03:26,87,"pop","Songs About Jane: 10th Anniversary Edition",2002-00-00,71,5,0,81,0,0,-5,F Minor,4,6ECp64rv50XVz93WvxXMGF,USJAY0300080
41,"Paddling Out","Miike Snow",128,3A,83,2023-05-12,03:43,1,"alternative dance","Happy to You",2012-03-19,61,1,0,36,0,10,-4,A#/B♭ Minor,4,0rfXn2iUwqQXzNvJgmcG6p,GBARL1101489
42,"Kids","MGMT",123,11B,93,2023-05-12,05:02,84,"indie","Oracular Spectacular",2007-12-14,45,0,0,17,0,30,-4,A Major,4,1jJci4qxiYcOHhQR247rEU,USSM10702135
43,"C'est la vie","Weathers",92,11A,79,2023-05-12,03:14,56,"","Pillows & Therapy",2021-08-13,58,2,0,63,10,10,-5,F#/G♭ Minor,4,0UhWFmdlrBSmZ7A6bFD8L9,QZ93L2023538
44,"Live in the Moment","Portugal. The Man",128,11A,58,2023-05-12,04:06,68,"","Woodstock",2017-06-16,55,0,17,24,0,10,-7,F#/G♭ Minor,4,60eOMEt3WNVX1m1jmApmnX,USAT21700816
45,"Feel It Still","Portugal. The Man",79,12A,80,2023-05-12,02:43,84,"","Woodstock",2017-06-16,80,4,0,75,0,0,-5,C♯/D♭ Minor,4,6QgjcU0zLnzq5OrUoSZ3OK,USAT21700437
46,"Heat Waves","Glass Animals",81,1B,53,2023-05-12,03:58,10,"","Dreamland (+ Bonus Levels)",2020-08-06,76,44,0,53,0,0,-7,B Major,4,02MWAaffLxlfxAUY7c5dvx,GBUM72000433
47,"Dead Inside","Younger Hunger",120,11A,87,2023-05-12,03:20,0,"","Dead Inside",2018-10-12,70,5,0,77,0,20,-4,F#/G♭ Minor,4,2JqyquFrqaoKt0SRr91meT,QM2PV1837707
48,"Mr. Doctor Man","Palaye Royale",168,9A,94,2023-05-12,04:04,0,"","Boom Boom Room (Side A)",2016-06-24,38,0,0,53,0,10,-2,E Minor,4,1yIMrzF45Ven2FzPFAr0Gg,USYFZ1667004
49,"Wild Horses","Bishop Briggs",140,5A,54,2023-05-12,03:09,51,"","Church Of Scars",2018-04-20,75,23,0,20,0,10,-6,C Minor,4,1vHyZsydQf4h2yDhujnqvQ,TCAC11571202
50,"Tempt My Trouble","Bishop Briggs",127,6A,76,2023-05-12,03:13,43,"","Church Of Scars",2018-04-20,78,3,0,65,0,10,-5,G Minor,4,3ki2sYrrJ9bOW5hLF8oRI8,QMEU31723266
51,"Diamond","Good Intent",134,3B,71,2023-05-12,02:12,25,"","Diamond",2017-04-14,84,2,0,21,0,0,-4,C♯/D♭ Major,4,27nuZaOHzQzErCEeN2tDtL,QMPKX1718294
52,"fast","Sueco",100,6A,60,2023-05-12,02:24,58,"","MISCREANT",2019-09-20,86,18,1,53,20,10,-8,G Minor,4,1FOINGDWa0dPgCpMabLT4Y,USAT21903003
53,"Nightmare","Halsey",146,8A,62,2023-05-12,03:51,2,"","Nightmare",2019-05-17,61,2,0,54,0,30,-5,A Minor,4,340UVheS8z3ncW9TTUhAbc,USUM71907487
54,"I Did Something Bad","Taylor Swift",83,5A,60,2023-05-12,03:58,74,"","reputation",2017-11-10,70,7,0,31,10,0,-6,C Minor,4,4svZDCRz4cJoneBpjpx8DJ,USCJY1750005
55,"STRUT","EMELINE",108,10A,72,2023-05-12,01:57,62,"","STRUT",2022-08-19,84,4,0,33,0,10,-6,B Minor,3,749rod7GCmj0OVdumGfzVq,USUG12200848
56,"1998","Matthew Koma",98,3B,70,2023-05-12,03:12,6,"","Parachute EP (International Version)",2012-01-01,64,1,0,83,0,60,-4,C♯/D♭ Major,4,1S8afkAIkXOftSsmgpy9av,USUM71204807
57,"Woman (feat. The Dap-Kings Horns)","Kesha,The Dap-Kings Horns",115,4A,77,2023-05-12,03:16,61,"","Rainbow",2017-08-11,74,4,4,34,0,60,-4,F Minor,4,1kJtfldK9F7XmsSiSNlbth,USRC11701387
58,"Why","Hurts",124,5A,87,2023-05-12,03:28,25,"","Surrender (Deluxe)",2015-10-09,60,10,0,61,0,20,-2,C Minor,4,3EX7gez3dhXK4qZwQgva3u,GBARL1500561
59,"So What","P!nk",126,10A,87,2023-05-12,03:35,79,"","Funhouse (Expanded Edition)",2008-10-24,53,0,0,46,0,20,-3,B Minor,4,0JiY190vktuhSGN6aqJdrt,USLF20800067
60,"Muddy Feet (feat. Sia)","Miley Cyrus,Sia",172,9B,78,2023-05-12,02:16,0,"","Endless Summer Vacation",2023-03-10,55,8,0,52,10,10,-5,G Major,4,1S1WWTuydW6zljNeHOpZXe,USSM12209785
61,"Papaoutai","Stromae",116,3A,81,2023-05-14,03:52,79,"french pop","racine carrée",2013-01-01,73,3,0,25,0,0,-7,A#/B♭ Minor,4,34dx8DACTJsc3rsJdaEIQw,BET671300160
62,"J'me tire","GIMS",95,12A,68,2023-05-23,04:09,71,"french rap, french r&b, french pop, pop urbaine","Subliminal (La face cachée)",2013-12-02,75,1,0,43,0,10,-5,C♯/D♭ Minor,4,4w47YE9rjhmZUdtZjSCb82,FR7U61200105
63,"J'me tire","GIMS",95,12A,68,2023-05-23,04:09,71,"french rap, french r&b, french pop, pop urbaine","Subliminal (La face cachée)",2013-12-02,75,1,0,43,0,10,-5,C♯/D♭ Minor,4,4w47YE9rjhmZUdtZjSCb82,FR7U61200105
64,"Dernière danse","Indila",115,5A,45,2023-05-23,03:33,82,"french pop","Mini World",2014-01-01,67,18,0,33,0,0,-8,C Minor,4,65uoaqX5qcjXZRheAj1qQT,FRUM71301049
65,"Dark Necessities","Red Hot Chili Peppers",92,4A,74,2023-05-23,05:02,79,"funk rock, alternative rock, rock","The Getaway",2016-06-17,70,7,2,20,0,10,-7,F Minor,4,2oaK4JLVnmRGIO9ytBE1bt,USWB11600478
66,"Enjoy the Silence","Depeche Mode",113,5A,84,2023-05-23,04:15,77,"new wave, synthpop, darkwave","The Singles 86-98",1998-09-28,66,20,0,75,0,0,-6,C Minor,4,6WK9dVrRABMkUXFLNlgWFh,GBAJH9800146
67,"Smalltown Boy","Bronski Beat",135,4A,58,2023-05-23,05:02,81,"synthpop, hi-nrg","The Age of Consent",1984-10-15,69,29,1,94,0,10,-11,F Minor,4,5vmRQ3zELMLUQPo2FLQ76x,GBAAP0200005
68,"girl in blue","Animal Sun",140,6A,84,2023-05-23,03:29,52,"","girl in blue",2019-06-20,62,6,0,89,0,10,-5,G Minor,4,29ftVo3C2fq2phOEjJkTYm,QZFYY1909557
69,"In The Dark","Purple Disco Machine,Sophie and the Giants",116,11A,76,2023-05-24,03:05,67,"disco house, nu disco, funky house, house, ","Exotica (Deluxe)",2022-03-04,69,4,0,77,0,0,-6,F#/G♭ Minor,4,75UUG6x5zQe0gCVOiQpa6X,AUDCB1701963
70,"Superman","Eminem,Dina Rae",130,9A,76,2023-05-24,05:50,84,"rap, hip hop, ","The Eminem Show",2002-05-26,80,2,0,58,0,30,-3,E Minor,4,4woTEX1wYOTGDqNXuavlRC,USIR10211062
71,"All For Us - from the HBO Original Series Euphoria","Labrinth,Zendaya",71,5B,65,2023-05-24,03:12,70,"","All For Us (from the HBO Original Series Euphoria)",2019-08-04,35,2,0,17,0,30,-7,D#/E♭ Major,4,10hMM5nsZQf66ldBlgWBfG,USUG11902729
72,"Mother Tongue","White Lies",125,8B,81,2023-05-27,03:23,0,"","BIG TV (Deluxe Edition)",2013-01-01,59,0,51,55,0,10,-6,C Major,4,7g7ZBx2DAj4w8ixSef1O3X,GBUM71303135
73,"Dance The Night - From Barbie The Album","Dua Lipa",110,10A,85,2023-05-28,02:56,81,"pop","Dance The Night (From Barbie The Album)",2023-05-25,67,2,0,78,0,30,-5,B Minor,4,1vYXt7VSjH9JIM5oRRo7vA,USAT22305457
74,"Self Control","Laura Branigan",107,11A,69,2023-06-21,04:06,80,"","Self Control",1984-00-00,81,22,0,78,0,10,-12,F#/G♭ Minor,4,6JNJERZGJwDVgkmbohBw7u,USAT20903047
75,"Someday","Flipsyde",160,8A,75,2023-07-21,03:59,61,"","We The People",2005-01-01,60,10,0,34,0,0,-5,A Minor,4,7p7udRRU9gjIarwcMQr5JC,USIR10401146
76,"Substitution (feat. Julian Perretta)","Purple Disco Machine,Kungs,Julian Perretta",124,5A,89,2023-07-21,03:01,67,"disco house, nu disco, funky house, house, ","Substitution (feat. Julian Perretta)",2023-03-30,69,1,0,71,0,10,-5,C Minor,4,2F2p7b5Xq20mRyEeWYaeUF,DEE862300093
77,"Never Look Back","Tom Gregory",133,5A,84,2023-07-21,02:42,49,"","Never Look Back",2023-04-21,65,8,0,90,0,30,-5,C Minor,4,3K3bZDkHev8R7Clcqs2u8M,DEE862300498
78,"Come & Get It","Selena Gomez",80,6A,79,2023-07-21,03:51,72,"","Stars Dance (Bonus Track Version)",2013-01-01,55,1,0,57,0,0,-4,G Minor,4,6LoQHIo74tOzQ8EsLEkhgF,USHR11334422
79,"I Wanna Go","Britney Spears",130,7B,55,2023-07-21,03:30,69,"pop","Femme Fatale (Deluxe Version)",2011-03-28,70,0,0,79,0,30,-7,F Major,4,5cCAZS9VhLGEDV4NCfieeg,USJI11100095
80,"Stressed Out","Twenty One Pilots",170,9A,64,2023-07-21,03:22,88,"","Blurryface",2015-05-15,73,5,0,65,10,0,-6,E Minor,4,3CRDbSIZ4r5MsZ0YwxuEkn,USAT21500597
81,"Shake It Off","Taylor Swift",160,9B,80,2023-07-21,03:39,82,"","1989 (Deluxe)",2014-01-01,65,6,0,94,10,30,-5,G Major,4,0cqRj7pUJDkTCEsJkx8snD,USCJY1431349
82,"Call Me Maybe","Carly Rae Jepsen",120,9B,58,2023-07-21,03:13,84,"","Kiss",2012-01-01,78,1,0,66,0,10,-7,G Major,4,20I6sIOMTCkB6w7ryavxtO,CAB391100615
83,"Gimme More","Britney Spears",113,10B,84,2023-07-21,04:11,86,"pop","Blackout",2007-10-25,79,25,0,38,0,0,-3,D Major,4,6ic8OlLUNEATToEFU3xmaH,USJI10700609
84,"Firework","Katy Perry",124,4B,83,2023-07-21,03:47,71,"pop","Teenage Dream",2010-08-24,64,14,0,65,0,10,-5,G#/A♭ Major,4,1mXuMM6zjPgjL4asbBsgnt,USCA21001262
85,"Me And My Broken Heart","Rixton",174,4A,78,2023-07-21,03:13,76,"","Let The Road",2014-01-01,55,0,0,55,0,10,-4,F Minor,4,1oew3nFNY3vMacJAsvry0S,USUM71401800
86,"Alejandro","Lady Gaga",99,10A,80,2023-07-21,04:34,70,"art pop, pop","The Fame Monster (Deluxe Edition)",2009-08-05,63,0,0,37,0,30,-7,B Minor,4,4lwavw59UjXUPJZtKNdFYp,USUM70905526
87,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes,Adam Levine",90,11B,80,2023-07-21,03:30,85,"","The Papercut Chronicles II",2011-11-11,65,3,0,80,10,20,-3,A Major,4,0qOnSQQF0yzuPWsXrQ9paz,USAT21101071
88,"Can't Get You out of My Head","Kylie Minogue",126,8A,56,2023-07-21,03:50,83,"dance pop","Fever",2001-10-01,77,3,68,96,0,10,-8,A Minor,4,3E7ZwUMJFqpsDOJzEkBrQ7,GBAYE0100913
89,"Heathens","Twenty One Pilots",90,9A,40,2023-07-21,03:15,84,"","Heathens",2016-06-16,73,8,0,55,0,10,-9,E Minor,4,6i0V12jOa3mr6uu4WYhUBr,USAT21601930
90,"Shivers","Ed Sheeran",141,10B,86,2023-07-21,03:27,83,"soft pop","=",2021-10-25,79,28,0,82,0,0,-3,D Major,4,50nfwKoDiSYg8zOCREWAm5,GBAHS2100671
