#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"So Easy (To Fall In Love)","Olivia Dean",140,5B,63,-,02:49,97,"pop soul","The Art of Loving",2025-09-26,75,67,0,57,0,0,-6,D#/E♭ Major,4,6sGIMrtIzQjdzNndVxe397,GBUM72503087
2,"I Thought I Saw Your Face Today","She & Him",158,9B,55,-,02:50,93,"christmas","Volume One",2008-03-18,36,33,0,53,0,30,-8,G Major,4,0myRViRgmQ3J8izICXEAVO,USMRG0832405
3,"CHIHIRO","Billie Eilish",110,9B,43,-,05:03,87,"","HIT ME HARD AND SOFT",2024-05-17,70,14,88,52,0,0,-13,G Major,4,7BRD7x5pt8Lqa1eGYC4dzj,USUM72401988
4,"Evergreen","Richy Mitch & The Coal Miners",79,5B,22,-,01:27,83,"","RMCM",2017-05-17,56,56,0,50,0,10,-12,D#/E♭ Major,3,6me7F0aaZjwDo6RJ5MrfBD,SEYOK1732035
5,"Dark Red","Steve Lacy",172,2B,78,-,02:53,86,"","Dark Red",2017-02-20,60,45,0,77,0,10,-4,F#/G♭ Major,4,3EaJDYHA0KnX88JvDhL9oa,GBKPL1778015
6,"Looking Too Closely","Fink",175,10B,52,-,05:10,69,"indie folk","Hard Believer",2014-07-14,48,33,75,10,0,0,-12,D Major,4,7bhI6rnvaVw8qgZPn32qE0,GBCFB1400808
7,"Sweet Heat Lightning","Gregory Alan Isakov",66,8B,21,-,04:46,78,"indie folk, folk, folk pop","Appaloosa Bones",2023-08-18,57,91,39,14,0,10,-15,C Major,4,7gSZkeBr9Koc9Rfm3pp769,USDMG2355410
8,"Lovers Rock","TV Girl",105,4A,87,-,03:33,88,"","French Exit",2014-06-05,56,0,1,57,0,10,-5,F Minor,4,6dBUzqjtbnIa1TwYbyw5CM,USHM21438143
9,"Mrs Magic","Strawberry Guy",133,4B,63,-,03:28,81,"bedroom pop","Mrs Magic",2019-07-24,47,16,37,37,0,30,-7,G#/A♭ Major,4,0TZejo18HlJ86OrWNsXKnw,GBJGV1900102
10,"Chamber Of Reflection","Mac DeMarco",131,1B,56,-,03:51,84,"indie, lo-fi indie","Salad Days",2014-04-01,54,26,91,51,0,10,-9,B Major,4,7H7NyZ3G075GqPx2evsfeb,QMMZN1300568
11,"Sparks","Coldplay",103,3B,27,-,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
12,"A Couple Minutes","Olivia Dean",125,5B,41,-,03:32,90,"pop soul","The Art of Loving",2025-09-26,56,71,0,16,0,30,-8,D#/E♭ Major,4,312z6PZ8wwREck8613PkJk,GBUM72503093
