#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Love Is a Bitch","Two Feet",150,8A,18,-,03:01,74,"","Love Is a Bitch",2017-05-19,53,61,14,10,0,10,-10,A Minor,3,6MiVIH3fQlmz44jGx2DXn4,DEVF11700118
2,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,-,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
3,"I See Red","Everybody Loves an Outlaw",157,9A,45,-,03:50,77,"","I See Red",2018-10-31,51,1,1,22,0,20,-8,E Minor,3,5MAK1nd8R6PWnle1Q1WJvh,USQX92003330
4,"No Ordinary Love","Sade",166,10A,36,-,07:20,77,"","Love Deluxe",1992-10-26,63,47,2,70,0,0,-12,B Minor,4,1oaaSrDJimABpOdCEbw2DJ,GBBBM0002118
5,"Lose Control","Teddy Swims",160,11B,60,-,03:30,89,"","I've Tried Everything But Therapy (Part 1)",2023-09-15,56,20,0,24,0,10,-4,A Major,3,17phhZDn6oGtzMe56NuWvj,USWB12302315
6,"Nothing's Gonna Hurt You Baby","Cigarettes After Sex",97,12B,33,-,04:46,83,"dream pop","I.",2012-07-21,51,27,14,10,0,10,-14,E Major,4,3W7KHojYGgYaoX9ogKO9hU,TCACJ1593857
7,"Reflections","The Neighbourhood",114,10A,59,-,04:04,85,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,65,11,5,54,0,10,-7,B Minor,4,2xql0pid3EUwW38AsywxhV,USSM11800527
8,"Turn Me On","Norah Jones",171,6B,18,-,02:34,72,"jazz pop","Come Away With Me (Super Deluxe Edition)",2002-02-26,43,86,0,49,0,10,-11,A#/B♭ Major,3,1qzHqfvKrZWo6dVHM1dXrj,USBN20100532
9,"Secrets","Omido,Ordell,Rick Jansen",184,10B,58,-,02:38,64,"dark r&b","Secrets",2024-04-07,38,1,0,43,0,20,-10,D Major,3,5iniBzC2hR5YYqzMtsgoej,UKZGC2304620
10,"Nails On My Back","Robin Cause",82,2A,17,-,02:15,50,"","Nails On My Back",2026-01-30,68,66,2,36,0,0,-19,D#/E♭ Minor,3,1gMZ5kdGlE8dA8hOKcXy7t,QT62W2556595
11,"Billie Bossa Nova","Billie Eilish",110,6A,39,-,03:16,78,"","Happier Than Ever",2021-07-30,90,22,3,55,10,10,-11,G Minor,4,2KnuaZYoGzDoHiBTNYOTXG,USUM72105927
12,"I Want It","Two Feet",122,4A,79,-,02:19,60,"","Lost The Game & I Want It",2018-10-25,58,16,0,52,0,20,-6,F Minor,4,1pV3J1Zk5mh20ncHiGlPhe,USUM71818389
13,"Where Are You?","Elvis Drew,Avivian",139,4B,50,-,02:34,60,"dark r&b","Where Are You?",2020-05-22,67,30,1,45,0,10,-10,G#/A♭ Major,4,0kVbqPkUBwEMcUmXw4ZuMX,QZES72006868
14,"só por hoje (seu marido)","Delacruz,JOK3R",121,1A,42,-,02:04,58,"brazilian hip hop, brazilian pop, ","Vinho",2024-10-10,91,20,0,51,0,10,-8,G#/A♭ Minor,4,23Os5RBkazBGsdxP37v5CM,BKZDE2400013
15,"Samba in Paris","Baco Exu do Blues,Gloria Groove",96,3B,40,-,04:26,66,"brazilian hip hop, brazilian trap, brazilian pop, funk pop, pagode, brazilian funk","QVVJFA?",2022-01-26,63,68,0,44,20,30,-8,C♯/D♭ Major,4,25KQALHh04rbmAamifLwKt,BX2DO2200006
16,"Jesus to a Child","George Michael",174,12A,42,-,06:51,63,"","Older",1996-05-13,53,31,0,19,0,0,-12,C♯/D♭ Minor,4,2SzCxX6M6vDwdEwnHDiTaY,GBDFN9600001
17,"K.","Cigarettes After Sex",94,5B,40,-,05:19,85,"dream pop","Cigarettes After Sex",2017-06-09,45,15,82,31,0,10,-10,D#/E♭ Major,4,2xGjfbXZnI8uQDhukoQURQ,USBQU1700031
18,"A Night To Remember","beabadoobee,Laufey",115,7A,62,-,03:53,76,"bedroom pop, ","A Night To Remember",2023-10-20,73,50,3,57,0,0,-8,D Minor,4,180AbZduI6bYQIzwCHRwu9,GBK3W2302799
19,"Paradise","Sade",100,3B,79,-,03:37,79,"","The Best of Sade",1994-10-31,74,31,39,97,0,0,-8,C♯/D♭ Major,4,4tReFKumS5bcFahdXDiM1b,GBBBM8900001
20,"PLEASE","Omido,Ex Habit",113,10A,54,-,02:40,62,"dark r&b","PLEASE",2022-04-20,59,1,0,26,0,10,-8,B Minor,3,7xcU6jomyxCkWHazhRp4W6,DEWO71700350
21,"Call 911","Trunks,CJota,RalphTheKiD",111,1A,54,-,03:00,61,"brazilian trap, brazilian hip hop, trap, trap funk","Call 911",2018-05-21,54,28,0,35,20,10,-7,G#/A♭ Minor,4,43OrLOR9xCE4OPRMS6f32U,QZ5AB1979905
22,"Beyond","Leon Bridges",76,2B,69,-,04:00,75,"retro soul","Good Thing",2018-05-04,58,23,0,19,10,10,-5,F#/G♭ Major,4,1Omt5bfz1tZUCqd26HxbS0,USSM11800493
23,"Lost The Game","Two Feet",90,9B,60,-,02:51,59,"","Pink",2020-03-13,57,37,0,54,0,30,-7,G Major,3,7cS8eqcw4EQraaGYcUAANo,USUM71818388
24,"Saudade","Luiz Lins,Konai,Mazili",138,5A,36,-,03:04,70,"brazilian hip hop, ","Saudade",2017-12-20,61,78,0,27,10,10,-18,C Minor,4,3KGCF68zDut37Ug3fzWgVU,QZ5AB1821385
25,"Hard For Me","Michele Morrone",81,3A,29,-,02:57,58,"","Dark Room",2020-02-14,45,81,0,16,0,10,-12,A#/B♭ Minor,4,00PesUdTmC3Y5xtZbZND0p,PLC592000024
26,"Flamingos","Baco Exu do Blues,Tuyo",80,12B,57,-,03:57,69,"brazilian hip hop, brazilian trap, ","Bluesman",2018-11-23,44,6,0,59,20,50,-5,E Major,5,2sPW1CuNT1SPXs0QJp0Gmp,BX2DO1800007
27,"Warwick Avenue","Duffy",170,5A,59,-,03:46,67,"","Rockferry",2008-00-00,49,34,0,50,0,10,-6,C Minor,4,3K4r00KlXytLJDfuytngmx,GBUM70711277
28,"Wicked Game","Chris Isaak",112,11B,30,-,04:49,86,"","Heart Shaped World",1989-06-13,66,68,1,36,0,0,-18,A Major,4,7w5AOd6HrDIHewHfpABEss,USRE19900989
29,"Chupke Se","A.R. Rahman,Sadhana Sargam,Murtuza,Qadir,Gulzar",104,4A,35,-,06:04,60,"tamil pop, kollywood, bollywood, sufi, hindi pop, ghazal, desi","Saathiya",2002-10-18,74,38,0,46,0,0,-15,F Minor,4,2F3MfkMgCaUypuEKyvbUzq,INY090200018
30,"In Another Time","Sade",148,7B,38,-,05:04,64,"","Soldier of Love",2010-02-08,62,57,2,23,0,10,-9,F Major,3,1DKYtHoBNbqjMLqvpw7o73,GBARL0901616
31,"Good Girl","BURY,Omido,Beneld",100,12A,82,-,02:48,56,"dark r&b","Good Girl",2024-07-05,49,13,0,14,0,10,-4,C♯/D♭ Minor,4,5trH6TjbYDHRFsPk65mhdZ,UKZGC2405646
32,"When I Get My Hands On You","The New Basement Tapes",135,12A,21,-,03:10,68,"roots rock","Lost On The River",2014-08-19,91,2,8,49,0,10,-14,C♯/D♭ Minor,4,4Fs6KJzg4d0xrGZt7wrC0M,USUM71411811
33,"Lose Myself","SWIM",75,8A,53,-,03:08,56,"dark r&b, trap soul","Lose Myself",2023-11-03,52,23,0,34,0,10,-11,A Minor,4,1Dzi7Zs5HkDyKRpu0ZAEEW,QZTBB2323009
34,"I Belong To You","Lenny Kravitz",87,6A,68,-,04:17,68,"","5",1998-05-12,69,0,2,67,0,0,-8,G Minor,4,02UjN28wB5uyeqUhZTiuZ2,USVI29800116
35,"I Feel Like I'm Drowning","Two Feet",105,4B,58,-,03:05,77,"","A 20 Something Fuck",2018-10-05,72,71,0,24,0,0,-5,G#/A♭ Major,3,3aauaXWRgwCMoykMbI0Jq1,USUM71709320
36,"One Last Night","Vaults",90,3A,59,-,03:21,54,"","Caught In Still Life",2016-12-02,39,20,2,40,0,10,-8,A#/B♭ Minor,4,157wQAD7Lvxvz3J0R3ixYk,GBUM71406656
37,"20 Ligações","Baco Exu do Blues",75,8B,39,-,03:13,69,"brazilian hip hop, brazilian trap","QVVJFA?",2022-01-26,69,78,0,54,10,10,-11,C Major,4,1P57udP2cWSaV9vkVFS71C,BX2DO2200004
38,"Put It on Me","Matt Maeson",82,3B,41,-,03:22,65,"","The Hearse",2018-04-27,63,1,0,42,0,0,-6,C♯/D♭ Major,3,7tySfDFfBiCjraLdoy6In5,USAT21801087
39,"Feeling Good","Michael Bublé",115,3B,53,-,03:57,72,"christmas","It's Time (20th Anniversary Deluxe Edition)",2004-00-00,42,53,0,43,0,10,-7,C♯/D♭ Major,3,6lRU3pKjNnSI9svHzznkC6,USRE11300257
40,"Kinky Love","Pale Saints",179,3B,27,-,04:04,70,"shoegaze, dream pop","Flesh Balloon",1991-06-24,37,13,0,30,0,0,-18,C♯/D♭ Major,4,5hUCTgttGB1eS4GJdPEQEM,GBAFL9100116
41,"Cherish the Day","Sade",80,4B,39,-,05:32,73,"","Love Deluxe",1992-10-26,68,1,8,68,0,10,-13,G#/A♭ Major,4,22QiTJqDn1BIRSh4mkNJ5w,GBBBM9202023
42,"FEEL","Beneld,BURY",90,12B,45,-,03:24,67,"dark r&b","FEEL",2024-05-24,42,61,15,6,0,20,-11,E Major,4,6F12MoUtqXHy8Pdy110YeS,UKZGC2404446
43,"Angels","Robbie Williams",150,12B,59,-,04:25,78,"","Life Thru A Lens",1997-01-01,43,16,0,24,0,10,-6,E Major,4,1M2nd8jNUkkwrc1dgBPTJz,GBAYE9700233
44,"Unchained Melody","Norah Jones",67,10B,24,-,02:50,58,"jazz pop","Resistance Radio: The Man in the High Castle Album",2017-04-07,31,89,75,18,0,10,-13,D Major,4,2S7AhLiZxFa1S8i2pI4AJD,USQX91700230
45,"Open","Rhye",91,8B,32,-,03:37,64,"","Woman",2013-01-01,55,90,9,23,0,20,-11,C Major,4,3JsA2sWDNR9oQogGAzqqtH,GBUM71205660
46,"Glory Box - Live","Portishead",119,2A,71,-,05:37,65,"trip hop, downtempo","Roseland NYC Live",1998-01-01,43,15,0,18,0,80,-5,D#/E♭ Minor,4,2wEHxTBxLJk3vYzyW6dsAU,GBARA9800069
47,"Show Me","Black Atlass",108,1A,42,-,03:25,48,"","Dream Awake",2020-04-03,61,7,0,13,0,0,-10,G#/A♭ Minor,4,6GlzOCJAn10Nbo1XuYt4UU,USUM72004978
48,"Te Amo Disgraça","Baco Exu do Blues",100,11A,23,-,04:50,67,"brazilian hip hop, brazilian trap","Esú",2017-09-04,73,58,0,28,30,10,-14,F#/G♭ Minor,4,3580ioGgtZpoym4vxQXR9Q,QZ5AB1740783
49,"The Bad Angel","Nikki Idol",173,2A,55,-,02:02,48,"","The Bad Angel",2023-01-27,35,61,0,47,0,0,-8,D#/E♭ Minor,3,04cAYR3v9QUaXOd0AxHHpd,FR9W12301151
50,"Playground Love (with Gordon Tracks)","Air,Gordon Tracks",143,6A,42,-,03:32,70,"trip hop, downtempo, ","The Virgin Suicides (Original Motion Picture Score)",2000-02-29,35,25,85,14,0,30,-11,G Minor,4,6L5RI9isQPvFyl1yCxnFFb,FR71S9900001
