#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"I'm Into You","Chet Faker",169,7A,68,2019-05-13,04:23,54,"","Thinking In Textures",2012-03-23,56,67,0,50,40,20,-7,D Minor,4,2mbu1ssfb7h1RNO5jBv4cW,AUDJ01200877
2,"Shoulders","Golden Vessel,Elkkle,Mallrat",82,10A,57,2019-05-13,03:20,0,"","Shoulders",2017-06-09,75,11,0,45,10,10,-5,B Minor,4,1vhM5R8NlVIoFG26Mk9HEh,AUI441700060
3,"Drowning","Ondi Vil,Teqkoi,Mehkare Merson",95,2B,46,2020-07-14,01:40,37,"","Drowning",2018-03-20,67,72,0,22,20,0,-8,F#/G♭ Major,4,6fee735D9oJHuz9k3tp215,QZBRF1895994
4,"How Many Times","Elderbrook",107,9A,36,2020-02-15,03:39,37,"","Simmer Down",2015-06-25,71,35,11,10,0,0,-12,E Minor,4,0MvbVrgPp4rS2YGrsQ5k8b,GBMKA1486360
5,"Love Is a Bitch","Two Feet",150,8A,18,2019-05-13,03:01,74,"","Love Is a Bitch",2017-05-19,53,61,14,10,0,10,-10,A Minor,3,6MiVIH3fQlmz44jGx2DXn4,DEVF11700118
6,"Come Home - Beshken Remix","The Undercover Dream Lovers,Beshken",97,12A,51,2019-05-13,03:40,0,"","Come Home (Beshken Remix)",2017-10-18,74,5,62,19,0,10,-8,C♯/D♭ Minor,4,1UPuYSVhLz2OHRZxS1TZPu,TCADH1721308
7,"No Diggity","Chet Faker",80,7A,51,2019-05-13,03:45,46,"","Digging the Blogosphere",2012-03-09,67,59,0,50,10,0,-12,D Minor,4,1xCkZYGKDv7ELjSlIKedOy,FR4EO1200026
8,"On Fire","J. Bernardt",102,5A,43,2019-05-13,05:02,0,"","Running Days",2017-06-16,87,31,1,33,0,10,-11,C Minor,3,2i3NlxGxf7ovgYtIZmr4LD,GBENL1701893
9,"Bunker","Balthazar",107,3A,44,2019-05-13,04:51,0,"","Thin Walls",2015-03-30,68,22,2,22,0,10,-9,A#/B♭ Minor,4,0R4l8uepOzxFoF1xWQq2nh,GBENL1401245
10,"Lover Is a Day","Cuco",180,5B,65,2020-07-14,07:36,1,"bedroom pop","wannabewithu",2016-07-09,41,4,19,34,0,10,-10,D#/E♭ Major,4,76tGvMdmFKuiMew33ZNNA9,USHM21643447
11,"Left Alone","Flume,Chet Faker",85,9A,62,2019-05-13,03:29,0,"future bass, ","Flume",2012-11-12,49,9,0,23,0,0,-6,E Minor,4,2K4uY7weA4LGJqd86UQBWw,AUFF00500380
12,"Quand on arrive en ville","Fhin",92,7A,33,2019-05-13,03:38,48,"french indie pop","Quand on arrive en ville",2017-04-14,81,50,0,36,30,10,-12,D Minor,4,3i968ZBc1IdtDZEL9zuKWP,FR2X41716843
13,"Nina","Beshken",100,3B,53,2019-05-13,03:44,0,"","Nina",2017-05-26,81,24,4,72,0,10,-7,C♯/D♭ Major,4,3forXE5gmKaj2JWrfij8Vm,QM24S1701506
14,"Solo Sunrise","Chet Faker",168,7A,70,2019-05-13,04:04,37,"","Thinking In Textures",2012-03-23,49,76,0,27,20,10,-6,D Minor,4,6WLUoXJmiHweg7RaHP8ptj,AUDJ01200882
15,"Slacks","St. South",126,1B,53,2019-05-13,03:26,0,"","Slacks",2014-08-08,75,77,0,33,0,0,-10,B Major,4,01qIefOW1UdSDS1mHoSZ3x,TCABZ1413203
16,"Drop the Game","Flume,Chet Faker",78,9A,66,2019-05-13,03:41,37,"future bass, ","Drop the Game - EP",2013-01-23,32,51,0,41,0,20,-6,E Minor,4,2mk87j3RWPdzy0rWIoUP1o,AUFF01300488
17,"Wicked Streets - Edit","J. Bernardt",103,8B,51,2019-05-13,03:36,0,"","Wicked Streets",2017-03-24,69,0,1,48,0,10,-7,C Major,4,6aNBxDycr4zpnWVAIZYSSk,GBENL1701867
