#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"ceilings","Lizzy McAlpine",148,11B,32,2023-03-13,03:02,81,"","five seconds flat",2022-04-08,52,47,0,26,0,20,-12,A Major,3,2L9N0zZnd37dwF0clgxMGI,GBKPL2280163
2,"Big Jet Plane","Angus & Julia Stone",110,3A,38,2023-03-13,03:59,63,"","Down The Way",2010-03-12,77,25,1,26,0,0,-9,A#/B♭ Minor,4,2fbXJ0VpxhW7j0qcg1DnoZ,AUAP10900011
3,"reckless driving (feat. Ben Kessler)","Lizzy McAlpine,Ben Kessler",200,8B,39,2023-03-13,03:09,0,"","reckless driving (feat. Ben Kessler)",2022-02-23,53,68,0,43,20,10,-10,C Major,4,3rX7jCeMKpyHH6bFohXcWd,GBKPL2280161
4,"The Archer - Live From Paris","Taylor Swift",125,8B,54,2023-03-13,03:30,50,"","The Archer (Live From Paris)",2020-05-17,47,17,0,10,0,80,-9,C Major,4,2fgiBCtbWo8pijF6M7pN1i,USUG11904299
5,"Don’t Worry","The 1975",91,3B,9,2023-03-13,02:48,41,"","Notes On A Conditional Form",2020-05-22,34,92,0,38,0,10,-12,C♯/D♭ Major,1,1qlyZ5QAPK7WEtIukfMoNM,GBK3W1901082
6,"Tom's Diner","Suzanne Vega,DNA",99,11A,52,2023-03-13,03:48,0,"singer-songwriter, ","Pop 90s",2019-05-10,84,1,3,59,0,0,-9,F#/G♭ Minor,4,6bsNvJgf6TCrBenHz1Odzs,USAM10300195
7,"Reckless","Madison Beer",180,5B,43,2023-03-13,03:23,71,"","Reckless",2021-06-04,39,81,0,26,0,10,-7,D#/E♭ Major,3,5ajjAnNRh8bxFvaVHzpPjh,USSM12102874
8,"Animal Farm - Home Demo","David Bowie",71,9B,17,2023-03-13,02:22,6,"glam rock, art rock","Conversation Piece",2019-11-15,61,50,0,50,0,40,-13,G Major,4,4zTGsdLoFs3ebNgyaQec0Z,USJT11900056
9,"Better On Your Own","Kristiane",141,10B,65,2023-03-13,02:23,0,"","Better On Your Own",2021-07-02,62,32,0,60,0,0,-8,D Major,4,52IjH7U9fkLgqM4yVecYGz,US4HB2100329
10,"the 1 - the long pond studio sessions","Taylor Swift",140,8B,25,2023-03-13,03:39,52,"","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020-11-25,71,90,3,16,0,10,-11,C Major,4,08J4bMHbILkwSIhbtrcvjN,USUG12004473
11,"Blue Hippo","Maya Hawke",107,6B,45,2023-03-13,03:19,2,"","Blue Hippo",2021-12-07,69,94,12,35,0,10,-10,A#/B♭ Major,4,1kKHlRNEXpIkYARjFXGmnm,USQE92100315
12,"We'll Never Have Sex","Leith Ross",174,10B,7,2023-03-13,01:39,65,"","We'll Never Have Sex",2022-03-25,37,96,0,44,0,10,-17,D Major,3,4zXuYQNDmw3dlauyc8q3Kd,USUM72203822
13,"Pretty When You Cry","Lana Del Rey",109,3A,55,2023-03-13,03:54,78,"","Ultraviolence (Deluxe)",2014-01-01,51,40,0,20,0,20,-7,A#/B♭ Minor,4,6PnluwP0fjGnpIBsqTdUTq,GBUM71402191
14,"Ever Since New York","Harry Styles",128,6B,54,2023-03-13,04:13,68,"","Harry Styles",2017-05-12,39,20,0,38,0,10,-7,A#/B♭ Major,5,5LABCxgmP7DATATIJXOh6n,USSM11703959
15,"Feels Like","Gracie Abrams",145,1B,48,2023-03-13,02:32,72,"","This Is What It Feels Like",2021-11-12,62,70,0,18,0,10,-7,B Major,4,35IcAVSMsU9qzHfpPbvC8A,USUG12001932
16,"Sunsetz","Cigarettes After Sex",75,8A,48,2023-03-13,03:34,1,"dream pop","Cigarettes After Sex",2017-06-09,41,5,80,14,0,10,-9,A Minor,4,69UqtTHfUKAJweQwEStRzC,USBQU1700033
17,"Maroon","Taylor Swift",108,9B,38,2023-03-13,03:38,73,"","Midnights",2022-10-21,66,6,0,4,0,10,-8,G Major,4,3eX0NZfLtGzoLUxPNvRfqm,USUG12205735
18,"Sad Girl","Lana Del Rey",119,7B,59,2023-03-13,05:17,80,"","Ultraviolence (Deluxe)",2014-01-01,35,54,7,26,0,10,-8,F Major,4,11MyiSGZSYSmhhqwGUTtAq,GBUM71402107
19,"Not the End","Ben Barnes",99,12A,26,2023-03-13,02:55,0,"","Songs For You",2021-10-15,62,82,0,13,0,10,-8,C♯/D♭ Minor,4,6LzuGeCbBG13Ri2ESJLTIn,USA2P2123511
20,"Duvet","bôa",93,10A,89,2023-03-13,03:23,0,"","Twilight",2001-00-00,58,19,0,67,0,0,-9,B Minor,4,7urtwZEtOypb3r8HNi42dT,uscgj0659337
21,"Vincent (Starry Starry Night)","Don McLean",150,9B,31,2023-03-13,05:14,38,"","Live in an NY City Studio 25 Jan ‘82",1982-00-00,42,45,0,35,0,60,-14,G Major,4,2korL0BGV5akkp5YFkGY0n,GB-SMU-23-55448
22,"Dreams","The Cranberries",129,12B,65,2023-03-13,04:31,84,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,55,0,0,51,0,40,-13,E Major,4,4JGKZS7h4Qa16gOU3oNETV,USIR29300080
23,"Anti-Hero - Acoustic Version","Taylor Swift",97,12B,35,2023-03-13,03:16,54,"","Anti-Hero (Acoustic Version)",2022-11-25,62,57,0,39,0,10,-10,E Major,4,2d3d9xZutJjmUpntiyHt3F,USUG12207576
24,"A&W","Lana Del Rey",157,6B,24,2023-03-13,07:13,0,"","A&W",2023-02-14,43,63,39,14,10,10,-15,A#/B♭ Major,4,1wTopxO5eQBpxrBXPSbsUn,GBUM72206757
25,"Daddy Issues","The Neighbourhood",85,6B,52,2023-03-13,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
26,"Sex, Drugs, Etc.","Beach Weather",144,9A,84,2023-03-13,03:16,75,"","Chit Chat",2016-11-04,57,1,1,47,0,50,-5,E Minor,4,7DbdUf8aHSYoliSjO6LZv6,TCACS1642138
