#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Fair Trade (with Travis Scott)","Drake,Travis Scott",168,3B,47,2021-12-11,04:51,82,"rap","Certified Lover Boy",2021-09-03,67,5,0,29,20,20,-9,C♯/D♭ Major,4,40iJIUlhi6renaREYGeIDS,USUG12104402
2,"favorite crime","Olivia Rodrigo",173,11B,27,2021-12-11,02:32,83,"","SOUR",2021-05-21,37,87,0,22,0,10,-10,A Major,4,5JCoSi02qi3jJeHdZXMmR8,USUG12101249
3,"In The Night","The Weeknd",168,9B,68,2022-10-24,03:55,72,"","Beauty Behind The Madness",2015-08-28,51,8,0,54,0,0,-5,G Major,3,25KybV9BOUlvcnv7nN3Pyo,USUG11500951
4,"Hands To Myself","Selena Gomez",111,4A,51,2022-10-24,03:20,68,"","Revival (Deluxe)",2015-10-09,81,1,0,44,10,30,-7,F Minor,4,1LoriJC05IrHIDwj3q0KC1,USUM71513592
5,"Sorry","Justin Bieber",100,5A,76,2021-12-11,03:20,88,"","Purpose (Deluxe)",2015-11-13,66,8,0,41,0,30,-4,C Minor,4,09CtPGIpYB4BrO8qb1RGsF,USUM71516760
6,"Stuck with U (with Justin Bieber)","Ariana Grande,Justin Bieber",179,4B,45,2021-12-11,03:48,81,"pop, ","Stuck with U",2020-05-08,60,22,0,54,0,30,-7,G#/A♭ Major,3,4HBZA5flZLE435QTztThqH,USUM72009644
7,"Vibez","ZAYN",97,9B,67,2021-12-11,02:43,57,"","Nobody Is Listening",2021-01-15,64,24,2,30,0,10,-7,G Major,4,6T6D9CIrHkALcHPafDFA6L,USRC12003149
8,"Cold Water","Major Lazer,Justin Bieber,MØ",93,11A,80,2021-12-11,03:05,72,"moombahton, ","Cold Water",2016-07-22,61,7,0,50,0,10,-5,F#/G♭ Minor,4,7zsXy7vlHdItvUSH8EwQss,QMUY41600027
9,"drivers license","Olivia Rodrigo",144,6B,43,2021-12-11,04:02,86,"","SOUR",2021-05-21,56,77,0,14,0,10,-9,A#/B♭ Major,4,5wANPM4fQCJwkGd4rN57mH,USUG12004749
10,"Love Yourself","Justin Bieber",100,12B,38,2021-12-11,03:53,87,"","Purpose (Deluxe)",2015-11-13,61,84,0,52,40,20,-10,E Major,4,50kpGaPAhYJ3sGmk6vplg0,USUM71516761
11,"2U","David Guetta,Justin Bieber",145,1A,65,2022-10-24,03:14,54,"edm, ","2U",2017-06-09,55,23,0,56,0,20,-6,G#/A♭ Minor,4,762UXiwEHYY97VL45sAUPR,GB28K1700019
12,"Better","ZAYN",85,10B,41,2021-12-11,02:54,54,"","Nobody Is Listening",2021-01-15,70,35,0,10,20,10,-7,D Major,4,5CBnWXD8M7e8Q6WubFLtXy,USRC12002988
13,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber,Daniel Caesar,GIVĒON",90,8B,70,2021-12-11,03:18,82,"r&b","Justice",2021-03-19,68,32,0,46,10,40,-6,C Major,4,4iJyoBOLtHqaGxP12qzhQI,USUM72102636
