#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"You Said That You Loved Me","Addal",107,3A,50,-,02:29,62,"","You Said That You Loved Me",2025-09-19,72,13,13,63,0,10,-8,A#/B♭ Minor,4,3uEwWr5IatFzC0LYqhzD08,IT2GN2500160
2,"Ordinary","Cupido",105,10B,52,-,03:16,60,"","Ordinary",2025-06-06,44,3,0,35,0,10,-10,D Major,3,2Ektwgee5sBRDqVToA9J0u,IT2GN2500151
3,"Floating","Moment in Time",120,11A,41,-,02:40,62,"","Floating",2024-08-14,65,72,49,30,10,10,-13,F#/G♭ Minor,4,2NLgWMWGDY7lCmBuD6sghX,FXQ892400172
4,"There For You","Willow",114,10B,33,-,02:54,56,"","There For You",2026-01-09,54,56,75,4,0,0,-23,D Major,4,3TPYOpX9qaLUv2mVWYkhBD,DEH742538003
5,"Sunrise","Norah Jones",157,4B,30,-,03:20,74,"jazz pop","Feels Like Home",2004-01-01,53,94,10,68,0,10,-14,G#/A♭ Major,4,7zkLpY72g6lKQbiHDqri1S,USBN20300893
6,"Safe And Sound","Byond Bliss,Deep Mage",110,8B,76,-,02:02,55,"deep house","Safe And Sound",2024-04-13,63,1,0,22,0,20,-7,C Major,4,0GwZfmtpOs10hTg2l0gMAL,GX8LD2447574
7,"Promise","heylucas",115,3B,35,-,03:20,55,"","Euphoria",2023-05-26,78,49,0,55,20,10,-9,C♯/D♭ Major,4,53yryXhiQH6zt8tUjE6V32,FXQ892300022
8,"Baby Steps","Olivia Dean",95,8B,67,-,03:17,87,"pop soul","The Art of Loving",2025-09-26,70,16,3,39,0,10,-8,C Major,4,5SruEBX3KpgpDvEcIuN53P,GBUM72503092
9,"Landslide","Fleetwood Mac",159,6A,16,-,03:19,86,"yacht rock, classic rock, soft rock","Fleetwood Mac",1975-07-11,41,88,0,42,0,10,-22,G Minor,4,5ihS6UUlyQAfmp48eSkxuQ,USWB19903197
10,"Matter of Time","Vandelux,Alex Maher",115,9B,52,-,04:00,68,"stutter house, ","When The Light Breaks",2023-09-15,70,10,15,5,0,10,-9,G Major,4,5z49EsoURUXq88RSLBmYPG,GBKPL2150049
11,"Catch & Release - Deepend Remix","Matt Simons,Deepend",105,12A,54,-,03:15,74,"tropical house, deep house","When The Lights Go Down",2015-09-30,84,56,0,11,0,10,-9,C♯/D♭ Minor,4,11BAVEGi1ivJ6JWLqKUNrZ,NLE3T1400013
