#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Golden","HUNTR/X,EJAE,AUDREY NUNA,REI AMI,KPop Demon Hunters Cast",123,9A,69,-,03:14,95,"k-pop","KPop Demon Hunters (Soundtrack from the Netflix Film)",2025-06-20,65,10,0,10,0,10,-4,E Minor,3,1CPZ5BxNNd0n0nF4Orb9JS,QZ8BZ2513510
2,"Stateside + Zara Larsson","PinkPantheress,Zara Larsson",123,2B,66,-,03:04,97,"bedroom pop, ","Fancy Some More?",2025-10-10,68,7,0,85,0,20,-6,F#/G♭ Major,4,1DwscornXpj8fmOmYVlqZt,GBAYE2501217
3,"Mi Entorno","Virlan Garcia",173,9A,74,-,02:52,84,"banda, sierreño, corrido, sad sierreño, norteño, corridos bélicos","Mi Entorno",2025-10-09,64,57,0,59,10,10,-7,E Minor,3,30ECWSoejTkHDqo0yMpf6y,USANG2521344
4,"Aaya Sher (From  The Paradise ) (Telugu)","Anirudh Ravichander,Jangi Reddy,Arjun Chandy,Kasarla Shyam",133,12A,96,-,04:46,80,"tamil pop, kollywood, tamil dance, tamil hip hop, tollywood, telugu pop, devotional","Aaya Sher (From  The Paradise ) (Telugu)",2026-02-24,71,13,0,33,10,20,-5,C♯/D♭ Minor,4,4kV0ugCwyF7OAb3huIdThG,INH102601468
5,"Take Me to the Beach (feat. Ado)","Imagine Dragons,Ado",105,5A,70,-,02:47,73,"j-pop, anime, vocaloid, j-rock","Take Me to the Beach (feat. Ado)",2024-12-16,79,3,0,90,0,10,-5,C Minor,4,4n7nwDqrdx3qmJvEACOMrN,USUM72413303
6,"It's Going Down Now","Azumi Takahashi,Lotus Juice,ATLUS Sound Team,ATLUS GAME MUSIC",84,12A,95,-,03:06,74,"japanese vgm, soundtrack","Persona 3 Reload Original Soundtrack",2024-04-24,48,0,0,80,0,20,-6,C♯/D♭ Minor,4,3znIACSXPLn3HFCf7moZ28,JPK652300130
7,"Faint","Linkin Park",135,12B,98,-,02:42,87,"nu metal, rap metal, rock, alternative metal","Meteora",2003-03-25,55,13,0,61,10,0,-4,E Major,4,4Yf5bqU3NK4kNOypcrLYwU,USWB10300468
8,"Your New Morning Alarm","Marc Rebillet",140,4B,64,-,00:57,62,"","Your New Morning Alarm",2023-10-13,77,9,6,67,0,10,-9,G#/A♭ Major,4,7L1pVDaAATmhv0swJh1B56,TCAFT2182202
9,"Kingslayer (feat. BABYMETAL)","Bring Me The Horizon,BABYMETAL",93,3B,93,-,03:40,75,"metalcore, emo, rock, screamo, post-hardcore, j-rock","POST HUMAN: SURVIVAL HORROR",2020-10-30,43,0,0,43,10,0,-3,C♯/D♭ Major,4,7CAbF0By0Fpnbiu6Xn5ZF7,GBARL2001276
10,"弥渡山歌 (Midu Echoing)","YANGYINYUE",128,7A,94,-,02:00,76,"phonk","弥渡山歌 (Midu Echoing)",2025-09-08,78,53,51,87,0,20,-2,D Minor,4,5FeR50ZqILXczkSZ0MocL0,DGA052598324
