#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"I Just Might","Bruno Mars",103,7B,71,-,03:32,89,"","The Romantic",2026-02-27,79,5,0,88,0,10,-6,F Major,4,6f68Ac5tt5BQOpwr0BV9oN,USAT22509144
2,"Babydoll","Dominic Fike",168,6A,60,-,01:37,96,"","Don't Forget About Me, Demos",2018-10-16,76,11,0,85,10,0,-5,G Minor,4,7yNf9YjeO5JXUE3JEBgnYc,USQX91802457
3,"Mr. Blue Sky","Electric Light Orchestra",178,6B,34,-,05:03,82,"art rock, soft rock","Out of the Blue",1977-00-00,39,65,0,48,0,20,-10,A#/B♭ Major,4,2RlgNHKcydI9sayD2Df2xp,USSM17200399
4,"Put Your Records On","Corinne Bailey Rae",96,11B,51,-,03:35,83,"","Corinne Bailey Rae",2006-01-01,74,17,0,54,0,10,-8,A Major,4,2nGFzvICaeEWjIrBrL2RAx,GBAYE0501671
5,"End of Beginning","Djo",160,10B,45,-,02:39,98,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
6,"Ordinary","Alex Warren",168,10B,69,-,03:06,92,"","You'll Be Alright, Kid (Chapter 1)",2024-09-26,37,70,0,39,0,0,-6,D Major,3,2RkZ5LkEzeHGRsmDqKwmaJ,USAT22500463
7,"Nice To Meet You","Myles Smith",115,4A,78,-,02:56,78,"","Nice To Meet You (Mistletoe Version)",2024-12-13,76,33,0,84,0,0,-5,F Minor,4,6eWAWHm0cuOaPGDWhoLJ7s,GBARL2401376
8,"I'm Yours","Jason Mraz",151,1B,44,-,04:02,83,"soft pop, acoustic pop","We Sing. We Dance. We Steal Things. (Bonus Tracks Version)",2008-05-01,70,56,0,71,0,10,-9,B Major,4,3S0OXQeoh0w6AY8WQVckRW,USEE10800667
9,"It's a Beautiful Day","Michael Bublé",144,3B,80,-,03:19,65,"christmas","To Be Loved",2013-04-11,53,6,0,78,0,30,-4,C♯/D♭ Major,4,0mvkwaZMP2gAy2ApQLtZRv,USRE11300016
10,"Walking On Sunshine","Katrina & The Waves",110,6B,87,-,03:58,79,"","Katrina & The Waves",1985-00-00,60,1,17,94,0,0,-12,A#/B♭ Major,4,05wIrZSwuaVWhcv5FfqeH0,USCA28500452
