#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Fortunate Son","Creedence Clearwater Revival",133,8B,66,2024-03-26,02:20,84,"classic rock, southern rock, country rock","Willy And The Poor Boys (Expanded Edition)",1969-11-02,64,20,1,66,0,10,-8,C Major,4,4BP3uh0hFLFRb5cjsgLqDh,USC4R0817618
2,"Paint It, Black","The Rolling Stones",159,3B,80,2024-03-26,03:22,84,"classic rock, rock","Aftermath",1966-04-15,46,5,0,61,0,40,-9,C♯/D♭ Major,4,63T7DJ1AFDD6Bn8VzG6JE8,USA176610020
3,"Free Bird","Lynyrd Skynyrd",118,8B,83,2024-03-26,09:07,81,"southern rock, classic rock, rock","Pronounced' Leh-'Nerd 'Skin-'Nerd",1973-01-01,25,7,0,34,0,0,-8,C Major,4,5EWPGh7jbTNO2wakv8LjUI,USMC17301722
4,"Black Betty","Ram Jam",117,10A,91,2024-03-26,04:00,75,"southern rock","Ram Jam",1977-06-20,47,2,0,68,10,10,-6,B Minor,4,6kooDsorCpWVMGc994XjWN,USSM10211288
5,"Paranoid - 2012 - Remaster","Black Sabbath",163,9A,66,2024-03-26,02:48,77,"metal, heavy metal, rock, stoner rock, doom metal, hard rock","Paranoid (Remaster)",1970-09-18,41,0,0,45,0,10,-12,E Minor,4,1Y373MqadDRtclJNdnUXVc,USWB11304628
6,"Immigrant Song - Remaster","Led Zeppelin",113,1B,93,2024-03-26,02:26,80,"classic rock, rock, hard rock, rock and roll","Led Zeppelin III (Remaster)",1970-00-00,56,1,17,62,0,30,-10,B Major,4,78lgmZwycJ3nzsdgmPPGNx,USAT21300934
7,"Danger Zone - From  Top Gun  Original Soundtrack","Kenny Loggins",157,2A,87,2024-03-26,03:36,65,"yacht rock","Top Gun - Motion Picture Soundtrack (Special Expanded Edition)",1999-01-01,55,15,0,74,0,10,-7,D#/E♭ Minor,4,3hMHG6lx9QHVcfYSUr5PoM,USSM18600108
8,"Welcome To The Jungle","Guns N' Roses",124,4B,99,2024-03-26,04:33,85,"rock, glam metal, hard rock, classic rock","Appetite For Destruction",1987-07-21,45,2,28,32,0,20,-4,G#/A♭ Major,4,0G21yYKMZoHa30cYVi1iA8,USGF18714801
9,"Thunderstruck","AC/DC",134,12B,89,2024-03-26,04:52,88,"rock, hard rock, classic rock, rock and roll","The Razors Edge",1990-09-24,50,0,1,26,0,20,-5,E Major,4,57bgtoPSgt236HzfBOd8kj,AUAP09000014
10,"Highway to Hell","AC/DC",116,11A,91,2024-03-26,03:28,88,"rock, hard rock, classic rock, rock and roll","Highway to Hell",1979-07-27,57,6,0,42,10,10,-5,F#/G♭ Minor,4,2zYzyRzz6pRmhPzyfMEC8s,AUAP07900028
