#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Insomniac","Memo Boy,Chakra Efendi",130,10B,71,2025-07-25,03:32,74,"","Songs & Demos 2015-2017",2021-06-04,52,24,85,37,0,10,-9,D Major,4,2klj0StczYde6WUHBJo5F6,AUNUK1700026
2,"Duvet","bôa",93,10A,89,2025-07-25,03:23,86,"","Twilight",2001-03-21,58,19,0,71,0,0,-9,B Minor,4,42qNWdLKCI41S4uzfamhFM,USCGJ0659337
3,"Fix of Choice","STRACTED,BAyP",130,10B,65,2025-07-25,03:32,0,"","Rich Hobbies",2023-11-12,53,32,0,47,0,10,-8,D Major,4,2b1YIMWV71axrm77N99jy8,QZWFE2307354
4,"Her","The American Dawn",103,2A,60,2025-07-25,03:34,79,"","Her",2024-07-26,66,1,1,53,0,0,-8,D#/E♭ Minor,4,2vlkTkPqdATznKHu9gD2c1,QZTAW2475627
5,"Oh Klahoma","Jack Stauber",109,9B,40,2025-07-25,03:05,72,"","Pop Food",2017-03-25,70,43,1,48,0,30,-10,G Major,4,6SZwj6cjc8JQbkrr8cbIUn,QMPKX1703670
6,"Dark Red","Steve Lacy",172,2B,78,2025-07-25,02:53,4,"","Dark Red",2017-02-20,60,45,0,78,0,10,-4,F#/G♭ Major,4,37y7iDayfwm3WXn5BiAoRk,GBKPL1778015
7,"Tom's Diner","Suzanne Vega,DNA",99,11A,44,2025-08-02,03:48,61,"singer-songwriter, ","Tom's Album",1991-01-01,86,2,1,73,0,0,-12,F#/G♭ Minor,4,7f9sC9fvtjYSZYOLSmKJlq,USAM10300195
8,"There She Goes","The La's",123,9B,85,2025-08-02,02:42,64,"britpop, jangle pop","The La's (Deluxe Edition)",1990-00-00,54,1,74,91,0,10,-7,G Major,4,0SMkzFGJOBFDI9KfYD55L0,GBAQT8800001
9,"i was all over her","salvia palth",105,9B,37,2025-08-02,02:41,80,"slowcore, lo-fi indie","melanchole",2013-05-06,54,78,88,5,0,10,-13,G Major,4,6mSnSuOhgHHohqeBw76jRV,GBSMU1456120
10,"Wicked Game","Chris Isaak",112,11B,30,2025-08-02,04:49,86,"","Heart Shaped World",1989-06-13,66,68,1,36,0,0,-18,A Major,4,7w5AOd6HrDIHewHfpABEss,USRE19900989
11,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2025-08-02,04:49,76,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
12,"Army Dreamers - 2018 Remaster","Kate Bush",144,9A,12,2025-08-03,02:59,66,"art pop, baroque pop, art rock","Never for Ever (2018 Remaster)",1980-09-07,70,73,0,31,0,0,-19,E Minor,3,5QYUNHT2dQwoNHorXznygN,GBAYE1800848
13,"Golden Brown","The Stranglers",94,2B,38,2025-08-06,03:26,53,"proto-punk, new wave","The UA Singles '79-'82",2003-00-00,56,14,12,60,0,10,-15,F#/G♭ Major,3,2567Nz9dyVIYeDv5Qq1u0q,GBAYE8100053
14,"Golden Brown - Slowed Down Version","The Stranglers",157,5A,42,2025-08-22,04:08,82,"proto-punk, new wave","Golden Brown",1981-12-28,53,14,6,42,0,10,-13,C Minor,3,612bl0KHzyyxEhPzuMqM6e,GBAYE2500725
15,"I Wanted to Leave","SYML",170,4B,6,2025-08-25,03:23,70,"","I Wanted to Leave",2022-12-23,49,99,90,27,0,10,-20,G#/A♭ Major,3,61iGwqhbDwkXanVo5LwJyF,CAN112000416
16,"Let Go","Ark Patrol,Veronika Redd",82,8B,44,2025-08-28,04:08,77,"","Let Go",2016-04-14,46,67,26,4,0,20,-10,C Major,3,07mdQUH1Cy5j4mTpyG6IOe,QMSNZ1502193
17,"California Dreamin'","The Mamas & The Papas",112,12A,73,2025-08-30,02:40,75,"folk rock","All The Leaves Are Brown The Golden Era Collection",2001-08-28,55,42,0,65,0,0,-7,C♯/D♭ Minor,4,1ZEOIhSn6BKErV59bIgn76,USMC16532697
18,"Goth (Slowed + Reverb)","Sidewalks and Skeletons",94,4A,60,2025-09-02,04:12,71,"witch house, darkwave","Goth (Slowed + Reverb)",2023-07-28,38,0,48,5,0,0,-10,F Minor,4,5cbI0HJrTDb0njDk653bcN,USHM82342721
19,"Brooklyn Baby","Lana Del Rey",108,3B,66,2025-09-15,05:51,85,"","Ultraviolence (Deluxe)",2014-01-01,40,54,0,9,0,10,-7,C♯/D♭ Major,4,1NZs6n6hl8UuMaX0UC0YTz,GBUM71402169
20,"Young And Beautiful - DH Orchestral Version","Lana Del Rey",114,10A,38,2025-09-30,03:51,57,"","Music From Baz Luhrmann's Film The Great Gatsby (Deluxe Edition)",2013-01-01,28,21,0,9,0,10,-8,B Minor,4,5mhd20rH952SFPErYih36i,GBUM71302506
21,"Golden Brown x Love Story - Super Slowed","rudo made it,COSKO",63,2A,38,2025-11-16,03:09,42,"mediaeval","Golden Brown x Love Story (Slowed)",2025-06-29,44,16,97,51,0,20,-15,D#/E♭ Minor,3,3ygjKivh5XS9HauwcmJCyF,GXBDS2582039
22,"Golden Brown - Female Version","rudo made it,COSKO",79,6A,40,2026-01-11,02:45,33,"mediaeval","Golden Brown (Female Version)",2025-09-23,33,2,95,33,0,30,-11,G Minor,3,2oTL14up0rpZGQfF82RnMK,GXF972589193
