#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Here Comes The Sun - Remastered 2009","The Beatles",129,11B,54,2026-03-01,03:05,84,"classic rock, psychedelic rock","Abbey Road (Remastered)",1969-09-26,56,3,0,39,0,10,-10,A Major,4,6dGnYIeXmHdcikdzNNDMm2,GBAYE0601696
2,"Better Together","Jack Johnson",110,7B,35,2026-03-01,03:27,75,"surf rock","In Between Dreams",2005-01-01,87,30,0,66,0,10,-9,F Major,4,2iXdwVdzA0KrI2Q0iZNJbX,USMC60400027
3,"Daylight","Maroon 5",120,10B,66,2026-03-01,03:45,0,"pop","Overexposed (Deluxe)",2012-06-25,66,0,0,36,0,10,-6,D Major,4,4rYsGbETVKjb9CQONqA6VO,USUM71204771
4,"Bubbly","Colbie Caillat",128,11B,47,2026-03-01,03:16,68,"","Coco",2007-01-01,70,60,0,25,0,10,-7,A Major,4,0rFOs9paloAvEtzwDX1Kmc,USUM70736197
5,"I'm Yours","Jason Mraz",151,1B,44,2026-03-01,04:02,78,"soft pop, acoustic pop","We Sing. We Dance. We Steal Things.",2008-05-12,70,56,0,71,0,10,-9,B Major,4,1EzrEOXmMH3G43AXT1y7pA,USEE10800667
6,"Don't Know Why","Norah Jones",88,7B,20,2026-03-01,03:06,2,"jazz pop","Come Away With Me",2002-02-26,73,88,0,62,0,0,-12,F Major,4,6ybViy2qrO9sIi41EgRJgx,USBN20100529
7,"You Belong With Me","Taylor Swift",130,2B,77,2026-03-01,03:51,50,"","Fearless Platinum Edition",2008-11-11,69,16,0,45,0,10,-4,F#/G♭ Major,4,3as6Wz3mwbTnusWhZjTUNr,USCJY0803328
8,"Banana Pancakes","Jack Johnson",115,9B,37,2026-03-01,03:11,72,"surf rock","In Between Dreams",2005-01-01,81,60,0,63,10,0,-8,G Major,4,0BgbobvykXxEvxo2HhCuvM,USMC60400032
9,"Memories","Maroon 5",91,1B,32,2026-03-01,03:09,36,"pop","Memories",2019-09-20,76,84,0,57,0,0,-7,B Major,4,2b8fOow8UzyDFAE27YhOZM,USUM71913350
10,"Sunrise","Norah Jones",157,4B,30,2026-03-01,03:20,74,"jazz pop","Feels Like Home",2004-01-01,53,94,10,68,0,10,-14,G#/A♭ Major,4,7zkLpY72g6lKQbiHDqri1S,USBN20300893
11,"Morning Glow","Nora Whitfield",97,5B,61,2026-03-01,02:35,40,"","Simple Days",2026-02-27,64,64,0,25,0,10,-8,D#/E♭ Major,4,5Zb8rghl25QMBjyllD5h0w,QZNWQ2697124
12,"Budapest","George Ezra",128,7B,46,2026-03-01,03:20,81,"","Wanted on Voyage (Expanded Edition)",2014-06-30,72,8,0,39,0,10,-8,F Major,4,2ixsaeFioXJmMgkkbd4uj1,GBARL1400477
13,"Love Song","Sara Bareilles",123,7A,79,2026-03-01,04:18,74,"","Little Voice",2007-07-03,58,2,0,57,0,10,-3,D Minor,4,4E6cwWJWZw2zWf7VFbH7wf,USSM10700066
14,"New Light","John Mayer",124,9B,69,2026-03-01,03:36,2,"singer-songwriter","New Light",2018-05-10,83,33,4,85,0,0,-8,G Major,4,3bH4HzoZZFq8UpZmI2AMgV,QM4TW1898425
15,"Mykonos","Fleet Foxes",122,1B,45,2026-03-01,04:35,0,"indie folk, folk, indie","Sun Giant",2008-01-01,39,42,0,34,0,10,-9,B Major,4,3RVupqMb1zXl8FNG9TlWBZ,GBBRP0816504
16,"Hollow Pines","Sons of the Forest",108,8B,79,2026-03-01,02:34,39,"","Hollow Pines",2026-02-27,72,25,0,23,0,0,-10,C Major,4,461MPrwfH1GEvHVJZ03G7m,QZNWQ2697096
17,"I Had Some Help (Feat. Morgan Wallen)","Post Malone,Morgan Wallen",128,8B,87,2026-03-01,02:58,83,"country","F-1 Trillion",2024-08-15,64,1,0,75,0,20,-5,C Major,4,5IZXB5IKAD2qlvTPJYDCFB,USUM72404990
