#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"All The Stars (with SZA) - From  Black Panther: The Album ","Kendrick Lamar,SZA",97,4B,63,2025-05-17,03:52,91,"hip hop, west coast hip hop, r&b","Black Panther The Album Music From And Inspired By",2018-02-09,70,6,0,56,0,0,-5,G#/A♭ Major,4,3GCdLUSnKSMJhs4Tj6CV3s,USUM71713947
2,"The Spins","Mac Miller,Empire Of The Sun",127,8A,77,2025-05-17,03:15,42,"","K.I.D.S. (Deluxe)",2010-08-13,79,1,0,55,0,0,-4,A Minor,4,7FAFkQQZFeNwOFzTrSDFIh,USA2P2015959
3,"Memories (feat. Kid Cudi)","David Guetta,Kid Cudi",130,4B,87,2025-05-17,03:30,84,"edm, ","One More Love",2010-11-22,56,0,0,50,30,20,-6,G#/A♭ Major,4,7fLzbEOBOae9lUnOwr7Tse,FRZID0900480
4,"Sundress","A$AP Rocky",125,2B,71,2025-05-17,02:38,83,"rap","Sundress",2018-11-20,72,18,0,74,0,10,-6,F#/G♭ Major,4,2aPTvyE09vUCRwVvj0I8WK,USRC11803252
5,"Meet Me Halfway","Black Eyed Peas",130,10A,63,2025-05-17,04:44,82,"","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,80,0,0,40,0,30,-7,B Minor,4,3F9ByoUqu31xU0I3G5xfVg,USUM70967700
6,"The Thrill","Wiz Khalifa,Empire Of The Sun",127,3A,78,2025-05-17,03:54,40,"","The Thrill (feat. Empire of the Sun)",2020-11-11,82,28,0,81,10,10,-5,A#/B♭ Minor,4,56oGoEjA9eTZYgsttEFKY3,USA2P2033760
7,"Just Can’t Get Enough","Black Eyed Peas",94,5A,63,2025-05-17,03:39,84,"","The Beginning",2010-01-01,66,19,0,26,10,10,-9,C Minor,4,3JA9Jsuxr4xgHXEawAdCp4,USUM71026671
8,"The Way I Are","Timbaland,Keri Hilson,D.O.E.",115,2B,81,2025-05-17,02:59,87,"","Shock Value",2007-01-01,73,18,75,77,0,30,-6,F#/G♭ Major,4,2bLqfJjuC5syrsgDsZfGmn,USUM70722806
9,"Promiscuous","Nelly Furtado,Timbaland",114,3A,97,2025-05-17,04:02,89,"","Loose",2006-01-01,81,6,0,87,0,10,-6,A#/B♭ Minor,4,2gam98EZKrF9XuOkU13ApN,USUM70603473
10,"Hey Ya!","Outkast",80,9A,97,2025-05-17,03:55,85,"southern hip hop, hip hop","Speakerboxxx/The Love Below",2003-00-00,73,10,0,97,0,10,-2,E Minor,4,2PpruBYCo4H7WOBJ7Q2EwM,USAR10300924
11,"Ms. Jackson","Outkast",95,9A,81,2025-05-17,04:30,85,"southern hip hop, hip hop","Stankonia",2000-10-31,84,14,0,61,20,0,-6,E Minor,4,0I3q5fE6wg7LIfHGngUTnV,USLF20000357
12,"Pursuit Of Happiness (Nightmare)","Kid Cudi,MGMT,Ratatat",115,8B,59,2025-05-17,04:55,73,"indie, ","Man On The Moon: The End Of Day (Int'l Version)",2009-01-01,63,49,0,25,0,30,-9,C Major,4,4kTLpAbhuEGHAAdDjOIWaa,USUM70981907
13,"Safe and Sound","Capital Cities",118,8B,82,2025-05-17,03:12,85,"","In A Tidal Wave of Mystery",2013-06-04,66,0,0,77,0,10,-5,C Major,5,5JVbvCHX10U2pLa5DEqGav,TCABD1246970
14,"We Are The People","Empire Of The Sun",123,9A,78,2025-05-17,04:27,90,"","Walking On A Dream (10th Anniversary Edition)",2008-10-03,68,8,1,53,0,40,-5,E Minor,4,3zEN0ii6s4DHHBpnTp3RP7,AUEI10800041
15,"Maneater","Nelly Furtado",133,2B,78,2025-05-17,04:18,86,"","Loose",2006-01-01,80,3,0,79,0,10,-5,F#/G♭ Major,4,4wH4dJgrsxONID6KS2tDQM,USUM70601449
16,"LoveGame","Lady Gaga",105,11A,68,2025-05-17,03:36,77,"art pop, pop","The Fame",2008-01-01,89,1,0,84,0,30,-6,F#/G♭ Minor,4,0eH2eHURaXUP15D8gQlfjx,USUM70824404
17,"Rock Your Body","Justin Timberlake",101,9A,71,2025-05-17,04:27,84,"","Justified",2002-11-04,89,20,0,82,10,0,-6,E Minor,4,1AWQoqb9bSvzTjaLralEkT,USJI10200367
18,"Hotel Room Service","Pitbull",126,3B,63,2025-05-17,03:57,73,"","Pitbull Starring In Rebelution",2009-08-31,85,1,0,74,20,0,-8,C♯/D♭ Major,4,0OPyDgTRuIdCJ9B4bYSths,USJAY0900063
19,"Whenever, Wherever","Shakira",108,12A,83,2025-05-17,03:16,78,"latin pop","Laundry Service",2001-11-13,79,24,0,87,0,20,-5,C♯/D♭ Minor,4,2lnzGkdtDj5mtlcOW2yRtG,NLB630100324
20,"Pocketful of Sunshine","Natasha Bedingfield",110,8A,88,2025-05-17,03:22,83,"","Pocketful Of Sunshine",2007-04-27,72,19,0,66,0,0,-4,A Minor,4,1uigwk5hNV84zRd5YQQRTk,GBARL0701374
21,"Starships","Nicki Minaj",125,10A,72,2025-05-17,03:30,80,"","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)",2012-01-01,75,14,0,75,0,20,-2,B Minor,4,2EBCVPNAG46nbgs6jXPGvv,USCM51200060
22,"I Gotta Feeling","Black Eyed Peas",128,8B,77,2025-05-17,04:49,85,"","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,74,9,0,61,0,50,-6,C Major,4,4kLLWz7srcuLKA7Et40PQR,USUM70965169
23,"Don't Worry (with Ray Dalton) - Radio Edit","Madcon,Ray Dalton",123,9B,70,2025-05-17,03:34,65,"norwegian hip hop, ","W drodze na wakacje",2018-07-06,81,7,0,75,10,10,-5,G Major,4,2AHZICZHpwfW0jGQnNUUlW,NO5281501010
24,"Feel This Moment (feat. Christina Aguilera)","Pitbull,Christina Aguilera",136,9B,76,2025-05-17,03:49,83,"","Global Warming: Meltdown (Deluxe Version)",2012-00-00,67,4,0,54,10,30,-4,G Major,4,0Hf4aIJpsN4Os2f0y0VqWl,USRC11201328
25,"Adventure of a Lifetime","Coldplay",112,9B,92,2025-05-17,04:23,87,"","A Head Full of Dreams",2015-12-04,64,0,0,53,0,10,-4,G Major,4,69uxyAqqPIsUyTO8txoP2M,GBAYE1500981
26,"RITMO (Bad Boys For Life)","Black Eyed Peas,J Balvin",105,3A,72,2025-05-17,03:34,71,"reggaeton, latin","TRANSLATION",2020-11-02,73,3,0,67,0,70,-7,A#/B♭ Minor,4,5NyS3oxTlos3Agl2YtZwrC,USSM11912430
27,"I Love It (feat. Charli XCX)","Icona Pop,Charli xcx",126,4B,91,2025-05-17,02:35,69,"hyperpop, art pop","I Love It (feat. Charli XCX)",2012-06-19,71,1,0,84,0,10,-3,G#/A♭ Major,4,3VZQshi4COChhXaz7cLP02,USAT21202802
28,"Cheap Thrills (feat. Sean Paul)","Sia,Sean Paul",90,11A,80,2025-05-17,03:44,78,"dancehall","This Is Acting",2016-02-18,59,6,0,73,20,0,-5,F#/G♭ Minor,4,378iszndTZAR4dH8kwsLC6,USRC11600201
29,"Too Sweet","Hozier",117,6B,64,2025-05-17,04:11,83,"","Unreal Unearth: Unaired",2024-08-19,74,4,0,96,0,0,-5,A#/B♭ Major,4,19XpFsce28aByvCC4g89tJ,IEACJ2300335
30,"Where Them Girls At (feat. Nicki Minaj & Flo Rida)","David Guetta,Flo Rida,Nicki Minaj",130,5B,88,2025-07-27,03:14,80,"edm, ","Nothing but the Beat (Ultimate Edition)",2012-12-07,67,6,0,55,0,20,-3,D#/E♭ Major,4,7ks6AZmFcm3Y6PGGxGSmlB,FRZID1100110
