#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"TV","Billie Eilish",140,9A,24,2026-01-26,04:41,83,"","Guitar Songs",2022-07-21,41,83,1,12,0,10,-15,E Minor,4,3GYlZ7tbxLOxe6ewMNVTkw,USUM72213724
2,"Feeling","Billie Marten",93,3B,46,2026-01-26,03:20,59,"","Feeling",2025-03-19,68,69,5,71,0,10,-12,C♯/D♭ Major,4,5J6TfufAsesi9BPnvlgBl8,GBUM72407853
3,"Until I Found You","Stephen Sanchez",101,6B,51,2026-01-26,02:57,79,"","Until I Found You",2021-09-01,54,73,0,23,0,10,-6,A#/B♭ Major,3,0T5iIrXA4p5GsubkhuBIKV,USUG12103651
4,"Flowers","Nathaniel Rateliff,Gregory Alan Isakov",131,5B,34,2026-01-26,04:00,59,"indie folk, americana, folk, folk pop","Flowers",2025-02-24,43,63,0,17,0,10,-9,D#/E♭ Major,4,1VO8Kwv6w3Yk1O1NMwNlba,USC4R2553400
5,"Got You Right","GoldFord",116,1B,65,2026-01-26,03:25,70,"","Got You Right",2025-02-04,88,44,0,92,0,10,-5,B Major,4,1AMvRbr8thMA47fC6iNJa2,CBEFB2500018
6,"doing my best","Hazlett",136,6B,31,2026-01-26,03:02,60,"indie folk","doing my best",2025-02-14,66,59,5,18,0,10,-14,A#/B♭ Major,4,2jEK6rkAJ82GjVSoIkxxyr,SE5262500102
7,"You're Still The One","Teddy Swims",134,3B,44,2026-01-26,03:16,78,"","You're Still The One",2020-07-17,55,53,0,24,0,10,-7,C♯/D♭ Major,4,4guQztGKAETkvuTekNeqBe,USWB12001587
8,"Joy Of My Life","Chris Stapleton",149,5B,49,2026-01-26,04:34,76,"country, outlaw country","Starting Over",2020-11-13,63,22,5,40,0,10,-9,D#/E♭ Major,4,4EuaDcxHmHKS6gZ5iuGba0,USUM72013811
9,"Cold Little Heart - Radio Edit","Michael Kiwanuka",110,6A,58,2026-01-26,03:30,73,"soul","Cold Little Heart (Radio Edit)",2017-02-24,63,36,0,66,0,40,-6,G Minor,4,7KX65PC1UZuImsUInThbav,GBUM71700693
10,"Earthstar","Hannah Cohen",152,12A,73,2026-01-26,04:03,12,"","Earthstar",2025-01-23,51,29,27,49,0,0,-9,C♯/D♭ Minor,4,12HfxXiDIpdYiD1h2AqHCX,GBBRP2501369
11,"Paris, Texas (feat. SYML)","Lana Del Rey,SYML",170,5A,10,2026-01-26,03:26,73,"","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,29,99,6,20,0,10,-18,C Minor,3,0Oqxt6JixieLHbwMfnJGWO,GBUM72206764
12,"Want Me","Bebe Stockwell",138,8B,28,2026-01-26,03:33,55,"","Want Me",2025-03-14,60,62,0,23,0,10,-10,C Major,4,4jM8r5G6yNfLbhf3kPm2s9,USQX92500920
13,"I Know You","Faye Webster",155,6B,39,2026-01-26,04:11,78,"","Faye Webster",2017-05-12,45,29,0,14,0,0,-13,A#/B♭ Major,4,71BWZa1liIRyUiuJ3MB66o,QZ5VZ1600004
14,"Joy and Despair","Charlie Noordewier",123,4B,49,2026-01-26,04:00,57,"","Joy and Despair",2026-01-23,47,47,0,43,0,10,-7,G#/A♭ Major,4,1viACvU6BoSNO0VEziw9QT,US39N2606839
15,"Light On","Maggie Rogers",102,10B,57,2026-01-26,03:53,72,"","Heard It In A Past Life",2019-01-18,66,20,0,40,0,10,-6,D Major,4,6UnCGAEmrbGIOSmGRZQ1M2,USUG11801654
16,"Godlight","Noah Kahan",169,12B,71,2026-01-26,04:07,71,"","I Was / I Am",2021-09-17,38,1,0,38,0,10,-6,E Major,4,3cgf3PmzUZKLCRulrKrzZG,USUM72108761
17,"Slow Burn","Kacey Musgraves",148,10B,43,2026-01-26,04:06,70,"","Golden Hour",2018-03-30,56,46,0,27,0,0,-9,D Major,4,6ET9kf9riLETWs9lePUEAI,USUM71800128
18,"Stay","Gracie Abrams",114,6B,37,2026-01-26,02:57,68,"","Stay",2019-11-21,62,88,0,43,0,10,-11,A#/B♭ Major,4,0Uon5NsSAkBDx69XYOaQ5P,USUG11903589
19,"Blinding Lights","Teddy Swims",160,5A,54,2026-01-26,03:34,67,"","Blinding Lights",2020-05-15,51,34,0,44,0,10,-7,C Minor,4,66aMnwdhkEc1V0AAnyYchX,USWB12001485
20,"Half of My Heart","John Mayer",115,7B,59,2026-01-26,04:10,66,"singer-songwriter","Battle Studies",2009-11-13,68,44,0,73,0,10,-9,F Major,4,7hR5toSPEgwFZ78jfHdANM,USSM10905701
21,"Close Behind","Noah Kahan",104,8B,19,2026-01-26,03:33,66,"","Cape Elizabeth",2020-05-01,65,83,0,29,0,10,-11,C Major,4,3TtKAlue2cQRqx1MMnxrba,USUM72009077
22,"We'll Never Have Sex","Leith Ross",174,10B,7,2026-01-26,01:39,65,"","We'll Never Have Sex",2022-03-25,37,96,0,44,0,10,-17,D Major,3,4zXuYQNDmw3dlauyc8q3Kd,USUM72203822
23,"it’s time to go - bonus track","Taylor Swift",152,8B,41,2026-01-26,04:14,65,"","evermore (deluxe version)",2021-01-07,59,80,0,42,0,0,-12,C Major,4,1kdWw77ZpYOkhxeuhzU1j6,USUG12004721
24,"Rockland","Gracie Abrams",126,7B,40,2026-01-26,03:37,62,"","This Is What It Feels Like",2021-11-12,57,79,0,40,0,10,-11,F Major,4,5V03tsbEzYG0PmRrh3K4rF,USUG12105276
25,"Peer Pressure","James Bay,Julia Michaels",136,12A,72,2026-01-26,02:56,62,"","Oh My Messy Mind",2019-05-10,63,3,0,42,0,10,-6,C♯/D♭ Minor,4,4RE3vueod5PL48rvHtuu9C,USUM71901255
26,"She Calls Me Back (with Kacey Musgraves)","Noah Kahan,Kacey Musgraves",128,1B,68,2026-01-26,04:03,62,"","She Calls Me Back (with Kacey Musgraves)",2023-10-06,75,6,0,63,0,30,-6,B Major,4,0p1hBWPaSxUDTSa32PyhnU,USUM72314329
27,"From","Bon Iver",106,3B,55,2026-01-26,03:02,61,"","SABLE, fABLE",2025-04-11,73,53,4,82,0,0,-6,C♯/D♭ Major,4,5agmWuBAor2UQcNqByOvWC,US38Y2445005
28,"Carolina - From The Motion Picture “Where The Crawdads Sing”","Taylor Swift",116,10A,19,2026-01-26,04:24,61,"","Carolina (From The Motion Picture “Where The Crawdads Sing”)",2022-06-24,48,90,0,32,0,20,-14,B Minor,4,4axSuOg3BqsowKjRpj59RU,USUG12200226
29,"The Heart of Life","John Mayer",176,3B,24,2026-01-26,03:19,61,"singer-songwriter","Continuum",2006-09-11,50,96,1,36,0,0,-11,C♯/D♭ Major,4,78DwRIo6Vj6wqteyerGetr,USSM10603629
30,"Opaline","Novo Amor",182,3B,34,2026-01-26,03:12,61,"ambient folk","Cannot Be, Whatsoever",2020-11-06,37,96,12,28,0,0,-10,C♯/D♭ Major,4,732Zsh1L5ixRNgAmiPyvrp,GB45A2002047
31,"Say My Name - Recorded at Spotify Studios NYC","Hozier",117,8B,46,2026-01-26,04:27,61,"","Spotify Singles",2019-01-09,61,52,0,38,0,20,-8,C Major,4,2xbuycY0MolcTZGENc4PuK,USSM11809117
32,"The Little Mess You Made","The Favors,FINNEAS,Ashe",108,9A,47,2026-01-26,03:21,60,"","The Little Mess You Made",2025-06-06,66,3,0,37,0,0,-6,E Minor,4,6EFBcGR6chnBv9rmSN0ObX,USUG12504192
33,"Dear August","PJ Harding,Noah Cyrus",147,8B,32,2026-01-26,03:20,60,"","Dear August",2021-02-12,64,80,0,44,0,10,-8,C Major,4,16gW9O8A4rIMx5OOVlzsSn,USRC12003886
34,"Rosie","John Mayer",139,9B,47,2026-01-26,04:02,59,"singer-songwriter","The Search for Everything",2017-04-14,76,49,0,76,0,10,-7,G Major,4,5KsLlcmWDoHUoJFzRw14wD,USSM11702695
35,"Summer's End - Spotify Singles","Phoebe Bridgers,Maria Taylor",134,3B,30,2026-01-26,03:54,59,"","Spotify Singles",2021-03-08,47,91,0,34,0,30,-14,C♯/D♭ Major,4,2lVPHHSn8elKFEf1d6evFG,USJ5G2126602
36,"Cardinal","Kacey Musgraves",129,3A,64,2026-01-26,03:11,59,"","Deeper Well",2024-03-15,60,16,0,37,0,60,-8,A#/B♭ Minor,4,2rLq6QIfooAKsF8UZuoLsS,USUM72316296
37,"Around The Sun","Poolside,Amo Amo",110,9B,63,2026-01-26,03:54,59,"nu disco, ","Low Season",2020-02-07,73,9,3,83,0,10,-5,G Major,4,3OeHPk27py8JaMUqIebznh,QM24S1928008
38,"This Too Shall Last","Anderson East",149,12B,49,2026-01-26,03:42,59,"modern blues","Encore",2018-01-12,50,32,80,68,0,0,-9,E Major,4,0CuXzMEgFzuQhLEYQHYas4,USAT21703898
39,"Yellow Eyes","Rayland Baxter",154,6B,68,2026-01-26,03:50,58,"southern gothic","Imaginary Man",2015-08-14,50,9,0,51,0,10,-8,A#/B♭ Major,4,3HOXNIj8NjlgjQiBd3YVIi,USATO1400776
40,"Never in My Wildest Dreams","Dan Auerbach",117,7B,47,2026-01-26,02:56,58,"blues rock","Waiting on a Song",2017-06-02,56,32,0,62,0,0,-7,F Major,4,3MJov5mT64K42o1Rffhblq,QZ6SA1600006
41,"Can't Fight","Lianne La Havas",87,11A,52,2026-01-26,03:10,58,"alternative r&b, soul, pop soul","Lianne La Havas",2020-07-17,74,8,0,77,0,10,-9,F#/G♭ Minor,4,2gnvh9HRH5fCo5iDQXMvQN,GBAHT2000174
42,"Someone New","Hozier",184,9B,53,2026-01-26,03:42,57,"","Hozier",2014-10-07,45,43,0,58,0,30,-6,G Major,4,0efT4YKQLQx2YHbp6vgRX8,USSM11405188
43,"Love Is A Verb","John Mayer",66,11B,28,2026-01-26,02:27,57,"singer-songwriter","Born and Raised",2012-05-21,74,45,0,46,0,10,-12,A Major,4,03XjpGGdsIPouALXem2Cku,USSM11201482
44,"I Lied (with August Ponthier)","Lord Huron,August Ponthier",104,7B,27,2026-01-26,03:54,57,"","I Lied",2021-04-29,44,91,26,14,0,10,-11,F Major,3,5QL8Uqhv0MQRYKRy6UKQIy,USUG12100499
45,"I Still Haven't Found What I'm Looking For","Sarah Jarosz",105,3B,14,2026-01-26,03:32,56,"bluegrass, newgrass, americana, folk","I Still Haven't Found What I'm Looking For / my future",2021-01-29,59,92,0,51,0,10,-9,C♯/D♭ Major,4,2oeEe3EdRBaUPRHmIbgQLU,USRO22002484
46,"Green Mountain State","Trevor Hall",130,5B,37,2026-01-26,04:34,56,"","Chapter Of The Forest",2014-06-17,69,35,0,29,0,10,-12,D#/E♭ Major,4,0c7iF5fSBYxCuwsAv2z4iI,USVG21403575
47,"Hey Mama","Nathaniel Rateliff & The Night Sweats",76,7B,55,2026-01-26,04:00,56,"","Tearing At The Seams",2018-03-09,50,19,9,52,0,10,-8,F Major,4,71DxoKxpHcW8iaYNczwGi3,USC4R1706362
48,"Love on the Weekend","John Mayer",120,9B,55,2026-01-26,03:32,57,"singer-songwriter","Love on the Weekend",2016-11-17,73,55,0,41,0,0,-9,G Major,4,0j2WBxWZnWti5TpSxjJvPb,USSM11609513
49,"Redemption","Nathaniel Rateliff",137,12B,40,2026-01-26,04:58,56,"indie folk, americana","Redemption (From the Apple Original Film “Palmer”)",2020-12-17,52,52,0,25,0,0,-9,E Major,4,7sJIqdSLw7lvQUsX2NOxJB,USC4R2006794
50,"Foolish","Forest Blakk",77,7B,52,2026-01-26,03:32,55,"spoken word","Foolish",2020-08-21,56,56,0,28,0,10,-8,F Major,4,1vf2fGxOHfMF1N4DdYLezO,USAT22001675
51,"She Burns","Foy Vance",125,12B,40,2026-01-26,03:49,55,"","The Wild Swan",2016-05-13,73,72,0,50,0,10,-10,E Major,4,3rUw4cRDeYVZhjkUXBnFUQ,GBAHS1600110
52,"In Your Hands - Single Version","Nick Mulvey",106,5B,60,2026-01-26,03:50,55,"","In Your Hands",2018-02-16,61,61,1,75,0,10,-9,D#/E♭ Major,4,7tJHvRoGvkckZkZk5ORUot,GBUM71800086
53,"I Come With Mud","Men I Trust",178,9B,20,2026-01-26,04:51,55,"bedroom pop, indie pop","Equus Asinus",2025-03-19,59,88,78,43,0,0,-17,G Major,4,6U13ePayjjfmxzXHGGYbv5,QZHNA2500236
54,"Brush Fire","Gracie Abrams",129,10B,37,2026-01-26,03:10,55,"","Brush Fire",2020-12-10,53,88,0,29,0,0,-9,D Major,4,4jp8ragG1fHm1eucECebYF,USUG12001930
55,"That Was Yesterday","Leon Bridges",181,11B,33,2026-01-26,03:50,55,"retro soul","That Was Yesterday",2019-07-19,38,93,0,30,0,0,-6,A Major,3,3gwfEBrFpzEFCZMjw7mqxA,USSM11904160
56,"Heavy Hearts","SYML",143,8B,32,2026-01-26,02:57,54,"","Nobody Lives Here",2025-04-04,59,78,0,29,0,0,-10,C Major,4,6nIJe0uujNETpZWWMlDazL,CAN112402682
57,"Far Too Good","John Smith",97,12B,32,2026-01-26,03:39,54,"","Headlong",2017-06-30,83,83,0,55,0,10,-11,E Major,4,1WUHeOPayLKPMG35uBJVUj,GBAID1700003
58,"cardigan - cabin in candlelight version","Taylor Swift",130,5A,24,2026-01-26,03:48,53,"","cardigan (cabin in candlelight version)",2020-07-30,65,90,0,37,0,10,-8,C Minor,4,2hmafYGj1CXYKIYcMnX4lj,USUG12002858
59,"5 More Minutes","Sydney Rose",137,12B,8,2026-01-26,03:50,53,"","I Know What I Want",2025-04-04,39,94,0,4,0,10,-15,E Major,3,5wAWTCv7wjkB3lNzGmIPcd,USUG12502567
60,"Eugene","Arlo Parks",174,6A,59,2026-01-26,03:41,53,"","Eugene",2020-02-11,61,75,1,89,0,0,-7,G Minor,4,4S6PolgPZ5OLph314ww8Fg,GBKZV1900097
61,"Without a Light","Drew Holcomb & The Neighbors",88,9B,44,2026-01-26,02:22,53,"christian folk","Without a Light",2021-10-01,49,66,0,49,0,10,-12,G Major,4,1CYBnHYYbOAsuDCGa0zrw0,TCAFT2113390
62,"Incomprehensible","Big Thief",124,11B,68,2026-01-26,03:53,53,"","Incomprehensible",2025-06-03,56,79,0,68,0,10,-9,A Major,4,1sXdUadp0TcENaTscPUu8v,GBAFL2500300
63,"Slow Hands - Acoustic","Niall Horan",87,8A,21,2026-01-26,02:40,53,"","Slow Hands (Acoustic)",2017-06-30,83,19,0,61,0,10,-8,A Minor,4,3BK5t8Z6AkaeUTdFjehHqy,USUG11700850
64,"Waiting - Demo","Amber Mark",138,8B,26,2026-01-26,01:41,53,"alternative r&b, indie soul","Waiting (Demo)",2020-04-15,51,63,0,30,0,0,-9,C Major,3,6sqjaO9q52sNKJ8S4x53DD,GBUM72001640
65,"Deep End","Holly Humberstone",109,8B,31,2026-01-26,02:51,52,"","Deep End",2020-01-31,37,80,0,37,0,10,-8,C Major,4,3DXEbjIftmPeBj638CxyJD,UKW522000001
66,"Turning Onto You - HNNY Remix","First Aid Kit,HNNY",90,1B,53,2026-01-26,03:30,52,"indie folk, folk, jazz house","Turning Onto You (HNNY Remix)",2023-09-15,69,28,0,62,0,0,-6,B Major,4,38hxhxzCWO8ffzhdY57pBM,USSM12306593
67,"Love And Happiness","Marc Broussard",94,12A,47,2026-01-26,04:38,52,"blues","S.O.S.: Save Our Soul",2007-01-01,88,3,0,90,0,0,-10,C♯/D♭ Minor,4,5fMInRpERS8jP2zPz6QyUI,USVG20701191
68,"Lucy","Mt. Joy",125,8B,52,2026-01-26,03:38,52,"","Lucy",2025-05-09,80,2,0,93,0,0,-7,C Major,4,6O1vElqf77upV8az275UZs,USA2P2507128
69,"Learn To Be Still","Eagles",96,2B,41,2026-01-26,04:28,52,"classic rock, yacht rock, soft rock","Hell Freezes Over (Remaster 2018)",1994-11-08,54,32,1,16,0,10,-11,F#/G♭ Major,4,5POu9RspR7sR9zD5m6ZZkJ,USGF19972504
70,"Everyone's A Winner","Flyte",143,11B,36,2026-01-26,03:29,52,"","This Is Really Going To Hurt",2021-04-09,59,19,1,51,0,10,-9,A Major,4,0Gf2hEQEVBcwgy40JyO9LK,GBUM72006039
71,"Sunshine In The Room (feat. Jon Batiste)","James Bay,Jon Batiste",92,7B,77,2026-01-26,03:02,52,"","Sunshine In The Room",2025-01-31,61,2,0,71,0,30,-5,F Major,4,2cbRRdFAhoDnBGQgJ7NGws,USUM72500342
72,"Every Time You Go Away","Lennon Stella,Kevin Garrett",144,9B,13,2026-01-26,04:25,52,"","Spotify Singles",2020-08-19,32,89,0,12,0,10,-14,G Major,4,5OtvDpNhxUde1hkAjvzSzE,USQX92003493
73,"Quick Hands","Woodlock",156,9B,45,2026-01-26,03:23,52,"indie folk","Quick Hands",2022-05-13,43,71,5,18,0,0,-9,G Major,4,6HCf9COkucXMcnqxJ1hfP0,CAN112200152
74,"My Ego Dies At The End","Jensen McRae",130,5B,45,2026-01-26,04:02,52,"","My Ego Dies At The End",2021-11-16,70,23,0,55,0,30,-6,D#/E♭ Major,4,7wWr0jb8Z1FZaEkb977AK0,QMDA62108595
75,"Don't Put It All On Me (feat. Fleet Foxes)","Noah Cyrus,Fleet Foxes",126,1B,49,2026-01-26,04:07,52,"indie folk, folk, indie","Don't Put It All On Me (feat. Fleet Foxes)",2025-03-19,50,77,0,19,0,10,-8,B Major,4,4xZK9tK3N0aOIO18k1Ldul,USQX92500922
76,"You And I - Moon And Stars / Acoustic","Valerie June",153,9B,46,2026-01-26,03:20,51,"folk, americana","You And I (Moon And Stars / Acoustic)",2021-12-02,41,60,0,56,0,20,-9,G Major,3,5E87q3c0yZ5n5m2Fuq2RMZ,USC4R2111093
77,"Birch","Big Red Machine,Taylor Swift",92,4B,64,2026-01-26,05:30,51,"","How Long Do You Think It's Gonna Last?",2021-08-27,64,89,14,26,0,10,-14,G#/A♭ Major,4,7wo2UNeQBowm28hfAJsEMz,US38Y2141504
78,"simple times","Kacey Musgraves",80,12A,71,2026-01-26,02:47,51,"","star-crossed",2021-09-10,65,63,0,69,0,0,-6,C♯/D♭ Minor,4,1lNEXDlxVhsWaq2DLBUDgC,USUM72106230
79,"In Your Eyes","Ben Abraham",90,3B,45,2026-01-26,05:29,51,"","In Your Eyes",2020-08-21,44,90,0,35,0,10,-8,C♯/D♭ Major,4,5c0z1ccAIoZl1okUhiqNOc,USAT22005041
80,"re: Stacks - Spotify Singles","Noah Cyrus",124,11B,30,2026-01-26,05:09,51,"","Spotify Singles",2021-03-11,56,84,0,11,0,30,-11,A Major,4,6X6fJzF0BGbUk6mhqNvgZZ,USQX92100772
81,"With You","Cujo Moon",84,10B,38,2026-01-26,03:31,51,"indie folk","With You",2020-09-11,44,66,1,32,0,10,-13,D Major,4,2xuNO2twEAziI59xyKYxzZ,TCAFB2044460
82,"If Ever (with Jack Johnson & Ben Harper)","Paula Fuga,Jack Johnson,Ben Harper",105,3B,48,2026-01-26,03:35,50,"surf rock","If Ever",2021-04-16,80,70,0,68,0,10,-8,C♯/D♭ Major,4,5CeXAfGpk9baITQvV0feoG,USUG12101458
83,"Hurricane","James Vincent McMorrow",137,9B,68,2026-01-26,04:26,50,"","Hurricane",2022-05-18,68,23,0,77,0,20,-6,G Major,4,430AdcQfEGaKOZepLczGTo,IEAZG2200036
