#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"The Fate of Ophelia","Taylor Swift",124,7B,60,2025-12-31,03:46,97,"","The Life of a Showgirl",2025-10-03,73,27,0,52,0,10,-5,F Major,4,53iuhJlwXhSER5J2IYYv1W,USUG12506436
2,"Golden","HUNTR/X,EJAE,AUDREY NUNA,REI AMI,KPop Demon Hunters Cast",123,9A,69,2025-12-31,03:14,95,"k-pop","KPop Demon Hunters (Soundtrack from the Netflix Film)",2025-06-20,65,10,0,10,0,10,-4,E Minor,3,1CPZ5BxNNd0n0nF4Orb9JS,QZ8BZ2513510
3,"Man I Need","Olivia Dean",119,3B,59,2025-12-31,03:04,97,"pop soul","Man I Need",2025-08-15,81,49,0,69,0,0,-7,C♯/D♭ Major,4,1qbmS6ep2hbBRaEZFpn7BX,GBUM72503089
4,"Opalite","Taylor Swift",125,9A,82,2025-12-31,03:55,92,"","The Life of a Showgirl",2025-10-03,81,8,0,80,0,0,-5,E Minor,4,3yWuTOYDztXjZxdE2cIRUa,USUG12506438
5,"DAISIES","Justin Bieber",110,4B,38,2025-12-31,02:56,90,"","SWAG",2025-07-11,80,72,0,48,0,10,-9,G#/A♭ Major,4,5BZsQlgw21vDOAjoqkNgKb,USUG12504304
6,"Satellite","Fairlane,Mokita",128,5B,85,2026-02-20,03:18,49,"melodic bass, future bass, edm, ","Satellite",2026-02-13,53,4,0,31,0,10,-4,D#/E♭ Major,4,4F1KFfkqUWZaEyyoMt3wYF,QZTGW2600221
7,"Good Luck, Babe!","Chappell Roan",117,10A,58,2025-12-31,03:38,91,"","Good Luck, Babe!",2024-04-05,70,5,0,79,0,0,-6,B Minor,4,0WbMK4wrZ1wFSty9F7FCgu,USUG12401967
8,"Get This","The All-American Rejects",120,12A,86,2026-01-30,03:19,60,"pop punk, emo","Get This",2025-11-28,60,0,18,76,0,0,-5,C♯/D♭ Minor,4,5El8KGV9xfrBctyTZp1n6R,QT62U2598839
9,"Tears","Sabrina Carpenter",113,8B,88,2025-12-31,02:40,88,"pop","Man’s Best Friend",2025-08-29,70,2,0,49,0,0,-5,C Major,4,42VUCXerQ5qTr4Qp6PhKo4,USUM72504355
10,"APT.","ROSÉ,Bruno Mars",149,5A,78,2025-12-31,02:49,88,"k-pop, ","APT.",2024-10-18,78,3,0,94,20,30,-4,C Minor,4,5vNRhkKd0yEAg8suGBpjeY,USAT22409172
11,"Who","Jimin",116,5A,76,2025-12-31,02:50,85,"k-pop","MUSE",2024-07-19,66,0,0,84,0,10,-4,C Minor,4,7tI8dRuH2Yc6RuoTjxo4dU,USA2P2431062
12,"greedy","Tate McRae",111,11A,73,2025-12-31,02:11,87,"","greedy",2023-09-15,75,26,0,82,0,10,-3,F#/G♭ Minor,1,3rUGC1vUpkDG9CZFHMur1t,USRC12301932
13,"GO!","CORTIS",150,4B,43,2025-12-31,02:50,83,"k-pop","COLOR OUTSIDE THE LINES",2025-09-08,79,22,0,30,30,10,-6,G#/A♭ Major,4,6OWWZtNQORY1McaZmOrwhc,USA2P2536188
14,"I Wanna Know","THE HOTEL LOBBY,CRTFD",130,11A,88,2026-03-24,02:33,18,"","I Wanna Know",2026-03-06,61,1,23,16,10,10,-4,F#/G♭ Minor,4,65SMrYCkgmNQKNnLJSEFko,DEL712610027
15,"Hero","Beau Cruz,Chloe Jane",127,2B,80,2026-03-07,04:05,39,"nu disco","Hero",2026-02-27,53,1,0,22,0,10,-4,F#/G♭ Major,4,7xNRp5OKcTFTidHnC4DycJ,QM24S2600702
16,"Sane Love - Alt-Pop Version","zeros_and_ones",125,8B,44,2026-02-23,03:15,36,"","Sane Love",2026-01-16,72,10,0,36,0,10,-8,C Major,4,0lF2UhThHQl3qvXSfr5HSv,QT6G82523732
17,"MILLION DOLLAR BABY","Tommy Richman",138,12A,70,2025-12-31,02:35,83,"","MILLION DOLLAR BABY",2024-04-26,85,10,0,92,0,0,-6,C♯/D♭ Minor,4,5AJ9hqTS2wcFQCELCFRO7A,QM24S2402528
18,"That's What I Like","Bruno Mars",134,3B,56,2025-12-31,03:26,92,"","24K Magic",2016-11-18,85,1,0,86,0,0,-5,C♯/D♭ Major,4,0KKkJNfGyhkQ5aFogxQAPU,USAT21602948
19,"What Are We Waiting For","fuseo,Jon Klaasen",113,3B,86,2026-03-06,02:48,36,"","What Are We Waiting For",2026-02-20,73,0,0,54,0,10,-6,C♯/D♭ Major,4,5PamhaFJqmTyEHuXodVPVp,DEHE82600004
20,"Stargazing","Myles Smith",124,12A,60,2025-12-31,02:52,86,"","Stargazing",2024-05-10,64,25,0,33,0,10,-6,C♯/D♭ Minor,4,3Vr3zh0r7ALn8VLqCiRR10,GBARL2400510
21,"Taste","Sabrina Carpenter",113,5B,91,2025-12-31,02:37,87,"pop","Short n' Sweet",2024-08-23,67,10,0,72,0,30,-4,D#/E♭ Major,4,5G2f63n7IPVPPjfNIGih7Q,USUM72404100
22,"SPEED DEMON","Justin Bieber",93,6B,71,2025-12-31,03:31,74,"","SWAG II",2025-09-05,84,9,0,86,10,0,-5,A#/B♭ Major,4,4YmS7BALpAU0h4EAF4fYuh,USUG12508123
23,"i was never yours","Karin Ann",105,10B,67,2026-02-18,03:11,43,"","i was never yours",2025-08-15,60,32,0,72,0,0,-6,D Major,4,3PZJCi3lAFueEfVpnjpd6X,SKAQ72500004
24,"Espresso","Sabrina Carpenter",104,8B,76,2025-12-31,02:55,85,"pop","Espresso",2024-04-12,70,11,0,69,0,10,-5,C Major,4,2qSkIjg1o9h3YT9RAgYN75,USUM72403305
25,"I Ain't Worried","OneRepublic",140,8B,80,2025-12-31,02:28,82,"soft pop","I Ain’t Worried (Music From The Motion Picture  Top Gun: Maverick )",2022-05-13,70,8,0,83,0,0,-6,C Major,4,4h9wh7iOZ0GGn8QVp4RAOB,USUM72206227
26,"Sunroof","Nicky Youre,hey daisy",131,6B,71,2025-12-31,02:43,80,"","Good Times Go",2023-06-09,77,35,0,84,0,10,-5,A#/B♭ Major,4,5YqEzk3C5c3UZ1D5fJUlXA,USQX92202129
27,"Burrow Hill","Rachel Hill",112,8B,62,2026-03-20,03:49,21,"","Burrow Hill",2026-03-20,76,23,0,52,0,0,-8,C Major,3,19NKkhpTkSRdeicHIjcIZn,QZES52657897
28,"Cruel Summer","Taylor Swift",170,11B,70,2025-12-31,02:58,89,"","Lover",2019-08-23,55,12,0,56,10,10,-6,A Major,4,1BxfuPKGuaTgP7aM0Bbdwr,USUG11901472
29,"Cold Heart - PNAU Remix","Elton John,Dua Lipa,PNAU",116,3B,80,2025-12-31,03:22,82,"pop, ","Cold Heart (PNAU Remix)",2021-08-13,80,3,0,94,0,10,-6,C♯/D♭ Major,4,6zSpb8dQRaw0M1dK8PBwQz,GBUM72104705
30,"Circles","Post Malone",120,8B,76,2025-12-31,03:35,86,"","Hollywood's Bleeding",2019-09-06,70,19,0,55,0,0,-3,C Major,4,21jGcNKet2qwijlDFuPiPb,USUM71915699
31,"I Had Some Help (Feat. Morgan Wallen)","Post Malone,Morgan Wallen",128,9B,86,2025-12-31,02:58,81,"country","I Had Some Help",2024-05-10,64,1,0,73,0,20,-5,G Major,4,7221xIgOnuakPdLqT0F3nP,USUM72404990
32,"Dance The Night - From Barbie The Album","Dua Lipa",110,10A,85,2025-12-31,02:56,81,"pop","Dance The Night (From Barbie The Album)",2023-05-25,67,2,0,78,0,30,-5,B Minor,4,1vYXt7VSjH9JIM5oRRo7vA,USAT22305457
