#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"WHERE IS MY HUSBAND!","RAYE",116,4B,78,2026-03-12,03:16,96,"","WHERE IS MY HUSBAND!",2025-09-19,39,6,0,63,0,10,-7,G#/A♭ Major,4,55lijDD6OAjLFFUHU9tcDm,QMFME2535037
2,"Homewrecker","sombr",100,3B,92,2026-03-12,03:29,93,"","Homewrecker",2026-02-05,46,5,0,53,0,10,-3,C♯/D♭ Major,4,7tICCrK3CcyRFKza7yrR0z,USWB12600102
3,"All The Stars (with SZA) - From  Black Panther: The Album ","Kendrick Lamar,SZA",97,4B,63,2026-03-12,03:52,91,"hip hop, west coast hip hop, r&b","Black Panther The Album Music From And Inspired By",2018-02-09,70,6,0,56,0,0,-5,G#/A♭ Major,4,3GCdLUSnKSMJhs4Tj6CV3s,USUM71713947
4,"Blinding Lights","The Weeknd",171,3B,73,2026-03-12,03:20,90,"","After Hours",2020-03-20,51,0,0,33,0,0,-6,C♯/D♭ Major,4,0VjIjW4GlUZAMYd2vXMi3b,USUG11904206
5,"DAISIES","Justin Bieber",110,4B,38,2026-03-12,02:56,90,"","SWAG",2025-07-11,80,72,0,48,0,10,-9,G#/A♭ Major,4,5BZsQlgw21vDOAjoqkNgKb,USUG12504304
6,"I Just Might","Bruno Mars",103,7B,71,2026-03-12,03:32,93,"","I Just Might",2026-01-09,79,5,0,88,0,10,-6,F Major,4,12bYYQaLqHliSXvRIYlq8G,USAT22509144
7,"Nice To Each Other","Olivia Dean",132,8B,74,2026-03-12,03:29,90,"pop soul","Nice To Each Other",2025-05-30,76,41,0,74,0,30,-7,C Major,4,7gKxCvTDWwV9wBhdeBbr3l,GBUM72502230
8,"We Made It","SIX60",80,6B,63,2026-03-12,02:44,53,"nz reggae","We Made It",2025-12-12,77,61,0,78,0,10,-6,A#/B♭ Major,4,1ljnuLllU6fI3aGFUPG6TJ,NZMI12500003
9,"Africa","TOTO",93,11B,37,2026-03-12,04:55,89,"yacht rock, soft rock","Toto IV",1982-04-08,67,26,0,73,0,0,-18,A Major,4,2374M0fQpWi3dLnB54qaLX,USSM19801941
10,"Dracula","Tame Impala",115,2A,73,2026-03-12,03:25,87,"neo-psychedelic, indie","Deadbeat",2025-10-17,42,3,0,61,0,30,-4,D#/E♭ Minor,4,1NXbNEAcPvY5G1xvfN57aA,USQX92504223
11,"Lucky Again","Lykke Li",107,9A,73,2026-03-12,03:01,73,"","Lucky Again",2026-02-13,70,8,0,59,0,20,-5,E Minor,4,0n63xAny4NjxRNgKnboEp8,USA2P2566624
12,"rager","Blusher",126,9A,83,2026-03-12,02:48,57,"","rager",2026-02-06,67,0,2,84,0,10,-5,E Minor,4,39kaks6MIhAZLcbN7PTgBz,USAT22508109
13,"Promiscuous","Nelly Furtado,Timbaland",114,3A,97,2026-03-12,04:02,89,"","Loose",2006-01-01,81,6,0,87,0,10,-6,A#/B♭ Minor,4,2gam98EZKrF9XuOkU13ApN,USUM70603473
14,"Counting Stars","OneRepublic",122,12A,71,2026-03-12,04:17,89,"soft pop","Native",2013-01-01,66,7,0,47,0,10,-5,C♯/D♭ Minor,4,2tpWsVSb9UEmDRxAl1zhX1,USUM71301306
15,"When We Were Young","Mia Wray",147,12A,87,2026-03-12,03:08,48,"","When We Were Young",2026-01-29,51,0,4,44,10,10,-6,C♯/D♭ Minor,4,3Up4Umt7RGaKsmU6aUpAlR,AULI02565650
16,"Something Just Like This","The Chainsmokers,Coldplay",103,10A,64,2026-03-12,04:07,88,"","Memories...Do Not Open",2017-04-07,62,5,0,45,0,10,-7,B Minor,4,6RUKPb4LETWmmr3iAEQktW,USQX91700278
17,"Unwritten","Natasha Bedingfield",100,7B,80,2026-03-12,04:19,88,"","Unwritten",2004-08-30,71,1,0,63,0,0,-6,F Major,4,3U5JVgI2x4rDyHGObzJfNf,GBARL0400707
18,"A Sky Full of Stars","Coldplay",125,2B,68,2026-03-12,04:27,87,"","Ghost Stories",2014-05-16,55,1,0,16,0,20,-6,F#/G♭ Major,4,0FDzzruyVECATHXKHFs9eJ,GBAYE1400217
19,"Love Me Not","Ravyn Lenae",114,8B,74,2026-03-12,03:33,87,"alternative r&b, indie soul","Love Me Not / Love Is Blind",2024-05-03,79,29,0,82,0,10,-6,C Major,4,1UNEuG9DYOWiikf00ayr52,USAT22401137
20,"Uptown Funk (feat. Bruno Mars)","Mark Ronson,Bruno Mars",115,8B,61,2026-03-12,04:29,87,"","Uptown Special",2015-01-12,86,1,0,93,0,0,-7,C Major,4,32OlwWuMpZ6b0aN2RZOeMS,GBARL1401524
21,"Empire State Of Mind","JAŸ-Z,Alicia Keys",174,1B,96,2026-03-12,04:36,86,"hip hop, east coast hip hop, rap, r&b, neo soul","The Blueprint 3",2009-09-08,49,3,0,81,30,40,-2,B Major,4,2igwFfvr1OAGX9SKDCPBwO,USJZ10900031
22,"Beggin'","Måneskin",134,10A,80,2026-03-12,03:31,86,"","Chosen",2017-12-08,71,13,0,59,0,30,-5,B Minor,4,3Wrjm47oTz2sjIgck11l5e,ITB001700846
23,"Shut Up and Dance","WALK THE MOON",128,3B,87,2026-03-12,03:19,86,"","TALKING IS HARD",2014-12-02,58,1,0,62,0,20,-4,C♯/D♭ Major,4,4kbj5MwxO1bq9wjT5g9HaA,USRC11401949
24,"Hey Ya!","Outkast",80,9A,97,2026-03-12,03:55,85,"southern hip hop, hip hop","Speakerboxxx/The Love Below",2003-00-00,73,10,0,97,0,10,-2,E Minor,4,2PpruBYCo4H7WOBJ7Q2EwM,USAR10300924
25,"Titanium (feat. Sia)","David Guetta,Sia",126,5A,79,2026-03-12,04:05,85,"edm, ","Nothing but the Beat (Ultimate Edition)",2012-12-07,60,7,15,30,10,10,-4,C Minor,4,0TDLuuLlV54CkRRUOahJb4,GB28K1100036
26,"Ghost","Justin Bieber",154,10B,74,2026-03-12,02:33,85,"","Justice",2021-03-19,60,19,0,44,0,40,-6,D Major,4,6I3mqTwhRpn34SLVafSH7G,USUM72102635
27,"I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston",119,3B,82,2026-03-12,04:52,85,"","Whitney",1987-06-02,71,21,0,87,0,0,-9,C♯/D♭ Major,4,2tUBqZG2AbRi7Q0BIrVrEj,USAR18700121
28,"Don't Stop Me Now - Remastered 2011","Queen",156,7B,87,2026-03-12,03:29,84,"classic rock, rock, glam rock","Jazz (2011 Remaster)",1978-11-10,56,5,0,61,10,70,-5,F Major,4,5T8EDUDqKcs6OSOwEsfqG7,GBUM71029610
29,"Call Me Maybe","Carly Rae Jepsen",120,9B,58,2026-03-12,03:13,84,"","Kiss",2012-01-01,78,1,0,66,0,10,-7,G Major,4,20I6sIOMTCkB6w7ryavxtO,CAB391100615
30,"Feel It Still","Portugal. The Man",79,12A,80,2026-03-12,02:43,84,"","Woodstock",2017-06-16,80,4,0,75,0,0,-5,C♯/D♭ Minor,4,6QgjcU0zLnzq5OrUoSZ3OK,USAT21700437
31,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",135,7B,95,2026-03-12,03:43,83,"yacht rock, classic rock, soft rock","Rumours",1977-02-04,58,2,0,80,0,0,-5,F Major,4,07GvNcU1WdyZJq3XxP0kZa,USWB10400050
32,"You Get What You Give","New Radicals",114,10B,90,2026-03-12,05:00,83,"","Maybe You've Been Brainwashed Too",1998-01-01,62,17,0,74,0,0,-5,D Major,4,1Cwsd5xI8CajJz795oy4XF,USMC19858327
33,"Moves Like Jagger - Studio Recording From  The Voice  Performance","Maroon 5,Christina Aguilera",128,10A,76,2026-03-12,03:21,83,"pop, ","Hands All Over (Revised International Standard version)",2010-00-00,72,1,0,62,0,30,-4,B Minor,4,7pYfyrMNPn3wtoCyqcTVoI,USUM71109132
34,"Levitating (feat. DaBaby)","Dua Lipa,DaBaby",103,11A,83,2026-03-12,03:23,83,"pop, ","Future Nostalgia",2020-03-27,70,1,0,92,0,0,-4,F#/G♭ Minor,4,5nujrmhLynf4yMoMtj8AQF,GBAHT2000942
35,"Party In The U.S.A.","Miley Cyrus",96,3A,70,2026-03-12,03:22,83,"","The Time Of Our Lives (International Version)",2009-01-01,65,0,0,47,0,0,-5,A#/B♭ Minor,4,3E7dfMvvCLUddWissuqMwr,USHR10924519
36,"High Hopes","Panic! At The Disco",82,7B,90,2026-03-12,03:10,83,"emo","Pray for the Wicked",2018-06-22,58,19,0,68,0,0,-3,F Major,4,1rqqCSm0Qe4I9rUvWncaom,USAT21801174
37,"Livin' On A Prayer","Bon Jovi",123,8B,89,2026-03-12,04:09,83,"glam metal","Slippery When Wet",1986-08-16,53,8,0,79,0,20,-4,C Major,4,37ZJ0p5Jm13JPevGcx4SkF,USPR38619998
38,"Sally, When The Wine Runs Out","ROLE MODEL",120,3B,81,2026-03-12,03:38,82,"bedroom pop","Kansas Anymore (The Longest Goodbye)",2025-02-14,68,2,0,86,0,10,-6,C♯/D♭ Major,4,2J051fjLklkoPbzOoTAACZ,USUM72500706
39,"I Ain't Worried","OneRepublic",140,8B,80,2026-03-12,02:28,82,"soft pop","I Ain’t Worried (Music From The Motion Picture  Top Gun: Maverick )",2022-05-13,70,8,0,83,0,0,-6,C Major,4,4h9wh7iOZ0GGn8QVp4RAOB,USUM72206227
40,"Semi-Charmed Life","Third Eye Blind",102,9B,86,2026-03-12,04:28,82,"","Third Eye Blind",1997-04-08,64,1,0,70,0,10,-7,G Major,4,42et6fnHCw1HIPSrdPprMl,USEE19701203
41,"Shake It Off","Taylor Swift",160,9B,80,2026-03-12,03:39,82,"","1989 (Deluxe)",2014-01-01,65,6,0,94,10,30,-5,G Major,4,0cqRj7pUJDkTCEsJkx8snD,USCJY1431349
