#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Unwritten","Natasha Bedingfield",100,7B,80,2025-02-11,04:19,88,"","Unwritten",2004-08-30,71,1,0,63,0,0,-6,F Major,4,3U5JVgI2x4rDyHGObzJfNf,GBARL0400707
2,"Danza Kuduro","Don Omar,Lucenzo",130,8B,90,2025-02-11,03:18,7,"reggaeton, urbano latino, kuduro","Fast Five (Original Motion Picture Soundtrack)",2011-01-01,70,9,0,90,0,0,-6,C Major,4,4sCSUQnWQ6HJsOMjfPicdn,USUM71020778
3,"Gasolina","Daddy Yankee",96,8B,80,2025-02-11,03:12,87,"reggaeton, latin","Barrio Fino (Bonus Track Version)",2004-07-13,85,32,0,74,0,0,-7,C Major,4,5YoITs1m0q8UOQ4AW7N5ga,QM6N21759342
4,"Hips Don't Lie (feat. Wyclef Jean)","Shakira,Wyclef Jean",100,3A,82,2025-02-11,03:38,19,"latin pop, ","Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,78,28,0,76,0,40,-6,A#/B♭ Minor,4,3ZFTkvIE7kyPt6Nu3PEa7V,USSM10600677
5,"On The Floor","Jennifer Lopez,Pitbull",130,2A,78,2025-02-11,04:44,84,"","Love?",2011-04-29,73,11,0,57,0,0,-5,D#/E♭ Minor,4,3C0nOe05EIt1390bVABLyN,USUM71104034
6,"Feel This Moment (feat. Christina Aguilera)","Pitbull,Christina Aguilera",136,9B,76,2025-02-11,03:49,83,"","Global Warming: Meltdown (Deluxe Version)",2012-00-00,67,4,0,54,10,30,-4,G Major,4,0Hf4aIJpsN4Os2f0y0VqWl,USRC11201328
7,"Fireball (feat. John Ryan)","Pitbull,John Ryan",123,6B,93,2025-02-11,03:56,83,"","Globalization",2014-11-24,76,9,0,84,0,0,-5,A#/B♭ Major,4,4Y7XAxTANhu3lmnLAzhWJW,USRC11401783
8,"Let's Get Loud","Jennifer Lopez",131,4A,94,2025-02-11,03:58,73,"","On The 6",1999-04-20,82,14,0,92,0,30,-5,F Minor,4,6kQz6t5z1FK4uohPh8Kd73,USSM19900597
9,"Crazy In Love (feat. JAY-Z)","Beyoncé,JAŸ-Z",99,7A,76,2025-02-11,03:55,81,"hip hop, east coast hip hop, rap","Dangerously In Love",2003-03-10,66,0,0,70,20,0,-7,D Minor,4,0TwBtDAWpkpM3srywFVOV5,USSM10305425
10,"S&M","Rihanna",128,3B,69,2025-02-11,04:03,87,"","Loud",2010-01-01,77,1,0,84,0,0,-5,C♯/D♭ Major,4,7ySUcLPVX7KudhnmNcgY2D,USUM71026591
11,"I Gotta Feeling","Black Eyed Peas",128,8B,77,2025-02-11,04:49,85,"","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,74,9,0,61,0,50,-6,C Major,4,4kLLWz7srcuLKA7Et40PQR,USUM70965169
12,"Where Have You Been","Rihanna",128,5A,85,2025-02-11,04:02,84,"","Talk That Talk",2011-11-18,72,0,2,44,0,20,-6,C Minor,4,5WQQIDU3HRaMyPkob8mpFb,USUM71118074
13,"Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","Shakira,Freshlyground",127,10B,87,2025-02-11,03:22,70,"latin pop, afro soul, afropop, dubstep","Listen Up! The Official 2010 FIFA World Cup Album",2010-05-31,76,1,0,75,10,0,-6,D Major,4,6bNB5gxFX6Q87DbQWb8OWZ,USSM11001353
14,"Please Please Please","Sabrina Carpenter",107,11B,59,2025-02-11,03:06,79,"pop","Please Please Please",2024-06-06,67,27,0,58,0,10,-6,A Major,4,5N3hjp1WNayUPZrA8kJmJP,USUM72404101
15,"Espresso","Sabrina Carpenter",104,8B,78,2025-02-11,02:55,88,"pop","Short n' Sweet",2024-08-23,70,13,0,71,0,20,-5,C Major,4,2HRqTpkrJO5ggZyyK6NPWz,USUM72403305
16,"Starships","Nicki Minaj",125,10A,72,2025-02-11,03:30,80,"","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)",2012-01-01,75,14,0,75,0,20,-2,B Minor,4,2EBCVPNAG46nbgs6jXPGvv,USCM51200060
17,"Alibi (with Pabllo Vittar & Yseult)","Sevdaliza,Pabllo Vittar,Yseult",127,10A,75,2025-02-11,02:41,75,"brazilian pop, funk pop, tecnobrega, french r&b","Alibi (with Pabllo Vittar & Yseult)",2024-06-28,74,1,0,72,0,10,-5,B Minor,4,5496lks6V3fh1mZAB6IAap,NL47E2400004
18,"Forever Young","Alphaville",137,8A,48,2025-02-11,03:46,85,"synthpop","Forever Young",1984-00-00,49,42,0,33,0,20,-9,A Minor,4,4S1VYqwfkLit9mKVY3MXoo,DEA629260150
