#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2021-03-27,04:49,76,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
2,"Flightless Bird, American Mouth","Iron & Wine",155,5B,40,2021-03-27,04:01,71,"indie folk","The Shepherd's Dog",2007-09-25,37,83,5,18,0,10,-8,D#/E♭ Major,3,1fEGtTZjrjJW8eUeewnNJR,USSUB0771012
3,"Holocene","Bon Iver",148,3B,30,2021-03-27,05:36,0,"","Bon Iver",2011-06-21,37,94,30,15,0,10,-15,C♯/D♭ Major,4,4fbvXwMTXPWaFyaMWUm9CR,US38Y1113503
4,"If You Need To, Keep Time on Me","Fleet Foxes",104,11B,22,2021-03-27,03:30,62,"indie folk, folk, indie","Crack-Up",2017-06-16,52,65,1,14,0,10,-10,A Major,4,7d0XkI4iJ32nxeFAHFXbLQ,USNO11700051
5,"Donna","The Lumineers",134,12B,25,2021-03-27,03:05,0,"folk pop, indie folk","III",2019-09-13,49,96,0,28,0,10,-10,E Major,4,3ZkleTkBBKIPKJh9jIqT7s,USDMG1995101
6,"Heartbeats","José González",88,5B,18,2021-03-27,02:41,63,"indie folk","Veneer",2006-04-03,59,98,71,31,0,10,-15,D#/E♭ Major,4,5YqpHuXpFjDVZ7tY1ClFll,SEVVX0300201
7,"I Love You, Honeybear","Father John Misty",211,6A,73,2021-03-27,04:38,0,"","I Love You, Honeybear",2015-02-10,19,30,0,31,0,0,-6,G Minor,3,4l86U8arITFVBfDvYn82v7,USSUB1411501
8,"Flume","Bon Iver",133,1B,14,2021-03-27,03:39,0,"","For Emma, Forever Ago",2008-02-19,44,93,3,9,0,10,-17,B Major,4,7xDydFFgyOYit7yAUsRhrI,US38Y0811501
9,"The Story","Conan Gray",142,8B,30,2021-03-27,04:05,0,"","The Story",2020-01-10,54,82,0,27,0,10,-10,C Major,4,1aQqtnz30d2vAG54XFNpu0,USUM71924270
10,"Motion Sickness","Phoebe Bridgers",107,3B,55,2021-03-27,03:49,0,"","Stranger in the Alps",2017-09-22,65,77,4,63,0,0,-9,C♯/D♭ Major,4,6LxcPUqx6noURdA5qc4BAT,USJ5G1714202
11,"Squealing Pigs","Admiral Fallow",121,7B,73,2021-03-27,03:22,0,"indie folk","Boots Met My Face",2011-06-28,43,5,0,64,0,10,-8,F Major,4,7EsFlP6Id6T7jOMdgdtGMZ,GBMPJ1010002
12,"Call It Dreaming","Iron & Wine",80,7B,50,2021-03-27,03:51,0,"indie folk","Beast Epic",2017-08-25,52,61,0,73,0,10,-10,F Major,4,4ftYIbHbKSVZWyrveFHCNu,USSUB1717006
13,"Hot Heavy Summer","Ben Howard,Sylvan Esso",162,1B,25,2021-03-27,03:49,50,"indie folk, folk pop, ","Another Friday Night / Hot Heavy Summer / Sister",2018-09-13,62,76,60,62,0,10,-15,B Major,4,2Yu0AtCUsskiFKqtLCm0zc,GBUM71805834
14,"Where You Are","Ralegh Long",78,10B,23,2021-03-27,03:40,19,"indie folk","Where You Are",2018-06-29,51,97,8,36,0,10,-14,D Major,4,6COg2wVUUoEwKffB0bhKoG,GB72R1800007
15,"Kentucky - Demo","Hippo Campus",155,11B,57,2021-03-27,04:01,34,"","Demos II",2019-07-10,47,65,93,11,0,10,-8,A Major,3,3427pTE7qC2GzplghWAmD9,QM5BK1900292
16,"Madrona","Izaak Opatz",152,11A,24,2021-03-27,04:27,16,"alt country","Mariachi Static",2018-04-18,54,85,0,26,0,10,-14,F#/G♭ Minor,3,6zdfK4HBWHmzZ5fTcq92Y5,QZ5CZ1600004
17,"Bathing in the Ganges","Izaak Opatz",120,12B,40,2021-03-27,05:14,9,"alt country","Bathing in the Ganges",2018-06-14,56,88,6,31,0,50,-8,E Major,4,0xf291x3brJpBcHyhXrP1T,QMFW91800154
18,"Firelight","Young the Giant",188,2A,28,2021-03-27,05:33,40,"","Mind Over Matter",2014-01-17,30,92,0,17,0,10,-13,D#/E♭ Minor,4,2bBQg0zLuhXcVvqSSriawP,USAT21304592
19,"Every Time the Sun Comes Up","Sharon Van Etten",100,3B,52,2021-03-27,04:22,0,"","Are We There",2014-05-27,66,39,0,30,0,20,-9,C♯/D♭ Major,4,38ydcsbayM4oX21Hhu84DT,US38Y1425511
20,"Misty","Caamp",95,6B,40,2021-03-27,03:44,0,"indie folk, folk","Misty",2016-12-02,60,72,0,24,0,10,-8,A#/B♭ Major,4,0jX7GLf5pVGZpchy64sluA,GBKPL1674073
21,"Vagabond","Caamp",142,12B,40,2021-03-27,02:09,0,"indie folk, folk","Caamp",2016-03-08,57,77,1,61,0,0,-12,E Major,4,3HAgxyWGeJtIVabS2mTREt,TCACM1659369
22,"Common Man","Caamp",155,2B,59,2021-03-27,02:13,0,"indie folk, folk","Common Man",2017-10-12,39,75,0,75,0,20,-7,F#/G♭ Major,4,0KlO835SZ6WZKHKsaCtqSh,GBKPL1789332
23,"The Night We Met","Lord Huron",87,10B,37,2021-03-27,03:28,6,"","Strange Trails",2015-04-07,55,97,27,10,0,60,-10,D Major,3,0QZ5yyl6B6utIWkxeBDxQN,US53Q1200103
24,"Limited Liability","Izaak Opatz",137,6B,64,2021-03-27,03:42,17,"alt country","Mariachi Static",2018-04-18,72,51,0,79,0,0,-10,A#/B♭ Major,4,1hN6NXPK3mbyZL3Ap26WLl,QZ5CZ1600007
25,"Big Black Car","Gregory Alan Isakov",110,5B,19,2021-03-27,03:37,74,"indie folk, folk, folk pop","This Empty Northern Hemisphere",2009-01-01,60,91,0,47,0,10,-16,D#/E♭ Major,4,3Kj2EWpIBnvETsYq4cq0IH,uscgj0988301
26,"The Only Thing","Sufjan Stevens",159,5B,14,2021-03-27,04:44,0,"baroque pop","Carrie & Lowell",2015-03-31,52,99,6,49,0,10,-20,D#/E♭ Major,4,6Rt6KwuF7I8ZkdZG2G0bYr,US64G1509907
27,"Dandelion Wine","Gregory Alan Isakov",111,8B,10,2021-03-27,03:04,59,"indie folk, folk, folk pop","This Empty Northern Hemisphere",2009-01-01,41,78,38,19,0,0,-16,C Major,3,5AeoHJUx0PJXAzN425xryh,uscgj0988296
28,"I Love You. It’s A Fever Dream.","The Tallest Man On Earth",93,4B,33,2021-03-27,03:38,0,"indie folk, folk","I Love You. It's a Fever Dream.",2019-04-19,58,87,0,30,0,10,-10,G#/A♭ Major,4,2PYv7xYgHVszEN6qkVWnbG,GBWWP1904730
29,"San Luis","Gregory Alan Isakov",82,6A,43,2021-03-27,04:32,1,"indie folk, folk, folk pop","Evening Machines",2018-10-05,57,86,26,25,0,10,-13,G Minor,4,7gDNQLV9cr8449LFrQbk5J,USDMG1888302
30,"warm glow","Hippo Campus",92,11B,45,2021-03-27,05:58,52,"","warm glow",2017-09-12,45,32,12,4,0,10,-9,A Major,4,0WSPIU3Y3bNXsGeKnzSnt1,QM5BK1700175
31,"Amsterdam","Gregory Alan Isakov",152,5B,43,2021-03-27,03:18,72,"indie folk, folk, folk pop","The Weatherman",2013-07-09,55,92,14,53,0,10,-13,D#/E♭ Major,3,7iQmjnDXYngWGsbjVnDc1U,uscgj1396460
32,"Michigan","The Milk Carton Kids",122,6B,24,2021-03-27,05:30,56,"indie folk, folk, americana","Prologue",2011-07-19,54,88,0,20,0,10,-15,A#/B♭ Major,4,6RGGOBfNQLOvQhyl1oG2oD,TCAAZ1110485
