#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sunny","Marvin Gaye",130,2B,73,2023-05-18,02:49,50,"motown, classic soul, soul, northern soul, quiet storm","Essential Motown - Northern Soul",2018-09-21,59,69,0,64,0,20,-5,F#/G♭ Major,4,6IFSPx3lqkw0ri4OJkTkLl,USMO10110232
2,"Better Days","The Meltdown",119,6A,40,2023-05-18,03:57,65,"retro soul, soul blues","The Meltdown",2017-04-07,81,68,0,92,0,0,-10,G Minor,4,4YeYupLm97ehlhYhboqMxM,AUVX41400129
3,"Tourment d' amour","La Fine Equipe,Saneyes",96,9A,48,2023-05-18,02:13,5,"trip hop, ","La Boulangerie 2 (La Fine Equipe & Friends)",2011-06-27,75,15,0,88,20,80,-6,E Minor,4,1pur8kv69XmZqA3uoMEYnH,FR1A91100177
4,"Hate Street Dialogue","Rodríguez",138,5B,96,2023-05-18,02:33,59,"folk rock, folk","Cold Fact",1970-03-05,64,55,0,65,20,0,-4,D#/E♭ Major,4,3Y0iZyngvwiGF15eLRttN7,ZAG930200023
5,"Sun Is Shining","Bob Marley & The Wailers",129,3A,56,2023-05-18,04:58,69,"reggae, roots reggae","Kaya",1978-00-00,79,1,0,61,0,0,-8,A#/B♭ Minor,4,2pZJhvpin385eqAFRp3ASJ,USIR27800260
6,"Who Knows","Marion Black",111,7A,63,2023-05-18,02:18,59,"","Who Knows b/w Go On Fool",1970-01-01,53,76,0,77,0,10,-8,D Minor,4,6pul7BJkKcVHIewzPLW2rc,USCW60400102
7,"If I Got It (Your Love Brought It)","Aaron Frazer",95,1A,55,2023-05-18,02:54,66,"retro soul","Introducing...",2021-01-08,81,43,1,89,0,0,-7,G#/A♭ Minor,4,1jSAARNT7fzLTcPc4IUQQz,USJ5G2022002
8,"Send Me Some Lovin'","Otis Redding",181,6B,16,2023-05-18,02:17,50,"motown, soul, classic soul, soul blues","Remember Me",1992-03-10,49,46,0,69,0,20,-19,A#/B♭ Major,3,3kN1om53zT8Q4F7MNpPjPq,USFI89200218
9,"I'd Rather Go Blind","Etta James",83,10A,43,2023-05-18,02:36,78,"soul, soul blues, blues, vocal jazz","Tell Mama",1968-04-18,48,69,0,61,0,10,-6,B Minor,3,1kPBT8S2wJFNAyBMnGVZgL,USMC16746346
10,"Move on Up - Single Edit","Curtis Mayfield",139,10A,97,2023-05-18,02:45,65,"classic soul, soul, motown, funk","Move on Up",1970-00-00,54,42,0,93,0,10,-6,B Minor,4,0MHXrqn909p0LRTPsNsGEi,USRH11509321
11,"California Dreamin' - Single Version","The Mamas & The Papas",112,12A,61,2023-05-18,02:42,81,"folk rock","If You Can Believe Your Eyes & Ears",1966-03,55,35,0,64,0,0,-10,C♯/D♭ Minor,4,4s6LhHAV5SEsOV0lC2tjvJ,USMC16532697
12,"Anything You Want - Not That","Belleruche",122,7A,78,2023-05-18,03:22,38,"electro swing, nu jazz, trip hop, swing music","The Express",2008-10-13,95,5,79,95,0,10,-8,D Minor,4,6sI5m6cabkKWBuDh0kXMKk,GBEUE0801283
13,"I Don't Know","Ruth Brown",101,4B,30,2023-05-18,02:53,49,"boogie-woogie, swing music, blues, rockabilly","The Essentials: Ruth Brown",2003-02-25,73,64,0,59,0,0,-8,G#/A♭ Major,4,047Ip9c6dijAJfuwloV3NF,USAT29901950
14,"(Sittin' On) the Dock of the Bay","Otis Redding",104,10B,37,2023-05-18,02:43,80,"motown, soul, classic soul, soul blues","The Dock of the Bay (Mono)",1968-00-00,77,68,0,53,0,0,-11,D Major,4,3zBhihYUHBmGd2bcQIobrF,USAT21403443
15,"A Sunday Kind Of Love","Etta James",86,7A,28,2023-05-18,03:16,71,"soul, soul blues, blues, vocal jazz","At Last!",1960-00-00,42,83,0,40,0,20,-9,D Minor,4,0zGLlXbHlrAyBN1x6sY0rb,USMC16046321
16,"Get Down Saturday Night","Oliver Cheatham",117,10A,61,2023-05-18,04:01,55,"disco, funk, post-disco","Daddy Cool",2006-01-01,87,23,8,96,0,0,-12,B Minor,4,58bsVCyN73XiWPhxRmvZi3,USMC10111183
17,"Green Onions","Booker T. & the M.G.'s",137,6B,51,2023-05-18,02:56,72,"","Green Onions",1962-00-00,82,77,95,91,0,0,-9,A#/B♭ Major,4,4fQMGlCawbTkH9yPPZ49kP,USAT20000736
18,"A Change Is Gonna Come - Live from BBC/Radio 1","Fugees",85,11B,30,2023-05-18,02:45,49,"east coast hip hop","Greatest Hits",2003-03-25,57,76,0,44,0,20,-8,A Major,3,1ZkPRiksGnyKEhNhavAMvh,USSM10304169
19,"Come and Be a Winner","Sharon Jones & The Dap-Kings",93,7A,50,2023-05-18,02:56,53,"retro soul, soul, funk","Soul of a Woman",2017-11-17,71,75,0,72,0,0,-8,D Minor,4,2vyxCz7ixvER0Zxh02Bk9x,US4GZ1705004
20,"Stand by Me","Otis Redding",112,6B,46,2023-05-18,02:52,68,"motown, soul, classic soul, soul blues","Pain in My Heart",1964-00-00,88,28,0,93,0,0,-11,A#/B♭ Major,4,1aj4GXfmEYXfdVZohCpNKu,USAT10000012
21,"Grandma's Hands","Bill Withers",82,9A,31,2023-05-18,02:02,64,"soul","Just As I Am",1971-05-01,73,59,0,58,0,10,-15,E Minor,4,1qfDfZAvrkSAFrAR2FTQDv,USSM10000373
22,"Am I the Same Girl","Barbara Acklin",90,6B,66,2023-05-18,03:03,40,"northern soul, classic soul","As & BS (The Brunswick Singles)",1966-00-00,54,52,0,88,0,20,-10,A#/B♭ Major,4,2KZ4EZcNUanFLpf8CykQeR,GBBPJ9800209
23,"Lost in Music - 1995 Remaster","Sister Sledge",114,8B,84,2023-05-18,04:47,62,"disco, philly soul","We Are Family (1995 Remaster)",1995-00-00,76,5,0,85,0,10,-8,C Major,4,47eSFHsPDVJwssTTG62Af3,USAT20102163
24,"Spooky - Quinten 909 Radio Mix","Dusty Springfield,Quinten 909",123,9A,79,2023-05-18,02:42,0,"jazz house, nu disco, funky house, disco house, french house","Spooky (Quinten 909 Remix)",2015-00-00,81,2,0,88,0,0,-8,E Minor,4,3qdskG3Sc6E2OddOfyBUpt,NLTH11400064
