#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"This Will Be (An Everlasting Love)","Natalie Cole",127,4B,62,2024-04-23,02:51,74,"quiet storm","Inseparable",1975-01-01,69,23,0,90,0,0,-11,G#/A♭ Major,4,0PDCewmZCp0P5s00bptcdd,USCA28700188
2,"Best of My Love","The Emotions",115,8B,71,2024-04-23,03:40,70,"motown, disco","Rejoice",1977-06-10,78,45,14,97,0,0,-7,C Major,4,2M2WJ7gBlcKNxdhyfPp9zY,USSM17700716
3,"Got to Be Real - Single Version","Cheryl Lynn",115,7B,71,2024-04-23,03:43,57,"disco, post-disco","Cheryl Lynn (Expanded Edition)",1978-07-17,83,20,4,90,0,10,-7,F Major,4,3eudp9ZxZAGaDBOuWGrW2D,USSM17801251
4,"Isn't She Lovely","Stevie Wonder",119,12A,69,2024-04-23,03:19,72,"motown, classic soul, soul","The Definitive Collection (Deluxe Edition)",2002-10-29,75,20,0,90,0,0,-9,C♯/D♭ Minor,4,3NlLmKBJozwoi0k03Feb1N,USMO19682655
5,"How Will I Know","Whitney Houston",119,2B,54,2024-04-23,04:29,76,"","Whitney Houston",1985-02-14,83,20,0,93,0,60,-13,F#/G♭ Major,4,5tdKaKLnC4SgtDZ6RlWeal,USAR18500150
6,"My Girl","The Temptations",105,8B,42,2024-04-23,02:45,81,"motown, classic soul, soul","The Temptations Sing Smokey",1965-03-22,57,64,0,69,0,10,-11,C Major,4,745H5CctFr12Mo7cqa1BMH,USMO16490001
7,"I Want You Back","The Jackson 5",197,4B,54,2024-04-23,02:56,80,"motown, christmas","Diana Ross Presents The Jackson 5",1969-12-18,47,31,0,89,0,30,-14,G#/A♭ Major,4,5LxvwujISqiB8vpRYv887S,USMO19400306
8,"Signed, Sealed, Delivered (I'm Yours)","Stevie Wonder",109,7B,60,2024-04-23,02:41,4,"motown, classic soul, soul","Signed, Sealed And Delivered",1970-08-07,68,5,0,83,0,10,-11,F Major,4,2eF8pWbiivYsYRpbntYsnc,USMO17082643
9,"You Can't Hurry Love","The Supremes",97,6B,71,2024-04-23,02:47,70,"motown, northern soul, classic soul, soul","The Supremes A' Go-Go (Expanded Edition)",1966-08-25,63,30,0,66,0,0,-9,A#/B♭ Major,4,1OppEieGNdItZbE14gLBEv,USMO16600346
10,"I'm Coming Out","Diana Ross",110,7B,83,2024-04-23,05:23,73,"motown, disco","Diana",1980-05-22,72,19,43,77,0,0,-9,F Major,4,3SnGymj6ijE2iuUfWxLo1q,USMO18000073
