#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Hey Lover!","Wabie",117,12B,74,2021-03-12,02:42,67,"bedroom pop","Cyclones and Hey Lover",2019-06-19,59,1,0,52,0,30,-10,E Major,4,7rC3P7tpWriaC4hYWKwGQd,QZFYZ1923384
2,"Shrike","Hozier",154,6A,28,2021-03-12,04:58,69,"","Wasteland, Baby!",2019-03-01,51,49,0,6,0,10,-8,G Minor,3,083PU4XnYAOMAGVruma3vb,USSM11806791
3,"Like Real People Do","Hozier",70,9B,18,2021-03-12,03:18,48,"","Hozier (Special Edition)",2014-09-19,57,91,38,13,0,10,-14,G Major,3,5wes4jZekN1p0mDbC3FIa2,IEACJ1400147
4,"warm glow","Hippo Campus",92,11B,45,2021-03-12,05:58,52,"","warm glow",2017-09-12,45,32,12,4,0,10,-9,A Major,4,0WSPIU3Y3bNXsGeKnzSnt1,QM5BK1700175
5,"Beige","Yoke Lore",168,6B,68,2021-03-12,03:24,0,"","Goodpain",2017-06-16,43,38,7,22,10,10,-8,A#/B♭ Major,4,0FfZudphGgQTGeEV6AhmOs,QZ2P21700018
6,"Bloom - Bonus Track","The Paper Kites",96,3B,42,2021-03-12,03:30,1,"indie folk","Woodland - EP",2013-03-05,59,88,0,42,0,10,-10,C♯/D♭ Major,4,41yIvlFgvGwxq8qTqAR7eG,TCAAZ1171906
7,"willow","Taylor Swift",81,9B,57,2021-03-12,03:34,74,"","evermore",2020-12-11,39,83,0,53,10,10,-9,G Major,4,0lx2cLdOt3piJbcaXIV74f,USUG12004699
8,"Mystery of Love","Sufjan Stevens",132,9A,27,2021-03-12,04:08,80,"baroque pop","Mystery of Love",2017-12-01,37,94,43,24,0,10,-17,E Minor,5,5GbVzc6Ex5LYlLJqzRQhuy,US64G1737302
9,"Loving Is Easy (feat. Benny Sings)","Rex Orange County,Benny Sings",117,5B,61,2021-03-12,02:35,2,"bedroom pop, ","Loving Is Easy (feat. Benny Sings)",2017-10-11,76,22,0,54,0,10,-8,D#/E♭ Major,4,5EYi2rH4LYs6M21ZLOyQTx,GBKPL1789493
10,"Today","Alex Titta,Verónica Herrera",174,10B,32,2022-09-24,02:50,0,"indie folk, ","Today",2021-04-09,63,54,0,38,0,20,-9,D Major,3,2RvgMg6wjRwgmZL3IL3mtG,QM4TX2101973
11,"Waiting - Single Version","Marina & The Kats",112,3A,47,2022-09-16,02:47,15,"electro swing, swing music","Waiting",2022-09-16,67,12,0,36,0,10,-7,A#/B♭ Minor,4,0KU2NVpxiWCZYGoVk6zoDW,ATEQ22200302
12,"To Build A Home","The Cinematic Orchestra,Patrick Watson",148,11B,13,2021-03-12,06:10,67,"nu jazz, downtempo, ","Ma Fleur",2007-06-05,26,89,35,8,0,10,-15,A Major,4,3AqPL1n1wKc5DVFFnYuJhp,GBCEL0700226
13,"Blue","First Aid Kit",107,1B,73,2021-03-12,03:12,33,"indie folk, folk","The Lion's Roar",2012-01-23,68,37,0,62,0,0,-6,B Major,4,437mdIC3qtHiw6hnwFcheU,GBDNH1100099
14,"Saturday Sun","Vance Joy",100,4B,87,2021-03-12,03:34,56,"folk pop","Nation of Two",2018-02-23,63,50,0,71,0,10,-4,G#/A♭ Major,4,1WZRe3PnxllLd9PPzbPLeo,USAT21705384
15,"Would That I","Hozier",131,7B,53,2021-03-12,04:28,75,"","Wasteland, Baby!",2019-03-01,52,24,1,50,0,10,-6,F Major,4,37zuIvk4KBkAxxLJsxJaHq,USSM11809035
16,"Cigarette Daydreams","Cage The Elephant",114,10B,68,2021-03-12,03:28,80,"","Melophobia",2013-10-08,64,8,0,27,0,0,-3,D Major,4,2tznHmp70DxMyr2XhWLOW0,USRC11301169
17,"Ophelia","The Lumineers",76,7B,57,2021-03-12,02:40,3,"folk pop, indie folk","Cleopatra",2016-04-08,66,61,0,57,0,0,-7,F Major,4,3d8y0t70g7hw2FOWl9Z4Fm,USDMG1673802
18,"Hey It's Delilah","Kallista Rowan",200,9A,11,2021-03-12,03:11,0,"","Hey It's Delilah",2020-03-31,41,84,0,30,0,10,-19,E Minor,4,2jeqpVcPmr278HXMwoLYpw,QZGWW2061552
19,"God Only Knows","Kina Grannis,Imaginary Future",107,4B,13,2021-03-12,02:16,0,"acoustic pop, folk pop","God Only Knows",2017-04-28,66,88,0,51,0,20,-16,G#/A♭ Major,4,1YnLthg0HOs8YTzgN5hVh2,TCADA1786973
20,"The Night We Met","Lord Huron",87,10B,37,2021-03-12,03:28,6,"","Strange Trails",2015-04-07,55,97,27,10,0,60,-10,D Major,3,0QZ5yyl6B6utIWkxeBDxQN,US53Q1200103
21,"Cherry","Harry Styles",96,9B,51,2021-03-12,04:19,74,"","Fine Line",2019-12-13,53,62,0,41,0,10,-9,G Major,4,2IOFZdYYkFxEHVz1w34PoL,USSM11912589
22,"NFWMB","Hozier",176,2A,37,2021-03-12,04:19,53,"","Nina Cried Power - EP",2018-09-06,38,90,7,35,0,10,-12,D#/E♭ Minor,1,2iQYqdalv245vrCEM4W9N9,USSM11806789
23,"Stay Gold","First Aid Kit",96,8B,74,2021-03-12,04:11,50,"indie folk, folk","Stay Gold",2014-06-06,51,27,0,38,0,10,-4,C Major,4,1mqRT3LFIm4EEgfehauyOS,USSM11401645
24,"America","First Aid Kit",163,11B,33,2021-03-12,03:38,50,"indie folk, folk","America",2015-01-13,27,87,0,17,0,10,-7,A Major,3,228IDYsx1EAHiuh9xLktmj,USSM11406295
25,"To Be So Lonely","Harry Styles",105,8B,44,2021-03-12,03:12,69,"","Fine Line",2019-12-13,76,62,0,61,0,30,-7,C Major,4,5JiH89mHrv9oWHlD0T326z,USSM11912591
26,"More Than A Woman","Bee Gees",106,9B,70,2021-03-14,03:16,69,"disco","How Can You Mend A Broken Heart",2020-12-11,60,18,0,67,0,50,-6,G Major,4,2cX2coZS1PYBfPs8wgbdWE,NLF057790033
27,"Sometimes (Backwood)","Gigi Perez",105,5B,17,2021-03-14,02:33,0,"","Sometimes (Backwood)",2021-02-15,41,77,0,7,0,10,-11,D#/E♭ Major,4,5ysFFsqJFcsX8Rez67j2tv,QZQAY2178612
28,"Sun Is Shining","Bob Marley & The Wailers",129,3A,56,2021-03-17,04:58,69,"reggae, roots reggae","Kaya",1978-00-00,79,1,0,61,0,0,-8,A#/B♭ Minor,4,2pZJhvpin385eqAFRp3ASJ,USIR27800260
29,"I Can See Clearly Now","Johnny Nash",124,10B,53,2021-03-17,02:42,50,"","Radio Hits Of the '70s",2006-07-18,68,41,0,58,0,0,-9,D Major,4,0oCT5rVvMdPPUm0bxG7yzT,USSM10603310
31,"Oom Sha La La","Haley Heynderickx",115,10B,42,2021-03-20,02:57,50,"","I Need to Start a Garden",2018-03-02,54,28,0,25,0,20,-9,D Major,4,28kOpVf1aCgL0LSFfuKV4w,QMFW91700128
32,"The Bug Collector","Haley Heynderickx",100,6B,42,2021-03-20,03:48,67,"","I Need to Start a Garden",2018-03-02,54,78,33,53,0,10,-10,A#/B♭ Major,4,5nVE45ithgyVocZp5XLAk6,QMFW91700130
33,"Drinking Song","Haley Heynderickx",120,8B,22,2021-03-20,03:15,47,"","I Need to Start a Garden",2018-03-02,62,89,0,25,0,10,-11,C Major,3,5KkoM9rbevlWf8EePOrwfS,QMFW91700135
34,"Breezeblocks","alt-J",150,7B,66,2021-03-24,03:47,72,"indie, indie rock","An Awesome Wave",2012-09-18,62,10,0,29,0,20,-7,F Major,4,3n69hLUdIsSa1WlRmjMZlW,GBZUZ1200067
35,"This Will Be (An Everlasting Love)","Natalie Cole",127,4B,62,2021-03-27,02:51,74,"quiet storm","Inseparable",1975-01-01,69,23,0,90,0,0,-11,G#/A♭ Major,4,0PDCewmZCp0P5s00bptcdd,USCA28700188
36,"Santeria","Sublime",91,12A,77,2021-04-16,03:02,84,"reggae rock, ska punk, ska","Sublime",1996-07-30,68,3,0,57,0,10,-5,C♯/D♭ Minor,4,2hnMS47jN0etwvFPzYk11f,USGA19649253
37,"Time Machine","WILLOW",81,5B,53,2021-04-21,02:23,61,"","WILLOW",2019-07-19,61,44,0,41,0,10,-6,D#/E♭ Major,3,1jVjOcs7QeQZJXScbqvofI,QMJMT1902285
38,"Almost (Sweet Music)","Hozier",90,9B,69,2021-04-27,03:37,75,"","Wasteland, Baby!",2019-03-01,52,2,0,71,10,20,-6,G Major,4,5Apvsk0suoivI1H8CmBglv,USSM11806793
39,"Cloud 9 (feat. Tegan and Sara)","Beach Bunny,Tegan and Sara",162,11B,89,2021-05-05,02:28,0,"","Cloud 9 (feat. Tegan and Sara)",2021-04-16,59,0,0,88,0,20,-4,A Major,4,2pGXCabl4UlMiskwh7evDq,USQE92100068
40,"PrettyGirlz","WILLOW",73,8B,55,2021-05-06,02:48,44,"","WILLOW",2019-07-19,39,3,0,35,0,60,-9,C Major,4,3NYq7c5AIUiubPz9UZl82h,QMJMT1902286
41,"A Sunday Kind Of Love","Etta James",86,7A,28,2021-05-08,03:16,71,"soul, soul blues, blues, vocal jazz","At Last!",1960-00-00,42,83,0,40,0,20,-9,D Minor,4,0zGLlXbHlrAyBN1x6sY0rb,USMC16046321
42,"Meet Me At Our Spot","THE ANXIETY,WILLOW,Tyler Cole",95,10B,47,2021-05-08,02:42,76,"","THE ANXIETY",2020-03-13,77,2,0,40,0,0,-8,D Major,4,07MDkzWARZaLEdKxo6yArG,QMJMT2002693
43,"Swallow Song","Vashti Bunyan",180,8B,11,2021-05-12,02:16,31,"folk","Just Another Diamond Day",1970-00-00,17,98,2,49,0,10,-19,C Major,3,1ijncFLdL6h2DixERmTx1x,US29D0400038
44,"Old Bone","Wet",95,4A,41,2021-05-26,03:07,39,"","Old Bone / Trust No Man",2019-02-15,62,60,21,23,0,20,-13,F Minor,4,5byJBGDhkVXs81MS3b3Ncq,USSM11809219
45,"Telescope","Cage The Elephant",94,8B,48,2021-05-31,03:48,0,"","Melophobia",2013-10-08,59,27,0,18,0,10,-5,C Major,4,579XFPQju7GyJcEvIjloXn,USRC11301162
46,"The King","Sarah Kinsley",109,2B,67,2021-06-04,03:26,0,"","The King",2021-06-04,63,8,11,75,0,0,-6,F#/G♭ Major,4,4M6XHrTc4RtdgKN9gzEAM6,GBKPL2151554
47,"After Hours","The Velvet Underground",121,6A,15,2021-06-15,02:07,57,"proto-punk, art rock","The Velvet Underground (45th Anniversary)",1969-00-00,61,84,0,47,10,10,-21,G Minor,4,6cA1usDL8nTHeSgFewQat3,USPR36909022
48,"rises the moon","Liana Flores",137,4A,13,2021-06-16,02:41,82,"","recently",2019-04-10,48,95,14,20,0,10,-20,F Minor,3,51Grh1RyUDcMBbpuyUIUHI,QZDA61986777
49,"Clay Pigeons","Michael Cera",172,2B,24,2021-06-25,03:06,65,"","True That",2014-08-14,29,97,1,44,0,10,-17,F#/G♭ Major,4,0XgRWgcs0Pcr9PSIdFWD4N,TCACK1587301
50,"Dreams","The Cranberries",129,12B,65,2022-01-31,04:31,84,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,55,0,0,51,0,40,-13,E Major,4,4JGKZS7h4Qa16gOU3oNETV,USIR29300080
51,"Jackie and Wilson","Hozier",82,2B,73,2022-02-03,03:43,72,"","Hozier (Expanded Edition)",2014-09-19,56,6,0,74,0,0,-4,F#/G♭ Major,4,4JpazKcfOhbwqZrsYhzHee,USSM11405187
